k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 1 1 0.794322 0.4305 0.04028 0.084705 0.4356 0.036829 0.08362
10 1 2 0.79432 0.4868 0.059946 0.085179 0.4943 0.056774 0.084802
10 1 3 0.79432 0.4919 0.062527 0.086605 0.5007 0.06001 0.086027
10 1 4 0.79432 0.4924 0.062845 0.090407 0.5013 0.060289 0.089619
10 1 5 0.79432 0.4924 0.062845 0.087976 0.5013 0.060289 0.087437
10 1 8 0.79432 0.4924 0.062845 0.088621 0.5013 0.060289 0.087952
10 1 10 0.79432 0.4924 0.062845 0.090267 0.5013 0.060289 0.089042
10 1 12 0.79432 0.4924 0.062845 0.09089 0.5013 0.060289 0.089159
10 1 20 0.79432 0.4924 0.062845 0.094025 0.5013 0.060289 0.0934
10 1 25 0.79432 0.4924 0.062845 0.095431 0.5013 0.060289 0.094738
10 1 50 0.79432 0.4924 0.062845 0.10003 0.5013 0.060289 0.099439
10 1 75 0.79432 0.4924 0.062845 0.10455 0.5013 0.060289 0.1038
10 1 100 0.79432 0.4924 0.062845 0.10893 0.5013 0.060289 0.10825
10 1 250 0.79432 0.4924 0.062845 0.13569 0.5013 0.060289 0.13433
10 1 500 0.79432 0.4924 0.062845 0.18697 0.5013 0.060289 0.18698
10 2 1 0.79432 0.5419 0.030245 0.089106 0.5451 0.028725 0.086817
10 2 2 0.79432 0.6713 0.047914 0.086792 0.6793 0.046568 0.085958
10 2 3 0.79432 0.6992 0.052772 0.088867 0.7062 0.051053 0.088306
10 2 4 0.79432 0.7052 0.053727 0.094075 0.7126 0.052534 0.092876
10 2 5 0.79432 0.7061 0.053887 0.092392 0.7142 0.053131 0.091899
10 2 8 0.79432 0.7063 0.053904 0.094931 0.7144 0.053226 0.095138
10 2 10 0.79432 0.7063 0.053904 0.09583 0.7144 0.053226 0.094833
10 2 12 0.79432 0.7063 0.053904 0.099318 0.7144 0.053226 0.098452
10 2 20 0.79432 0.7063 0.053904 0.10065 0.7144 0.053226 0.099835
10 2 25 0.79432 0.7063 0.053904 0.099933 0.7144 0.053226 0.09918
10 2 50 0.79432 0.7063 0.053904 0.10856 0.7144 0.053226 0.1078
10 2 75 0.79432 0.7063 0.053904 0.11275 0.7144 0.053226 0.11201
10 2 100 0.79432 0.7063 0.053904 0.11813 0.7144 0.053226 0.11752
10 2 250 0.79432 0.7063 0.053904 0.14814 0.7144 0.053226 0.1477
10 2 500 0.79432 0.7063 0.053904 0.19808 0.7144 0.053226 0.19738
10 4 1 0.79432 0.5914 0.022849 0.087216 0.5923 0.021873 0.085197
10 4 2 0.79432 0.786 0.029013 0.088637 0.7846 0.030814 0.087274
10 4 3 0.79432 0.8488 0.027987 0.090569 0.8462 0.029815 0.089707
10 4 4 0.79432 0.8706 0.026462 0.092791 0.8678 0.029513 0.091952
10 4 5 0.79432 0.8767 0.025773 0.095036 0.8741 0.029248 0.094323
10 4 8 0.79432 0.8811 0.025538 0.10124 0.8765 0.029367 0.10025
10 4 10 0.79432 0.8813 0.025486 0.10409 0.8765 0.029367 0.10335
10 4 12 0.79432 0.8813 0.025486 0.10629 0.8765 0.029367 0.10559
10 4 20 0.79432 0.8813 0.025486 0.11044 0.8765 0.029367 0.10976
10 4 25 0.79432 0.8813 0.025486 0.11281 0.8765 0.029367 0.11219
10 4 50 0.79432 0.8813 0.025486 0.12028 0.8765 0.029367 0.11945
10 4 75 0.79432 0.8813 0.025486 0.12402 0.8765 0.029367 0.12349
10 4 100 0.79432 0.8813 0.025486 0.13153 0.8765 0.029367 0.13086
10 4 250 0.79432 0.8813 0.025486 0.16215 0.8765 0.029367 0.16179
10 4 500 0.79432 0.8813 0.025486 0.21593 0.8765 0.029367 0.21506
10 8 1 0.79432 0.6031 0.020521 0.087513 0.6059 0.019034 0.086668
10 8 2 0.79432 0.8207 0.021483 0.090266 0.8191 0.021527 0.089426
10 8 3 0.79432 0.8991 0.017006 0.092872 0.8989 0.015965 0.091907
10 8 4 0.79432 0.9324 0.012943 0.09536 0.9314 0.013347 0.094397
10 8 5 0.79432 0.9454 0.01121 0.097868 0.9447 0.011303 0.096905
10 8 8 0.79432 0.9562 0.0095111 0.10456 0.9554 0.0096805 0.10374
10 8 10 0.79432 0.9573 0.009336 0.10928 0.956 0.0095335 0.10858
10 8 12 0.79432 0.9575 0.0093331 0.11354 0.9562 0.0095311 0.11285
10 8 20 0.79432 0.9576 0.0093116 0.12743 0.9564 0.0095286 0.12665
10 8 25 0.79432 0.9576 0.0093116 0.13264 0.9564 0.0095286 0.13201
10 8 50 0.79432 0.9576 0.0093116 0.14668 0.9564 0.0095286 0.14424
10 8 75 0.79432 0.9576 0.0093116 0.14867 0.9564 0.0095286 0.14755
10 8 100 0.79432 0.9576 0.0093116 0.15889 0.9564 0.0095286 0.15813
10 8 250 0.79432 0.9576 0.0093116 0.1936 0.9564 0.0095286 0.19209
