k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time
10 1 6 0.036 1 0.0360847 0.4052 0.08698 0.028958 125 0.414 0.0959 0.020099
10 1 7 0.036 1 0.0240197 0.3074 0.066091 0.01387 62.504 0.3096 0.069217 0.011855
10 1 8 0.036 1 0.026716 0.2394 0.045894 0.0090271 31.259 0.2349 0.042214 0.0070119
10 1 9 0.036 1 0.030168 0.1613 0.025758 0.0065246 15.675 0.166 0.02629 0.0047106
10 1 10 0.036 1 0.0347957 0.1127 0.015965 0.0052355 7.837 0.1051 0.014799 0.003497
10 1 11 0.036 1 0.0415967 0.0699 0.0076917 0.0045457 3.92 0.0633 0.0070702 0.00314
10 1 12 0.036 1 0.0509494 0.0436 0.0038429 0.0041793 1.949 0.0435 0.0039617 0.0031011
10 5 6 0.036 1 0.0412823 0.8469 0.03951 0.083061 512.63 0.8406 0.040672 0.08034
10 5 6 0.036 2 0.041282 0.591 0.10462 0.021237 84.864 0.5775 0.10601 0.019374
10 5 6 0.036 3 0.041282 0.3273 0.090996 0.0098045 21.849 0.3179 0.092182 0.0087039
10 5 6 0.036 4 0.041282 0.1284 0.035509 0.0058946 5.022 0.1216 0.032686 0.005271
10 5 6 0.036 5 0.041282 0.0226 0.0039532 0.0043042 0.633 0.0218 0.0041289 0.0038294
10 5 7 0.036 1 0.0463574 0.7873 0.0517 0.047197 263.4 0.7757 0.055175 0.044798
10 5 7 0.036 2 0.046357 0.4922 0.098858 0.012959 38.61 0.4737 0.1012 0.011473
10 5 7 0.036 3 0.046357 0.2305 0.059199 0.0070396 8.804 0.2214 0.061524 0.0060902
10 5 7 0.036 4 0.046357 0.0705 0.015535 0.0049133 1.678 0.0707 0.016668 0.0043782
10 5 7 0.036 5 0.046357 0.0092 0.0012166 0.0040762 0.157 0.0091 0.0014086 0.003693
10 5 8 0.036 1 0.0508704 0.6753 0.064705 0.028792 136.27 0.678 0.06436 0.026985
10 5 8 0.036 2 0.05087 0.343 0.076868 0.0091718 16.316 0.344 0.071175 0.0080525
10 5 8 0.036 3 0.05087 0.1258 0.029043 0.0057617 3.165 0.1283 0.028778 0.0050697
10 5 8 0.036 4 0.05087 0.031 0.0049039 0.0046217 0.501 0.0294 0.0052409 0.00407
10 5 8 0.036 5 0.05087 0.003 0.00035135 0.0040283 0.037 0.0026 0.00029353 0.0037387
10 5 9 0.036 1 0.0524165 0.5463 0.064291 0.019138 70.679 0.5559 0.061407 0.017168
10 5 9 0.036 2 0.052416 0.2063 0.038829 0.0070941 6.404 0.2133 0.041014 0.0062491
10 5 9 0.036 3 0.052416 0.0569 0.010603 0.0051532 1.012 0.0563 0.0095098 0.0046288
10 5 9 0.036 4 0.052416 0.012 0.0017377 0.0043577 0.156 0.009 0.0010801 0.0040864
10 5 9 0.036 5 0.052416 0.0017 0.00022734 0.0042925 0.017 0.0006 5.97e-05 0.0038949
10 5 10 0.036 1 0.0584315 0.4364 0.052167 0.013637 36.002 0.4278 0.049837 0.011894
10 5 10 0.036 2 0.058432 0.1237 0.018367 0.0064595 2.711 0.1202 0.01847 0.0057148
10 5 10 0.036 3 0.058432 0.0251 0.0033834 0.0051235 0.355 0.0242 0.0032576 0.004592
10 5 10 0.036 4 0.058432 0.0024 0.00025449 0.0046671 0.028 0.0036 0.00038743 0.0043194
10 5 10 0.036 5 0.058432 0.0004 3.988e-05 0.0046963 0.004 0.0004 3.988e-05 0.0043082
10 5 11 0.036 1 0.0630352 0.2916 0.029719 0.010927 18.562 0.2934 0.031348 0.0092578
10 5 11 0.036 2 0.063035 0.0536 0.0062933 0.0060429 0.941 0.0544 0.0068074 0.0053649
10 5 11 0.036 3 0.063035 0.0056 0.00056921 0.005139 0.076 0.0061 0.00063342 0.004664
10 5 11 0.036 4 0.063035 0.0003 2.994e-05 0.0048826 0.003 0.0006 5.97e-05 0.0045558
10 5 11 0.036 5 0.063035 0 0 0.0050291 0 0 0 0.0046022
10 5 12 0.036 1 0.0937145 0.1946 0.018409 0.013094 9.397 0.1972 0.01831 0.011243
10 5 12 0.036 2 0.093714 0.0236 0.0025256 0.0081808 0.358 0.0252 0.0027877 0.0068612
10 5 12 0.036 3 0.093714 0.0025 0.00024399 0.0055338 0.03 0.0025 0.00024399 0.0050726
10 5 12 0.036 4 0.093714 0.0002 1.998e-05 0.0055237 0.003 0.0001 1e-05 0.0050589
10 5 12 0.036 5 0.093714 0.0001 1e-05 0.0055255 0.001 0 0 0.0050525
10 10 6 0.036 1 0.0443034 0.9539 0.011016 0.15434 861.28 0.9541 0.010314 0.15221
10 10 6 0.036 2 0.044303 0.8448 0.047741 0.050671 218.69 0.838 0.052028 0.04912
10 10 6 0.036 3 0.044303 0.701 0.10322 0.028133 89.877 0.6946 0.10422 0.026427
10 10 6 0.036 4 0.044303 0.5526 0.13659 0.018372 43.677 0.5442 0.1384 0.017025
10 10 6 0.036 5 0.044303 0.4109 0.12688 0.014341 21.402 0.3979 0.12944 0.013078
10 10 6 0.036 6 0.044303 0.2626 0.085206 0.010651 9.695 0.2549 0.086963 0.0098054
10 10 6 0.036 7 0.044303 0.1459 0.042646 0.0095094 3.902 0.1393 0.045571 0.0087648
10 10 6 0.036 8 0.044303 0.0611 0.01363 0.0083812 1.186 0.0608 0.016019 0.0079702
10 10 6 0.036 9 0.044303 0.0173 0.0030738 0.0077821 0.266 0.0203 0.004122 0.0074596
10 10 6 0.036 10 0.044303 0.0026 0.00041365 0.0070274 0.027 0.003 0.00041141 0.0068023
10 10 7 0.036 1 0.052468 0.9151 0.019602 0.088474 461.44 0.9102 0.019395 0.086387
10 10 7 0.036 2 0.052468 0.7484 0.07247 0.029847 99.19 0.7432 0.07629 0.027979
10 10 7 0.036 3 0.052468 0.5644 0.11293 0.017595 37.179 0.5617 0.11308 0.016073
10 10 7 0.036 4 0.052468 0.3875 0.10654 0.012714 16.096 0.3924 0.10897 0.011635
10 10 7 0.036 5 0.052468 0.2399 0.073932 0.010166 7.017 0.2441 0.076722 0.0093386
10 10 7 0.036 6 0.052468 0.1268 0.035337 0.0086862 2.784 0.1341 0.039587 0.0080744
10 10 7 0.036 7 0.052468 0.0559 0.012558 0.0078482 0.973 0.0604 0.015247 0.0074155
10 10 7 0.036 8 0.052468 0.0161 0.0030739 0.0073155 0.24 0.0197 0.0038257 0.0069982
10 10 7 0.036 9 0.052468 0.0041 0.0006138 0.0071091 0.047 0.0039 0.00045525 0.0067598
10 10 7 0.036 10 0.052468 0.0003 2.994e-05 0.0070484 0.003 0.0005 4.98e-05 0.0067477
10 10 8 0.036 1 0.0566624 0.8595 0.033123 0.053287 242.93 0.8588 0.031914 0.0514
10 10 8 0.036 2 0.056662 0.6404 0.086614 0.020072 45.235 0.6275 0.089143 0.01834
10 10 8 0.036 3 0.056662 0.42 0.093694 0.013304 15.32 0.4144 0.099152 0.011984
10 10 8 0.036 4 0.056662 0.2486 0.064903 0.010537 5.802 0.2416 0.066216 0.0095806
10 10 8 0.036 5 0.056662 0.1253 0.032082 0.0090729 2.148 0.1213 0.031568 0.0084101
10 10 8 0.036 6 0.056662 0.056 0.011816 0.0082768 0.78 0.0534 0.012321 0.0077481
10 10 8 0.036 7 0.056662 0.0193 0.0031206 0.0077088 0.239 0.0188 0.0034901 0.0073908
10 10 8 0.036 8 0.056662 0.0052 0.00059355 0.007609 0.062 0.0051 0.00072471 0.0071961
10 10 8 0.036 9 0.056662 0.0008 9.9459e-05 0.0075522 0.009 0.0008 9.9459e-05 0.0071097
10 10 8 0.036 10 0.056662 0.0004 5.99e-05 0.0075729 0.004 0.0001 1e-05 0.007113
10 10 9 0.036 1 0.0639985 0.7584 0.047297 0.034008 127.97 0.75 0.051612 0.032064
10 10 9 0.036 2 0.063999 0.4637 0.072645 0.01486 19.906 0.4623 0.079028 0.013485
10 10 9 0.036 3 0.063999 0.2443 0.051099 0.010933 5.752 0.2449 0.055429 0.010076
10 10 9 0.036 4 0.063999 0.1093 0.022046 0.0094433 1.822 0.1147 0.023477 0.0088158
10 10 9 0.036 5 0.063999 0.0389 0.0061229 0.0086744 0.537 0.0457 0.0077092 0.0081825
10 10 9 0.036 6 0.063999 0.0121 0.0015852 0.0083369 0.146 0.0172 0.0025467 0.0078437
10 10 9 0.036 7 0.063999 0.0038 0.00050607 0.0080771 0.042 0.0048 0.0007377 0.0076734
10 10 9 0.036 8 0.063999 0.001 9.9099e-05 0.008037 0.01 0.0011 0.0001089 0.0075782
10 10 9 0.036 9 0.063999 0.0001 1e-05 0.0080832 0.001 0.0003 2.994e-05 0.0076098
10 10 9 0.036 10 0.063999 0 0 0.0080328 0 0 0 0.0075946
10 10 10 0.036 1 0.0594991 0.6331 0.058072 0.025272 66.461 0.6317 0.056522 0.0236
