k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 5 7 0.036 10 1 1 2.88252 0.9735 0.0060338 0.11355 0 0.0018336 0.0076422 0.10385 713.6 8000 0.9719 0.0082286 0.11469
10 5 7 0.036 10 1 2 2.8825 0.9439 0.01768 0.059665 0 0.0013214 0.0081531 0.049964 337.81 8000 0.9385 0.021709 0.059508
10 5 7 0.036 10 1 3 2.8825 0.9111 0.028816 0.041741 0 0.0013015 0.0068866 0.033257 219.06 8000 0.9032 0.034104 0.041219
10 5 7 0.036 10 1 4 2.8825 0.8736 0.041485 0.032848 0 0.0012835 0.0062426 0.025092 160.6 8000 0.8659 0.046093 0.032368
10 5 7 0.036 10 1 5 2.8825 0.831 0.056776 0.026669 0 0.0012475 0.005196 0.020007 124.11 8000 0.8293 0.058991 0.02589
10 5 7 0.036 10 1 6 2.8825 0.7892 0.072115 0.022832 0 0.0012427 0.0048031 0.016565 99.134 8000 0.7877 0.07103 0.02204
10 5 7 0.036 10 1 7 2.8825 0.7476 0.084539 0.0204 0 0.0012289 0.004628 0.014316 81.098 8000 0.7482 0.082419 0.019665
10 5 7 0.036 10 1 8 2.8825 0.7053 0.093616 0.017609 0 0.0011617 0.0043618 0.011875 67.363 8000 0.7057 0.09287 0.017121
10 5 7 0.036 10 1 9 2.8825 0.664 0.10052 0.016737 0 0.001178 0.0044324 0.010891 56.561 8000 0.666 0.099544 0.016086
10 5 7 0.036 10 1 10 2.8825 0.6278 0.10731 0.015673 0 0.0011746 0.004429 0.009842 48.028 8000 0.6268 0.10605 0.014777
10 5 7 0.036 10 1 11 2.8825 0.5849 0.1143 0.014137 0 0.0011322 0.0043031 0.0084746 41.144 8000 0.587 0.1118 0.013473
10 5 7 0.036 10 1 12 2.8825 0.5508 0.1165 0.012935 0 0.0011295 0.0041455 0.0074295 35.412 8000 0.5476 0.11353 0.011616
10 5 7 0.036 10 1 13 2.8825 0.5158 0.11929 0.011421 0 0.0010473 0.0038061 0.0063308 30.63 8000 0.5142 0.11533 0.010799
10 5 7 0.036 10 1 14 2.8825 0.4836 0.12009 0.010592 0 0.0010305 0.003709 0.0056328 26.715 8000 0.4835 0.11631 0.01003
10 5 7 0.036 10 1 15 2.8825 0.4521 0.11899 0.0099396 0 0.00099287 0.0036012 0.0051263 23.347 8000 0.4491 0.11652 0.0094061
10 5 7 0.036 10 1 16 2.8825 0.4229 0.11692 0.0091908 0 0.00096498 0.0034775 0.004533 20.534 8000 0.4181 0.114 0.0087357
10 5 7 0.036 10 1 17 2.8825 0.3924 0.11336 0.0086771 0 0.00095162 0.0034058 0.0041047 18.087 8000 0.3897 0.11218 0.008231
10 5 7 0.036 10 1 18 2.8825 0.3636 0.10866 0.0082129 0 0.00092149 0.0033602 0.0037158 15.934 8000 0.3622 0.10864 0.0078414
10 5 7 0.036 10 1 19 2.8825 0.3371 0.10484 0.0078073 0 0.00092081 0.0032994 0.0033776 14.117 8000 0.3372 0.10514 0.0074517
10 5 7 0.036 10 1 20 2.8825 0.3134 0.10004 0.0075141 0 0.00090988 0.0032543 0.0031399 12.556 8000 0.3161 0.10117 0.0071749
10 5 7 0.036 10 1 22 2.8825 0.2703 0.088536 0.0069272 0 0.00088678 0.0031819 0.002648 10.04 8000 0.2721 0.090822 0.0065258
10 5 7 0.036 10 1 25 2.8825 0.2174 0.07321 0.0061635 0 0.00085333 0.0030816 0.001979 7.24 8000 0.2195 0.076827 0.0059007
10 5 7 0.036 10 1 30 2.8825 0.1526 0.055489 0.0054104 0 0.00082683 0.0030014 0.0013478 4.279 8000 0.1541 0.05652 0.0050881
10 5 7 0.036 10 1 35 2.8825 0.1077 0.037788 0.0050585 0 0.00084537 0.0030015 0.00096736 2.634 8000 0.1091 0.038326 0.0046717
10 5 7 0.036 10 1 40 2.8825 0.0729 0.02442 0.0045601 0 0.00077649 0.0029114 0.00069669 1.614 8000 0.0756 0.02563 0.0044455
10 5 7 0.036 10 1 50 2.8825 0.0316 0.0098313 0.0040658 0 0.00076002 0.0028334 0.00031182 0.577 8000 0.032 0.0098258 0.0039606
10 5 7 0.036 10 1 60 2.8825 0.0123 0.0029617 0.0037691 0 0.00076845 0.0026648 0.00016838 0.202 8000 0.0108 0.0021455 0.0037134
