k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 1 7 0.036 1 1 1 0.0449219 0.4068 0.048702 0.011845 0 0.0012217 0.0017449 0.0086717 39.848 8000 0.4187 0.054054 0.0099602
10 1 7 0.036 1 1 2 0.044922 0.2054 0.026778 0.0054902 0 0.00055864 0.0017996 0.0029186 12.185 8000 0.2154 0.030493 0.0050636
10 1 7 0.036 1 1 3 0.044922 0.1096 0.014222 0.0040607 0 0.00048396 0.0016222 0.0017273 5.152 8000 0.1234 0.016869 0.0037049
10 1 7 0.036 1 1 4 0.044922 0.0662 0.0089265 0.0032573 0 0.00047095 0.0014112 0.001163 2.5 8000 0.0725 0.0099637 0.0030367
10 1 7 0.036 1 1 5 0.044922 0.0388 0.0052999 0.0027255 0 0.00046482 0.0013087 0.00074839 1.213 8000 0.0397 0.0049188 0.0025357
10 1 7 0.036 1 1 6 0.044922 0.0233 0.00291 0.0023639 0 0.00045632 0.0012425 0.00047843 0.635 8000 0.0229 0.0025682 0.0022133
10 1 7 0.036 1 1 7 0.044922 0.0151 0.0021241 0.0021259 0 0.00045979 0.0012368 0.00026587 0.357 8000 0.0147 0.0019559 0.0019784
10 1 7 0.036 1 1 8 0.044922 0.0116 0.0014669 0.0020554 0 0.00046165 0.0012364 0.00020786 0.25 8000 0.0118 0.0015423 0.0019365
10 1 7 0.036 1 1 9 0.044922 0.0077 0.00097168 0.0018732 0 0.00045623 0.0011258 0.00014369 0.147 8000 0.007 0.00093193 0.0018621
10 1 7 0.036 1 1 10 0.044922 0.004 0.00038438 0.0019193 0 0.0004584 0.0012257 9.5663e-05 0.075 8000 0.0035 0.00033809 0.0018135
10 1 7 0.036 1 1 11 0.044922 0.0036 0.00034739 0.0018088 0 0.00045389 0.0011156 9.5414e-05 0.069 8000 0.0034 0.00032877 0.0018096
10 1 7 0.036 1 1 12 0.044922 0.0016 0.0001576 0.0018844 0 0.0004547 0.0012267 6.1369e-05 0.032 8000 0.0017 0.00016728 0.0017636
10 1 7 0.036 1 1 13 0.044922 0.0016 0.0001576 0.0018928 0 0.00045003 0.0012389 6.1344e-05 0.032 8000 0.0017 0.00016728 0.0017653
10 1 7 0.036 1 1 14 0.044922 0.0012 0.00011868 0.0018908 0 0.00045186 0.0012438 5.3844e-05 0.024 8000 0.0011 0.0001089 0.0017575
10 1 7 0.036 1 1 15 0.044922 0 0 0.0018463 0 0.00044888 0.0012287 2.9854e-05 0 8000 0 0 0.0017326
