k n_trees depth sparsity v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size val_recall val_var_recall val_query_time
10 1 6 0.036 1 0.00857593 0.2995 0.068238 0.022367 0.00036259 8.0932e-05 0.0019158 0.019771 125 0.2783 0.061841 0.021249
10 1 7 0.036 1 0.00588703 0.1889 0.031598 0.013459 0.00039451 9.6096e-05 0.0013531 0.011372 62.545 0.188 0.032709 0.012144
10 1 8 0.036 1 0.00611783 0.1534 0.03184 0.0089863 0.00042577 0.00010525 0.0013105 0.0068873 31.243 0.1641 0.031212 0.0075337
10 1 9 0.036 1 0.00647084 0.1141 0.01923 0.0064597 0.00043917 0.00012337 0.001308 0.0043298 15.579 0.1116 0.018003 0.0051884
10 1 10 0.036 1 0.00684048 0.0772 0.010611 0.0051621 0.00049979 0.00014762 0.0013498 0.002893 7.836 0.0813 0.011852 0.0039119
10 1 11 0.036 1 0.00708372 0.0379 0.0042578 0.0043392 0.00052677 0.00015549 0.001362 0.0020091 3.923 0.0405 0.0046344 0.0032832
10 1 12 0.036 1 0.00725649 0.0283 0.0026317 0.0040787 0.0005862 0.00018878 0.0014108 0.0015441 1.95 0.0291 0.0027059 0.0032785
10 5 6 0.036 1 0.00679514 0.7166 0.066171 0.078642 0.00094564 0.00017738 0.0025869 0.074627 569.22 0.7292 0.059547 0.077582
10 5 6 0.036 2 0.0067951 0.3904 0.089237 0.011699 0.00082838 0.0001402 0.002453 0.0079414 47.825 0.388 0.085401 0.011262
10 5 6 0.036 3 0.0067951 0.1543 0.043005 0.0050025 0.00077917 0.00011688 0.001994 0.0017768 6.888 0.1518 0.036673 0.0046031
10 5 6 0.036 4 0.0067951 0.0386 0.0084785 0.0034978 0.00076982 0.00011186 0.0018677 0.00046387 0.983 0.0368 0.0070929 0.003255
10 5 6 0.036 5 0.0067951 0.0058 0.0011475 0.0030158 0.00077365 0.0001119 0.0017908 0.00010058 0.089 0.0036 0.00042747 0.0029751
10 5 7 0.036 1 0.00856309 0.6347 0.076262 0.043165 0.0010782 0.00021833 0.0020166 0.039552 285.31 0.6305 0.074835 0.042029
10 5 7 0.036 2 0.0085631 0.3022 0.07455 0.0077526 0.00093065 0.00015528 0.0019418 0.0044317 22.858 0.3016 0.076134 0.007209
10 5 7 0.036 3 0.0085631 0.11 0.026446 0.0042324 0.00089242 0.00013884 0.0017213 0.0011526 3.777 0.1057 0.026144 0.0038195
10 5 7 0.036 4 0.0085631 0.0291 0.0055287 0.0032075 0.00089449 0.00013225 0.0015718 0.0003457 0.609 0.0249 0.0042142 0.0029941
10 5 7 0.036 5 0.0085631 0.0031 0.00032071 0.0028578 0.00089095 0.00012987 0.0015182 7.3367e-05 0.043 0.0025 0.00026401 0.0028391
10 5 8 0.036 1 0.00952312 0.4732 0.067629 0.02595 0.0012018 0.00028949 0.0016638 0.022511 149.06 0.4667 0.06923 0.024702
10 5 8 0.036 2 0.0095231 0.1575 0.033557 0.0049762 0.00099499 0.00017369 0.0015843 0.0018979 6.459 0.146 0.034278 0.004563
10 5 8 0.036 3 0.0095231 0.0387 0.0068992 0.0034246 0.0010465 0.00015939 0.0015051 0.0004233 0.699 0.0356 0.0070997 0.0032248
10 5 8 0.036 4 0.0095231 0.0055 0.00068043 0.0029428 0.0010509 0.00014863 0.0013949 0.00010325 0.081 0.0047 0.0006886 0.0029717
10 5 8 0.036 5 0.0095231 0.0006 7.972e-05 0.0027294 0.001042 0.000148 0.0012983 3.6725e-05 0.006 0.0005 4.98e-05 0.0029363
10 5 9 0.036 1 0.00964437 0.3656 0.049987 0.016385 0.0012865 0.00035902 0.0015961 0.012851 75.096 0.3621 0.049623 0.0151
10 5 9 0.036 2 0.0096444 0.0904 0.014663 0.0041754 0.0010234 0.00019884 0.0014848 0.0011167 2.604 0.0845 0.014184 0.0038089
10 5 9 0.036 3 0.0096444 0.0135 0.0018296 0.0029347 0.0010282 0.00017908 0.0012856 0.00019327 0.203 0.0145 0.0020618 0.0028419
10 5 9 0.036 4 0.0096444 0.0019 0.0002066 0.0027364 0.0010279 0.00017376 0.0012328 5.2927e-05 0.021 0.0013 0.00012844 0.0028679
10 5 9 0.036 5 0.0096444 0 0 0.0027029 0.0010312 0.00017789 0.0012329 2.8801e-05 0 0 0 0.0028308
10 5 10 0.036 1 0.0105481 0.2792 0.042089 0.011007 0.001463 0.00036433 0.0014088 0.0074746 37.76 0.2771 0.041607 0.0097363
10 5 10 0.036 2 0.010548 0.0534 0.0081566 0.0038072 0.0011956 0.00022179 0.0013896 0.00066982 1.154 0.0556 0.0088775 0.0036429
10 5 10 0.036 3 0.010548 0.0072 0.00080897 0.0029661 0.0011987 0.0002042 0.0011875 0.00012168 0.096 0.0099 0.0012933 0.0029663
10 5 10 0.036 4 0.010548 0.0006 5.97e-05 0.0028363 0.0012004 0.0002004 0.0011554 3.8776e-05 0.007 0.0009 8.9279e-05 0.0030099
10 5 10 0.036 5 0.010548 0 0 0.0028118 0.0011971 0.00020138 0.0011484 2.8844e-05 0 0 0 0.0029678
10 5 11 0.036 1 0.0117058 0.1845 0.023253 0.0085177 0.0016526 0.00043822 0.0013721 0.0048018 19.103 0.1874 0.024105 0.0074168
10 5 11 0.036 2 0.011706 0.0244 0.0030076 0.0036126 0.0013012 0.00026474 0.0013604 0.00037452 0.435 0.0244 0.0027674 0.0033891
10 5 11 0.036 3 0.011706 0.0026 0.00025349 0.0029629 0.0012797 0.00025204 0.0011159 6.1625e-05 0.028 0.0031 0.00032071 0.0031617
10 5 11 0.036 4 0.011706 0.0005 4.98e-05 0.0028887 0.0012751 0.00024902 0.0010973 3.6463e-05 0.005 0.0004 3.988e-05 0.0030933
10 5 11 0.036 5 0.011706 0.0001 1e-05 0.0027682 0.0012753 0.00025022 0.0010135 3.2951e-05 0.001 0 0 0.00308
10 5 12 0.036 1 0.0124439 0.1292 0.014342 0.007032 0.0018356 0.0005391 0.0013058 0.0030967 9.571 0.1333 0.014856 0.0057295
10 5 12 0.036 2 0.012444 0.0122 0.0011924 0.0036091 0.0014613 0.0003315 0.0013201 0.00021035 0.183 0.0123 0.0013601 0.0035524
10 5 12 0.036 3 0.012444 0.0005 4.98e-05 0.0029499 0.0013933 0.0003191 0.0010038 3.7e-05 0.005 0.0013 0.00014846 0.0032501
10 5 12 0.036 4 0.012444 0 0 0.0029472 0.0013905 0.00032745 0.001005 2.9025e-05 0 0.0001 1e-05 0.0032541
10 5 12 0.036 5 0.012444 0 0 0.0029401 0.0013911 0.00032051 0.0009993 2.8913e-05 0 0 0 0.0032371
10 10 6 0.036 1 0.00834252 0.8658 0.031802 0.15357 0.0016482 0.00035049 0.0049192 0.1464 1061.4 0.875 0.028504 0.15464
