k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 1 25 0.344994 0.004 0.00038788 0.012154 0.011 0.0011909 0.011989
10 1 50 0.34499 0.004 0.00038788 0.01163 0.011 0.0011909 0.011574
10 1 100 0.34499 0.004 0.00038788 0.011562 0.011 0.0011909 0.011315
10 1 200 0.34499 0.004 0.00038788 0.011621 0.011 0.0011909 0.01153
10 1 400 0.34499 0.005 0.0004798 0.016052 0.016 0.0015596 0.017114
10 1 1000 0.34499 0.015 0.0014899 0.035811 0.025 0.002702 0.037442
10 1 2000 0.34499 0.031 0.0025646 0.065009 0.042 0.0044808 0.069157
10 1 4000 0.34499 0.061 0.0040192 0.1323 0.081 0.0082212 0.13694
10 1 10000 0.34499 0.128 0.010319 0.3511 0.148 0.014642 0.35185
10 1 20000 0.34499 0.255 0.016843 0.75438 0.268 0.020178 0.74589
10 1 40000 0.34499 0.485 0.031187 1.5425 0.499 0.02111 1.4921
10 1 100000 0.34499 1 0 3.4364 1 0 3.4346
10 1 200000 0.34499 1 0 3.4128 1 0 3.4205
10 1 400000 0.34499 1 0 3.462 1 0 3.4221
10 5 25 1.14258 0.007 0.00065758 0.013606 0.006 0.0005697 0.012803
10 5 50 1.1426 0.007 0.00065758 0.013682 0.006 0.0005697 0.012831
10 5 100 1.1426 0.007 0.00065758 0.013491 0.006 0.0005697 0.012715
10 5 200 1.1426 0.007 0.00065758 0.013704 0.006 0.0005697 0.012936
10 5 400 1.1426 0.008 0.00074343 0.01916 0.008 0.00074343 0.018861
10 5 1000 1.1426 0.016 0.0015596 0.041238 0.013 0.0011424 0.040876
10 5 2000 1.1426 0.031 0.0031707 0.072982 0.026 0.0029535 0.073027
10 5 4000 1.1426 0.069 0.0068071 0.14162 0.048 0.0059556 0.14064
10 5 10000 1.1426 0.126 0.0096202 0.34923 0.132 0.013915 0.34899
10 5 20000 1.1426 0.223 0.017142 0.68883 0.238 0.014905 0.699
10 5 40000 1.1426 0.377 0.022799 1.3156 0.402 0.022218 1.3091
10 5 100000 1.1426 0.719 0.016706 2.6458 0.733 0.023647 2.6346
10 5 200000 1.1426 0.937 0.007001 3.7097 0.945 0.0055303 3.7474
10 5 400000 1.1426 0.999 0.0001 5.0008 1 0 4.9997
10 10 25 2.09572 0.011 0.00098889 0.013287 0.003 0.00029394 0.013196
10 10 50 2.0957 0.011 0.00098889 0.013487 0.003 0.00029394 0.012827
10 10 100 2.0957 0.011 0.00098889 0.013187 0.003 0.00029394 0.012841
10 10 200 2.0957 0.011 0.00098889 0.013449 0.003 0.00029394 0.012731
10 10 400 2.0957 0.014 0.0014182 0.019222 0.007 0.00065758 0.02011
10 10 1000 2.0957 0.023 0.0019909 0.041652 0.016 0.0013576 0.041099
10 10 2000 2.0957 0.034 0.0032768 0.078267 0.032 0.0032081 0.077385
10 10 4000 2.0957 0.058 0.0058949 0.14065 0.052 0.0049455 0.14356
10 10 10000 2.0957 0.143 0.016213 0.34985 0.125 0.013611 0.3548
10 10 20000 2.0957 0.235 0.023106 0.69467 0.229 0.019858 0.67741
10 10 40000 2.0957 0.4 0.024242 1.3382 0.391 0.022645 1.3186
10 10 100000 2.0957 0.715 0.021692 2.5739 0.714 0.019802 2.5724
10 10 200000 2.0957 0.929 0.0065242 3.7232 0.931 0.0068071 3.6829
10 10 400000 2.0957 0.995 0.0004798 4.962 0.999 0.0001 4.9593
10 25 25 5.12077 0.012 0.0010667 0.014731 0.005 0.0004798 0.014117
10 25 50 5.1208 0.012 0.0010667 0.014207 0.005 0.0004798 0.013918
10 25 100 5.1208 0.012 0.0010667 0.014005 0.005 0.0004798 0.013871
10 25 200 5.1208 0.012 0.0010667 0.014282 0.005 0.0004798 0.013933
10 25 400 5.1208 0.015 0.0014899 0.021993 0.008 0.00074343 0.020895
10 25 1000 5.1208 0.021 0.0020798 0.042696 0.016 0.0017616 0.043454
10 25 2000 5.1208 0.039 0.0042212 0.077792 0.028 0.0028444 0.076864
10 25 4000 5.1208 0.066 0.005701 0.14602 0.059 0.0058778 0.1455
10 25 10000 5.1208 0.13 0.011414 0.34971 0.118 0.013208 0.34837
10 25 20000 5.1208 0.235 0.018662 0.68842 0.221 0.021676 0.68193
10 25 40000 5.1208 0.404 0.01857 1.2825 0.398 0.026865 1.2809
10 25 100000 5.1208 0.718 0.021289 2.4765 0.709 0.017595 2.47
10 25 200000 5.1208 0.91 0.0089899 3.6521 0.911 0.0080596 3.6335
10 25 400000 5.1208 0.994 0.00077172 4.9664 0.989 0.00098889 4.9571
10 50 25 9.98341 0.014 0.0012162 0.016176 0.004 0.00038788 0.015549
10 50 50 9.9834 0.014 0.0012162 0.015997 0.004 0.00038788 0.015398
10 50 100 9.9834 0.014 0.0012162 0.015887 0.004 0.00038788 0.015374
10 50 200 9.9834 0.014 0.0012162 0.016055 0.004 0.00038788 0.015345
10 50 400 9.9834 0.019 0.0017566 0.022261 0.006 0.0005697 0.021963
10 50 1000 9.9834 0.027 0.0023949 0.044648 0.012 0.0012687 0.044539
10 50 2000 9.9834 0.037 0.0035667 0.079844 0.023 0.0019909 0.078926
10 50 4000 9.9834 0.07 0.0073737 0.14815 0.047 0.0051424 0.14784
10 50 10000 9.9834 0.141 0.010726 0.35054 0.118 0.010582 0.34962
10 50 20000 9.9834 0.245 0.016439 0.68712 0.23 0.021515 0.68095
10 50 40000 9.9834 0.422 0.017895 1.2743 0.413 0.027203 1.2771
10 50 100000 9.9834 0.727 0.023405 2.444 0.717 0.019809 2.4521
10 50 200000 9.9834 0.911 0.0084636 3.6025 0.924 0.0070949 3.6051
10 50 400000 9.9834 0.987 0.0015465 4.9338 0.995 0.0004798 4.9207
10 100 25 19.851 0.008 0.00074343 0.018115 0.009 0.0010293 0.018371
10 100 50 19.851 0.008 0.00074343 0.017744 0.009 0.0010293 0.018163
10 100 100 19.851 0.008 0.00074343 0.017742 0.009 0.0010293 0.018105
10 100 200 19.851 0.008 0.00074343 0.01848 0.009 0.0010293 0.018557
10 100 400 19.851 0.016 0.0013576 0.026199 0.011 0.0011909 0.025369
10 100 1000 19.851 0.022 0.0023394 0.048757 0.015 0.0014899 0.048702
10 100 2000 19.851 0.037 0.0029606 0.083352 0.034 0.0034788 0.084301
10 100 4000 19.851 0.059 0.0050697 0.15325 0.055 0.0053283 0.15362
10 100 10000 19.851 0.135 0.012197 0.35964 0.146 0.010792 0.3586
10 100 20000 19.851 0.242 0.015592 0.69451 0.247 0.014637 0.69155
10 100 40000 19.851 0.413 0.023971 1.2935 0.437 0.027203 1.2871
10 100 100000 19.851 0.729 0.017029 2.4547 0.736 0.018489 2.4546
10 100 200000 19.851 0.931 0.0051909 3.6349 0.92 0.0076768 3.6414
10 100 400000 19.851 0.989 0.0011909 4.9758 0.998 0.00019798 4.9451
10 200 25 39.9768 0.006 0.0005697 0.023043 0.007 0.0008596 0.02265
10 200 50 39.977 0.006 0.0005697 0.022373 0.007 0.0008596 0.022554
10 200 100 39.977 0.006 0.0005697 0.022429 0.007 0.0008596 0.023118
10 200 200 39.977 0.006 0.0005697 0.022544 0.007 0.0008596 0.022464
10 200 400 39.977 0.012 0.0010667 0.030991 0.012 0.0012687 0.029759
10 200 1000 39.977 0.027 0.002799 0.054357 0.021 0.0022818 0.05442
10 200 2000 39.977 0.046 0.0039232 0.091609 0.037 0.0037687 0.090503
10 200 4000 39.977 0.065 0.0055303 0.16418 0.058 0.0054909 0.16432
10 200 10000 39.977 0.134 0.01257 0.3752 0.128 0.012743 0.37471
10 200 20000 39.977 0.248 0.022925 0.71779 0.253 0.017668 0.719
10 200 40000 39.977 0.436 0.024549 1.3088 0.423 0.028658 1.3056
10 200 100000 39.977 0.739 0.015938 2.4919 0.751 0.018888 2.479
10 200 200000 39.977 0.926 0.0055798 3.6558 0.912 0.0081374 3.6655
10 200 400000 39.977 0.99 0.0011111 5.013 0.991 0.00082727 4.9897
10 400 25 79.1827 0.008 0.00074343 0.032286 0.006 0.0005697 0.031066
10 400 50 79.183 0.008 0.00074343 0.031556 0.006 0.0005697 0.030927
10 400 100 79.183 0.008 0.00074343 0.033545 0.006 0.0005697 0.032416
10 400 200 79.183 0.008 0.00074343 0.032731 0.006 0.0005697 0.031479
10 400 400 79.183 0.012 0.0010667 0.039621 0.008 0.00074343 0.038786
10 400 1000 79.183 0.024 0.0020444 0.064349 0.021 0.0018778 0.065498
10 400 2000 79.183 0.038 0.0035919 0.10387 0.033 0.0028394 0.10468
10 400 4000 79.183 0.067 0.0046576 0.1788 0.06 0.0046465 0.1777
10 400 10000 79.183 0.149 0.011211 0.39401 0.135 0.010379 0.39284
10 400 20000 79.183 0.257 0.019041 0.74497 0.241 0.018605 0.73654
10 400 40000 79.183 0.424 0.024065 1.3404 0.428 0.029107 1.3397
10 400 100000 79.183 0.749 0.019494 2.5243 0.751 0.0201 2.5236
10 400 200000 79.183 0.918 0.0081576 3.6939 0.936 0.0059636 3.6935
10 400 400000 79.183 0.993 0.00065758 5.0426 0.992 0.00074343 5.0602
