k m efc search build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 4 100 10 0.915175 0.064 0.0053576 0.0027827 0.064 0.0049535 0.0020153
10 4 100 20 0.91517 0.122 0.0096121 0.0032269 0.116 0.0092364 0.0032023
10 4 100 40 0.91517 0.269 0.018928 0.0057093 0.233 0.019405 0.0052386
10 4 100 60 0.91517 0.379 0.023898 0.0075697 0.34 0.024242 0.0075327
10 4 100 80 0.91517 0.471 0.02208 0.010549 0.451 0.024544 0.010451
10 4 100 100 0.91517 0.551 0.022322 0.012841 0.538 0.023188 0.012646
10 4 100 120 0.91517 0.625 0.020278 0.014982 0.603 0.023526 0.014526
10 4 100 200 0.91517 0.782 0.01644 0.025899 0.777 0.018759 0.026044
10 4 100 400 0.91517 0.898 0.0078747 0.060721 0.911 0.0072515 0.063665
10 4 100 600 0.91517 0.95 0.0049495 0.1097 0.949 0.0039384 0.10604
10 4 100 800 0.91517 0.969 0.0035747 0.1564 0.969 0.0029687 0.16161
10 4 100 1000 0.91517 0.976 0.0030545 0.21773 0.983 0.0018293 0.22087
10 4 100 1200 0.91517 0.984 0.0015596 0.32142 0.985 0.0014899 0.32152
10 4 100 1500 0.91517 0.988 0.0010667 0.43133 0.994 0.0005697 0.43271
10 4 100 2000 0.91517 0.995 0.0004798 0.77045 0.997 0.00029394 0.7454
10 4 500 10 2.9577 0.048 0.0049455 0.0030602 0.049 0.0045444 0.0022466
10 4 500 20 2.9577 0.099 0.0091909 0.0032795 0.098 0.0090869 0.0031048
10 4 500 40 2.9577 0.195 0.012399 0.0055062 0.198 0.017572 0.005384
10 4 500 60 2.9577 0.289 0.020585 0.0078219 0.275 0.019672 0.0076351
10 4 500 80 2.9577 0.361 0.023615 0.010759 0.366 0.022267 0.010608
10 4 500 100 2.9577 0.439 0.029676 0.012749 0.435 0.023914 0.012573
10 4 500 120 2.9577 0.508 0.028622 0.015654 0.506 0.029257 0.015452
10 4 500 200 2.9577 0.724 0.015984 0.028191 0.686 0.02162 0.02726
10 4 500 400 2.9577 0.904 0.0072566 0.062288 0.907 0.0099505 0.059844
10 4 500 600 2.9577 0.959 0.0028475 0.10177 0.964 0.0039434 0.10894
10 4 500 800 2.9577 0.973 0.0021929 0.16447 0.986 0.0012162 0.17565
10 4 500 1000 2.9577 0.982 0.0016929 0.23813 0.994 0.0005697 0.22564
10 4 500 1200 2.9577 0.986 0.0014182 0.31185 0.997 0.00029394 0.30183
10 4 500 1500 2.9577 0.993 0.00065758 0.46301 0.998 0.00019798 0.46112
10 4 500 2000 2.9577 0.997 0.00029394 0.7902 1 0 0.7889
10 8 100 10 2.20216 0.107 0.0083343 0.0040281 0.118 0.011996 0.0031605
10 8 100 20 2.2022 0.219 0.013878 0.0050266 0.205 0.018258 0.0048571
10 8 100 40 2.2022 0.399 0.020302 0.0088007 0.358 0.025491 0.0086822
10 8 100 60 2.2022 0.509 0.021433 0.012982 0.485 0.02654 0.012492
10 8 100 80 2.2022 0.6 0.02202 0.01652 0.56 0.025859 0.016273
10 8 100 100 2.2022 0.675 0.02149 0.020284 0.635 0.023106 0.020197
