k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 1 1 6.86629 0.001 0.0001 0.015505 0.001 0.0001 0.014399
10 1 2 6.8663 0.001 0.0001 0.014605 0.001 0.0001 0.014491
10 1 3 6.8663 0.001 0.0001 0.014828 0.001 0.0001 0.014713
10 1 4 6.8663 0.001 0.0001 0.015057 0.001 0.0001 0.014933
10 1 5 6.8663 0.001 0.0001 0.0154 0.001 0.0001 0.015155
10 1 8 6.8663 0.002 0.00019798 0.016142 0.001 0.0001 0.015933
10 1 10 6.8663 0.002 0.00019798 0.016312 0.001 0.0001 0.016188
10 1 12 6.8663 0.002 0.00019798 0.016689 0.001 0.0001 0.016724
10 1 20 6.8663 0.002 0.00019798 0.018506 0.003 0.00029394 0.01827
10 1 25 6.8663 0.004 0.00038788 0.019125 0.004 0.00038788 0.018954
10 1 50 6.8663 0.007 0.00065758 0.020935 0.005 0.0004798 0.02021
10 1 75 6.8663 0.007 0.00065758 0.02063 0.005 0.0004798 0.020555
10 1 100 6.8663 0.007 0.00065758 0.021894 0.005 0.0004798 0.02173
10 1 250 6.8663 0.007 0.00065758 0.02542 0.005 0.0004798 0.025267
10 1 500 6.8663 0.007 0.00065758 0.031439 0.005 0.0004798 0.031151
10 2 1 6.8663 0.001 0.0001 0.01467 0.001 0.0001 0.01434
10 2 2 6.8663 0.001 0.0001 0.014647 0.001 0.0001 0.014493
10 2 3 6.8663 0.001 0.0001 0.015025 0.001 0.0001 0.014802
10 2 4 6.8663 0.001 0.0001 0.015592 0.001 0.0001 0.015175
10 2 5 6.8663 0.001 0.0001 0.015476 0.001 0.0001 0.015346
10 2 8 6.8663 0.001 0.0001 0.016582 0.001 0.0001 0.016109
10 2 10 6.8663 0.001 0.0001 0.016657 0.001 0.0001 0.016559
10 2 12 6.8663 0.001 0.0001 0.018307 0.001 0.0001 0.017031
10 2 20 6.8663 0.002 0.00019798 0.018982 0.001 0.0001 0.019128
10 2 25 6.8663 0.002 0.00019798 0.020951 0.001 0.0001 0.020811
10 2 50 6.8663 0.005 0.0004798 0.025717 0.004 0.00038788 0.025057
10 2 75 6.8663 0.009 0.00082727 0.026896 0.006 0.0005697 0.026451
10 2 100 6.8663 0.009 0.00082727 0.027938 0.006 0.0005697 0.027679
