k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time
10 1 3 0.045 1 0.0136237 0.126 0.019115 0.39511 12500 0.153 0.016254 0.3956
10 1 4 0.045 1 0.013178 0.069 0.0072111 0.19467 6250 0.079 0.0081404 0.1906
10 1 5 0.045 1 0.0163711 0.039 0.0034131 0.09492 3125 0.037 0.0037687 0.094474
10 1 6 0.045 1 0.0205123 0.021 0.0018778 0.052754 1562.5 0.02 0.0016162 0.049267
10 1 7 0.045 1 0.0251719 0.007 0.00065758 0.02657 781.35 0.004 0.00038788 0.024875
10 1 8 0.045 1 0.0351813 0.004 0.00038788 0.015623 390.63 0.001 0.0001 0.013734
10 5 3 0.045 1 0.0178242 0.461 0.021797 1.4417 42307 0.456 0.030368 1.4362
10 5 3 0.045 2 0.017824 0.198 0.024844 0.54652 16040 0.186 0.01657 0.53962
10 5 3 0.045 3 0.017824 0.059 0.0054737 0.12852 3501.4 0.041 0.0056758 0.12729
10 5 3 0.045 4 0.017824 0.009 0.00082727 0.032862 596.35 0.009 0.0010293 0.03361
10 5 3 0.045 5 0.017824 0 0 0.016529 55.39 0.001 0.0001 0.016677
10 5 4 0.045 1 0.0234058 0.285 0.020682 0.85285 25731 0.315 0.018864 0.84682
10 5 4 0.045 2 0.023406 0.078 0.0071879 0.1644 4838.4 0.064 0.0053576 0.16494
10 5 4 0.045 3 0.023406 0.016 0.0013576 0.031822 634.48 0.01 0.0011111 0.030375
10 5 4 0.045 4 0.023406 0.001 0.0001 0.011072 44.6 0 0 0.01149
10 5 4 0.045 5 0.023406 0 0 0.0084271 1.18 0 0 0.00854
10 5 5 0.045 1 0.029747 0.161 0.014322 0.45556 14263 0.179 0.015817 0.45437
10 5 5 0.045 2 0.029747 0.017 0.0014253 0.046467 1287.3 0.018 0.0016929 0.045625
10 5 5 0.045 3 0.029747 0 0 0.0081847 72.69 0.001 0.0001 0.0076692
10 5 5 0.045 4 0.029747 0 0 0.0051414 2.05 0 0 0.0052237
