k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 1 3 0.045 10 1 1 7.84702 0.999 0.0001 0.010552 0 9.4353e-05 0.0024976 0.0079322 677.88 100000 0.999 0.0001 0.008694
10 1 3 0.045 10 1 2 7.847 0.999 0.0001 0.0074301 0 2.1572e-05 0.0022532 0.00513 502.02 100000 0.997 0.00029394 0.0072398
10 1 3 0.045 10 1 3 7.847 0.998 0.00019798 0.0066712 0 2.1932e-05 0.0022069 0.0044198 432.39 100000 0.995 0.0004798 0.0065362
10 1 3 0.045 10 1 4 7.847 0.998 0.00019798 0.0063649 0 2.2125e-05 0.0023009 0.0040178 390.47 100000 0.993 0.00065758 0.0061796
10 1 3 0.045 10 1 5 7.847 0.998 0.00019798 0.0060161 0 2.1951e-05 0.002213 0.003758 362.14 100000 0.992 0.00074343 0.0059188
10 1 3 0.045 10 1 6 7.847 0.998 0.00019798 0.0058599 0 2.0477e-05 0.0022326 0.0035824 341.1 100000 0.992 0.00074343 0.0057347
10 1 3 0.045 10 1 7 7.847 0.998 0.00019798 0.005718 0 2.2312e-05 0.0022376 0.0034348 325.36 100000 0.991 0.0010293 0.0056081
10 1 3 0.045 10 1 8 7.847 0.998 0.00019798 0.0055944 0 2.1955e-05 0.0022233 0.0033255 314.28 100000 0.99 0.0013131 0.0054972
10 1 3 0.045 10 1 9 7.847 0.996 0.00038788 0.0056608 0 2.2282e-05 0.0023232 0.0032921 301.7 100000 0.99 0.0013131 0.0058978
10 1 3 0.045 10 1 10 7.847 0.995 0.00068182 0.005386 0 2.0375e-05 0.0022217 0.0031199 290.2 100000 0.988 0.0014707 0.0052625
10 1 3 0.045 10 1 11 7.847 0.995 0.00068182 0.005252 0 1.9793e-05 0.0022128 0.0029964 281.26 100000 0.988 0.0014707 0.0051726
10 1 3 0.045 10 1 12 7.847 0.994 0.00077172 0.0052386 0 2.2267e-05 0.0022255 0.0029671 272.75 100000 0.987 0.0015465 0.0051311
10 1 3 0.045 10 1 13 7.847 0.993 0.0008596 0.0051883 0 2.2535e-05 0.0022214 0.0029213 265.25 100000 0.986 0.0016202 0.0050642
10 1 3 0.045 10 1 14 7.847 0.993 0.0008596 0.0052965 0 2.2515e-05 0.002307 0.0029426 257.95 100000 0.986 0.0016202 0.0049903
10 1 3 0.045 10 1 15 7.847 0.992 0.00094545 0.0049992 0 2.0382e-05 0.0021903 0.0027658 250.37 100000 0.986 0.0016202 0.0049268
10 1 3 0.045 10 1 20 7.847 0.989 0.0011909 0.004969 0 2.1969e-05 0.002338 0.0025851 221.1 100000 0.983 0.0020313 0.0048685
10 1 3 0.045 10 1 25 7.847 0.984 0.0017616 0.0045289 0 2.1494e-05 0.0021699 0.0023152 200.05 100000 0.982 0.002097 0.0044327
