k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 1 3 0.045 10 1 1 0.0374883 0.999 0.0001 0.010449 0 3.7208e-05 0.0023958 0.0079888 715.87 100000 1 0 0.008761
10 1 3 0.045 10 1 2 0.037488 0.999 0.0001 0.0077134 0 1.4751e-05 0.0022545 0.0054195 533.92 100000 0.997 0.00029394 0.007272
10 1 3 0.045 10 1 3 0.037488 0.999 0.0001 0.0068473 0 1.5913e-05 0.0022479 0.0045577 460.1 100000 0.996 0.00038788 0.0067594
10 1 3 0.045 10 1 4 0.037488 0.999 0.0001 0.0064385 0 1.5922e-05 0.0022868 0.0041127 415.81 100000 0.995 0.0004798 0.0062402
10 1 3 0.045 10 1 5 0.037488 0.999 0.0001 0.0060939 0 1.5419e-05 0.0022075 0.0038475 385.52 100000 0.994 0.0005697 0.0059769
10 1 3 0.045 10 1 6 0.037488 0.998 0.00019798 0.005855 0 1.5571e-05 0.0021846 0.003632 362.9 100000 0.991 0.0010293 0.00577
10 1 3 0.045 10 1 7 0.037488 0.998 0.00019798 0.0057373 0 1.398e-05 0.0022115 0.0034895 344.84 100000 0.991 0.0010293 0.0056107
10 1 3 0.045 10 1 8 0.037488 0.997 0.00029394 0.0056714 0 1.4299e-05 0.0022201 0.003414 332.51 100000 0.991 0.0010293 0.0054984
10 1 3 0.045 10 1 9 0.037488 0.997 0.00029394 0.0054822 0 1.581e-05 0.0021919 0.0032498 318.41 100000 0.99 0.0011111 0.0053944
10 1 3 0.045 10 1 10 0.037488 0.996 0.00038788 0.005408 0 1.5646e-05 0.002198 0.003172 307.58 100000 0.989 0.0011909 0.0052963
10 1 3 0.045 10 1 11 0.037488 0.996 0.00038788 0.0052301 0 1.3335e-05 0.0021349 0.003059 298.75 100000 0.989 0.0011909 0.0051499
10 1 3 0.045 10 1 12 0.037488 0.994 0.00077172 0.0051774 0 1.3993e-05 0.0021587 0.0029818 291.65 100000 0.987 0.0015465 0.0050842
10 1 3 0.045 10 1 13 0.037488 0.994 0.00077172 0.0051144 0 1.4053e-05 0.0021667 0.0029088 284.13 100000 0.987 0.0015465 0.0050182
10 1 3 0.045 10 1 14 0.037488 0.994 0.00077172 0.0053047 0 1.4208e-05 0.0022683 0.0029947 276.61 100000 0.987 0.0015465 0.0050117
10 1 3 0.045 10 1 15 0.037488 0.994 0.00077172 0.0052594 0 1.4266e-05 0.0022588 0.0029613 271.1 100000 0.987 0.0015465 0.0050324
10 1 3 0.045 10 1 20 0.037488 0.993 0.0008596 0.0049488 0 1.4308e-05 0.0022161 0.0026956 243.69 100000 0.985 0.0016919 0.0047077
10 1 3 0.045 10 1 25 0.037488 0.991 0.0010293 0.0045629 0 1.54e-05 0.0021156 0.0024095 220.63 100000 0.984 0.0017616 0.0044963
10 1 3 0.045 10 1 30 0.037488 0.988 0.0012687 0.0046509 0 1.5866e-05 0.0022401 0.0023715 204.4 100000 0.983 0.0018293 0.0045671
10 1 3 0.045 10 1 40 0.037488 0.98 0.0020202 0.0041972 0 1.5589e-05 0.0021018 0.0020578 180.48 100000 0.975 0.002904 0.0040762
10 1 3 0.045 10 1 50 0.037488 0.974 0.0025495 0.0040489 0 1.5376e-05 0.0020778 0.0019336 165.93 100000 0.967 0.0034455 0.0039534
10 1 3 0.045 10 1 60 0.037488 0.971 0.0026859 0.0039533 0 1.5478e-05 0.0020713 0.001843 155.24 100000 0.961 0.0040192 0.0042257
