k n_trees depth sparsity v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size val_recall val_var_recall val_query_time
10 1 3 0.045 1 0.0449945 0.119 0.0098374 0.36105 7.2483e-05 6.7069e-06 0.0063275 0.35461 12500 0.13 0.0091919 0.37139
10 1 4 0.045 1 0.0471708 0.086 0.0088929 0.18978 6.934e-05 1.125e-05 0.0038572 0.18582 6250 0.069 0.0072111 0.18974
10 1 5 0.045 1 0.0508659 0.045 0.0039141 0.09803 6.8322e-05 1.1047e-05 0.0027698 0.095155 3125 0.037 0.0031626 0.092992
10 1 6 0.045 1 0.0562004 0.021 0.0024838 0.046385 7.7871e-05 1.1365e-05 0.0022591 0.044011 1562.5 0.032 0.0030061 0.046986
10 1 7 0.045 1 0.0574352 0.01 0.00090909 0.024934 6.9739e-05 1.5403e-05 0.0020317 0.022792 781.29 0.009 0.0010293 0.023532
10 1 8 0.045 1 0.0646405 0.004 0.00038788 0.014877 7.8061e-05 1.8533e-05 0.0019787 0.012774 390.63 0.003 0.00029394 0.012588
10 5 3 0.045 1 0.048616 0.544 0.023903 1.6388 0.00019369 4.3856e-05 0.040604 1.5979 48663 0.509 0.026686 1.6352
10 5 3 0.045 2 0.048616 0.135 0.011793 0.39698 0.00018856 1.1081e-05 0.027448 0.3693 12099 0.144 0.01057 0.39892
10 5 3 0.045 3 0.048616 0.024 0.0026505 0.064008 8.6805e-05 1.1121e-05 0.015554 0.048327 1621.4 0.022 0.0021374 0.063598
10 5 3 0.045 4 0.048616 0.002 0.00019798 0.018192 8.3297e-05 1.132e-05 0.014156 0.0039158 113.61 0 0 0.017166
10 5 3 0.045 5 0.048616 0 0 0.013795 5.1224e-05 1.0534e-05 0.013486 0.00021603 3.24 0 0 0.013688
10 5 4 0.045 1 0.0523939 0.319 0.021757 0.89293 0.00016699 1.9815e-05 0.017633 0.87506 27542 0.332 0.021188 0.89304
10 5 4 0.045 2 0.052394 0.048 0.0051475 0.11657 0.00013528 1.1874e-05 0.012862 0.10353 3472.7 0.05 0.0041414 0.11731
10 5 4 0.045 3 0.052394 0.002 0.00019798 0.016089 0.00013284 1.1429e-05 0.0087041 0.0072154 227.72 0.004 0.00038788 0.015231
10 5 4 0.045 4 0.052394 0 0 0.0089437 9.1252e-05 1.1424e-05 0.0084047 0.00040309 7.76 0.001 0.0001 0.0087923
10 5 4 0.045 5 0.052394 0 0 0.009028 7.4266e-05 1.2846e-05 0.0088911 2.2261e-05 0.1 0 0 0.0085768
10 5 5 0.045 1 0.0583192 0.191 0.015373 0.45684 0.00013262 1.9205e-05 0.0083974 0.44825 14669 0.169 0.0161 0.45877
10 5 5 0.045 2 0.058319 0.016 0.0015596 0.033788 0.00011775 1.4232e-05 0.0063111 0.027316 926.24 0.012 0.0012687 0.033736
10 5 5 0.045 3 0.058319 0 0 0.0065893 0.00010634 1.3157e-05 0.0052545 0.0011906 29.53 0 0 0.0059399
10 5 5 0.045 4 0.058319 0 0 0.0049829 7.8343e-05 1.4153e-05 0.0047939 6.6071e-05 0.53 0 0 0.0049583
10 5 5 0.045 5 0.058319 0 0 0.0048767 7.8521e-05 1.3928e-05 0.0047517 4.2808e-06 0 0 0 0.00479
10 5 6 0.045 1 0.0637421 0.09 0.0083838 0.23039 0.00012906 1.7963e-05 0.0046473 0.22556 7567.5 0.09 0.0063636 0.23076
10 5 6 0.045 2 0.063742 0.002 0.00019798 0.011762 0.00011816 1.8207e-05 0.0039209 0.0076793 241.07 0.002 0.00019798 0.011109
10 5 6 0.045 3 0.063742 0 0 0.0038353 9.9232e-05 1.7514e-05 0.00341 0.00027648 4.02 0 0 0.0035653
10 5 6 0.045 4 0.063742 0 0 0.0034036 8.3235e-05 1.8745e-05 0.0032626 1.0323e-05 0.03 0 0 0.0033417
10 5 6 0.045 5 0.063742 0 0 0.0033935 8.3924e-05 1.8669e-05 0.0032582 3.9889e-06 0 0 0 0.0033799
10 5 7 0.045 1 0.066318 0.045 0.0043182 0.11876 0.0001462 2.6423e-05 0.0032125 0.11534 3843.8 0.05 0.0057576 0.11587
10 5 7 0.045 2 0.066318 0.003 0.00029394 0.0055478 0.00012796 2.2933e-05 0.0030142 0.0023574 61.97 0.002 0.00019798 0.0051508
10 5 7 0.045 3 0.066318 0 0 0.0029557 9.7986e-05 2.4782e-05 0.0027221 7.652e-05 0.57 0 0 0.0028179
10 5 7 0.045 4 0.066318 0 0 0.0027572 9.6994e-05 2.4518e-05 0.0025982 6.8932e-06 0.01 0 0 0.0026669
10 5 7 0.045 5 0.066318 0 0 0.0028185 9.7922e-05 2.4716e-05 0.0026619 3.9758e-06 0 0 0 0.0027627
10 5 8 0.045 1 0.0777302 0.023 0.002799 0.0603 0.00015437 3.3261e-05 0.0024795 0.0576 1937.6 0.022 0.0025414 0.058939
