k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 1 25 0.319743 0.013 0.0011424 0.0141 0.008 0.00094545 0.012999
10 1 50 0.31974 0.013 0.0011424 0.013123 0.008 0.00094545 0.01305
10 1 100 0.31974 0.013 0.0011424 0.013098 0.008 0.00094545 0.013033
10 1 200 0.31974 0.013 0.0011424 0.013032 0.008 0.00094545 0.013006
10 1 400 0.31974 0.016 0.0013576 0.01949 0.016 0.0015596 0.017989
10 1 1000 0.31974 0.027 0.0021929 0.040804 0.024 0.0024485 0.039265
10 1 2000 0.31974 0.046 0.0037212 0.075501 0.043 0.0040919 0.072869
10 1 4000 0.31974 0.07 0.0061616 0.14351 0.074 0.0065899 0.1414
10 1 10000 0.31974 0.155 0.010177 0.35568 0.149 0.009797 0.35047
10 1 20000 0.31974 0.262 0.014905 0.75316 0.289 0.013514 0.72215
10 1 40000 0.31974 0.467 0.019405 1.4972 0.498 0.025451 1.4801
10 1 100000 0.31974 1 0 3.4277 1 0 3.4236
10 1 200000 0.31974 1 0 3.423 1 0 3.4171
10 1 400000 0.31974 1 0 3.4263 1 0 3.4249
10 5 25 1.10903 0.004 0.00038788 0.013627 0.007 0.00065758 0.013321
10 5 50 1.109 0.004 0.00038788 0.013481 0.007 0.00065758 0.013164
10 5 100 1.109 0.004 0.00038788 0.01326 0.007 0.00065758 0.013088
10 5 200 1.109 0.004 0.00038788 0.013238 0.007 0.00065758 0.013087
10 5 400 1.109 0.004 0.00038788 0.01922 0.009 0.0010293 0.018835
10 5 1000 1.109 0.021 0.0020798 0.041047 0.017 0.0016273 0.041221
10 5 2000 1.109 0.041 0.0040596 0.075239 0.038 0.0031879 0.075411
10 5 4000 1.109 0.07 0.0079798 0.14569 0.067 0.0050616 0.14312
10 5 10000 1.109 0.144 0.01461 0.35472 0.149 0.011211 0.35082
10 5 20000 1.109 0.288 0.020461 0.69095 0.271 0.019454 0.69853
10 5 40000 1.109 0.474 0.024974 1.3241 0.46 0.024242 1.3136
10 5 100000 1.109 0.807 0.012577 2.692 0.784 0.014085 2.6374
10 5 200000 1.109 0.97 0.0027273 3.7251 0.97 0.0033333 3.7291
10 5 400000 1.109 1 0 5.0138 1 0 5.0132
10 10 25 2.11658 0.006 0.00077172 0.014217 0.008 0.00094545 0.013849
10 10 50 2.1166 0.006 0.00077172 0.014196 0.008 0.00094545 0.013744
10 10 100 2.1166 0.006 0.00077172 0.013922 0.008 0.00094545 0.01391
10 10 200 2.1166 0.006 0.00077172 0.013994 0.008 0.00094545 0.013679
10 10 400 2.1166 0.008 0.00094545 0.019989 0.01 0.0011111 0.019579
10 10 1000 2.1166 0.021 0.0026859 0.042366 0.02 0.0022222 0.041629
10 10 2000 2.1166 0.035 0.0041162 0.080546 0.029 0.0032919 0.077142
10 10 4000 2.1166 0.077 0.0080515 0.14516 0.061 0.0064434 0.14423
10 10 10000 2.1166 0.174 0.017499 0.3507 0.146 0.014832 0.3489
10 10 20000 2.1166 0.292 0.020945 0.70265 0.28 0.022626 0.6942
10 10 40000 2.1166 0.486 0.025257 1.324 0.461 0.030888 1.3162
10 10 100000 2.1166 0.802 0.015956 2.5245 0.788 0.0144 2.5098
10 10 200000 2.1166 0.955 0.0045202 3.6168 0.964 0.0037414 3.6293
10 10 400000 2.1166 1 0 4.9521 0.999 0.0001 4.9447
10 25 25 5.09024 0.005 0.0004798 0.015042 0.01 0.0011111 0.014812
10 25 50 5.0902 0.005 0.0004798 0.014782 0.01 0.0011111 0.01468
10 25 100 5.0902 0.005 0.0004798 0.014716 0.01 0.0011111 0.014662
10 25 200 5.0902 0.005 0.0004798 0.014758 0.01 0.0011111 0.014665
10 25 400 5.0902 0.006 0.0005697 0.020533 0.014 0.0014182 0.021342
10 25 1000 5.0902 0.022 0.0023394 0.042852 0.021 0.0020798 0.042647
10 25 2000 5.0902 0.04 0.0042424 0.078217 0.042 0.0044808 0.078307
10 25 4000 5.0902 0.073 0.0078495 0.14657 0.069 0.0076152 0.14723
10 25 10000 5.0902 0.174 0.016893 0.3521 0.165 0.013611 0.34961
10 25 20000 5.0902 0.308 0.02236 0.68791 0.281 0.020948 0.68454
10 25 40000 5.0902 0.48 0.022626 1.2823 0.483 0.026072 1.2804
10 25 100000 5.0902 0.798 0.014541 2.4662 0.793 0.016213 2.4592
10 25 200000 5.0902 0.954 0.0041253 3.6154 0.961 0.0038172 3.6152
10 25 400000 5.0902 0.999 0.0001 4.9563 0.999 0.0001 4.9417
10 50 25 10.0411 0.011 0.0011909 0.016387 0.008 0.00094545 0.016157
10 50 50 10.041 0.011 0.0011909 0.016114 0.008 0.00094545 0.016042
