k m efc search build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 4 100 10 0.910037 0.063 0.0074051 0.0029866 0.054 0.0049333 0.0023182
10 4 100 20 0.91004 0.124 0.012752 0.0033721 0.105 0.0093687 0.0033035
10 4 100 40 0.91004 0.229 0.016221 0.0059489 0.183 0.017789 0.0057368
10 4 100 60 0.91004 0.285 0.018056 0.0079698 0.246 0.022307 0.007757
10 4 100 80 0.91004 0.346 0.020287 0.010107 0.292 0.025188 0.0097883
10 4 100 100 0.91004 0.391 0.020019 0.01232 0.343 0.028132 0.012282
10 4 100 120 0.91004 0.43 0.017677 0.014662 0.374 0.030024 0.014703
10 4 100 200 0.91004 0.541 0.020827 0.025591 0.485 0.027753 0.025547
10 4 100 400 0.91004 0.67 0.020303 0.063094 0.622 0.025976 0.061363
10 4 100 600 0.91004 0.739 0.017353 0.10687 0.693 0.024496 0.10366
10 4 100 800 0.91004 0.776 0.015984 0.15658 0.736 0.023741 0.16267
10 4 100 1000 0.91004 0.814 0.012731 0.25326 0.768 0.020784 0.2438
10 4 100 1200 0.91004 0.829 0.011777 0.31126 0.809 0.016383 0.30722
10 4 100 1500 0.91004 0.852 0.0104 0.44201 0.841 0.013959 0.45654
10 4 100 2000 0.91004 0.877 0.0088596 0.79443 0.872 0.012541 0.76142
10 4 500 10 2.93468 0.063 0.0076071 0.0030566 0.046 0.0049333 0.0022498
10 4 500 20 2.9347 0.101 0.011211 0.0031984 0.084 0.0086303 0.0031002
10 4 500 40 2.9347 0.175 0.01947 0.0053733 0.166 0.012974 0.0053215
10 4 500 60 2.9347 0.227 0.021789 0.0078902 0.232 0.016945 0.0075616
10 4 500 80 2.9347 0.274 0.022752 0.0099896 0.283 0.018799 0.0099917
10 4 500 100 2.9347 0.317 0.024254 0.012673 0.343 0.020052 0.012482
10 4 500 120 2.9347 0.359 0.025878 0.015361 0.375 0.023106 0.015312
10 4 500 200 2.9347 0.52 0.023838 0.026866 0.506 0.02461 0.027202
10 4 500 400 2.9347 0.701 0.018888 0.062574 0.665 0.02351 0.063451
10 4 500 600 2.9347 0.788 0.019451 0.1141 0.757 0.019243 0.11499
10 4 500 800 2.9347 0.836 0.016065 0.18394 0.803 0.017264 0.1713
10 4 500 1000 2.9347 0.869 0.014484 0.24091 0.834 0.01661 0.24463
10 4 500 1200 2.9347 0.893 0.011769 0.32477 0.866 0.01257 0.31549
10 4 500 1500 2.9347 0.919 0.0082212 0.46529 0.9 0.009899 0.47584
10 4 500 2000 2.9347 0.944 0.0045091 0.78367 0.922 0.0077939 0.7957
10 8 100 10 2.19304 0.1 0.0092929 0.0046147 0.092 0.0092283 0.0036443
10 8 100 20 2.193 0.204 0.015741 0.0057161 0.146 0.016044 0.0055946
10 8 100 40 2.193 0.34 0.023838 0.0096529 0.258 0.020036 0.0095704
10 8 100 60 2.193 0.44 0.02101 0.014486 0.36 0.020808 0.014021
10 8 100 80 2.193 0.489 0.021393 0.018533 0.43 0.026364 0.018394
10 8 100 100 2.193 0.537 0.019122 0.023146 0.5 0.019192 0.023087
10 8 100 120 2.193 0.583 0.020213 0.028374 0.548 0.019087 0.02795
10 8 100 200 2.193 0.707 0.02086 0.048828 0.682 0.020279 0.048623
10 8 100 400 2.193 0.836 0.015661 0.10902 0.829 0.017029 0.10868
10 8 100 600 2.193 0.889 0.010686 0.18122 0.887 0.010637 0.17983
10 8 100 800 2.193 0.915 0.0073485 0.26555 0.92 0.0082828 0.26539
10 8 100 1000 2.193 0.938 0.0056121 0.36182 0.939 0.0068475 0.36041
10 8 100 1200 2.193 0.955 0.0045202 0.47359 0.948 0.0059556 0.47043
10 8 100 1500 2.193 0.968 0.0032081 0.669 0.965 0.0043182 0.66744
10 8 100 2000 2.193 0.974 0.0021455 1.0675 0.976 0.0026505 1.0649
10 8 500 10 7.25494 0.079 0.0071303 0.0050322 0.062 0.0054101 0.004046
10 8 500 20 7.2549 0.158 0.012158 0.006306 0.13 0.011212 0.0060829
10 8 500 40 7.2549 0.263 0.020536 0.011282 0.258 0.018016 0.010649
10 8 500 60 7.2549 0.36 0.022424 0.015356 0.359 0.024262 0.015013
10 8 500 80 7.2549 0.435 0.025328 0.019769 0.439 0.027049 0.019648
10 8 500 100 7.2549 0.513 0.028617 0.024715 0.501 0.029393 0.024732
10 8 500 120 7.2549 0.576 0.026893 0.029916 0.536 0.026772 0.029875
10 8 500 200 7.2549 0.726 0.021741 0.051904 0.667 0.021627 0.051912
10 8 500 400 7.2549 0.856 0.011984 0.11633 0.847 0.011001 0.11963
10 8 500 600 7.2549 0.914 0.0080848 0.19205 0.914 0.0070747 0.19233
10 8 500 800 7.2549 0.94 0.0058586 0.28084 0.941 0.0042616 0.28535
10 8 500 1000 7.2549 0.955 0.0039141 0.38981 0.963 0.0029606 0.38585
10 8 500 1200 7.2549 0.967 0.0032434 0.50119 0.973 0.0021929 0.5045
10 8 500 1500 7.2549 0.977 0.0023949 0.70399 0.98 0.0016162 0.70521
10 8 500 2000 7.2549 0.982 0.0018949 1.1185 0.99 0.00090909 1.1167
10 12 100 10 4.21433 0.122 0.012238 0.0061492 0.104 0.010287 0.0050722
10 12 100 20 4.2143 0.236 0.020711 0.0080596 0.2 0.01697 0.0079721
10 12 100 40 4.2143 0.388 0.026521 0.014884 0.34 0.024444 0.014695
10 12 100 60 4.2143 0.494 0.027438 0.022009 0.447 0.025142 0.021773
10 12 100 80 4.2143 0.567 0.02587 0.029499 0.526 0.024974 0.029089
10 12 100 100 4.2143 0.622 0.023552 0.036648 0.589 0.024221 0.036402
10 12 100 120 4.2143 0.667 0.024658 0.044334 0.627 0.027849 0.044184
10 12 100 200 4.2143 0.795 0.016641 0.077611 0.751 0.020302 0.077433
10 12 100 400 4.2143 0.892 0.010844 0.17133 0.886 0.011519 0.17236
10 12 100 600 4.2143 0.931 0.0074131 0.27925 0.93 0.0063636 0.27826
10 12 100 800 4.2143 0.955 0.0057323 0.39582 0.953 0.0045364 0.39563
10 12 100 1000 4.2143 0.969 0.0035747 0.52687 0.966 0.0032768 0.5268
10 12 100 1200 4.2143 0.981 0.0015545 0.67322 0.974 0.0025495 0.67303
10 12 100 1500 4.2143 0.985 0.0012879 0.92672 0.98 0.0018182 0.92073
10 12 100 2000 4.2143 0.988 0.0010667 1.3932 0.985 0.0014899 1.3909
10 12 500 10 13.2658 0.122 0.008198 0.0066231 0.089 0.01008 0.0054117
10 12 500 20 13.266 0.195 0.015025 0.0085314 0.162 0.013289 0.0084856
10 12 500 40 13.266 0.339 0.021393 0.015941 0.297 0.019284 0.015901
10 12 500 60 13.266 0.454 0.023115 0.023392 0.43 0.032222 0.023325
10 12 500 80 13.266 0.549 0.023534 0.031142 0.502 0.026663 0.030983
10 12 500 100 13.266 0.622 0.022743 0.039417 0.57 0.028182 0.039076
10 12 500 120 13.266 0.678 0.020521 0.047502 0.631 0.024585 0.047222
10 12 500 200 13.266 0.801 0.014241 0.08303 0.755 0.018662 0.082351
10 12 500 400 13.266 0.923 0.0054253 0.18142 0.892 0.0086222 0.18165
10 12 500 600 13.266 0.959 0.0036556 0.30007 0.941 0.0050697 0.29368
10 12 500 800 13.266 0.977 0.0023949 0.41693 0.963 0.0029606 0.41833
10 12 500 1000 13.266 0.985 0.0018939 0.55315 0.977 0.0019909 0.56652
10 12 500 1200 13.266 0.989 0.0011909 0.70808 0.983 0.0016273 0.71115
10 12 500 1500 13.266 0.997 0.00029394 0.96167 0.99 0.00090909 0.95795
10 12 500 2000 13.266 0.997 0.00029394 1.4286 0.993 0.00065758 1.4285
