k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 1 1 7.07783 0.001 0.0001 0.014973 0 0 0.014537
10 1 2 7.0778 0.001 0.0001 0.01466 0 0 0.014585
10 1 3 7.0778 0.001 0.0001 0.015507 0.001 0.0001 0.015141
10 1 4 7.0778 0.002 0.00019798 0.015419 0.003 0.00029394 0.015334
10 1 5 7.0778 0.002 0.00019798 0.015832 0.003 0.00029394 0.015498
10 1 8 7.0778 0.003 0.00029394 0.016611 0.003 0.00029394 0.016499
10 1 10 7.0778 0.003 0.00029394 0.016906 0.004 0.00038788 0.016948
10 1 12 7.0778 0.003 0.00029394 0.017492 0.004 0.00038788 0.017389
10 1 20 7.0778 0.009 0.00082727 0.019823 0.008 0.00074343 0.019937
10 1 25 7.0778 0.01 0.00090909 0.020822 0.008 0.00074343 0.020599
10 1 50 7.0778 0.01 0.00090909 0.022221 0.009 0.00082727 0.021664
10 1 75 7.0778 0.01 0.00090909 0.022282 0.009 0.00082727 0.022021
10 1 100 7.0778 0.01 0.00090909 0.023259 0.009 0.00082727 0.023014
10 1 250 7.0778 0.01 0.00090909 0.026915 0.009 0.00082727 0.026469
10 1 500 7.0778 0.01 0.00090909 0.032438 0.009 0.00082727 0.03213
10 2 1 7.0778 0.001 0.0001 0.014477 0 0 0.014323
10 2 2 7.0778 0.001 0.0001 0.014621 0 0 0.014503
10 2 3 7.0778 0.001 0.0001 0.015069 0.001 0.0001 0.014737
10 2 4 7.0778 0.001 0.0001 0.015067 0.002 0.00019798 0.014958
10 2 5 7.0778 0.001 0.0001 0.01535 0.002 0.00019798 0.015184
10 2 8 7.0778 0.002 0.00019798 0.01648 0.003 0.00029394 0.016185
10 2 10 7.0778 0.002 0.00019798 0.016794 0.003 0.00029394 0.016811
10 2 12 7.0778 0.002 0.00019798 0.017481 0.003 0.00029394 0.01761
10 2 20 7.0778 0.006 0.0005697 0.020533 0.007 0.00065758 0.020818
10 2 25 7.0778 0.008 0.00074343 0.022455 0.009 0.00082727 0.022701
10 2 50 7.0778 0.017 0.0016273 0.028789 0.014 0.0014182 0.028708
10 2 75 7.0778 0.017 0.0016273 0.029779 0.014 0.0014182 0.029561
10 2 100 7.0778 0.017 0.0016273 0.030832 0.014 0.0014182 0.030741
10 2 250 7.0778 0.017 0.0016273 0.035078 0.014 0.0014182 0.034815
10 2 500 7.0778 0.017 0.0016273 0.041417 0.014 0.0014182 0.041203
10 4 1 7.0778 0.001 0.0001 0.014783 0 0 0.014573
10 4 2 7.0778 0.001 0.0001 0.014882 0 0 0.014761
10 4 3 7.0778 0.001 0.0001 0.015107 0.001 0.0001 0.014995
10 4 4 7.0778 0.001 0.0001 0.015544 0.002 0.00019798 0.015202
10 4 5 7.0778 0.001 0.0001 0.015511 0.002 0.00019798 0.015422
10 4 8 7.0778 0.002 0.00019798 0.017312 0.003 0.00029394 0.016574
