k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time
10 1 3 0.045 1 0.0139847 0.183 0.014355 0.40092 12500 0.165 0.013611 0.38377
10 1 4 0.045 1 0.0144038 0.096 0.0080646 0.20523 6250 0.086 0.0088929 0.19294
10 1 5 0.045 1 0.0170281 0.052 0.0051475 0.10092 3125 0.052 0.0053495 0.097843
10 1 6 0.045 1 0.0200321 0.036 0.0037414 0.051934 1562.5 0.023 0.0019909 0.049971
10 1 7 0.045 1 0.0258623 0.013 0.0011424 0.027594 781.28 0.012 0.0010667 0.025998
10 1 8 0.045 1 0.0325693 0.007 0.00065758 0.015379 390.68 0.011 0.0011909 0.014112
10 5 3 0.045 1 0.0184086 0.597 0.028173 1.6375 47048 0.562 0.028844 1.6519
10 5 3 0.045 2 0.018409 0.197 0.013627 0.47163 13021 0.197 0.015041 0.4454
10 5 3 0.045 3 0.018409 0.036 0.0037414 0.092074 2200.9 0.05 0.0047475 0.091957
10 5 3 0.045 4 0.018409 0.009 0.00082727 0.021855 219.69 0.007 0.00065758 0.022379
10 5 3 0.045 5 0.018409 0.001 0.0001 0.016135 10.41 0 0 0.01876
10 5 4 0.045 1 0.02295 0.365 0.01846 0.85308 25498 0.324 0.01861 0.85982
10 5 4 0.045 2 0.02295 0.098 0.0072687 0.17641 5129.6 0.089 0.0096758 0.17031
10 5 4 0.045 3 0.02295 0.01 0.00090909 0.030486 575.55 0.012 0.0010667 0.028246
10 5 4 0.045 4 0.02295 0.003 0.00029394 0.011341 45.15 0.002 0.00019798 0.011688
10 5 4 0.045 5 0.02295 0 0 0.0092769 1.78 0 0 0.010382
10 5 5 0.045 1 0.0283237 0.197 0.014233 0.45735 14162 0.206 0.017135 0.46039
10 5 5 0.045 2 0.028324 0.03 0.0033333 0.049931 1381 0.017 0.0014253 0.050024
10 5 5 0.045 3 0.028324 0.003 0.00029394 0.0089374 79.24 0 0 0.0083697
10 5 5 0.045 4 0.028324 0 0 0.0056271 2.62 0 0 0.0058321
10 5 5 0.045 5 0.028324 0 0 0.0055977 0.03 0 0 0.0057584
10 5 6 0.045 1 0.0349961 0.117 0.012536 0.2384 7484.5 0.126 0.010024 0.23704
10 5 6 0.045 2 0.034996 0.009 0.00082727 0.014898 319.44 0.009 0.0010293 0.014558
10 5 6 0.045 3 0.034996 0.001 0.0001 0.0040577 8.47 0.002 0.00019798 0.0038409
10 5 6 0.045 4 0.034996 0 0 0.0033758 0.13 0 0 0.0034951
10 5 6 0.045 5 0.034996 0 0 0.0034554 0 0 0 0.0035514
10 5 7 0.045 1 0.0426514 0.073 0.0092636 0.12203 3811.3 0.057 0.0061121 0.12025
10 5 7 0.045 2 0.042651 0.007 0.0008596 0.0065377 93.55 0 0 0.0060412
10 5 7 0.045 3 0.042651 0 0 0.0028045 1.51 0 0 0.002749
10 5 7 0.045 4 0.042651 0 0 0.0026294 0.01 0 0 0.0026528
10 5 7 0.045 5 0.042651 0 0 0.0027263 0 0 0 0.0027589
10 5 8 0.045 1 0.0531763 0.041 0.0046657 0.063677 1931.4 0.036 0.0037414 0.062609
10 5 8 0.045 2 0.053176 0.001 0.0001 0.0035223 21.47 0 0 0.0032023
10 5 8 0.045 3 0.053176 0 0 0.0023026 0.12 0 0 0.0022745
10 5 8 0.045 4 0.053176 0 0 0.0022499 0.01 0 0 0.0022551
10 5 8 0.045 5 0.053176 0 0 0.00225 0 0 0 0.002263
10 10 3 0.045 1 0.0192085 0.766 0.022267 2.4767 68149 0.783 0.014355 2.469
10 10 3 0.045 2 0.019208 0.451 0.019292 1.2703 35350 0.46 0.026263 1.273
10 10 3 0.045 3 0.019208 0.224 0.019822 0.53372 14769 0.228 0.018804 0.53151
10 10 3 0.045 4 0.019208 0.09 0.009798 0.20903 5007.4 0.091 0.0091101 0.20698
10 10 3 0.045 5 0.019208 0.031 0.0025646 0.091419 1372.9 0.041 0.0040596 0.092421
10 10 3 0.045 6 0.019208 0.007 0.00065758 0.052617 296.27 0.008 0.00074343 0.055837
10 10 3 0.045 7 0.019208 0.002 0.00019798 0.043983 48.74 0 0 0.047579
10 10 3 0.045 8 0.019208 0.001 0.0001 0.041788 6 0 0 0.046203
10 10 3 0.045 9 0.019208 0 0 0.041783 0.51 0 0 0.04611
10 10 3 0.045 10 0.019208 0 0 0.038476 0.04 0 0 0.040344
10 10 4 0.045 1 0.0239229 0.556 0.024509 1.5444 44626 0.538 0.029855 1.5528
10 10 4 0.045 2 0.023923 0.227 0.018557 0.47523 13862 0.229 0.018645 0.47872
10 10 4 0.045 3 0.023923 0.063 0.006597 0.12593 3294.3 0.061 0.0052313 0.12452
10 10 4 0.045 4 0.023923 0.012 0.0010667 0.037305 618.42 0.012 0.0016727 0.035553
10 10 4 0.045 5 0.023923 0.001 0.0001 0.018385 89.25 0.002 0.00019798 0.018558
10 10 4 0.045 6 0.023923 0 0 0.015235 9.96 0.001 0.0001 0.016026
10 10 4 0.045 7 0.023923 0 0 0.015525 0.74 0 0 0.015808
10 10 4 0.045 8 0.023923 0 0 0.014921 0.03 0 0 0.015792
10 10 4 0.045 9 0.023923 0 0 0.015111 0 0 0 0.015797
10 10 4 0.045 10 0.023923 0 0 0.014811 0 0 0 0.015772
10 10 5 0.045 1 0.0295386 0.393 0.026314 0.90268 26412 0.369 0.022161 0.91572
10 10 5 0.045 2 0.029539 0.103 0.0095869 0.15673 4300.5 0.08 0.0092929 0.15438
10 10 5 0.045 3 0.029539 0.01 0.0013131 0.033194 492.75 0.011 0.00098889 0.030883
10 10 5 0.045 4 0.029539 0.002 0.00019798 0.012158 42.15 0.004 0.00038788 0.011618
10 10 5 0.045 5 0.029539 0 0 0.010998 2.71 0 0 0.012061
10 10 5 0.045 6 0.029539 0 0 0.010677 0.09 0 0 0.011963
10 10 5 0.045 7 0.029539 0 0 0.011138 0 0 0 0.01196
10 10 5 0.045 8 0.029539 0 0 0.010674 0 0 0 0.01191
10 10 5 0.045 9 0.029539 0 0 0.010697 0 0 0 0.011911
10 10 5 0.045 10 0.029539 0 0 0.010731 0 0 0 0.011994
10 10 6 0.045 1 0.0357402 0.195 0.012601 0.46348 14211 0.195 0.011591 0.46019
10 10 6 0.045 2 0.03574 0.029 0.0024838 0.048987 1319.3 0.026 0.0023475 0.047882
10 10 6 0.045 3 0.03574 0.003 0.00029394 0.0095215 89.81 0.001 0.0001 0.0084638
10 10 6 0.045 4 0.03574 0 0 0.005556 4.68 0 0 0.0054767
10 10 6 0.045 5 0.03574 0 0 0.0053649 0.28 0 0 0.0055527
10 10 6 0.045 6 0.03574 0 0 0.005004 0.02 0 0 0.0052496
10 10 6 0.045 7 0.03574 0 0 0.0050768 0 0 0 0.005322
10 10 6 0.045 8 0.03574 0 0 0.0051199 0 0 0 0.0053233
10 10 6 0.045 9 0.03574 0 0 0.0051185 0 0 0 0.0053429
10 10 6 0.045 10 0.03574 0 0 0.0051126 0 0 0 0.0053329
10 10 7 0.045 1 0.0424851 0.129 0.011171 0.23462 7358.2 0.124 0.0087111 0.2338
10 10 7 0.045 2 0.042485 0.012 0.0012687 0.018489 434.38 0.007 0.00065758 0.01822
10 10 7 0.045 3 0.042485 0.001 0.0001 0.0050308 19.34 0 0 0.0043764
10 10 7 0.045 4 0.042485 0 0 0.0037414 0.68 0 0 0.0036771
10 10 7 0.045 5 0.042485 0 0 0.0035993 0.02 0 0 0.0035475
10 10 7 0.045 6 0.042485 0 0 0.0035175 0 0 0 0.0035869
10 10 7 0.045 7 0.042485 0 0 0.0035549 0 0 0 0.0035488
10 10 7 0.045 8 0.042485 0 0 0.0034817 0 0 0 0.003552
10 10 7 0.045 9 0.042485 0 0 0.0034582 0 0 0 0.0035565
10 10 7 0.045 10 0.042485 0 0 0.0034583 0 0 0 0.0035524
10 10 8 0.045 1 0.0537779 0.085 0.0081566 0.12267 3816.7 0.064 0.0055596 0.12145
10 10 8 0.045 2 0.053778 0.004 0.00038788 0.0068223 87.77 0 0 0.0062357
10 10 8 0.045 3 0.053778 0 0 0.0031884 1.57 0 0 0.0029493
10 10 8 0.045 4 0.053778 0 0 0.0027968 0.01 0 0 0.0027837
10 10 8 0.045 5 0.053778 0 0 0.0027014 0 0 0 0.0027547
10 10 8 0.045 6 0.053778 0 0 0.0029046 0 0 0 0.0028469
10 10 8 0.045 7 0.053778 0 0 0.0029311 0 0 0 0.0028261
10 10 8 0.045 8 0.053778 0 0 0.0029296 0 0 0 0.0029183
10 10 8 0.045 9 0.053778 0 0 0.0029541 0 0 0 0.0029142
10 10 8 0.045 10 0.053778 0 0 0.0028891 0 0 0 0.0028704
10 25 3 0.045 1 0.0206135 0.927 0.0084556 3.1307 86203 0.906 0.0078424 3.1294
10 25 3 0.045 2 0.020613 0.818 0.016642 2.5959 70981 0.796 0.016145 2.5933
10 25 3 0.045 3 0.020613 0.676 0.021842 1.9895 54295 0.645 0.024318 1.9872
10 25 3 0.045 4 0.020613 0.535 0.024116 1.4297 38829 0.499 0.026363 1.4311
10 25 3 0.045 5 0.020613 0.399 0.023938 0.98343 25962 0.363 0.022759 0.98719
10 25 3 0.045 6 0.020613 0.282 0.021087 0.6418 16265 0.253 0.016254 0.642
10 25 3 0.045 7 0.020613 0.185 0.015631 0.4114 9565.5 0.175 0.014015 0.41138
10 25 3 0.045 8 0.020613 0.115 0.010985 0.26644 5286.1 0.107 0.0095465 0.26525
10 25 3 0.045 9 0.020613 0.07 0.0079798 0.17062 2743.4 0.073 0.0060313 0.17295
10 25 3 0.045 10 0.020613 0.034 0.0042869 0.11461 1336 0.036 0.0029333 0.11875
