k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time
10 1 3 0.045 1 0.173542 0.152 0.010198 0.39154 12500 0.174 0.015479 0.39538
10 1 4 0.045 1 0.218879 0.094 0.0078424 0.20381 6250 0.1 0.0082828 0.1995
10 1 5 0.045 1 0.258434 0.045 0.0043182 0.098999 3125 0.039 0.0038172 0.099664
10 1 6 0.045 1 0.293203 0.025 0.002096 0.0503 1562.5 0.038 0.0033899 0.050931
10 1 7 0.045 1 0.334205 0.006 0.0005697 0.026968 781.24 0.017 0.0016273 0.025468
10 1 8 0.045 1 0.374596 0.005 0.0004798 0.015258 390.64 0.006 0.0005697 0.014292
10 5 3 0.045 1 0.221114 0.537 0.025385 1.7194 48627 0.559 0.018605 1.6896
10 5 3 0.045 2 0.22111 0.154 0.013822 0.44003 12124 0.175 0.011389 0.42629
10 5 3 0.045 3 0.22111 0.028 0.0030465 0.068174 1633.2 0.032 0.0032081 0.069974
10 5 3 0.045 4 0.22111 0.003 0.00029394 0.018533 112.44 0.002 0.0004 0.019196
10 5 3 0.045 5 0.22111 0.001 0.0001 0.014326 3.26 0 0 0.015429
10 5 4 0.045 1 0.282444 0.367 0.02587 0.94302 27538 0.344 0.026327 0.94136
10 5 4 0.045 2 0.28244 0.057 0.005102 0.12505 3472 0.071 0.0063222 0.12502
10 5 4 0.045 3 0.28244 0.004 0.00038788 0.017979 231.81 0.005 0.0004798 0.017402
10 5 4 0.045 4 0.28244 0 0 0.0096257 7.97 0 0 0.0098727
10 5 4 0.045 5 0.28244 0 0 0.0095765 0.06 0 0 0.0096043
10 5 5 0.045 1 0.338697 0.247 0.020496 0.48901 14663 0.192 0.012259 0.4841
10 5 5 0.045 2 0.3387 0.024 0.0026505 0.041019 931.14 0.017 0.0016273 0.039491
10 5 5 0.045 3 0.3387 0.002 0.00019798 0.0084559 30.2 0.001 0.0001 0.0078472
10 5 5 0.045 4 0.3387 0 0 0.0061122 0.44 0 0 0.0067368
10 5 5 0.045 5 0.3387 0 0 0.0055565 0 0 0 0.0057644
10 5 6 0.045 1 0.391253 0.112 0.0087434 0.2458 7565.1 0.129 0.0097566 0.24208
10 5 6 0.045 2 0.39125 0.004 0.00038788 0.012922 243.58 0.003 0.00029394 0.012445
10 5 6 0.045 3 0.39125 0 0 0.0043316 3.93 0 0 0.004215
10 5 6 0.045 4 0.39125 0 0 0.0039101 0.01 0 0 0.003984
10 5 6 0.045 5 0.39125 0 0 0.0038925 0 0 0 0.0039807
10 5 7 0.045 1 0.430555 0.052 0.0049455 0.12565 3844.5 0.053 0.0053444 0.12427
10 5 7 0.045 2 0.43055 0.002 0.00019798 0.0059309 61.1 0 0 0.0055706
10 5 7 0.045 3 0.43055 0 0 0.0033394 0.55 0 0 0.0032117
10 5 7 0.045 4 0.43055 0 0 0.0030263 0.01 0 0 0.0030543
10 5 7 0.045 5 0.43055 0 0 0.0030173 0 0 0 0.0030533
10 5 8 0.045 1 0.475202 0.037 0.0029606 0.064953 1936.7 0.035 0.0031061 0.063439
10 5 8 0.045 2 0.4752 0.001 0.0001 0.0039058 16.05 0 0 0.0035824
10 5 8 0.045 3 0.4752 0.001 0.0001 0.002777 0.12 0 0 0.0027591
10 5 8 0.045 4 0.4752 0 0 0.0027368 0 0 0 0.0027385
10 5 8 0.045 5 0.4752 0 0 0.0028502 0 0 0 0.0028288
10 10 3 0.045 1 0.274617 0.817 0.012334 2.6739 73548 0.81 0.01303 2.6141
10 10 3 0.045 2 0.27462 0.496 0.021802 1.2761 36098 0.479 0.023696 1.2843
10 10 3 0.045 3 0.27462 0.208 0.013673 0.42975 12030 0.176 0.015984 0.43161
10 10 3 0.045 4 0.27462 0.074 0.0061859 0.12234 2805.4 0.054 0.0061455 0.12215
10 10 3 0.045 5 0.27462 0.011 0.0011909 0.042817 461.51 0.007 0.00065758 0.044198
10 10 3 0.045 6 0.27462 0.001 0.0001 0.028722 52.53 0 0 0.030548
10 10 3 0.045 7 0.27462 0 0 0.026784 4.4 0 0 0.028996
10 10 3 0.045 8 0.27462 0 0 0.026591 0.26 0 0 0.028838
10 10 3 0.045 9 0.27462 0 0 0.02699 0.02 0 0 0.029137
10 10 3 0.045 10 0.27462 0 0 0.027002 0 0 0 0.029144
10 10 4 0.045 1 0.338436 0.578 0.023349 1.7263 47380 0.596 0.020994 1.7002
10 10 4 0.045 2 0.33844 0.201 0.014847 0.43518 12674 0.202 0.015349 0.43626
10 10 4 0.045 3 0.33844 0.045 0.0047222 0.089244 2169.1 0.047 0.0049404 0.088644
10 10 4 0.045 4 0.33844 0.008 0.00094545 0.025061 253.8 0.008 0.00074343 0.025291
10 10 4 0.045 5 0.33844 0.004 0.0005899 0.016838 21.46 0 0 0.017588
10 10 4 0.045 6 0.33844 0 0 0.015997 1.3 0 0 0.016983
10 10 4 0.045 7 0.33844 0 0 0.016171 0.04 0 0 0.016037
10 10 4 0.045 8 0.33844 0 0 0.015026 0 0 0 0.016003
10 10 4 0.045 9 0.33844 0 0 0.01632 0 0 0 0.016088
10 10 4 0.045 10 0.33844 0 0 0.015926 0 0 0 0.01601
10 10 5 0.045 1 0.414738 0.363 0.030435 0.9535 27131 0.377 0.023203 0.94194
10 10 5 0.045 2 0.41474 0.063 0.0063949 0.14393 3771.4 0.078 0.0084 0.14444
10 10 5 0.045 3 0.41474 0.006 0.0005697 0.021069 327.28 0.008 0.00074343 0.020113
10 10 5 0.045 4 0.41474 0 0 0.0097639 18.83 0 0 0.0096895
10 10 5 0.045 5 0.41474 0 0 0.0087323 0.98 0 0 0.0091083
10 10 5 0.045 6 0.41474 0 0 0.0086139 0.04 0 0 0.0090632
10 10 5 0.045 7 0.41474 0 0 0.008652 0 0 0 0.0090535
10 10 5 0.045 8 0.41474 0 0 0.0085811 0 0 0 0.0090522
10 10 5 0.045 9 0.41474 0 0 0.0085759 0 0 0 0.0090465
10 10 5 0.045 10 0.41474 0 0 0.0091324 0 0 0 0.0092468
10 10 6 0.045 1 0.475205 0.225 0.018056 0.49598 14545 0.216 0.016913 0.49503
10 10 6 0.045 2 0.4752 0.027 0.0023949 0.04263 1033.7 0.024 0.0028525 0.042034
10 10 6 0.045 3 0.4752 0.003 0.00029394 0.0093221 45.24 0.001 0.0001 0.0084105
10 10 6 0.045 4 0.4752 0.001 0.0001 0.0067778 1.4 0 0 0.0067539
10 10 6 0.045 5 0.4752 0 0 0.0066303 0.04 0 0 0.0065695
10 10 6 0.045 6 0.4752 0 0 0.0066352 0 0 0 0.0065971
10 10 6 0.045 7 0.4752 0 0 0.0066494 0 0 0 0.0065496
10 10 6 0.045 8 0.4752 0 0 0.006658 0 0 0 0.0066492
10 10 6 0.045 9 0.4752 0 0 0.0063862 0 0 0 0.0065514
10 10 6 0.045 10 0.4752 0 0 0.0066742 0 0 0 0.0065464
10 10 7 0.045 1 0.533132 0.13 0.011414 0.25345 7532 0.128 0.010117 0.25154
10 10 7 0.045 2 0.53313 0.01 0.00090909 0.015447 274.14 0.006 0.0005697 0.014764
10 10 7 0.045 3 0.53313 0.001 0.0001 0.0056238 6.51 0 0 0.0051807
