k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 1 3 0.045 10 1 1 14.2944 0.994 0.0005697 1.2923 0 0.00023048 0.042767 1.2492 39418 100000 0.992 0.00074343 1.3153
10 1 3 0.045 10 1 2 14.294 0.972 0.0026424 0.46755 0 5.0015e-05 0.032039 0.43542 18340 100000 0.979 0.0018778 0.49014
10 1 3 0.045 10 1 3 14.294 0.956 0.0045091 0.18228 0 3.5437e-05 0.024099 0.15812 10372 100000 0.944 0.0073374 0.19284
10 1 3 0.045 10 1 4 14.294 0.93 0.0063636 0.088973 0 3.211e-05 0.018497 0.070415 6602.3 100000 0.914 0.012125 0.092463
10 1 3 0.045 10 1 5 14.294 0.893 0.011163 0.055589 0 2.8153e-05 0.014865 0.040669 4533.1 100000 0.881 0.015898 0.057043
10 1 3 0.045 10 1 6 14.294 0.869 0.015292 0.041377 0 2.1787e-05 0.01319 0.028138 3278.2 100000 0.847 0.019082 0.042681
10 1 3 0.045 10 1 7 14.294 0.835 0.019268 0.033483 0 1.9791e-05 0.012255 0.021182 2474.8 100000 0.799 0.026767 0.03469
10 1 3 0.045 10 1 8 14.294 0.802 0.020198 0.028401 0 2.0507e-05 0.011745 0.016607 1923.6 100000 0.763 0.028415 0.029284
10 1 3 0.045 10 1 9 14.294 0.779 0.020464 0.02483 0 1.969e-05 0.011452 0.013334 1532.5 100000 0.727 0.034718 0.025595
10 1 3 0.045 10 1 10 14.294 0.743 0.023284 0.021931 0 1.9617e-05 0.011113 0.010772 1223.6 100000 0.693 0.034193 0.022624
10 1 3 0.045 10 1 11 14.294 0.708 0.023572 0.019927 0 1.9471e-05 0.010971 0.0089113 1003.3 100000 0.671 0.038241 0.020549
10 1 3 0.045 10 1 12 14.294 0.68 0.027879 0.018451 0 1.9867e-05 0.01086 0.0075439 832.99 100000 0.644 0.041479 0.019033
10 1 3 0.045 10 1 13 14.294 0.649 0.034039 0.017103 0 1.8849e-05 0.010711 0.0063471 692.19 100000 0.614 0.044448 0.017551
10 1 3 0.045 10 1 14 14.294 0.619 0.034888 0.016198 0 1.8916e-05 0.010727 0.0054268 583.09 100000 0.582 0.050582 0.016649
10 1 3 0.045 10 1 15 14.294 0.589 0.037151 0.015434 0 1.9216e-05 0.01065 0.0047406 500.38 100000 0.558 0.049127 0.015771
10 1 3 0.045 10 1 20 14.294 0.471 0.037635 0.013082 0 1.8539e-05 0.010442 0.0025978 251.65 100000 0.451 0.044342 0.013319
10 1 3 0.045 10 1 25 14.294 0.384 0.034893 0.012075 0 1.8882e-05 0.010364 0.0016707 144.53 100000 0.376 0.042651 0.012256
10 1 3 0.045 10 1 30 14.294 0.33 0.033636 0.011557 0 1.8535e-05 0.010325 0.0011899 92.64 100000 0.319 0.036908 0.011537
10 1 3 0.045 10 1 40 14.294 0.221 0.023898 0.010845 0 1.8774e-05 0.010147 0.00065208 41.02 100000 0.215 0.025328 0.010969
10 1 3 0.045 10 1 50 14.294 0.169 0.016908 0.010629 0 1.8343e-05 0.010124 0.00045988 22.69 100000 0.152 0.017875 0.010726
10 1 3 0.045 10 1 60 14.294 0.123 0.013304 0.010487 0 1.927e-05 0.010106 0.00033206 13.08 100000 0.111 0.012908 0.010574
10 1 3 0.045 10 1 70 14.294 0.089 0.01008 0.010364 0 1.9387e-05 0.010071 0.00024331 7.47 100000 0.085 0.0097727 0.010506
10 1 3 0.045 10 1 80 14.294 0.065 0.0071465 0.010323 0 1.9702e-05 0.010084 0.00019009 4.89 100000 0.062 0.0068242 0.010417
10 1 3 0.045 10 1 90 14.294 0.047 0.0051424 0.01024 0 1.9605e-05 0.01005 0.00014243 2.88 100000 0.044 0.0045091 0.010362
10 1 3 0.045 10 1 100 14.294 0.038 0.0044 0.010374 0 1.9914e-05 0.010215 0.00011352 2.21 100000 0.035 0.0033081 0.010324
10 1 3 0.045 10 1 125 14.294 0.016 0.0015596 0.010161 0 1.9954e-05 0.010027 8.8566e-05 0.72 100000 0.013 0.0011424 0.010311
