k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 1 3 0.045 10 1 1 10.7149 0.969 0.0031707 0.095499 0 9.2676e-05 0.006181 0.089201 8234.5 100000 0.968 0.0038141 0.087657
10 1 3 0.045 10 1 2 10.715 0.943 0.0057081 0.04837 0 3.4344e-05 0.007494 0.040814 4786.1 100000 0.933 0.0082939 0.046817
10 1 3 0.045 10 1 3 10.715 0.931 0.0076152 0.037484 0 1.9522e-05 0.0070193 0.030419 3536.5 100000 0.91 0.009596 0.036361
10 1 3 0.045 10 1 4 10.715 0.905 0.0099747 0.031348 0 1.9074e-05 0.006563 0.024738 2861.3 100000 0.892 0.011046 0.030399
10 1 3 0.045 10 1 5 10.715 0.88 0.013535 0.02718 0 1.8935e-05 0.0061898 0.020945 2417.4 100000 0.87 0.013232 0.026311
10 1 3 0.045 10 1 6 10.715 0.868 0.014319 0.024137 0 1.8229e-05 0.0057652 0.018327 2104.1 100000 0.845 0.016439 0.023379
10 1 3 0.045 10 1 7 10.715 0.853 0.01787 0.022009 0 1.9395e-05 0.0055399 0.016425 1865.4 100000 0.831 0.01812 0.02118
10 1 3 0.045 10 1 8 10.715 0.845 0.017854 0.020061 0 1.8305e-05 0.0052504 0.014768 1685.2 100000 0.816 0.018529 0.019535
10 1 3 0.045 10 1 9 10.715 0.83 0.017273 0.018563 0 1.911e-05 0.0050729 0.013447 1528.8 100000 0.804 0.018974 0.017961
10 1 3 0.045 10 1 10 10.715 0.814 0.016974 0.017356 0 1.862e-05 0.0049261 0.012388 1404.2 100000 0.792 0.019127 0.01679
10 1 3 0.045 10 1 11 10.715 0.808 0.017107 0.01633 0 1.923e-05 0.0047988 0.011487 1294.4 100000 0.777 0.022395 0.015753
10 1 3 0.045 10 1 12 10.715 0.795 0.017247 0.015461 0 1.8705e-05 0.0046734 0.010745 1206.1 100000 0.766 0.021257 0.014947
10 1 3 0.045 10 1 13 10.715 0.784 0.018327 0.014752 0 1.8697e-05 0.0045981 0.010111 1129.4 100000 0.757 0.022476 0.014232
10 1 3 0.045 10 1 14 10.715 0.776 0.01861 0.014126 0 1.8757e-05 0.0045344 0.0095501 1063.8 100000 0.751 0.022726 0.013605
10 1 3 0.045 10 1 15 10.715 0.768 0.018764 0.013552 0 1.8571e-05 0.0044771 0.0090332 1003.9 100000 0.741 0.023049 0.013078
10 1 3 0.045 10 1 20 10.715 0.732 0.023612 0.011489 0 1.7317e-05 0.0042283 0.0072211 789.29 100000 0.706 0.023802 0.011103
10 1 3 0.045 10 1 25 10.715 0.706 0.02259 0.01016 0 1.8604e-05 0.004071 0.0060468 648.54 100000 0.668 0.023208 0.0098012
10 1 3 0.045 10 1 30 10.715 0.684 0.024994 0.009369 0 1.8569e-05 0.0041127 0.005215 552.01 100000 0.643 0.025708 0.0089033
10 1 3 0.045 10 1 40 10.715 0.637 0.025385 0.0080206 0 1.8831e-05 0.0038808 0.0040981 419.97 100000 0.591 0.026484 0.0077178
10 1 3 0.045 10 1 50 10.715 0.599 0.027979 0.0072408 0 1.8187e-05 0.0037769 0.0034236 339.37 100000 0.545 0.028561 0.0069375
10 1 3 0.045 10 1 60 10.715 0.56 0.030101 0.0067366 0 1.8035e-05 0.0037845 0.0029114 280.95 100000 0.508 0.028622 0.0064029
10 1 3 0.045 10 1 70 10.715 0.535 0.028763 0.0061934 0 1.8347e-05 0.0036503 0.0025028 238.8 100000 0.472 0.028501 0.0059689
10 1 3 0.045 10 1 80 10.715 0.505 0.028157 0.0058496 0 1.7639e-05 0.0036215 0.0021887 202.32 100000 0.439 0.029272 0.005634
10 1 3 0.045 10 1 90 10.715 0.475 0.030985 0.0055793 0 1.7313e-05 0.003569 0.0019712 177.2 100000 0.423 0.030678 0.0053919
10 1 3 0.045 10 1 100 10.715 0.453 0.028981 0.0053676 0 1.8261e-05 0.0035579 0.0017699 154.95 100000 0.403 0.032819 0.0052142
10 1 3 0.045 10 1 125 10.715 0.4 0.029697 0.0050075 0 1.8355e-05 0.0035539 0.001414 116.66 100000 0.346 0.031398 0.0048276
10 1 3 0.045 10 1 150 10.715 0.368 0.027855 0.0047439 0 1.835e-05 0.0035233 0.001181 92.21 100000 0.305 0.027348 0.0045795
10 1 3 0.045 10 1 175 10.715 0.339 0.026847 0.004573 0 1.812e-05 0.0035155 0.0010175 76.1 100000 0.285 0.025934 0.0044094
10 1 3 0.045 10 1 200 10.715 0.306 0.025418 0.0044434 0 1.8531e-05 0.0035079 0.00089528 63.26 100000 0.262 0.021976 0.0042673
10 1 3 0.045 10 1 300 10.715 0.244 0.023095 0.0041754 0 1.8864e-05 0.0035256 0.0006082 36.54 100000 0.208 0.021552 0.0040064
10 1 3 0.045 10 1 400 10.715 0.194 0.017337 0.0039633 0 1.8584e-05 0.0034756 0.0004449 22.43 100000 0.16 0.016566 0.0038541
10 1 3 0.045 10 1 500 10.715 0.166 0.016812 0.0038693 0 1.8538e-05 0.0034653 0.00035843 15.74 100000 0.124 0.011943 0.0037448
10 1 3 0.045 10 1 750 10.715 0.119 0.011252 0.0037593 0 1.7922e-05 0.0034501 0.00026251 8.44 100000 0.087 0.0096273 0.003644
10 1 3 0.045 10 1 1000 10.715 0.085 0.0081566 0.0036798 0 1.7615e-05 0.0034267 0.00020761 4.89 100000 0.064 0.0081859 0.0035805
10 1 3 0.045 10 1 1250 10.715 0.058 0.006097 0.003618 0 1.731e-05 0.0034114 0.00016269 3.2 100000 0.042 0.0058949 0.0035301
10 1 3 0.045 10 1 1500 10.715 0.036 0.0049535 0.0035522 0 1.7457e-05 0.0034117 9.9087e-05 1.94 100000 0.02 0.0024242 0.003441
10 1 3 0.045 10 1 2000 10.715 0.024 0.0024485 0.0035116 0 1.6946e-05 0.0033851 8.5795e-05 1.16 100000 0.015 0.0016919 0.0034361
10 1 3 0.045 10 1 3000 10.715 0 0 0.0034102 0 1.6744e-05 0.0033697 3.5665e-06 0 100000 0 0 0.0033519
10 1 4 0.045 10 1 1 13.8676 0.936 0.0049535 0.065596 0 8.8466e-05 0.004989 0.060497 5688.1 100000 0.932 0.0072485 0.060214
10 1 4 0.045 10 1 2 13.868 0.901 0.0085848 0.03187 0 3.2624e-05 0.0055084 0.026303 3033.7 100000 0.886 0.010711 0.032422
10 1 4 0.045 10 1 3 13.868 0.877 0.010072 0.023865 0 2.3661e-05 0.0052021 0.018615 2138.6 100000 0.845 0.015025 0.0244
10 1 4 0.045 10 1 4 13.868 0.846 0.011802 0.019644 0 2.3752e-05 0.004811 0.014786 1668.6 100000 0.823 0.016738 0.019866
10 1 4 0.045 10 1 5 13.868 0.817 0.013951 0.01661 0 2.3101e-05 0.0044257 0.012138 1374.6 100000 0.796 0.02059 0.017135
10 1 4 0.045 10 1 6 13.868 0.783 0.017991 0.014611 0 2.2989e-05 0.0041607 0.010404 1166.8 100000 0.765 0.024116 0.014894
10 1 4 0.045 10 1 7 13.868 0.764 0.018893 0.013296 0 2.296e-05 0.0041189 0.0091311 1018.5 100000 0.751 0.025151 0.013419
10 1 4 0.045 10 1 8 13.868 0.744 0.022085 0.012101 0 2.2862e-05 0.0038556 0.0082014 907.37 100000 0.736 0.024752 0.012344
10 1 4 0.045 10 1 9 13.868 0.725 0.022096 0.011231 0 2.2047e-05 0.0037715 0.0074152 814.85 100000 0.719 0.024585 0.011431
10 1 4 0.045 10 1 10 13.868 0.717 0.021829 0.010508 0 2.2698e-05 0.0036773 0.0067848 739.21 100000 0.706 0.025014 0.010779
10 1 4 0.045 10 1 11 13.868 0.702 0.024238 0.0099254 0 2.2298e-05 0.0035988 0.0062822 680.45 100000 0.693 0.026718 0.010113
10 1 4 0.045 10 1 12 13.868 0.69 0.023535 0.0094363 0 2.2586e-05 0.0035374 0.0058541 628.3 100000 0.682 0.027754 0.0096023
10 1 4 0.045 10 1 13 13.868 0.676 0.023055 0.0089698 0 2.2235e-05 0.0034913 0.0054347 580.81 100000 0.67 0.027374 0.0091519
10 1 4 0.045 10 1 14 13.868 0.668 0.023208 0.0086096 0 2.1948e-05 0.0034433 0.005123 541.75 100000 0.657 0.028334 0.0087538
10 1 4 0.045 10 1 15 13.868 0.652 0.022723 0.0082986 0 2.2513e-05 0.0034324 0.0048229 509.69 100000 0.641 0.028908 0.0084388
10 1 4 0.045 10 1 20 13.868 0.611 0.023211 0.0071643 0 2.2788e-05 0.0033522 0.003768 382.69 100000 0.597 0.028779 0.0072881
10 1 4 0.045 10 1 25 13.868 0.57 0.023737 0.0065147 0 2.2244e-05 0.0033088 0.0031625 300.87 100000 0.551 0.031211 0.0065471
10 1 4 0.045 10 1 30 13.868 0.535 0.025732 0.00601 0 2.2215e-05 0.0032868 0.0026799 248.01 100000 0.515 0.032803 0.0059932
10 1 4 0.045 10 1 40 13.868 0.477 0.030072 0.0051969 0 2.2236e-05 0.0031343 0.0020203 179.67 100000 0.457 0.030961 0.0052425
10 1 4 0.045 10 1 50 13.868 0.42 0.025455 0.0047559 0 2.1601e-05 0.0030883 0.0016262 136.97 100000 0.402 0.030703 0.0048045
10 1 4 0.045 10 1 60 13.868 0.383 0.022637 0.0044403 0 2.2132e-05 0.0030551 0.0013426 106.23 100000 0.365 0.02654 0.0044913
10 1 4 0.045 10 1 70 13.868 0.351 0.023534 0.004228 0 2.2349e-05 0.0030379 0.0011483 86.31 100000 0.332 0.025026 0.0042582
10 1 4 0.045 10 1 80 13.868 0.322 0.023147 0.0041214 0 2.1798e-05 0.0030641 0.0010163 73.76 100000 0.313 0.023971 0.0041642
10 1 4 0.045 10 1 90 13.868 0.31 0.022727 0.0039843 0 2.1526e-05 0.0030357 0.00090851 63.6 100000 0.29 0.023131 0.0039875
10 1 4 0.045 10 1 100 13.868 0.293 0.022072 0.004028 0 2.2101e-05 0.0031346 0.00085286 55.56 100000 0.271 0.023494 0.0038946
10 1 4 0.045 10 1 125 13.868 0.247 0.02191 0.0037099 0 2.1954e-05 0.0030164 0.00065145 39.6 100000 0.225 0.02149 0.003708
10 1 4 0.045 10 1 150 13.868 0.217 0.019405 0.0035992 0 2.1505e-05 0.0030179 0.00053681 30.26 100000 0.197 0.01888 0.0035981
10 1 4 0.045 10 1 175 13.868 0.197 0.017062 0.0035263 0 2.151e-05 0.0030133 0.00046706 23.91 100000 0.173 0.017748 0.0035167
10 1 4 0.045 10 1 200 13.868 0.179 0.015817 0.0034551 0 2.1718e-05 0.0030041 0.00040477 18.82 100000 0.143 0.015809 0.0034478
10 1 4 0.045 10 1 300 13.868 0.13 0.011414 0.0033158 0 2.1904e-05 0.0029792 0.0002872 9.96 100000 0.104 0.011297 0.0033031
10 1 4 0.045 10 1 400 13.868 0.104 0.0088727 0.003243 0 2.102e-05 0.0029664 0.00022777 6.24 100000 0.077 0.0074455 0.0032433
10 1 4 0.045 10 1 500 13.868 0.08 0.0064646 0.0031982 0 2.1651e-05 0.0029561 0.00019407 4.32 100000 0.058 0.0056929 0.0031924
10 1 4 0.045 10 1 750 13.868 0.017 0.0018293 0.0030634 0 2.1562e-05 0.0029366 8.4036e-05 1.18 100000 0.022 0.0019354 0.0030728
10 1 4 0.045 10 1 1000 13.868 0.006 0.0005697 0.0030136 0 2.2522e-05 0.0029218 5.0149e-05 0.55 100000 0.01 0.00090909 0.0030226
10 1 4 0.045 10 1 1250 13.868 0.002 0.00019798 0.0030156 0 2.2265e-05 0.0029393 2.9446e-05 0.19 100000 0.001 0.0001 0.0029849
10 1 4 0.045 10 1 1500 13.868 0 0 0.0029548 0 2.1865e-05 0.0029125 4.2007e-06 0 100000 0 0 0.0029588
10 1 4 0.045 10 1 2000 13.868 0 0 0.0029588 0 2.2191e-05 0.0029144 6.129e-06 0 100000 0 0 0.0029633
10 1 4 0.045 10 1 3000 13.868 0 0 0.0029486 0 3.2337e-05 0.0028953 4.2128e-06 0 100000 0 0 0.0028943
10 1 5 0.045 10 1 1 16.4464 0.915 0.0079545 0.050224 0 9.6542e-05 0.004359 0.045745 4210 100000 0.895 0.011793 0.044176
10 1 5 0.045 10 1 2 16.446 0.855 0.013005 0.023051 0 4.0675e-05 0.0046686 0.018318 2079.8 100000 0.831 0.018726 0.023361
10 1 5 0.045 10 1 3 16.446 0.812 0.017228 0.01662 0 2.6977e-05 0.004169 0.0124 1401.7 100000 0.788 0.021067 0.016877
10 1 5 0.045 10 1 4 16.446 0.772 0.019814 0.013565 0 2.5112e-05 0.0038564 0.0096606 1059.3 100000 0.747 0.022112 0.013431
10 1 5 0.045 10 1 5 16.446 0.734 0.020853 0.01133 0 2.5988e-05 0.0035095 0.0077733 855.15 100000 0.725 0.022298 0.011428
10 1 5 0.045 10 1 6 16.446 0.706 0.021176 0.010006 0 2.5409e-05 0.0033427 0.0066165 717.35 100000 0.693 0.02187 0.01009
10 1 5 0.045 10 1 7 16.446 0.68 0.022222 0.0090191 0 2.5323e-05 0.0032169 0.0057565 616.55 100000 0.671 0.02309 0.009114
10 1 5 0.045 10 1 8 16.446 0.656 0.021883 0.0082799 0 2.5081e-05 0.0031528 0.0050814 539.39 100000 0.65 0.025556 0.0083524
10 1 5 0.045 10 1 9 16.446 0.637 0.023971 0.0079669 0 2.5591e-05 0.003153 0.0047679 478.33 100000 0.629 0.025918 0.0084037
10 1 5 0.045 10 1 10 16.446 0.622 0.024158 0.007436 0 2.5137e-05 0.0031056 0.0042845 431.19 100000 0.613 0.024981 0.0073338
10 1 5 0.045 10 1 11 16.446 0.606 0.024004 0.006868 0 2.3992e-05 0.0029826 0.0038412 392.55 100000 0.598 0.026663 0.006926
10 1 5 0.045 10 1 12 16.446 0.596 0.024024 0.0066251 0 2.7337e-05 0.0030029 0.0035744 355.66 100000 0.576 0.026489 0.0065463
10 1 5 0.045 10 1 13 16.446 0.585 0.025126 0.0062399 0 2.4918e-05 0.0029041 0.0032905 327.17 100000 0.561 0.026847 0.0062815
10 1 5 0.045 10 1 14 16.446 0.575 0.026136 0.0060028 0 2.4144e-05 0.0028768 0.0030817 302.47 100000 0.542 0.029127 0.0060388
10 1 5 0.045 10 1 15 16.446 0.561 0.026241 0.0057871 0 2.4103e-05 0.0028662 0.0028764 280.09 100000 0.522 0.0284 0.0058169
10 1 5 0.045 10 1 20 16.446 0.491 0.025272 0.0050099 0 2.4227e-05 0.0027863 0.0021786 200.01 100000 0.466 0.030752 0.0050121
10 1 5 0.045 10 1 25 16.446 0.439 0.025433 0.0045439 0 2.4281e-05 0.0027328 0.0017657 153.02 100000 0.413 0.031243 0.0045515
10 1 5 0.045 10 1 30 16.446 0.399 0.023736 0.0042355 0 2.4405e-05 0.0027066 0.0014844 121.92 100000 0.373 0.028658 0.0042316
10 1 5 0.045 10 1 40 16.446 0.347 0.025951 0.0038201 0 2.4344e-05 0.0026763 0.0010995 83.22 100000 0.32 0.025859 0.0038114
10 1 5 0.045 10 1 50 16.446 0.305 0.024116 0.0035872 0 2.3972e-05 0.0026642 0.00087945 61.62 100000 0.279 0.02511 0.0035674
10 1 5 0.045 10 1 60 16.446 0.261 0.021797 0.0034165 0 2.4778e-05 0.0026573 0.00071488 46.75 100000 0.244 0.019863 0.0033996
10 1 5 0.045 10 1 70 16.446 0.242 0.020036 0.0033059 0 2.486e-05 0.0026452 0.00061488 37.8 100000 0.215 0.018662 0.0032898
10 1 5 0.045 10 1 80 16.446 0.223 0.018759 0.0032373 0 2.5083e-05 0.0026448 0.00054495 31.27 100000 0.195 0.017045 0.0032092
10 1 5 0.045 10 1 90 16.446 0.205 0.016641 0.0031658 0 2.4933e-05 0.0026405 0.00047473 25.59 100000 0.183 0.017385 0.0031397
10 1 5 0.045 10 1 100 16.446 0.191 0.016383 0.0031204 0 2.5065e-05 0.002648 0.00042328 21.57 100000 0.168 0.017147 0.0030837
10 1 5 0.045 10 1 125 16.446 0.159 0.013757 0.0030168 0 2.4363e-05 0.0026163 0.00035019 15.61 100000 0.137 0.01286 0.0029932
10 1 5 0.045 10 1 150 16.446 0.137 0.012658 0.0029497 0 2.4367e-05 0.0026043 0.00029262 11.45 100000 0.11 0.010202 0.0029298
10 1 5 0.045 10 1 175 16.446 0.126 0.01063 0.0029123 0 2.4737e-05 0.0025975 0.0002625 8.81 100000 0.095 0.0095707 0.0028769
10 1 5 0.045 10 1 200 16.446 0.112 0.0095515 0.0029731 0 2.4874e-05 0.0026886 0.00023205 6.95 100000 0.079 0.0079384 0.0028479
10 1 5 0.045 10 1 300 16.446 0.06 0.0062626 0.002801 0 2.4601e-05 0.0025788 0.00017045 3.33 100000 0.048 0.0035313 0.0027753
10 1 5 0.045 10 1 400 16.446 0.03 0.0033333 0.0027089 0 2.518e-05 0.0025543 0.00010542 1.47 100000 0.022 0.0019354 0.0026892
10 1 5 0.045 10 1 500 16.446 0.013 0.0017485 0.0026368 0 2.5107e-05 0.0025379 5.2862e-05 0.57 100000 0.009 0.00082727 0.0026319
10 1 5 0.045 10 1 750 16.446 0 0 0.0025795 0 2.4626e-05 0.0025308 6.7228e-06 0.01 100000 0 0 0.0025595
10 1 5 0.045 10 1 1000 16.446 0 0 0.0025757 0 2.4367e-05 0.0025301 4.0936e-06 0 100000 0 0 0.0025566
10 1 5 0.045 10 1 1250 16.446 0 0 0.0025722 0 2.4769e-05 0.002526 4.2277e-06 0 100000 0 0 0.0025633
10 1 5 0.045 10 1 1500 16.446 0 0 0.0025663 0 2.4328e-05 0.0025199 4.6855e-06 0 100000 0 0 0.0025652
10 1 5 0.045 10 1 2000 16.446 0 0 0.0025744 0 2.434e-05 0.0025288 4.0433e-06 0 100000 0 0 0.0025622
10 1 5 0.045 10 1 3000 16.446 0 0 0.0025767 0 2.4659e-05 0.0025302 4.3581e-06 0 100000 0 0 0.0025567
10 1 6 0.045 10 1 1 19.4625 0.863 0.010637 0.036933 0 9.8776e-05 0.0039424 0.032868 2902.7 100000 0.842 0.015188 0.030472
10 1 6 0.045 10 1 2 19.463 0.783 0.018597 0.015353 0 3.9245e-05 0.0037248 0.011566 1297 100000 0.761 0.017959 0.015264
10 1 6 0.045 10 1 3 19.463 0.728 0.020622 0.010873 0 3.0154e-05 0.0032631 0.0075584 830.35 100000 0.692 0.024784 0.010881
10 1 6 0.045 10 1 4 19.463 0.681 0.024181 0.0086988 0 2.9865e-05 0.0029829 0.0056652 605.5 100000 0.647 0.027365 0.008673
10 1 6 0.045 10 1 5 19.463 0.641 0.025272 0.0074467 0 3.0095e-05 0.0028697 0.004526 474.45 100000 0.61 0.029596 0.007416
10 1 6 0.045 10 1 6 19.463 0.593 0.027728 0.0065953 0 2.9814e-05 0.0027529 0.0037897 389.75 100000 0.575 0.031793 0.0065864
10 1 6 0.045 10 1 7 19.463 0.568 0.029875 0.0059886 0 2.9642e-05 0.0026639 0.0032754 327.28 100000 0.545 0.033611 0.0059849
10 1 6 0.045 10 1 8 19.463 0.548 0.028784 0.0055622 0 2.9904e-05 0.002634 0.0028788 281.23 100000 0.52 0.036768 0.0055328
10 1 6 0.045 10 1 9 19.463 0.524 0.028913 0.0051967 0 3.0003e-05 0.0025791 0.0025682 243.74 100000 0.492 0.036905 0.0051662
10 1 6 0.045 10 1 10 19.463 0.5 0.029495 0.004902 0 2.9477e-05 0.0025596 0.0022931 214.76 100000 0.465 0.035025 0.0048973
10 1 6 0.045 10 1 11 19.463 0.476 0.030125 0.0046619 0 3.0517e-05 0.0025159 0.0020957 191.09 100000 0.439 0.03513 0.0046428
10 1 6 0.045 10 1 12 19.463 0.461 0.029272 0.0044526 0 2.9372e-05 0.0024935 0.0019094 171.34 100000 0.425 0.034217 0.0044343
10 1 6 0.045 10 1 13 19.463 0.445 0.030783 0.0043712 0 2.956e-05 0.0025302 0.0017917 155.45 100000 0.416 0.034691 0.0042721
10 1 6 0.045 10 1 14 19.463 0.436 0.028994 0.0041649 0 2.9686e-05 0.0024763 0.0016397 141.89 100000 0.401 0.035454 0.0041255
10 1 6 0.045 10 1 15 19.463 0.418 0.02836 0.0041014 0 2.9791e-05 0.0024944 0.0015571 129.48 100000 0.381 0.033676 0.0040784
10 1 6 0.045 10 1 20 19.463 0.353 0.027365 0.0036632 0 2.9362e-05 0.0024583 0.0011555 87.49 100000 0.332 0.030683 0.0036324
10 1 6 0.045 10 1 25 19.463 0.314 0.026671 0.0034237 0 2.9588e-05 0.0024485 0.00092676 65.09 100000 0.282 0.025531 0.0033809
