k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 1 3 0.045 10 1 1 0.0505646 0.969 0.0031707 0.11304 0 4.2603e-05 0.0065622 0.10641 9474.9 100000 0.976 0.0024485 0.10708
10 1 3 0.045 10 1 2 0.050565 0.953 0.0049404 0.058431 0 3.5181e-05 0.008673 0.049694 5639.6 100000 0.957 0.0040919 0.058165
10 1 3 0.045 10 1 3 0.050565 0.94 0.0052525 0.04569 0 1.8682e-05 0.0087822 0.036862 4236.6 100000 0.93 0.0061616 0.045793
10 1 3 0.045 10 1 4 0.050565 0.93 0.0057576 0.038492 0 1.8341e-05 0.0081949 0.030249 3460.9 100000 0.912 0.0079354 0.038499
10 1 3 0.045 10 1 5 0.050565 0.917 0.0070818 0.034054 0 1.8235e-05 0.007887 0.026121 2968.4 100000 0.894 0.0094586 0.033832
10 1 3 0.045 10 1 6 0.050565 0.901 0.0083828 0.030561 0 1.8159e-05 0.0074196 0.023096 2607.6 100000 0.878 0.012238 0.030356
10 1 3 0.045 10 1 7 0.050565 0.893 0.0089404 0.027563 0 1.769e-05 0.0070396 0.020479 2319.4 100000 0.866 0.013782 0.027556
10 1 3 0.045 10 1 8 0.050565 0.882 0.01038 0.025414 0 1.8257e-05 0.0067769 0.018595 2101.2 100000 0.856 0.015014 0.025406
10 1 3 0.045 10 1 9 0.050565 0.868 0.011491 0.023918 0 1.774e-05 0.0065145 0.017358 1925.5 100000 0.85 0.015657 0.023643
10 1 3 0.045 10 1 10 0.050565 0.858 0.012764 0.021893 0 1.5964e-05 0.005956 0.015893 1766.2 100000 0.838 0.018339 0.022179
10 1 3 0.045 10 1 11 0.050565 0.85 0.012828 0.020596 0 1.6269e-05 0.0057959 0.014758 1639.5 100000 0.825 0.01846 0.020525
10 1 3 0.045 10 1 12 0.050565 0.841 0.013555 0.019933 0 1.7749e-05 0.0060255 0.013863 1531 100000 0.819 0.01913 0.020109
10 1 3 0.045 10 1 13 0.050565 0.834 0.01358 0.018809 0 1.7507e-05 0.0058213 0.012941 1437.5 100000 0.805 0.018864 0.018813
10 1 3 0.045 10 1 14 0.050565 0.826 0.014873 0.018076 0 1.5837e-05 0.0057631 0.012271 1353.1 100000 0.795 0.019268 0.017959
