k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 1 3 0.045 10 1 1 0.232026 0.971 0.0026859 0.1168 0 7.5995e-05 0.0075909 0.1091 9452.6 100000 0.976 0.0020444 0.10751
10 1 3 0.045 10 1 2 0.23203 0.948 0.0049455 0.058212 0 6.6719e-05 0.0081625 0.049957 5639.2 100000 0.949 0.0049485 0.058478
10 1 3 0.045 10 1 3 0.23203 0.938 0.0052081 0.045625 0 3.4791e-05 0.0082343 0.037333 4233.7 100000 0.932 0.0056323 0.045873
10 1 3 0.045 10 1 4 0.23203 0.928 0.0056727 0.038552 0 3.5183e-05 0.0077368 0.030755 3468.5 100000 0.916 0.0078222 0.038553
10 1 3 0.045 10 1 5 0.23203 0.915 0.0065404 0.033917 0 3.5216e-05 0.0073856 0.026473 2962.4 100000 0.903 0.0093848 0.033778
10 1 3 0.045 10 1 6 0.23203 0.908 0.0082182 0.030502 0 3.4675e-05 0.0070148 0.023426 2606.1 100000 0.887 0.010435 0.030345
10 1 3 0.045 10 1 7 0.23203 0.898 0.0096929 0.028467 0 3.5084e-05 0.0069241 0.021484 2326.1 100000 0.87 0.011414 0.027542
10 1 3 0.045 10 1 8 0.23203 0.888 0.010158 0.02508 0 3.4636e-05 0.0063031 0.018718 2096.1 100000 0.862 0.011673 0.02526
10 1 3 0.045 10 1 9 0.23203 0.875 0.011389 0.023223 0 3.4375e-05 0.0060209 0.017143 1912.7 100000 0.848 0.012824 0.023383
10 1 3 0.045 10 1 10 0.23203 0.861 0.012908 0.021766 0 3.5134e-05 0.0058508 0.015855 1763.8 100000 0.834 0.015196 0.021861
10 1 3 0.045 10 1 11 0.23203 0.848 0.014642 0.020554 0 3.5891e-05 0.0057042 0.014788 1640 100000 0.828 0.015774 0.020644
10 1 3 0.045 10 1 12 0.23203 0.843 0.014597 0.019543 0 3.6061e-05 0.0055716 0.01391 1529.6 100000 0.815 0.018056 0.019536
10 1 3 0.045 10 1 13 0.23203 0.838 0.016117 0.019292 0 7.2546e-05 0.006031 0.013161 1439.2 100000 0.807 0.019445 0.018687
10 1 3 0.045 10 1 14 0.23203 0.832 0.016339 0.017722 0 5.3392e-05 0.0053366 0.012308 1353.9 100000 0.798 0.020804 0.017767
10 1 3 0.045 10 1 15 0.23203 0.819 0.017918 0.017008 0 3.3987e-05 0.0052763 0.011675 1279.5 100000 0.794 0.020974 0.017015
10 1 3 0.045 10 1 20 0.23203 0.777 0.019163 0.014191 0 3.5734e-05 0.0048716 0.0092553 1005.5 100000 0.749 0.021918 0.014241
10 1 3 0.045 10 1 25 0.23203 0.746 0.018267 0.012654 0 3.286e-05 0.0047007 0.0078961 845.95 100000 0.716 0.020347 0.012646
