k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 1 3 0.045 10 1 1 0.0787219 0.972 0.0024404 0.10912 5.3249e-05 8.1365e-06 0.0063253 0.10271 9470.1 100000 0.976 0.0022465 0.10414
10 1 3 0.045 10 1 2 0.078722 0.949 0.0043424 0.056621 4.9265e-05 8.1467e-06 0.0087732 0.047763 5635.1 100000 0.962 0.004198 0.056319
10 1 3 0.045 10 1 3 0.078722 0.938 0.0052081 0.044678 3.0685e-05 7.6522e-06 0.0087529 0.035862 4244.1 100000 0.941 0.0066859 0.044583
10 1 3 0.045 10 1 4 0.078722 0.927 0.0056273 0.037601 2.5065e-05 7.492e-06 0.0078161 0.029723 3475 100000 0.916 0.0080242 0.037612
10 1 3 0.045 10 1 5 0.078722 0.924 0.0058828 0.032976 2.4422e-05 7.4869e-06 0.0074034 0.025512 2975.9 100000 0.9 0.0086869 0.033053
10 1 3 0.045 10 1 6 0.078722 0.905 0.0073485 0.029827 2.8111e-05 1.2161e-05 0.0073337 0.022423 2603.7 100000 0.881 0.010645 0.029599
10 1 3 0.045 10 1 7 0.078722 0.893 0.0093444 0.026669 2.4991e-05 7.3658e-06 0.0066401 0.019969 2310.3 100000 0.87 0.01202 0.026711
10 1 3 0.045 10 1 8 0.078722 0.887 0.011243 0.024758 2.7957e-05 7.5898e-06 0.0066948 0.018001 2094.7 100000 0.861 0.012302 0.024777
10 1 3 0.045 10 1 9 0.078722 0.875 0.011591 0.022878 2.6108e-05 7.567e-06 0.0061238 0.016691 1920.3 100000 0.846 0.01564 0.022794
10 1 3 0.045 10 1 10 0.078722 0.866 0.012772 0.021274 2.4422e-05 7.2382e-06 0.0058213 0.015392 1767.3 100000 0.834 0.01762 0.021282
10 1 3 0.045 10 1 11 0.078722 0.855 0.014217 0.02036 2.7273e-05 7.418e-06 0.0059774 0.014319 1638.2 100000 0.825 0.018662 0.020364
10 1 3 0.045 10 1 12 0.078722 0.843 0.014193 0.019308 2.7147e-05 7.438e-06 0.0058532 0.013391 1528.3 100000 0.817 0.019607 0.019302
10 1 3 0.045 10 1 13 0.078722 0.835 0.013813 0.018346 2.6967e-05 7.2266e-06 0.005723 0.012561 1436.2 100000 0.812 0.020057 0.018451
10 1 3 0.045 10 1 14 0.078722 0.828 0.013956 0.017654 2.598e-05 7.662e-06 0.0054912 0.0121 1351.1 100000 0.802 0.020198 0.017369
10 1 3 0.045 10 1 15 0.078722 0.82 0.014343 0.016862 2.7208e-05 7.1996e-06 0.0055421 0.011259 1281.3 100000 0.796 0.021398 0.016903
10 1 3 0.045 10 1 20 0.078722 0.777 0.019769 0.013916 2.3936e-05 7.3211e-06 0.0047939 0.0090607 1007.5 100000 0.748 0.021309 0.013933
10 1 3 0.045 10 1 25 0.078722 0.747 0.018678 0.012338 2.407e-05 7.0869e-06 0.0046452 0.007634 836.68 100000 0.71 0.021919 0.012268
10 1 3 0.045 10 1 30 0.078722 0.721 0.020464 0.011172 2.9792e-05 6.9756e-06 0.0045144 0.0065946 715.21 100000 0.691 0.021231 0.011113
10 1 3 0.045 10 1 40 0.078722 0.679 0.022484 0.0095952 2.3679e-05 6.9342e-06 0.0043259 0.0052132 554.62 100000 0.657 0.022476 0.0095754
10 1 3 0.045 10 1 50 0.078722 0.652 0.024339 0.0089786 2.631e-05 6.8108e-06 0.004572 0.0043476 452.27 100000 0.621 0.024302 0.0089549
10 1 3 0.045 10 1 60 0.078722 0.624 0.024267 0.0082943 2.6492e-05 6.8434e-06 0.0044665 0.003769 382.03 100000 0.597 0.025546 0.008274
10 1 3 0.045 10 1 70 0.078722 0.596 0.026044 0.0073655 2.3751e-05 6.814e-06 0.0040677 0.0032412 324.63 100000 0.563 0.027405 0.0076581
