k n_trees depth sparsity v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size val_recall val_var_recall val_query_time
10 1 3 0.045 1 0.0422279 0.165 0.015025 0.38571 7.1342e-05 7.181e-06 0.0061471 0.37946 12500 0.161 0.014322 0.37409
10 1 4 0.045 1 0.049654 0.074 0.0088121 0.1943 7.2495e-05 1.0662e-05 0.0039234 0.19027 6250 0.064 0.0057616 0.19236
10 1 5 0.045 1 0.0494135 0.048 0.0045414 0.098693 7.7128e-05 1.0584e-05 0.0028402 0.095739 3125 0.041 0.0038576 0.095663
10 1 6 0.045 1 0.0568742 0.025 0.002298 0.050363 7.286e-05 1.3529e-05 0.00234 0.04791 1562.5 0.029 0.0026859 0.049838
10 1 7 0.045 1 0.0578067 0.012 0.0010667 0.02668 7.0351e-05 1.5242e-05 0.0020931 0.024475 781.21 0.013 0.0015465 0.025163
10 1 8 0.045 1 0.0626779 0.005 0.0004798 0.015227 7.7687e-05 1.8763e-05 0.0020086 0.013093 390.72 0.007 0.00065758 0.013945
10 5 3 0.045 1 0.0462811 0.598 0.025855 1.6569 0.00018966 4.268e-05 0.041097 1.6155 48709 0.561 0.026241 1.6628
10 5 3 0.045 2 0.046281 0.194 0.012691 0.41099 0.00019959 1.1398e-05 0.035769 0.37498 12071 0.151 0.013231 0.39893
10 5 3 0.045 3 0.046281 0.024 0.0020444 0.067309 9.494e-05 1.1761e-05 0.018697 0.048476 1606.2 0.025 0.0018939 0.066134
10 5 3 0.045 4 0.046281 0.003 0.00029394 0.018752 9.269e-05 1.0886e-05 0.014862 0.0037626 110.7 0.001 0.0001 0.018714
10 5 3 0.045 5 0.046281 0 0 0.014984 5.8798e-05 1.1039e-05 0.014674 0.00020851 3.07 0 0 0.014993
10 5 4 0.045 1 0.0529715 0.346 0.023923 0.89833 0.00017441 2.0811e-05 0.017666 0.88042 27537 0.333 0.018395 0.89945
10 5 4 0.045 2 0.052972 0.061 0.0066455 0.12584 0.00014649 1.2856e-05 0.020988 0.10466 3474.9 0.055 0.0039141 0.12596
10 5 4 0.045 3 0.052972 0.006 0.0005697 0.018107 0.00013668 1.176e-05 0.010479 0.0074542 230.51 0.008 0.00074343 0.016174
10 5 4 0.045 4 0.052972 0 0 0.0090904 8.729e-05 1.1304e-05 0.0085633 0.00039556 7.51 0 0 0.0089188
10 5 4 0.045 5 0.052972 0 0 0.0090418 7.7252e-05 1.1995e-05 0.0089017 2.2843e-05 0.1 0 0 0.0086583
10 5 5 0.045 1 0.0574191 0.19 0.015859 0.46304 0.00013343 1.4329e-05 0.008486 0.45437 14654 0.216 0.017115 0.46114
10 5 5 0.045 2 0.057419 0.015 0.0014899 0.038506 0.0001238 1.5842e-05 0.0095669 0.02877 938.82 0.017 0.0016273 0.036841
10 5 5 0.045 3 0.057419 0 0 0.0076769 0.00010572 1.4413e-05 0.00623 0.0012958 31.25 0.001 0.0001 0.0066193
10 5 5 0.045 4 0.057419 0 0 0.0056405 9.2372e-05 1.5557e-05 0.0054107 8.9922e-05 0.6 0 0 0.005338
10 5 5 0.045 5 0.057419 0 0 0.0055144 9.0739e-05 1.4884e-05 0.005375 4.3963e-06 0 0 0 0.0053151
10 5 6 0.045 1 0.0627738 0.132 0.011289 0.23533 0.00012663 1.8031e-05 0.0047162 0.23043 7568.1 0.12 0.013737 0.23435
10 5 6 0.045 2 0.062774 0.005 0.00068182 0.011911 0.00011501 1.8407e-05 0.0040236 0.0077279 240.32 0.01 0.00090909 0.011562
10 5 6 0.045 3 0.062774 0 0 0.0038507 0.00010935 1.7215e-05 0.0034207 0.00027125 4.02 0 0 0.0036167
10 5 6 0.045 4 0.062774 0 0 0.0034455 8.3665e-05 1.8145e-05 0.0033049 1.0705e-05 0.03 0 0 0.0033844
10 5 6 0.045 5 0.062774 0 0 0.0033906 8.4236e-05 1.8114e-05 0.0032541 4.9388e-06 0 0 0 0.0033827
10 5 7 0.045 1 0.0696524 0.066 0.005297 0.11967 0.00014847 2.818e-05 0.003236 0.11622 3844.2 0.057 0.0059101 0.11903
10 5 7 0.045 2 0.069652 0.001 0.0001 0.005589 0.00012787 2.261e-05 0.0031377 0.0022764 61.49 0.002 0.00019798 0.0052357
10 5 7 0.045 3 0.069652 0 0 0.002769 9.9395e-05 2.2578e-05 0.0025515 6.2755e-05 0.44 0 0 0.0027158
10 5 7 0.045 4 0.069652 0 0 0.0026554 0.00010416 2.4282e-05 0.0024938 4.2305e-06 0 0 0 0.0026548
10 5 7 0.045 5 0.069652 0 0 0.0026615 9.9253e-05 2.4321e-05 0.002505 4.2701e-06 0 0 0 0.0026521
10 5 8 0.045 1 0.0707147 0.033 0.0036475 0.061902 0.00014623 3.3691e-05 0.0025418 0.059147 1936.2 0.028 0.0028444 0.060045
10 5 8 0.045 2 0.070715 0 0 0.0038363 0.00012963 2.6488e-05 0.0028586 0.000789 16.9 0.001 0.0001 0.0034483
10 5 8 0.045 3 0.070715 0 0 0.0023881 0.00011695 2.8311e-05 0.0021917 1.8787e-05 0.09 0 0 0.0023359
10 5 8 0.045 4 0.070715 0 0 0.0023641 0.00011497 2.4957e-05 0.0021948 3.0799e-06 0 0 0 0.0023252
10 5 8 0.045 5 0.070715 0 0 0.0023479 0.00011859 2.4983e-05 0.0021747 3.0203e-06 0 0 0 0.0023334
