k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time
10 1 3 0.045 1 0.170892 0.154 0.01362 0.39559 12500 0.166 0.012974 0.39551
10 1 4 0.045 1 0.217234 0.091 0.0097162 0.19041 6250 0.094 0.010469 0.20504
10 1 5 0.045 1 0.260137 0.048 0.0051475 0.093873 3125 0.048 0.0051475 0.099585
10 1 6 0.045 1 0.30159 0.038 0.0044 0.050888 1562.4 0.029 0.0028879 0.048641
10 1 7 0.045 1 0.330929 0.012 0.0010667 0.028895 781.25 0.015 0.0012879 0.026072
10 1 8 0.045 1 0.358861 0.021 0.0022818 0.015111 390.61 0.01 0.0011111 0.013259
10 5 3 0.045 1 0.221787 0.608 0.021552 1.7028 48605 0.615 0.023106 1.6716
10 5 3 0.045 2 0.22179 0.215 0.018864 0.41022 12129 0.179 0.015817 0.41114
10 5 3 0.045 3 0.22179 0.043 0.0042939 0.067455 1646.5 0.035 0.0031061 0.06672
10 5 3 0.045 4 0.22179 0.003 0.00029394 0.018497 116.21 0.004 0.00038788 0.018655
10 5 3 0.045 5 0.22179 0 0 0.014451 3.29 0 0 0.015906
10 5 4 0.045 1 0.290661 0.408 0.022764 0.94389 27542 0.369 0.026605 0.92218
10 5 4 0.045 2 0.29066 0.078 0.0069859 0.12209 3473.7 0.063 0.006597 0.12012
10 5 4 0.045 3 0.29066 0.008 0.00074343 0.018377 226.64 0.006 0.00077172 0.017438
10 5 4 0.045 4 0.29066 0 0 0.0092512 7.56 0 0 0.010278
10 5 4 0.045 5 0.29066 0 0 0.0082312 0.17 0 0 0.0086362
10 5 5 0.045 1 0.336312 0.238 0.015713 0.48346 14663 0.222 0.017491 0.4805
10 5 5 0.045 2 0.33631 0.016 0.0015596 0.03724 931.17 0.019 0.0017566 0.036683
10 5 5 0.045 3 0.33631 0 0 0.0075363 30.44 0.002 0.00019798 0.0070859
10 5 5 0.045 4 0.33631 0 0 0.0056994 0.53 0 0 0.0057542
10 5 5 0.045 5 0.33631 0 0 0.0055548 0 0 0 0.0057044
10 5 6 0.045 1 0.390044 0.143 0.013991 0.24655 7563.8 0.129 0.0095545 0.24285
10 5 6 0.045 2 0.39004 0.011 0.0013929 0.014656 244.63 0.006 0.00077172 0.012863
10 5 6 0.045 3 0.39004 0 0 0.0046646 3.93 0 0 0.0045981
10 5 6 0.045 4 0.39004 0 0 0.0036693 0.03 0 0 0.0036005
10 5 6 0.045 5 0.39004 0 0 0.0036423 0 0 0 0.0037101
10 5 7 0.045 1 0.447298 0.071 0.0065242 0.13072 3842.3 0.072 0.0054707 0.12298
10 5 7 0.045 2 0.4473 0.002 0.00019798 0.0071265 63.22 0.002 0.00019798 0.0061147
10 5 7 0.045 3 0.4473 0 0 0.0032088 0.59 0.001 0.0001 0.0032556
10 5 7 0.045 4 0.4473 0 0 0.0030973 0 0 0 0.0031956
10 5 7 0.045 5 0.4473 0 0 0.003219 0 0 0 0.0033084
10 5 8 0.045 1 0.478249 0.04 0.0036364 0.06415 1937.7 0.034 0.0032768 0.063316
10 5 8 0.045 2 0.47825 0.001 0.0001 0.0037585 15.43 0 0 0.003481
10 5 8 0.045 3 0.47825 0 0 0.0027141 0.07 0 0 0.002691
10 5 8 0.045 4 0.47825 0 0 0.0026372 0 0 0 0.0025882
10 5 8 0.045 5 0.47825 0 0 0.00262 0 0 0 0.0026148
10 10 3 0.045 1 0.276038 0.829 0.012383 2.6856 73550 0.83 0.011414 2.5946
10 10 3 0.045 2 0.27604 0.525 0.031793 1.2742 36081 0.514 0.025661 1.268
10 10 3 0.045 3 0.27604 0.209 0.015979 0.46449 12031 0.221 0.017231 0.45535
10 10 3 0.045 4 0.27604 0.076 0.0064889 0.13633 2810.9 0.056 0.0053172 0.13747
10 10 3 0.045 5 0.27604 0.011 0.0011909 0.04568 467.3 0.01 0.00090909 0.048224
10 10 3 0.045 6 0.27604 0.003 0.00029394 0.028444 55.1 0 0 0.029898
10 10 3 0.045 7 0.27604 0 0 0.026782 4.35 0 0 0.028236
10 10 3 0.045 8 0.27604 0 0 0.026354 0.23 0 0 0.028105
10 10 3 0.045 9 0.27604 0 0 0.026232 0.01 0 0 0.028079
10 10 3 0.045 10 0.27604 0 0 0.026944 0 0 0 0.028043
10 10 4 0.045 1 0.339589 0.619 0.021959 1.7184 47413 0.612 0.022481 1.7103
10 10 4 0.045 2 0.33959 0.208 0.020743 0.4574 12656 0.214 0.015964 0.43642
10 10 4 0.045 3 0.33959 0.048 0.0043394 0.088941 2156.6 0.05 0.0049495 0.088289
10 10 4 0.045 4 0.33959 0.007 0.0008596 0.028101 252.47 0.008 0.00074343 0.026747
10 10 4 0.045 5 0.33959 0 0 0.016859 20.67 0 0 0.019041
10 10 4 0.045 6 0.33959 0 0 0.015986 1.1 0 0 0.018471
10 10 4 0.045 7 0.33959 0 0 0.015875 0.06 0 0 0.018402
10 10 4 0.045 8 0.33959 0 0 0.017153 0 0 0 0.01848
10 10 4 0.045 9 0.33959 0 0 0.01588 0 0 0 0.018386
10 10 4 0.045 10 0.33959 0 0 0.016235 0 0 0 0.01787
10 10 5 0.045 1 0.414221 0.415 0.02048 0.9488 27135 0.42 0.021212 0.95147
10 10 5 0.045 2 0.41422 0.092 0.0080162 0.13986 3769.8 0.083 0.0074859 0.13962
10 10 5 0.045 3 0.41422 0.018 0.0016929 0.023504 325.11 0.013 0.0013444 0.022308
10 10 5 0.045 4 0.41422 0.002 0.00019798 0.011505 19.47 0 0 0.011309
10 10 5 0.045 5 0.41422 0 0 0.010481 0.92 0 0 0.010727
10 10 5 0.045 6 0.41422 0 0 0.01035 0.02 0 0 0.010671
10 10 5 0.045 7 0.41422 0 0 0.010361 0.01 0 0 0.010658
10 10 5 0.045 8 0.41422 0 0 0.010362 0 0 0 0.010673
10 10 5 0.045 9 0.41422 0 0 0.01035 0 0 0 0.01067
10 10 5 0.045 10 0.41422 0 0 0.010351 0 0 0 0.010671
10 10 6 0.045 1 0.523223 0.246 0.018873 0.50633 14538 0.225 0.018258 0.49243
10 10 6 0.045 2 0.52322 0.031 0.0031707 0.040729 1040 0.022 0.0019354 0.04023
10 10 6 0.045 3 0.52322 0.003 0.00029394 0.010918 45.59 0.001 0.0001 0.0086518
10 10 6 0.045 4 0.52322 0 0 0.0060337 1.44 0 0 0.0058208
10 10 6 0.045 5 0.52322 0 0 0.0054838 0.04 0 0 0.0054286
10 10 6 0.045 6 0.52322 0 0 0.0056325 0 0 0 0.0062809
10 10 6 0.045 7 0.52322 0 0 0.0053296 0 0 0 0.0057126
10 10 6 0.045 8 0.52322 0 0 0.0054911 0 0 0 0.0055581
10 10 6 0.045 9 0.52322 0 0 0.0054448 0 0 0 0.0055984
10 10 6 0.045 10 0.52322 0 0 0.0054654 0 0 0 0.0056105
10 10 7 0.045 1 0.540953 0.144 0.011378 0.25362 7535.4 0.124 0.010125 0.25278
10 10 7 0.045 2 0.54095 0.008 0.00074343 0.015228 270.93 0.006 0.0005697 0.014798
10 10 7 0.045 3 0.54095 0 0 0.0055665 5.97 0 0 0.0050703
10 10 7 0.045 4 0.54095 0 0 0.0046244 0.12 0 0 0.0046645
10 10 7 0.045 5 0.54095 0 0 0.004588 0 0 0 0.004643
10 10 7 0.045 6 0.54095 0 0 0.0046077 0 0 0 0.0046401
10 10 7 0.045 7 0.54095 0 0 0.004598 0 0 0 0.0046378
10 10 7 0.045 8 0.54095 0 0 0.0046049 0 0 0 0.0046493
10 10 7 0.045 9 0.54095 0 0 0.004596 0 0 0 0.0046314
10 10 7 0.045 10 0.54095 0 0 0.0045946 0 0 0 0.0046349
10 10 8 0.045 1 0.592399 0.084 0.0088323 0.13038 3834.9 0.069 0.0066051 0.12951
10 10 8 0.045 2 0.5924 0.001 0.0001 0.0074317 70.56 0.003 0.00029394 0.0067861
10 10 8 0.045 3 0.5924 0 0 0.0039314 0.81 0 0 0.0038176
10 10 8 0.045 4 0.5924 0 0 0.0037227 0 0 0 0.0037293
10 10 8 0.045 5 0.5924 0 0 0.0037103 0 0 0 0.0037239
10 10 8 0.045 6 0.5924 0 0 0.0037042 0 0 0 0.0037154
10 10 8 0.045 7 0.5924 0 0 0.0037024 0 0 0 0.0037211
10 10 8 0.045 8 0.5924 0 0 0.0037054 0 0 0 0.0037154
10 10 8 0.045 9 0.5924 0 0 0.0037076 0 0 0 0.0037245
10 10 8 0.045 10 0.5924 0 0 0.003713 0 0 0 0.0037252
10 25 3 0.045 1 0.551528 0.994 0.0005697 3.6584 96271 0.989 0.0011909 3.4913
10 25 3 0.045 2 0.55153 0.945 0.0061364 3.0381 83375 0.944 0.0057212 3.0462
10 25 3 0.045 3 0.55153 0.811 0.017757 2.3417 61716 0.836 0.012832 2.2644
10 25 3 0.045 4 0.55153 0.616 0.028832 1.4123 38244 0.617 0.025668 1.4062
10 25 3 0.045 5 0.55153 0.415 0.031187 0.75666 19789 0.391 0.028302 0.75145
10 25 3 0.045 6 0.55153 0.238 0.019754 0.37318 8599.4 0.224 0.01962 0.36904
10 25 3 0.045 7 0.55153 0.115 0.0091667 0.18372 3165.2 0.111 0.0098778 0.18192
10 25 3 0.045 8 0.55153 0.053 0.0043343 0.099212 995.23 0.048 0.0049455 0.1025
10 25 3 0.045 9 0.55153 0.019 0.0019586 0.072657 268.46 0.016 0.0015596 0.076374
10 25 3 0.045 10 0.55153 0.003 0.00029394 0.06554 62.06 0.007 0.00065758 0.069097
10 25 3 0.045 11 0.55153 0 0 0.063454 12.45 0 0 0.067539
10 25 3 0.045 12 0.55153 0 0 0.063098 2.09 0 0 0.067736
10 25 3 0.045 13 0.55153 0 0 0.062778 0.4 0 0 0.067462
10 25 3 0.045 14 0.55153 0 0 0.063635 0.05 0 0 0.068229
10 25 3 0.045 15 0.55153 0 0 0.063693 0.01 0 0 0.068291
10 25 3 0.045 17 0.55153 0 0 0.064783 0 0 0 0.06822
10 25 3 0.045 20 0.55153 0 0 0.06344 0 0 0 0.068226
10 25 3 0.045 25 0.55153 0 0 0.063399 0 0 0 0.068193
10 25 4 0.045 1 0.638065 0.919 0.0074131 2.9684 79732 0.923 0.0078495 2.8835
10 25 4 0.045 2 0.63807 0.683 0.017385 1.6915 46690 0.686 0.02061 1.6939
10 25 4 0.045 3 0.63807 0.419 0.028827 0.74201 20455 0.422 0.023552 0.74265
10 25 4 0.045 4 0.63807 0.201 0.015049 0.33479 6957.6 0.218 0.018461 0.34027
10 25 4 0.045 5 0.63807 0.076 0.0089131 0.10942 1898.4 0.087 0.0094253 0.10768
10 25 4 0.045 6 0.63807 0.026 0.0021455 0.061817 424.59 0.031 0.0031707 0.061806
10 25 4 0.045 7 0.63807 0.004 0.00038788 0.042217 77.71 0.008 0.00074343 0.048368
10 25 4 0.045 8 0.63807 0 0 0.039294 12.25 0.002 0.00019798 0.046026
10 25 4 0.045 9 0.63807 0 0 0.034951 1.51 0 0 0.037445
10 25 4 0.045 10 0.63807 0 0 0.038818 0.17 0 0 0.04577
10 25 4 0.045 11 0.63807 0 0 0.038797 0.01 0 0 0.045728
10 25 4 0.045 12 0.63807 0 0 0.038697 0 0 0 0.045703
10 25 4 0.045 13 0.63807 0 0 0.034703 0 0 0 0.03733
10 25 4 0.045 14 0.63807 0 0 0.034363 0 0 0 0.036952
10 25 4 0.045 15 0.63807 0 0 0.039006 0 0 0 0.045733
10 25 4 0.045 17 0.63807 0 0 0.038702 0 0 0 0.04576
10 25 4 0.045 20 0.63807 0 0 0.035096 0 0 0 0.037338
10 25 4 0.045 25 0.63807 0 0 0.034705 0 0 0 0.037341
