k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 1 3 0.045 10 1 1 15.8085 0.876 0.014772 1.2974 0 0.00033765 0.043356 1.2536 38605 100000 0.873 0.012294 1.262
10 1 3 0.045 10 1 2 15.808 0.726 0.027802 0.46342 0 5.0374e-05 0.0325 0.43083 17667 100000 0.743 0.024092 0.43605
10 1 3 0.045 10 1 3 15.808 0.626 0.032853 0.18977 0 4.3729e-05 0.038183 0.15151 9874.1 100000 0.646 0.028166 0.17539
10 1 3 0.045 10 1 4 15.808 0.551 0.028787 0.092445 0 4.1623e-05 0.025001 0.067372 6220.5 100000 0.57 0.031212 0.085948
10 1 3 0.045 10 1 5 15.808 0.483 0.030718 0.055545 0 3.1454e-05 0.015092 0.040393 4225.7 100000 0.492 0.031653 0.052042
10 1 3 0.045 10 1 6 15.808 0.423 0.029668 0.041215 0 2.4861e-05 0.013279 0.027882 3048.1 100000 0.437 0.030637 0.039104
10 1 3 0.045 10 1 7 15.808 0.368 0.031087 0.033087 0 2.2999e-05 0.012316 0.02072 2276.3 100000 0.385 0.028763 0.031658
10 1 3 0.045 10 1 8 15.808 0.334 0.030954 0.029017 0 2.3651e-05 0.013102 0.015863 1737.1 100000 0.338 0.027834 0.027805
10 1 3 0.045 10 1 9 15.808 0.297 0.030799 0.025631 0 2.3542e-05 0.012906 0.012674 1366.2 100000 0.3 0.026263 0.024364
10 1 3 0.045 10 1 10 15.808 0.267 0.0289 0.022926 0 2.3844e-05 0.012593 0.01028 1096 100000 0.268 0.026238 0.021849
10 1 3 0.045 10 1 11 15.808 0.239 0.026443 0.021076 0 2.449e-05 0.012552 0.0084725 885.24 100000 0.244 0.024711 0.019975
10 1 3 0.045 10 1 12 15.808 0.214 0.026267 0.018057 0 2.1647e-05 0.011025 0.0069825 723.22 100000 0.22 0.020606 0.017407
10 1 3 0.045 10 1 13 15.808 0.195 0.02149 0.018382 0 2.4512e-05 0.012285 0.0060455 610.78 100000 0.204 0.021398 0.017415
10 1 3 0.045 10 1 14 15.808 0.177 0.019365 0.018465 0 3.8518e-05 0.013104 0.0052939 514.48 100000 0.195 0.01947 0.016654
10 1 3 0.045 10 1 15 15.808 0.164 0.017277 0.016471 0 5.2406e-05 0.01192 0.0044736 442.47 100000 0.182 0.018259 0.015865
