k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 1 3 0.045 10 1 1 0.261324 0.879 0.012787 0.92019 0 0.00013047 0.025029 0.89498 30224 100000 0.888 0.0099556 0.91525
10 1 3 0.045 10 1 2 0.26132 0.793 0.015203 0.33728 0 0.00020398 0.026074 0.31097 16500 100000 0.8 0.016566 0.32892
10 1 3 0.045 10 1 3 0.26132 0.707 0.016415 0.15541 0 0.00014059 0.022588 0.13266 11024 100000 0.728 0.01739 0.15239
10 1 3 0.045 10 1 4 0.26132 0.647 0.020496 0.097417 0 6.2476e-05 0.018641 0.078687 8117.2 100000 0.665 0.021086 0.096761
10 1 3 0.045 10 1 5 0.26132 0.602 0.021208 0.072798 0 5.0237e-05 0.016123 0.0566 6293.2 100000 0.62 0.020404 0.073084
10 1 3 0.045 10 1 6 0.26132 0.556 0.025115 0.058935 0 4.0713e-05 0.014364 0.044503 5045 100000 0.579 0.022282 0.059275
10 1 3 0.045 10 1 7 0.26132 0.522 0.027794 0.049989 0 3.7076e-05 0.013131 0.036795 4171 100000 0.539 0.023211 0.050274
10 1 3 0.045 10 1 8 0.26132 0.493 0.027122 0.043423 0 3.4166e-05 0.012242 0.031121 3530.7 100000 0.518 0.024723 0.043681
10 1 3 0.045 10 1 9 0.26132 0.455 0.028359 0.038438 0 3.3146e-05 0.011661 0.026717 3025.2 100000 0.491 0.022645 0.03868
10 1 3 0.045 10 1 10 0.26132 0.428 0.030117 0.034544 0 3.2932e-05 0.011206 0.023279 2625.4 100000 0.453 0.02393 0.034757
10 1 3 0.045 10 1 11 0.26132 0.407 0.029142 0.031459 0 3.2862e-05 0.010897 0.020505 2307.2 100000 0.437 0.024779 0.031617
10 1 3 0.045 10 1 12 0.26132 0.39 0.027374 0.029125 0 3.3466e-05 0.010638 0.018426 2053 100000 0.409 0.027292 0.029053
10 1 3 0.045 10 1 13 0.26132 0.37 0.026768 0.026822 0 3.3138e-05 0.010296 0.016466 1836.1 100000 0.393 0.026314 0.026887
10 1 3 0.045 10 1 14 0.26132 0.351 0.027373 0.02507 0 3.3598e-05 0.010194 0.014816 1654.2 100000 0.374 0.025984 0.025117
10 1 3 0.045 10 1 15 0.26132 0.329 0.026322 0.023729 0 3.3566e-05 0.010115 0.013554 1498.7 100000 0.36 0.027879 0.023615
10 1 3 0.045 10 1 20 0.26132 0.277 0.018355 0.018481 0 3.2483e-05 0.0094802 0.0089418 963.76 100000 0.294 0.028044 0.018424
10 1 3 0.045 10 1 25 0.26132 0.233 0.013546 0.015749 0 3.2426e-05 0.0092546 0.0064366 678.64 100000 0.235 0.022702 0.015688
10 1 3 0.045 10 1 30 0.26132 0.192 0.011248 0.014209 0 3.2059e-05 0.0091619 0.0049897 496.99 100000 0.196 0.018974 0.013954
10 1 3 0.045 10 1 40 0.26132 0.146 0.010792 0.012092 0 3.2225e-05 0.0089474 0.003088 293.26 100000 0.153 0.013425 0.012023
10 1 3 0.045 10 1 50 0.26132 0.116 0.0086303 0.011053 0 3.1539e-05 0.0088204 0.0021778 187 100000 0.127 0.01088 0.010979
10 1 3 0.045 10 1 60 0.26132 0.092 0.0072081 0.010477 0 2.9996e-05 0.0088116 0.0016129 129.42 100000 0.103 0.0083747 0.010391
10 1 3 0.045 10 1 70 0.26132 0.067 0.0060717 0.010195 0 2.9872e-05 0.0088805 0.0012609 91.34 100000 0.085 0.0063384 0.0099982
10 1 3 0.045 10 1 80 0.26132 0.046 0.0047313 0.0099674 0 3.0087e-05 0.0089224 0.00099156 65.92 100000 0.076 0.0058828 0.009715
10 1 3 0.045 10 1 90 0.26132 0.037 0.0037687 0.0095906 0 2.9444e-05 0.0087417 0.00079688 49.52 100000 0.062 0.0052081 0.0095111
10 1 3 0.045 10 1 100 0.26132 0.033 0.0034455 0.0095463 0 2.8986e-05 0.0088214 0.00067373 38.66 100000 0.051 0.0041404 0.0093764
10 1 3 0.045 10 1 125 0.26132 0.022 0.0019354 0.0092714 0 2.9409e-05 0.0087593 0.0004538 20.75 100000 0.031 0.0031707 0.0091343
10 1 3 0.045 10 1 150 0.26132 0.015 0.0014899 0.0091152 0 3.0883e-05 0.0086877 0.00036375 13.9 100000 0.024 0.0028525 0.0090843
