k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 1 3 0.045 10 1 1 0.114486 0.874 0.0098222 0.9051 0.00011341 2.6881e-05 0.022596 0.88231 30245 100000 0.879 0.010969 0.90392
10 1 3 0.045 10 1 2 0.11449 0.773 0.015728 0.32699 0.00020027 8.8057e-06 0.025544 0.30121 16538 100000 0.794 0.016529 0.32379
10 1 3 0.045 10 1 3 0.11449 0.701 0.022322 0.1497 8.997e-05 7.9507e-06 0.022873 0.1267 11031 100000 0.718 0.019067 0.14778
10 1 3 0.045 10 1 4 0.11449 0.643 0.019647 0.092998 7.4658e-05 8.6031e-06 0.018511 0.074378 8077.8 100000 0.666 0.020044 0.092684
10 1 3 0.045 10 1 5 0.11449 0.609 0.021029 0.069793 3.8707e-05 8.191e-06 0.015911 0.053808 6278.6 100000 0.615 0.018258 0.069921
10 1 3 0.045 10 1 6 0.11449 0.572 0.023248 0.056743 3.2511e-05 8.0946e-06 0.014164 0.042511 5053.5 100000 0.578 0.018097 0.056947
10 1 3 0.045 10 1 7 0.11449 0.532 0.025834 0.048138 2.7053e-05 7.9945e-06 0.012958 0.035117 4185.4 100000 0.544 0.020671 0.048318
10 1 3 0.045 10 1 8 0.11449 0.481 0.025191 0.04193 2.5993e-05 7.9758e-06 0.011972 0.029897 3544.3 100000 0.518 0.019875 0.042194
10 1 3 0.045 10 1 9 0.11449 0.451 0.026969 0.037212 2.5294e-05 7.8524e-06 0.011406 0.025745 3046.4 100000 0.481 0.022363 0.037266
10 1 3 0.045 10 1 10 0.11449 0.425 0.026136 0.033316 2.5008e-05 7.9162e-06 0.011041 0.022215 2632.8 100000 0.459 0.022847 0.033316
10 1 3 0.045 10 1 11 0.11449 0.41 0.02596 0.030325 2.5459e-05 8.1533e-06 0.010509 0.019757 2315.2 100000 0.437 0.024981 0.030344
10 1 3 0.045 10 1 12 0.11449 0.389 0.025837 0.027773 2.4783e-05 7.8599e-06 0.010185 0.01753 2046.2 100000 0.411 0.024221 0.027753
10 1 3 0.045 10 1 13 0.11449 0.369 0.025393 0.027258 2.7904e-05 7.8813e-06 0.01141 0.015785 1821.9 100000 0.394 0.02461 0.026653
