k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time
10 1 11 0.088 25 1 1e-07 2.60943 0.2195 0.077507 0.10519 0 0.0008532 0.025036 0.07906 1130.7 100000 100 100 0.255 0.087503 0.087736
10 1 11 0.088 25 1 1.375e-07 2.6094 0.2195 0.077507 0.087605 0 0.00076683 0.023777 0.062762 1130.7 100000 100 100 0.255 0.087503 0.086765
10 1 11 0.088 25 1 1.75e-07 2.6094 0.2195 0.077507 0.087045 0 0.00076843 0.023441 0.062537 1130.7 100000 100 100 0.255 0.087503 0.08619
10 1 11 0.088 25 1 2.5e-07 2.6094 0.2195 0.077507 0.087159 0 0.0007588 0.023688 0.062422 1130.7 100000 100 100 0.255 0.087503 0.087011
10 1 11 0.088 25 1 3.75e-07 2.6094 0.2195 0.077507 0.087247 0 0.00075873 0.023718 0.062474 1130.7 100000 100 100 0.255 0.087503 0.087068
10 1 11 0.088 25 1 5e-07 2.6094 0.2195 0.077507 0.086952 0 0.00075165 0.023419 0.06249 1130.7 100000 100 100 0.255 0.087503 0.086306
10 1 11 0.088 25 1 7.5e-07 2.6094 0.2195 0.077507 0.087416 0 0.00075546 0.023548 0.062793 1130.7 100000 100 100 0.255 0.087503 0.08648
10 1 11 0.088 25 1 1e-06 2.6094 0.2195 0.077507 0.08745 0 0.0007533 0.023809 0.062595 1130.7 100000 100 100 0.255 0.087503 0.0869
10 1 11 0.088 25 1 1.375e-06 2.6094 0.2195 0.077507 0.087102 0 0.00075247 0.023488 0.062561 1130.7 100000 100 100 0.255 0.087503 0.086207
10 1 11 0.088 25 1 1.75e-06 2.6094 0.2195 0.077507 0.087262 0 0.00076036 0.023581 0.062604 1130.7 100000 100 100 0.255 0.087503 0.0862
10 1 11 0.088 25 1 2.5e-06 2.6094 0.2195 0.077507 0.087529 0 0.00078016 0.023603 0.062846 1130.7 100000 100 100 0.255 0.087503 0.086459
10 1 11 0.088 25 1 3.75e-06 2.6094 0.2195 0.077507 0.087006 0 0.0007583 0.023495 0.062458 1130.7 100000 100 100 0.255 0.087503 0.086878
10 1 11 0.088 25 1 5e-06 2.6094 0.2195 0.077507 0.087828 0 0.00075653 0.023686 0.06308 1130.7 100000 100 100 0.255 0.087503 0.086258
10 1 11 0.088 25 1 7.5e-06 2.6094 0.2195 0.077507 0.086957 0 0.00074833 0.023421 0.062498 1130.7 100000 100 100 0.255 0.087503 0.086164
10 1 11 0.088 25 1 1e-05 2.6094 0.2195 0.077507 0.08675 0 0.00075911 0.023397 0.062291 1130.7 100000 100 100 0.255 0.087503 0.086273
10 1 11 0.088 25 1 1.375e-05 2.6094 0.2195 0.077507 0.087304 0 0.00076614 0.023701 0.062544 1130.7 100000 100 100 0.255 0.087503 0.086837
10 1 11 0.088 25 1 1.75e-05 2.6094 0.2195 0.077507 0.086837 0 0.00077143 0.023417 0.062356 1130.7 100000 100 100 0.255 0.087503 0.088877
10 1 11 0.088 25 1 2.5e-05 2.6094 0.2195 0.077507 0.087999 0 0.00083657 0.024425 0.062439 1130.7 100000 100 100 0.255 0.087503 0.086472
10 1 11 0.088 25 1 3.75e-05 2.6094 0.2195 0.077507 0.086946 0 0.00076242 0.023436 0.062447 1130.7 100000 100 100 0.255 0.087503 0.08621
