k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time
10 1 11 0.088 25 1 1e-07 2.68996 0.2356 0.081094 0.093879 0 0.00089228 0.026567 0.066195 1127.7 100000 100 100 0.2518 0.084922 0.085991
10 1 11 0.088 25 1 1.375e-07 2.69 0.2356 0.081094 0.12781 0 0.00091811 0.039226 0.087106 1127.7 100000 100 100 0.2518 0.084922 0.092583
10 1 11 0.088 25 1 1.75e-07 2.69 0.2356 0.081094 0.088624 0 0.0007647 0.023992 0.063545 1127.7 100000 100 100 0.2518 0.084922 0.086065
10 1 11 0.088 25 1 2.5e-07 2.69 0.2356 0.081094 0.087769 0 0.00076793 0.02395 0.06271 1127.7 100000 100 100 0.2518 0.084922 0.085288
10 1 11 0.088 25 1 3.75e-07 2.69 0.2356 0.081094 0.087635 0 0.0007606 0.023892 0.062656 1127.7 100000 100 100 0.2518 0.084922 0.08536
10 1 11 0.088 25 1 5e-07 2.69 0.2356 0.081094 0.08722 0 0.00077807 0.02381 0.062301 1127.7 100000 100 100 0.2518 0.084922 0.085459
10 1 11 0.088 25 1 7.5e-07 2.69 0.2356 0.081094 0.087289 0 0.00077698 0.023842 0.062348 1127.7 100000 100 100 0.2518 0.084922 0.087066
10 1 11 0.088 25 1 1e-06 2.69 0.2356 0.081094 0.093084 0 0.00078849 0.028306 0.063657 1127.7 100000 100 100 0.2518 0.084922 0.091597
10 1 11 0.088 25 1 1.375e-06 2.69 0.2356 0.081094 0.089457 0 0.00076598 0.024421 0.063916 1127.7 100000 100 100 0.2518 0.084922 0.087259
10 1 11 0.088 25 1 1.75e-06 2.69 0.2356 0.081094 0.087915 0 0.00077495 0.024016 0.062799 1127.7 100000 100 100 0.2518 0.084922 0.086445
10 1 11 0.088 25 1 2.5e-06 2.69 0.2356 0.081094 0.087956 0 0.0007694 0.02411 0.062729 1127.7 100000 100 100 0.2518 0.084922 0.08592
10 1 11 0.088 25 1 3.75e-06 2.69 0.2356 0.081094 0.088145 0 0.00076008 0.024 0.06304 1127.7 100000 100 100 0.2518 0.084922 0.086375
10 1 11 0.088 25 1 5e-06 2.69 0.2356 0.081094 0.089375 0 0.00077989 0.024461 0.0638 1127.7 100000 100 100 0.2518 0.084922 0.085154
10 1 11 0.088 25 1 7.5e-06 2.69 0.2356 0.081094 0.087903 0 0.00077503 0.02397 0.06283 1127.7 100000 100 100 0.2518 0.084922 0.08626
10 1 11 0.088 25 1 1e-05 2.69 0.2356 0.081094 0.093591 0 0.00078184 0.028506 0.063965 1127.7 100000 100 100 0.2518 0.084922 0.091456
10 1 11 0.088 25 1 1.375e-05 2.69 0.2356 0.081094 0.092471 0 0.00087532 0.02627 0.064986 1127.7 100000 100 100 0.2518 0.084922 0.087202
10 1 11 0.088 25 1 1.75e-05 2.69 0.2356 0.081094 0.089079 0 0.00079697 0.024458 0.063487 1127.7 100000 100 100 0.2518 0.084922 0.086448
10 1 11 0.088 25 1 2.5e-05 2.69 0.2356 0.081094 0.088359 0 0.00076126 0.024223 0.063046 1127.7 100000 100 100 0.2518 0.084922 0.086606
10 1 11 0.088 25 1 3.75e-05 2.69 0.2356 0.081094 0.087852 0 0.00076494 0.023979 0.062777 1127.7 100000 100 100 0.2518 0.084922 0.087368
10 1 11 0.088 25 1 5e-05 2.69 0.2356 0.081094 0.087417 0 0.00075998 0.023881 0.062446 1127.7 100000 100 100 0.2518 0.084922 0.085559
10 1 11 0.088 25 1 7.5e-05 2.69 0.2356 0.081094 0.088014 0 0.00077854 0.023998 0.062912 1127.7 100000 100 100 0.2518 0.084922 0.086893
10 1 11 0.088 25 1 0.0001 2.69 0.2356 0.081094 0.092857 0 0.00078319 0.028248 0.063498 1127.7 100000 100 100 0.2518 0.084922 0.090426
10 1 11 0.088 25 1 0.0001375 2.69 0.2356 0.081094 0.087256 0 0.00075352 0.023806 0.062366 1127.7 100000 100 100 0.2518 0.084922 0.086686
10 1 11 0.088 25 1 0.000175 2.69 0.2356 0.081094 0.093019 0 0.00077567 0.028259 0.063659 1127.7 100000 100 100 0.2518 0.084922 0.090392
10 1 11 0.088 25 1 0.00025 2.69 0.2356 0.081094 0.087553 0 0.00075693 0.023876 0.062594 1127.7 100000 100 100 0.2518 0.084922 0.08553
10 1 11 0.088 25 1 0.000375 2.69 0.2318 0.080349 0.090523 0 0.00077796 0.028171 0.061246 1084.5 100000 100 100 0.2497 0.084965 0.08949
10 1 11 0.088 25 1 0.0005 2.69 0.219 0.076916 0.079678 0 0.00075517 0.023923 0.054676 978.91 100000 100 100 0.2367 0.082666 0.077975
10 1 11 0.088 25 1 0.00075 2.69 0.1748 0.067332 0.059662 0 0.00074263 0.023774 0.034835 604.43 100000 100 100 0.1895 0.07051 0.05888
10 1 11 0.088 25 1 0.001 2.69 0.1218 0.052137 0.041858 0 0.00074327 0.023552 0.017271 276.43 100000 100 100 0.1346 0.053616 0.041343
10 1 11 0.088 25 1 0.001375 2.69 0.0845 0.035185 0.032356 0 0.00076437 0.02324 0.0080535 110.01 100000 100 100 0.0934 0.040036 0.031316
10 1 11 0.088 25 1 0.00175 2.69 0.0632 0.026072 0.028113 0 0.00063959 0.022328 0.0048378 57.789 100000 100 100 0.0649 0.027325 0.027464
10 1 11 0.088 25 1 0.0025 2.69 0.0376 0.014621 0.025245 0 0.00046638 0.02184 0.002601 23.06 100000 100 100 0.0434 0.019136 0.024255
10 1 11 0.088 25 1 0.00375 2.69 0.0173 0.0054161 0.023 0 0.00036319 0.021149 0.0012009 7.089 100000 100 100 0.0208 0.0084158 0.022282
10 1 11 0.088 25 1 0.005 2.69 0.0087 0.0021565 0.022225 0 0.00035132 0.021006 0.00064958 2.968 100000 100 100 0.0112 0.0041587 0.021647
10 1 11 0.088 25 1 0.0075 2.69 0.0038 0.00074631 0.021404 0 0.00034749 0.020593 0.00026496 0.852 100000 100 100 0.0037 0.0013577 0.020892
10 1 11 0.088 25 1 0.01 2.69 0.0017 0.00026738 0.021223 0 0.00034471 0.020543 0.0001398 0.295 100000 100 100 0.002 0.0004965 0.020885
10 1 13 0.088 25 1 1e-07 5.67707 0.1472 0.063376 0.045143 0 0.00091477 0.020498 0.023529 314.58 100000 100 100 0.1383 0.058422 0.040939
10 1 13 0.088 25 1 1.375e-07 5.6771 0.1472 0.063376 0.042293 0 0.00084398 0.021269 0.019903 314.58 100000 100 100 0.1383 0.058422 0.041433
10 1 13 0.088 25 1 1.75e-07 5.6771 0.1472 0.063376 0.040464 0 0.00083816 0.019848 0.01958 314.58 100000 100 100 0.1383 0.058422 0.040188
10 1 13 0.088 25 1 2.5e-07 5.6771 0.1472 0.063376 0.040702 0 0.00082846 0.019885 0.019792 314.58 100000 100 100 0.1383 0.058422 0.040097
