k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 5 11 0.088 10 1 1 29.7567 0.5824 0.09014 0.13956 0 0.0014813 0.035522 0.1023 2383.5 100000 0.5981 0.088455 0.12601
10 5 11 0.088 10 1 2 29.757 0.383 0.105 0.056906 0 0.0013712 0.037041 0.018286 387.57 100000 0.399 0.10697 0.054137
10 5 11 0.088 10 1 3 29.757 0.2795 0.097507 0.040111 0 0.0011722 0.031055 0.0076955 137.64 100000 0.2872 0.10002 0.037869
10 5 11 0.088 10 1 4 29.757 0.21 0.07966 0.032969 0 0.00090589 0.027184 0.0046663 68.613 100000 0.2187 0.085065 0.031874
10 5 11 0.088 10 1 5 29.757 0.1629 0.06662 0.029641 0 0.00086171 0.025278 0.003275 40.412 100000 0.1714 0.071313 0.029308
10 5 11 0.088 10 1 6 29.757 0.1308 0.054546 0.027215 0 0.00083788 0.023671 0.0024761 26.176 100000 0.1376 0.058625 0.027015
10 5 11 0.088 10 1 7 29.757 0.108 0.046262 0.026951 0 0.00084047 0.023864 0.0020132 18.141 100000 0.1117 0.049763 0.026353
10 5 11 0.088 10 1 8 29.757 0.0907 0.038682 0.025938 0 0.00084893 0.023254 0.0015999 12.936 100000 0.0933 0.042408 0.025447
10 5 11 0.088 10 1 9 29.757 0.0735 0.03226 0.025513 0 0.00083594 0.023133 0.0013215 9.68 100000 0.0786 0.036258 0.025477
10 5 11 0.088 10 1 10 29.757 0.0608 0.02709 0.025352 0 0.00087674 0.0231 0.0011538 7.348 100000 0.0661 0.030111 0.024753
10 5 11 0.088 10 1 11 29.757 0.0518 0.024181 0.025109 0 0.00086949 0.023067 0.00095542 5.759 100000 0.0566 0.024741 0.024595
10 5 11 0.088 10 1 12 29.757 0.0466 0.02195 0.025777 0 0.00086639 0.023788 0.00086258 4.548 100000 0.0493 0.021461 0.024405
10 5 11 0.088 10 1 13 29.757 0.0399 0.019578 0.024681 0 0.0008395 0.022922 0.00068714 3.682 100000 0.0434 0.018855 0.024245
10 5 11 0.088 10 1 14 29.757 0.0346 0.01698 0.024961 0 0.00085797 0.023249 0.00062304 3.041 100000 0.0378 0.016247 0.024182
10 5 11 0.088 10 1 15 29.757 0.0316 0.015657 0.02477 0 0.00085652 0.02314 0.00054036 2.553 100000 0.0335 0.014302 0.024006
10 5 11 0.088 10 1 16 29.757 0.0279 0.013485 0.024168 0 0.00083197 0.022657 0.00044954 2.125 100000 0.0292 0.01244 0.023964
10 5 11 0.088 10 1 17 29.757 0.0255 0.012532 0.02413 0 0.0008329 0.022678 0.00039647 1.801 100000 0.0261 0.01094 0.02389
10 5 11 0.088 10 1 18 29.757 0.0235 0.011349 0.02434 0 0.00084074 0.022917 0.00036197 1.53 100000 0.0235 0.0098076 0.02385
10 5 11 0.088 10 1 19 29.757 0.0206 0.010106 0.024019 0 0.00083796 0.022635 0.00032514 1.289 100000 0.0205 0.008298 0.023736
10 5 11 0.088 10 1 20 29.757 0.0191 0.0091944 0.024383 0 0.00085591 0.022975 0.00029517 1.11 100000 0.0184 0.0076291 0.023691
10 5 11 0.088 10 1 22 29.757 0.015 0.0066016 0.02418 0 0.00093859 0.022767 0.00025477 0.816 100000 0.0151 0.0064284 0.023561
10 5 11 0.088 10 1 25 29.757 0.0118 0.0049457 0.023936 0 0.00083559 0.022681 0.00019756 0.548 100000 0.0109 0.0050362 0.023499
10 5 11 0.088 10 1 30 29.757 0.0072 0.0025307 0.023978 0 0.00085095 0.022777 0.0001412 0.286 100000 0.0074 0.0031284 0.02346
10 5 11 0.088 10 1 40 29.757 0.0034 0.0010295 0.024736 0 0.00085642 0.023556 9.2428e-05 0.095 100000 0.0027 0.00090361 0.023562
10 5 11 0.088 10 1 50 29.757 0.0013 0.00020852 0.024148 0 0.00084685 0.023017 7.0713e-05 0.028 100000 0.001 0.00023924 0.023436
10 5 11 0.088 10 1 60 29.757 0.0003 2.994e-05 0.024092 0 0.00084472 0.022986 5.7478e-05 0.01 100000 0.0003 2.994e-05 0.023383
10 5 11 0.088 10 1 70 29.757 0.0002 1.998e-05 0.023841 0 0.00083485 0.022751 4.8e-05 0.003 100000 0 0 0.023377
10 5 11 0.088 10 1 80 29.757 0 0 0.023968 0 0.00085456 0.022868 4.8553e-05 0 100000 0 0 0.023669
10 5 11 0.088 10 1 90 29.757 0 0 0.02503 0 0.00086152 0.023919 4.5117e-05 0 100000 0 0 0.024344
10 5 11 0.088 10 1 100 29.757 0 0 0.025259 0 0.00085038 0.024164 4.0337e-05 0 100000 0 0 0.024307
10 5 11 0.088 10 1 125 29.757 0 0 0.024326 0 0.0008479 0.023238 4.0002e-05 0 100000 0 0 0.023829
10 5 11 0.088 10 1 150 29.757 0 0 0.024026 0 0.00085998 0.022923 4.1544e-05 0 100000 0 0 0.023605
10 5 11 0.088 10 1 175 29.757 0 0 0.024283 0 0.00085294 0.023177 4.2233e-05 0 100000 0 0 0.023655
10 5 11 0.088 10 1 200 29.757 0 0 0.024676 0 0.00084189 0.023579 4.0223e-05 0 100000 0 0 0.023876
10 5 11 0.088 10 1 250 29.757 0 0 0.024628 0 0.00086964 0.023507 4.009e-05 0 100000 0 0 0.023763
10 5 11 0.088 10 1 300 29.757 0 0 0.024305 0 0.00085894 0.023198 4.0002e-05 0 100000 0 0 0.023807
10 5 11 0.088 10 1 350 29.757 0 0 0.024543 0 0.00086703 0.023401 4.2572e-05 0 100000 0 0 0.023967
10 5 11 0.088 10 1 400 29.757 0 0 0.024405 0 0.00084138 0.023303 4.0262e-05 0 100000 0 0 0.023635
10 5 11 0.088 10 1 450 29.757 0 0 0.024605 0 0.00085617 0.023505 4.04e-05 0 100000 0 0 0.023872
10 5 11 0.088 10 1 500 29.757 0 0 0.024517 0 0.00086881 0.023379 4.2318e-05 0 100000 0 0 0.023922
10 5 11 0.088 10 1 600 29.757 0 0 0.024087 0 0.00084645 0.022982 4.2309e-05 0 100000 0 0 0.023864
10 5 11 0.088 10 1 700 29.757 0 0 0.024477 0 0.0008449 0.023353 4.0197e-05 0 100000 0 0 0.023807
10 5 11 0.088 10 1 800 29.757 0 0 0.024483 0 0.00085777 0.023339 4.1211e-05 0 100000 0 0 0.023895
10 5 11 0.088 10 1 900 29.757 0 0 0.024474 0 0.0008421 0.023386 4.0252e-05 0 100000 0 0 0.023885
10 5 11 0.088 10 1 1000 29.757 0 0 0.024818 0 0.00084636 0.023725 4.2625e-05 0 100000 0 0 0.023898
10 5 11 0.088 10 1 1250 29.757 0 0 0.02431 0 0.00085571 0.0232 4.0215e-05 0 100000 0 0 0.023616
10 5 11 0.088 10 1 1500 29.757 0 0 0.023831 0 0.00083665 0.022751 3.9972e-05 0 100000 0 0 0.023613
10 5 11 0.088 10 1 2500 29.757 0 0 0.023855 0 0.00083916 0.022754 4.2042e-05 0 100000 0 0 0.023732
10 5 11 0.088 10 1 3000 29.757 0 0 0.023848 0 0.00085414 0.022738 4.2176e-05 0 100000 0 0 0.023306
10 5 13 0.088 10 1 1 35.9138 0.4046 0.097516 0.062723 0 0.002009 0.024028 0.036453 646.77 100000 0.4031 0.10038 0.049374
10 5 13 0.088 10 1 2 35.914 0.2315 0.078797 0.029356 0 0.0014954 0.022196 0.005453 81.077 100000 0.2321 0.08044 0.028338
10 5 13 0.088 10 1 3 35.914 0.1521 0.059275 0.025164 0 0.001069 0.021012 0.0028245 27.108 100000 0.1489 0.058838 0.024464
10 5 13 0.088 10 1 4 35.914 0.1049 0.04437 0.024531 0 0.0010628 0.021322 0.0018812 13.104 100000 0.104 0.044949 0.023501
10 5 13 0.088 10 1 5 35.914 0.0767 0.033541 0.023575 0 0.0010544 0.020962 0.0013061 7.592 100000 0.0774 0.034344 0.022615
10 5 13 0.088 10 1 6 35.914 0.0582 0.02704 0.022726 0 0.0010478 0.020481 0.00095406 4.843 100000 0.0589 0.027668 0.02216
10 5 13 0.088 10 1 7 35.914 0.045 0.020395 0.022273 0 0.0010808 0.020261 0.00070895 3.264 100000 0.0479 0.023359 0.021892
10 5 13 0.088 10 1 8 35.914 0.0364 0.016311 0.022666 0 0.0010818 0.020774 0.0005752 2.319 100000 0.038 0.018695 0.021745
10 5 13 0.088 10 1 9 35.914 0.0292 0.0127 0.021578 0 0.001063 0.019831 0.00044536 1.681 100000 0.031 0.015535 0.021176
10 5 13 0.088 10 1 10 35.914 0.0243 0.01063 0.021975 0 0.0010611 0.020306 0.00035799 1.218 100000 0.0264 0.013497 0.021492
10 5 13 0.088 10 1 11 35.914 0.021 0.0093283 0.0223 0 0.0010726 0.020699 0.00029276 0.951 100000 0.0225 0.011715 0.021754
10 5 13 0.088 10 1 12 35.914 0.0168 0.0075853 0.022409 0 0.0010847 0.020839 0.00025199 0.734 100000 0.0194 0.010014 0.021751
10 5 13 0.088 10 1 13 35.914 0.0151 0.0068689 0.022087 0 0.0010727 0.020555 0.00021897 0.567 100000 0.0158 0.0078582 0.021755
10 5 13 0.088 10 1 14 35.914 0.0119 0.0051736 0.022279 0 0.0010856 0.020783 0.00019103 0.446 100000 0.0132 0.0065723 0.021589
10 5 13 0.088 10 1 15 35.914 0.0104 0.0046365 0.0222 0 0.0010839 0.020722 0.00017848 0.362 100000 0.0113 0.0058682 0.022311
10 5 13 0.088 10 1 16 35.914 0.0087 0.0039182 0.022289 0 0.0010738 0.020845 0.00014023 0.295 100000 0.01 0.0052853 0.021668
10 5 13 0.088 10 1 17 35.914 0.0072 0.0031113 0.021704 0 0.001081 0.020259 0.00013005 0.24 100000 0.0082 0.0044973 0.021216
10 5 13 0.088 10 1 18 35.914 0.0061 0.0028556 0.021456 0 0.0010775 0.020039 0.00011258 0.204 100000 0.0069 0.0038663 0.021163
10 5 13 0.088 10 1 19 35.914 0.0054 0.0025534 0.021684 0 0.0010723 0.020287 0.00010527 0.179 100000 0.0062 0.003465 0.021146
10 5 13 0.088 10 1 20 35.914 0.0047 0.0021501 0.021999 0 0.0010872 0.020591 0.00010213 0.151 100000 0.0052 0.0028558 0.021606
10 5 13 0.088 10 1 22 35.914 0.0036 0.0016887 0.022006 0 0.001083 0.020629 8.1393e-05 0.117 100000 0.004 0.0021461 0.02162
10 5 13 0.088 10 1 25 35.914 0.0027 0.0012239 0.02127 0 0.0010696 0.019922 7.0355e-05 0.085 100000 0.0033 0.0016608 0.021151
10 5 13 0.088 10 1 30 35.914 0.0017 0.00066778 0.02156 0 0.0010744 0.020194 6.0732e-05 0.049 100000 0.0024 0.0010553 0.021019
10 5 13 0.088 10 1 40 35.914 0.001 0.00035936 0.021845 0 0.0011087 0.020441 5.2298e-05 0.024 100000 0.0012 0.0003389 0.021032
10 5 13 0.088 10 1 50 35.914 0.0004 3.988e-05 0.022131 0 0.0010934 0.020775 4.8802e-05 0.007 100000 0.0006 0.00017982 0.021506
10 5 13 0.088 10 1 60 35.914 0 0 0.021665 0 0.001069 0.020343 3.7899e-05 0 100000 0.0001 1e-05 0.021466
10 5 13 0.088 10 1 70 35.914 0 0 0.022124 0 0.0011029 0.020763 4.0649e-05 0 100000 0 0 0.021462
10 5 13 0.088 10 1 80 35.914 0 0 0.022019 0 0.0010868 0.02067 3.9664e-05 0 100000 0 0 0.021457
10 5 13 0.088 10 1 90 35.914 0 0 0.021931 0 0.0011289 0.020531 3.977e-05 0 100000 0 0 0.021444
10 5 13 0.088 10 1 100 35.914 0 0 0.022097 0 0.0010964 0.020742 3.958e-05 0 100000 0 0 0.021449
10 5 13 0.088 10 1 125 35.914 0 0 0.021653 0 0.0010547 0.02032 4.0461e-05 0 100000 0 0 0.021507
10 5 13 0.088 10 1 150 35.914 0 0 0.02242 0 0.0011153 0.021045 3.9771e-05 0 100000 0 0 0.021542
10 5 13 0.088 10 1 175 35.914 0 0 0.022019 0 0.0010768 0.020643 5.3108e-05 0 100000 0 0 0.021457
10 5 13 0.088 10 1 200 35.914 0 0 0.022105 0 0.0010603 0.020791 3.974e-05 0 100000 0 0 0.021433
10 5 13 0.088 10 1 250 35.914 0 0 0.02146 0 0.0010763 0.020127 4.0667e-05 0 100000 0 0 0.021574
10 5 13 0.088 10 1 300 35.914 0 0 0.021497 0 0.0010871 0.020168 3.9359e-05 0 100000 0 0 0.020986
10 5 13 0.088 10 1 350 35.914 0 0 0.021184 0 0.0010685 0.019877 3.9494e-05 0 100000 0 0 0.021072
10 5 13 0.088 10 1 400 35.914 0 0 0.021272 0 0.0010702 0.019959 4.0341e-05 0 100000 0 0 0.021003
10 5 13 0.088 10 1 450 35.914 0 0 0.025019 0 0.0011829 0.023583 4.1973e-05 0 100000 0 0 0.023917
10 5 13 0.088 10 1 500 35.914 0 0 0.022406 0 0.0011371 0.021028 3.9631e-05 0 100000 0 0 0.021012
10 5 13 0.088 10 1 600 35.914 0 0 0.021199 0 0.0010777 0.019882 3.9389e-05 0 100000 0 0 0.021017
10 5 13 0.088 10 1 700 35.914 0 0 0.021274 0 0.0010664 0.019953 3.9379e-05 0 100000 0 0 0.020722
10 5 13 0.088 10 1 800 35.914 0 0 0.021192 0 0.0010706 0.01988 4.03e-05 0 100000 0 0 0.020754
10 5 13 0.088 10 1 900 35.914 0 0 0.020959 0 0.0010694 0.019637 3.8926e-05 0 100000 0 0 0.020689
