k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 25 3.57825 0.6139 0.074852 22.177 0.6142 0.075874 20.947 15 40 58 83 102 115 109 109 119 118 132 
10 1 50 3.5783 0.6139 0.074852 20.978 0.6142 0.075874 20.608 15 40 58 83 102 115 109 109 119 118 132 
10 1 100 3.5783 0.6139 0.074852 20.708 0.6142 0.075874 20.766 15 40 58 83 102 115 109 109 119 118 132 
10 1 200 3.5783 0.6139 0.074852 20.798 0.6142 0.075874 20.748 15 40 58 83 102 115 109 109 119 118 132 
10 1 400 3.5783 0.6139 0.074852 20.727 0.6142 0.075874 20.611 15 40 58 83 102 115 109 109 119 118 132 
10 1 1000 3.5783 0.6139 0.074852 20.788 0.6142 0.075874 20.607 15 40 58 83 102 115 109 109 119 118 132 
10 1 2000 3.5783 0.6139 0.074852 20.852 0.6142 0.075874 20.56 15 40 58 83 102 115 109 109 119 118 132 
10 1 4000 3.5783 0.6262 0.075389 21.596 0.6238 0.075809 21.495 14 37 57 78 98 114 106 107 120 120 149 
10 1 10000 3.5783 0.8352 0.038259 42.685 0.8409 0.039897 43.017 1 1 8 10 47 42 64 92 145 181 409 
10 1 20000 3.5783 0.9386 0.015045 73.679 0.9352 0.015436 73.305 1 0 0 4 5 12 18 44 69 144 703 
10 1 40000 3.5783 0.9917 0.0017629 136.06 0.9924 0.00090314 140.79 0 0 0 0 1 1 2 2 7 44 943 
10 1 100000 3.5783 0.9999 1e-05 318.3 1 0 314.9 0 0 0 0 0 0 0 0 0 1 999 
10 1 200000 3.5783 0.9999 1e-05 313 1 0 313.67 0 0 0 0 0 0 0 0 0 1 999 
10 1 400000 3.5783 0.9999 1e-05 322.89 1 0 316.18 0 0 0 0 0 0 0 0 0 1 999 
10 5 25 7.66432 0.7911 0.048599 21.053 0.7833 0.051903 20.996 2 8 14 31 48 44 82 118 138 202 313 
10 5 50 7.6643 0.7911 0.048599 20.933 0.7833 0.051903 21.003 2 8 14 31 48 44 82 118 138 202 313 
10 5 100 7.6643 0.7911 0.048599 25.072 0.7833 0.051903 21.5 2 8 14 31 48 44 82 118 138 202 313 
10 5 200 7.6643 0.7911 0.048599 30.654 0.7833 0.051903 21.675 2 8 14 31 48 44 82 118 138 202 313 
10 5 400 7.6643 0.7911 0.048599 21.58 0.7833 0.051903 21.599 2 8 14 31 48 44 82 118 138 202 313 
10 5 1000 7.6643 0.7911 0.048599 21.612 0.7833 0.051903 21.609 2 8 14 31 48 44 82 118 138 202 313 
10 5 2000 7.6643 0.7911 0.048599 21.633 0.7833 0.051903 21.562 2 8 14 31 48 44 82 118 138 202 313 
10 5 4000 7.6643 0.7912 0.048591 21.556 0.7833 0.051903 21.619 2 8 14 31 48 44 82 117 139 202 313 
10 5 10000 7.6643 0.8929 0.024344 35.308 0.8867 0.02706 35.084 1 2 2 7 16 15 33 73 127 202 522 
10 5 20000 7.6643 0.9407 0.013567 50.365 0.9423 0.014255 50.422 0 0 0 5 6 11 11 35 81 156 695 
10 5 40000 7.6643 0.9792 0.0042516 82.476 0.9822 0.0045877 79.038 0 0 0 1 1 2 4 9 23 96 864 
10 5 100000 7.6643 0.9991 8.9279e-05 150.63 0.9982 0.00037714 150.57 0 0 0 0 0 0 0 0 0 9 991 
10 5 200000 7.6643 0.9998 1.998e-05 246.83 1 0 229.65 0 0 0 0 0 0 0 0 0 2 998 
10 5 400000 7.6643 0.9999 1e-05 334.91 1 0 330.37 0 0 0 0 0 0 0 0 0 1 999 
10 10 25 17.0447 0.8229 0.039665 25.064 0.8206 0.043139 25.157 2 4 8 19 33 43 68 108 150 209 356 
10 10 50 17.045 0.8229 0.039665 25.051 0.8206 0.043139 25.175 2 4 8 19 33 43 68 108 150 209 356 
10 10 100 17.045 0.8229 0.039665 24.973 0.8206 0.043139 25.253 2 4 8 19 33 43 68 108 150 209 356 
10 10 200 17.045 0.8229 0.039665 25.029 0.8206 0.043139 25.309 2 4 8 19 33 43 68 108 150 209 356 
10 10 400 17.045 0.8229 0.039665 24.972 0.8206 0.043139 25.274 2 4 8 19 33 43 68 108 150 209 356 
10 10 1000 17.045 0.8229 0.039665 25.082 0.8206 0.043139 25.17 2 4 8 19 33 43 68 108 150 209 356 
10 10 2000 17.045 0.8229 0.039665 25.115 0.8206 0.043139 26.016 2 4 8 19 33 43 68 108 150 209 356 
10 10 4000 17.045 0.8232 0.039621 26.704 0.8209 0.042856 22.942 2 4 8 19 33 43 67 108 150 210 356 
10 10 10000 17.045 0.9058 0.020807 33.147 0.9008 0.022822 32.785 0 0 1 6 15 13 34 63 110 192 566 
10 10 20000 17.045 0.9465 0.011479 45.747 0.9451 0.011828 45.099 0 0 0 3 3 8 15 34 69 156 712 
10 10 40000 17.045 0.976 0.0046486 85.872 0.9758 0.0052196 76.865 0 0 0 0 1 4 4 8 38 98 847 
