k m efc search build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 4 100 10 20.8602 0.4652 0.08141 0.43173 0.4611 0.081498 0.42737 101 73 95 85 118 120 119 102 85 66 36 
10 4 100 20 20.86 0.6195 0.074084 0.67099 0.6175 0.071956 0.65926 35 27 55 64 87 108 114 132 141 128 109 
10 4 100 40 20.86 0.7219 0.057768 1.2347 0.7346 0.052215 1.2236 13 9 24 46 51 87 100 136 172 163 199 
10 4 100 60 20.86 0.7665 0.045673 1.6588 0.7771 0.042408 1.4684 3 4 16 29 38 79 99 124 178 191 239 
10 4 100 80 20.86 0.7899 0.040549 1.8751 0.7983 0.038045 1.9131 2 2 8 24 36 69 89 115 183 203 269 
10 4 100 100 20.86 0.8035 0.037235 2.2995 0.8146 0.035102 2.3027 2 1 5 16 36 65 79 121 179 206 290 
10 4 100 120 20.86 0.8157 0.033517 2.6703 0.8237 0.033462 2.6508 1 1 3 13 30 52 83 123 176 216 302 
10 4 100 200 20.86 0.843 0.027478 4.0124 0.8473 0.028301 4.1191 0 0 2 6 20 44 66 107 181 225 349 
10 4 100 400 20.86 0.8677 0.022449 7.2762 0.8691 0.023078 6.6535 0 0 0 2 13 34 63 68 176 253 391 
10 4 100 600 20.86 0.8773 0.020695 9.4576 0.8789 0.020806 9.2901 0 0 0 2 11 27 55 67 165 261 412 
10 4 100 800 20.86 0.881 0.019679 12.001 0.8847 0.019315 11.904 0 0 0 1 11 23 52 67 167 259 420 
10 4 100 1000 20.86 0.8841 0.019176 14.629 0.8877 0.018597 14.674 0 0 0 1 11 21 49 63 171 254 430 
10 4 100 1200 20.86 0.8867 0.018692 17.353 0.8897 0.018122 17.39 0 0 0 0 12 19 48 63 162 261 435 
10 4 100 1500 20.86 0.8892 0.018001 21.541 0.8925 0.017551 21.518 0 0 0 0 10 17 47 67 156 262 441 
10 4 100 2000 20.86 0.8927 0.017474 28.958 0.8949 0.017301 28.931 0 0 0 0 10 17 40 66 154 262 451 
10 4 500 10 93.3928 0.4895 0.074694 0.39259 0.487 0.075366 0.38841 70 58 89 107 127 116 123 113 90 69 38 
10 4 500 20 93.393 0.6545 0.062142 0.63329 0.6563 0.063444 0.63009 14 18 38 61 92 102 131 127 155 145 117 
10 4 500 40 93.393 0.7725 0.042977 1.0651 0.7802 0.04183 1.0523 3 4 14 22 47 67 92 115 192 229 215 
10 4 500 60 93.393 0.8243 0.031531 1.473 0.827 0.032924 1.4602 1 1 1 16 22 53 79 94 179 265 289 
10 4 500 80 93.393 0.8496 0.026867 1.8672 0.8522 0.026081 1.8665 1 1 1 9 12 39 67 98 157 271 344 
10 4 500 100 93.393 0.8662 0.023381 2.2334 0.8677 0.02301 2.2223 1 0 1 3 14 28 58 89 153 270 383 
10 4 500 120 93.393 0.8801 0.020695 2.5852 0.881 0.019599 2.5859 1 0 0 2 11 21 49 85 142 269 420 
10 4 500 200 93.393 0.9075 0.015729 4.1812 0.9065 0.015083 3.9356 1 0 0 0 5 14 25 74 119 255 507 
10 4 500 400 93.393 0.9315 0.010328 7.1357 0.9309 0.010346 7.0923 0 0 0 0 1 8 13 44 103 249 582 
10 4 500 600 93.393 0.9411 0.0089497 10.277 0.9399 0.0087067 10.58 0 0 0 0 1 4 12 38 85 231 629 
10 4 500 800 93.393 0.9459 0.0081313 13.712 0.9464 0.0075746 13.574 0 0 0 0 1 3 8 36 81 218 653 
10 4 500 1000 93.393 0.9494 0.0076473 16.666 0.9511 0.0068857 16.524 0 0 0 0 1 3 8 30 74 215 669 
10 4 500 1200 93.393 0.9529 0.0069385 19.686 0.9542 0.0063887 19.718 0 0 0 0 0 4 5 28 68 211 684 
10 4 500 1500 93.393 0.9555 0.0064762 24.117 0.9564 0.0060851 24.194 0 0 0 0 0 3 5 26 62 208 696 
10 4 500 2000 93.393 0.9597 0.0056516 32.07 0.9588 0.0058084 32.137 0 0 0 0 0 2 4 21 55 204 714 
10 8 100 10 34.657 0.5989 0.079128 0.64602 0.5957 0.07847 0.64962 43 41 59 64 83 116 112 127 126 133 96 
10 8 100 20 34.657 0.7435 0.056154 1.0406 0.752 0.05401 1.0409 8 13 26 26 57 67 111 121 156 182 233 
10 8 100 40 34.657 0.8299 0.037293 1.9831 0.8348 0.037066 1.7828 3 1 5 17 31 42 73 106 150 197 375 
10 8 100 60 34.657 0.8644 0.02776 2.5775 0.8649 0.028947 2.3588 1 0 3 10 17 28 51 100 148 210 432 
10 8 100 80 34.657 0.8821 0.023113 3.0044 0.8785 0.024853 2.9336 1 0 1 4 15 20 48 84 138 223 466 
10 8 100 100 34.657 0.8941 0.019435 3.5001 0.89 0.021822 3.4843 0 0 1 2 10 18 41 75 131 236 486 
10 8 100 120 34.657 0.9027 0.01758 4.0214 0.9004 0.018318 4.0517 0 0 0 1 7 19 38 66 123 233 513 
10 8 100 200 34.657 0.9158 0.014625 5.9509 0.917 0.014205 5.8771 0 0 0 0 5 13 30 56 111 237 548 
10 8 100 400 34.657 0.9291 0.011635 9.867 0.9318 0.0108 11.729 0 0 0 0 4 5 25 38 104 238 586 
10 8 100 600 34.657 0.9337 0.010505 15.919 0.9365 0.0098876 15.54 0 0 0 0 2 4 22 37 100 232 603 
10 8 100 800 34.657 0.9361 0.0099167 18.384 0.9383 0.0094526 18.49 0 0 0 0 1 2 23 37 96 228 613 
10 8 100 1000 34.657 0.9381 0.0095279 22.207 0.9388 0.0093239 22.162 0 0 0 0 1 2 19 38 95 223 622 
10 8 100 1200 34.657 0.9395 0.0091789 25.968 0.9399 0.0091071 25.951 0 0 0 0 1 2 17 37 91 228 624 
10 8 100 1500 34.657 0.9414 0.0086947 31.877 0.9408 0.0089043 29.549 0 0 0 0 1 2 13 36 92 226 630 
10 8 100 2000 34.657 0.9426 0.0084737 38.211 0.9416 0.0086781 38.244 0 0 0 0 1 2 13 33 89 229 633 
10 8 500 10 132.503 0.6201 0.068234 0.75699 0.6341 0.063471 0.79638 23 35 48 60 98 101 134 135 137 142 87 
10 8 500 20 132.5 0.791 0.039819 1.1444 0.7943 0.038916 1.1477 1 4 10 13 48 59 89 121 179 213 263 
10 8 500 40 132.5 0.8802 0.022551 2.1652 0.8818 0.022912 1.8302 1 0 0 2 13 27 52 81 138 234 452 
10 8 500 60 132.5 0.9091 0.016704 2.7174 0.9117 0.016289 2.4946 1 0 0 1 6 13 31 66 123 223 536 
10 8 500 80 132.5 0.9263 0.013452 3.1007 0.9249 0.012923 3.0992 1 0 0 0 4 11 18 48 108 216 594 
10 8 500 100 132.5 0.9352 0.011032 3.7316 0.9345 0.01069 3.6824 0 0 0 0 4 5 18 39 102 206 626 
10 8 500 120 132.5 0.9428 0.0096578 4.6044 0.941 0.0095085 4.257 0 0 0 0 2 6 14 34 84 204 656 
10 8 500 200 132.5 0.9551 0.0070811 6.3173 0.9546 0.0069458 6.3406 0 0 0 0 1 5 5 23 66 197 703 
10 8 500 400 132.5 0.9672 0.0050692 11.706 0.9659 0.0049521 10.832 0 0 0 0 1 1 4 14 52 155 773 
10 8 500 600 132.5 0.9725 0.004238 15.223 0.9714 0.0042663 14.846 0 0 0 0 1 1 2 10 45 136 805 
10 8 500 800 132.5 0.9755 0.0038336 18.75 0.9742 0.0037581 18.691 0 0 0 0 1 1 2 7 41 123 825 
10 8 500 1000 132.5 0.9772 0.0035837 22.428 0.9767 0.0034506 22.362 0 0 0 0 1 1 2 6 36 119 835 
10 8 500 1200 132.5 0.9783 0.0033625 26.097 0.9785 0.0030508 26.128 0 0 0 0 1 0 3 5 35 114 842 
10 8 500 1500 132.5 0.9796 0.003207 31.818 0.9793 0.0029445 31.55 0 0 0 0 1 0 3 4 34 106 852 
10 8 500 2000 132.5 0.9807 0.0029605 40.77 0.9803 0.0028448 40.789 0 0 0 0 1 0 2 5 28 108 856 
10 12 100 10 43.8792 0.6527 0.073887 0.89602 0.6752 0.067512 0.88518 22 28 48 66 82 90 110 108 143 163 140 
10 12 100 20 43.879 0.796 0.049033 1.3953 0.807 0.046137 1.4058 8 7 12 22 38 57 76 123 135 191 331 
10 12 100 40 43.879 0.8704 0.029113 2.3777 0.8789 0.028093 2.2943 1 1 6 6 21 31 38 95 133 203 465 
10 12 100 60 43.879 0.8969 0.021782 3.0582 0.905 0.020455 3.1011 1 1 1 4 13 20 33 64 126 222 515 
10 12 100 80 43.879 0.9128 0.017494 3.7709 0.918 0.016733 3.8268 0 0 1 4 9 13 27 50 129 201 566 
10 12 100 100 43.879 0.922 0.014871 4.4541 0.9255 0.015095 4.4867 0 0 1 2 5 12 25 39 125 201 590 
10 12 100 120 43.879 0.9286 0.013255 5.1011 0.9319 0.012725 5.1426 0 0 0 2 5 9 22 35 116 200 611 
10 12 100 200 43.879 0.9431 0.009582 7.5498 0.9435 0.010148 7.5323 0 0 0 0 4 1 17 32 88 200 658 
10 12 100 400 43.879 0.9551 0.0072212 12.398 0.9545 0.0073271 12.132 0 0 0 0 2 0 10 27 66 184 711 
10 12 100 600 43.879 0.9581 0.0065409 16.498 0.958 0.0066827 16.569 0 0 0 0 1 1 6 27 63 177 725 
10 12 100 800 43.879 0.96 0.0061662 20.685 0.9598 0.0063904 20.773 0 0 0 0 1 1 6 23 58 180 731 
10 12 100 1000 43.879 0.9618 0.0057065 24.691 0.9612 0.0062408 24.852 0 0 0 0 0 2 4 23 54 179 738 
10 12 100 1200 43.879 0.9627 0.0055242 28.707 0.9625 0.0060898 28.795 0 0 0 0 0 1 5 22 53 176 743 
10 12 100 1500 43.879 0.9639 0.0053321 34.542 0.9632 0.0060118 34.695 0 0 0 0 0 1 5 20 51 174 749 
10 12 100 2000 43.879 0.9649 0.0051832 44.399 0.964 0.0057898 44.679 0 0 0 0 0 1 5 18 51 170 755 
10 12 500 10 149.325 0.6943 0.059717 1.016 0.7089 0.055626 0.99914 17 12 31 47 67 74 124 137 175 173 143 
10 12 500 20 149.32 0.8423 0.031052 1.5968 0.846 0.034639 1.608 2 2 2 10 19 46 52 116 173 207 371 
10 12 500 40 149.32 0.9161 0.014766 2.9452 0.9167 0.01841 2.7151 0 0 1 2 1 16 23 56 119 233 549 
10 12 500 60 149.32 0.9383 0.010454 3.7919 0.9411 0.012253 3.5929 0 0 0 1 1 6 19 35 89 215 634 
10 12 500 80 149.32 0.9493 0.008468 4.4218 0.9533 0.0089981 4.4449 0 0 0 0 1 5 12 27 80 187 688 
10 12 500 100 149.32 0.9568 0.0069007 5.413 0.9589 0.007228 5.2469 0 0 0 0 0 3 10 20 72 173 722 
10 12 500 120 149.32 0.9608 0.0062296 5.984 0.9635 0.0061639 5.9857 0 0 0 0 0 3 7 20 60 169 741 
10 12 500 200 149.32 0.972 0.0044004 8.7205 0.9747 0.0037537 8.754 0 0 0 0 0 3 2 11 44 136 804 
10 12 500 400 149.32 0.9782 0.0033281 14.354 0.9806 0.0027264 13.909 0 0 0 0 0 1 3 9 26 122 839 
10 12 500 600 149.32 0.9819 0.0027852 18.451 0.9837 0.0022466 18.499 0 0 0 0 0 1 2 8 19 106 864 
10 12 500 800 149.32 0.9833 0.0026738 22.889 0.9859 0.0019531 22.95 0 0 0 0 0 1 2 8 18 94 877 
10 12 500 1000 149.32 0.9847 0.0023182 27.108 0.9871 0.0017253 27.164 0 0 0 0 0 1 1 4 23 86 885 
10 12 500 1200 149.32 0.9861 0.0020388 31.339 0.9875 0.0015953 31.348 0 0 0 0 0 1 1 2 20 84 892 
10 12 500 1500 149.32 0.9877 0.0017004 37.586 0.9879 0.0015652 37.643 0 0 0 0 0 0 1 3 16 78 902 
10 12 500 2000 149.32 0.9892 0.0014448 47.768 0.9888 0.001396 47.78 0 0 0 0 0 0 1 2 12 74 911 
10 16 100 10 50.7543 0.6806 0.070474 1.1938 0.703 0.066057 1.2668 15 21 48 60 71 94 84 108 156 183 160 
10 16 100 20 50.754 0.8248 0.042127 1.9201 0.8291 0.041845 1.9316 2 2 11 22 33 47 75 94 134 189 391 
10 16 100 40 50.754 0.8998 0.022543 2.6536 0.8989 0.024093 2.587 1 0 3 5 10 24 35 61 110 210 541 
10 16 100 60 50.754 0.9232 0.015737 3.3963 0.9222 0.016824 3.4345 1 0 0 2 3 18 25 47 94 207 603 
10 16 100 80 50.754 0.937 0.012443 4.1847 0.9363 0.012845 4.2154 1 0 0 1 1 12 16 39 91 184 655 
10 16 100 100 50.754 0.9443 0.010258 4.9092 0.9448 0.010443 4.9783 0 0 0 1 1 7 18 33 76 186 678 
10 16 100 120 50.754 0.9488 0.0090876 5.5956 0.9484 0.009587 5.6578 0 0 0 0 1 6 17 27 71 185 693 
10 16 100 200 50.754 0.959 0.0068258 8.171 0.9591 0.0065037 8.2408 0 0 0 0 1 3 8 24 55 175 734 
10 16 100 400 50.754 0.9681 0.0049173 13.649 0.9685 0.0046024 13.696 0 0 0 0 0 1 5 15 52 145 782 
10 16 100 600 50.754 0.9706 0.0044601 18.47 0.9715 0.0041019 18.56 0 0 0 0 0 1 4 13 46 142 794 
10 16 100 800 50.754 0.9719 0.0042446 22.993 0.973 0.0038549 23.051 0 0 0 0 0 1 4 11 44 139 801 
10 16 100 1000 50.754 0.9727 0.0041088 27.325 0.9738 0.0037773 27.469 0 0 0 0 0 1 4 11 39 141 804 
10 16 100 1200 50.754 0.9735 0.0039117 31.581 0.9741 0.0037029 31.719 0 0 0 0 0 1 4 9 37 143 806 
10 16 100 1500 50.754 0.9743 0.0038133 37.792 0.9748 0.0036086 37.897 0 0 0 0 0 1 4 9 34 141 811 
10 16 100 2000 50.754 0.9748 0.0036886 48.121 0.9753 0.0035635 48.313 0 0 0 0 0 1 4 7 35 140 813 
10 16 500 10 177.473 0.731 0.049749 1.2891 0.7443 0.050918 1.2951 5 9 18 38 57 81 112 133 171 213 163 
10 16 500 20 177.47 0.8677 0.026593 2.0559 0.8761 0.026245 1.9536 1 0 8 5 13 23 54 92 143 243 418 
10 16 500 40 177.47 0.9406 0.010282 3.3474 0.9389 0.011428 3.0478 0 0 1 0 0 9 16 30 89 209 646 
10 16 500 60 177.47 0.957 0.0072583 4.4101 0.9573 0.0075543 4.0521 0 0 1 0 0 3 9 22 62 181 722 
10 16 500 80 177.47 0.9648 0.0059469 4.9989 0.9682 0.0045934 5.013 0 0 1 0 0 1 7 19 46 162 764 
10 16 500 100 177.47 0.9706 0.0045202 5.8732 0.9735 0.0035913 5.9119 0 0 0 0 0 0 5 18 38 144 795 
10 16 500 120 177.47 0.9741 0.0039431 6.6872 0.9769 0.0029593 6.69 0 0 0 0 0 0 3 17 32 132 816 
10 16 500 200 177.47 0.9791 0.0030763 9.5885 0.9821 0.0022318 9.647 0 0 0 0 0 0 3 8 29 115 845 
10 16 500 400 177.47 0.9856 0.0019346 15.743 0.9874 0.0015228 15.784 0 0 0 0 0 0 1 5 14 97 883 
10 16 500 600 177.47 0.9879 0.0015652 21.061 0.9893 0.0012968 21.099 0 0 0 0 0 0 1 3 10 88 898 
10 16 500 800 177.47 0.9889 0.0014482 25.929 0.9899 0.0011892 25.972 0 0 0 0 0 0 1 3 8 82 906 
10 16 500 1000 177.47 0.9895 0.0013411 30.596 0.9905 0.0011209 30.636 0 0 0 0 0 0 1 2 8 79 910 
10 16 500 1200 177.47 0.9904 0.0012291 35.114 0.9908 0.0010364 35.133 0 0 0 0 0 0 1 2 6 74 917 
10 16 500 1500 177.47 0.9911 0.0010919 41.66 0.9914 0.00096701 41.689 0 0 0 0 0 0 0 3 5 70 922 
10 16 500 2000 177.47 0.9914 0.0010271 52.94 0.992 0.00087688 52.558 0 0 0 0 0 0 0 2 6 68 924 
10 24 100 10 59.9897 0.7153 0.065181 1.3687 0.7254 0.060996 1.3223 19 15 26 46 61 80 101 108 151 196 197 
10 24 100 20 59.99 0.8502 0.036536 2.2497 0.8532 0.035685 2.0782 1 3 11 8 28 40 58 96 113 203 439 
10 24 100 40 59.99 0.9169 0.018263 3.2942 0.9171 0.017936 3.3401 0 0 3 2 10 16 24 58 88 207 592 
10 24 100 60 59.99 0.9393 0.011937 4.369 0.9388 0.012988 4.4596 0 0 0 1 4 13 14 35 77 196 660 
10 24 100 80 59.99 0.9507 0.0089685 5.3647 0.9482 0.010788 5.4276 0 0 0 1 0 8 11 30 66 180 704 
10 24 100 100 59.99 0.9575 0.0074112 6.2335 0.955 0.0086036 6.4501 0 0 0 0 1 6 9 18 65 169 732 
10 24 100 120 59.99 0.9619 0.0063247 7.1326 0.9579 0.0080256 7.2085 0 0 0 0 0 4 8 17 59 160 752 
10 24 100 200 59.99 0.9711 0.0043391 10.252 0.9657 0.0058994 10.133 0 0 0 0 0 1 5 10 44 146 794 
10 24 100 400 59.99 0.9773 0.003298 16.027 0.9728 0.0045647 16.043 0 0 0 0 0 1 1 8 37 120 833 
10 24 100 600 59.99 0.9802 0.0028108 21.543 0.9753 0.0040239 21.413 0 0 0 0 0 1 0 7 30 112 850 
10 24 100 800 59.99 0.9814 0.0026167 26.283 0.9767 0.0037909 26.5 0 0 0 0 0 1 0 5 30 106 858 
10 24 100 1000 59.99 0.9822 0.0025257 31.065 0.9776 0.0035818 31.247 0 0 0 0 0 1 0 5 28 102 864 
10 24 100 1200 59.99 0.9825 0.0025063 35.629 0.9781 0.0034338 35.921 0 0 0 0 0 1 0 5 28 99 867 
10 24 100 1500 59.99 0.9829 0.00244 42.406 0.9787 0.0032596 42.493 0 0 0 0 0 1 0 5 26 99 869 
10 24 100 2000 59.99 0.9834 0.0023268 53.767 0.9791 0.0031563 53.699 0 0 0 0 0 0 1 5 26 95 873 
10 24 500 10 201.074 0.7752 0.043669 1.542 0.7794 0.043499 1.5368 4 2 17 26 39 56 102 127 172 225 230 
10 24 500 20 201.07 0.8984 0.020718 2.4473 0.9007 0.02087 2.4518 0 2 3 2 10 16 32 73 124 225 513 
10 24 500 40 201.07 0.9545 0.0084282 3.9635 0.9521 0.0091848 4.0279 0 0 0 1 3 3 10 25 66 168 724 
10 24 500 60 201.07 0.9698 0.0049329 5.2893 0.9687 0.0057561 5.2933 0 0 0 0 0 1 8 11 50 132 798 
10 24 500 80 201.07 0.9765 0.0036814 6.3981 0.9746 0.0045594 6.4741 0 0 0 0 0 1 3 9 39 113 835 
10 24 500 100 201.07 0.9807 0.0028404 7.4738 0.9785 0.0031709 7.5623 0 0 0 0 0 1 2 3 33 105 856 
10 24 500 120 201.07 0.983 0.0023734 8.5285 0.9806 0.0027664 8.5934 0 0 0 0 0 1 0 3 29 98 869 
10 24 500 200 201.07 0.9867 0.001895 11.858 0.986 0.0019459 11.677 0 0 0 0 0 1 0 2 21 80 896 
10 24 500 400 201.07 0.9902 0.0013453 18.475 0.99 0.0013413 18.586 0 0 0 0 0 1 0 1 10 70 918 
10 24 500 600 201.07 0.9911 0.0011119 24.466 0.9914 0.0010271 24.629 0 0 0 0 0 0 1 0 9 67 923 
10 24 500 800 201.07 0.9926 0.00096621 29.834 0.9922 0.00096012 29.921 0 0 0 0 0 0 1 0 8 54 937 
10 24 500 1000 201.07 0.9929 0.00094053 34.845 0.9925 0.00091466 34.998 0 0 0 0 0 0 1 0 8 51 940 
10 24 500 1200 201.07 0.993 0.00093193 43.107 0.993 0.00083183 45.065 0 0 0 0 0 0 1 0 8 50 941 
10 24 500 1500 201.07 0.9933 0.00090602 50.501 0.9933 0.0007859 49.038 0 0 0 0 0 0 1 0 8 47 944 
10 24 500 2000 201.07 0.9941 0.00075595 58.569 0.9938 0.00072228 58.76 0 0 0 0 0 0 0 1 7 42 950 
10 36 100 10 71.9113 0.7443 0.058446 1.7588 0.7479 0.055411 1.8018 12 15 24 33 41 74 99 123 147 204 228 
10 36 100 20 71.911 0.8725 0.030885 2.7663 0.8739 0.029999 2.7502 1 2 3 12 17 32 57 79 111 190 496 
10 36 100 40 71.911 0.9359 0.013415 4.3248 0.9319 0.015548 4.3732 0 0 1 1 3 9 28 43 74 174 667 
10 36 100 60 71.911 0.9547 0.0081861 5.7048 0.9567 0.0087038 5.765 0 0 1 0 0 5 8 34 57 172 723 
10 36 100 80 71.911 0.9642 0.0060044 6.9242 0.9656 0.0065832 7.0453 0 0 0 0 0 4 6 19 52 153 766 
10 36 100 100 71.911 0.9715 0.0043821 8.11 0.9721 0.0052568 8.2197 0 0 0 0 0 1 4 14 41 140 800 
10 36 100 120 71.911 0.9751 0.0037738 9.161 0.976 0.0043884 9.5261 0 0 0 0 0 1 1 14 37 124 823 
10 36 100 200 71.911 0.9828 0.0027069 11.536 0.9803 0.0037657 11.569 0 0 0 0 0 1 1 7 27 88 876 
10 36 100 400 71.911 0.9866 0.0019824 18.322 0.9847 0.0025985 18.597 0 0 0 0 0 0 2 3 20 77 898 
10 36 100 600 71.911 0.9883 0.0016948 24.75 0.9865 0.0020898 24.646 0 0 0 0 0 0 1 4 15 71 909 
10 36 100 800 71.911 0.989 0.0016206 29.839 0.987 0.002033 33.794 0 0 0 0 0 0 1 4 14 66 915 
10 36 100 1000 71.911 0.9891 0.0016128 39.272 0.9875 0.0019357 36.425 0 0 0 0 0 0 1 4 14 65 916 
10 36 100 1200 71.911 0.9892 0.0015849 39.685 0.9881 0.0018302 40.107 0 0 0 0 0 0 1 4 13 66 916 
10 36 100 1500 71.911 0.9897 0.0015054 47.156 0.9884 0.0017872 46.904 0 0 0 0 0 0 1 4 11 65 919 
10 36 100 2000 71.911 0.99 0.0014615 58.256 0.989 0.0017007 58.456 0 0 0 0 0 0 1 4 10 64 921 
10 36 500 10 209.185 0.8028 0.03827 2.1429 0.807 0.037448 2.0823 1 5 11 22 29 48 61 136 186 237 264 
10 36 500 20 209.18 0.9177 0.015752 3.2337 0.9222 0.017024 3.4079 0 0 0 3 5 18 10 77 105 201 581 
10 36 500 40 209.18 0.9647 0.0060299 5.4637 0.9636 0.0082233 6.0821 0 0 0 1 1 3 3 16 55 155 766 
10 36 500 60 209.18 0.9777 0.0035162 8.4929 0.9766 0.0050775 7.2143 0 0 0 0 0 2 3 4 39 111 841 
10 36 500 80 209.18 0.9836 0.0023334 8.4684 0.9835 0.0026804 8.2195 0 0 0 0 0 0 2 3 27 93 875 
10 36 500 100 209.18 0.9867 0.0017749 9.3658 0.9857 0.0022678 9.3322 0 0 0 0 0 0 1 1 22 82 894 
10 36 500 120 209.18 0.9886 0.0015316 10.625 0.9867 0.0021352 10.517 0 0 0 0 0 0 1 1 17 73 908 
10 36 500 200 209.18 0.992 0.001037 14.412 0.9902 0.0016656 14.724 0 0 0 0 0 0 1 0 9 58 932 
10 36 500 400 209.18 0.9935 0.00086862 23.301 0.9929 0.0010807 25.457 0 0 0 0 0 0 1 0 7 47 945 
10 36 500 600 209.18 0.9943 0.00079831 29.708 0.9939 0.00077356 29.775 0 0 0 0 0 0 1 0 7 39 953 
10 36 500 800 209.18 0.9949 0.00072471 35.776 0.9944 0.00068933 36.038 0 0 0 0 0 0 1 0 6 35 958 
10 36 500 1000 209.18 0.9952 0.00069766 41.616 0.9947 0.00062253 41.808 0 0 0 0 0 0 1 0 6 32 961 
10 36 500 1200 209.18 0.9953 0.0006886 47.195 0.9949 0.00060459 47.461 0 0 0 0 0 0 1 0 6 31 962 
10 36 500 1500 209.18 0.9955 0.0006504 55.009 0.9952 0.00051748 55.306 0 0 0 0 0 0 1 0 5 31 963 
10 36 500 2000 209.18 0.9958 0.00060296 68.131 0.9956 0.0004611 68.311 0 0 0 0 0 0 1 0 4 30 965 
10 48 100 10 71.5703 0.7562 0.051273 2.1156 0.7595 0.056226 2.1913 5 10 17 34 52 71 87 118 173 209 224 
10 48 100 20 71.57 0.8722 0.028936 3.1592 0.8822 0.030073 3.1509 1 1 4 8 24 25 42 88 136 198 473 
10 48 100 40 71.57 0.9371 0.012706 4.7202 0.9396 0.014646 4.8407 0 1 0 1 5 8 16 43 81 188 657 
10 48 100 60 71.57 0.9571 0.0075171 6.1681 0.9602 0.0078838 6.3999 0 0 0 0 2 2 13 21 62 168 732 
