k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 1 92.5771 0.1312 0.017764 5.2862 0.1298 0.015628 4.9809 336 291 205 100 42 20 2 1 3 0 0 
10 1 2 92.577 0.1769 0.029486 5.1966 0.1778 0.027695 5.0972 267 260 198 129 74 35 20 6 6 5 0 
10 1 3 92.577 0.2018 0.036053 5.1274 0.2025 0.034378 5.0627 245 241 178 133 100 48 27 12 10 4 2 
10 1 4 92.577 0.2154 0.040824 5.1415 0.2173 0.03925 7.1565 238 231 170 135 92 61 38 16 9 7 3 
10 1 5 92.577 0.2249 0.043473 7.3451 0.2249 0.042232 6.8922 232 225 164 128 102 67 42 17 12 8 3 
10 1 8 92.577 0.2367 0.047791 7.0468 0.2388 0.048383 7.1435 229 215 161 119 101 77 48 20 17 10 3 
10 1 10 92.577 0.2399 0.049427 7.116 0.2423 0.050131 6.7076 227 215 161 116 100 78 49 23 14 13 4 
10 1 12 92.577 0.2415 0.050418 6.1026 0.2438 0.050932 6.0973 227 215 159 117 97 79 50 22 17 12 5 
10 1 20 92.577 0.2439 0.051995 6.3016 0.2461 0.052517 6.3403 226 214 161 116 96 74 52 25 16 14 6 
10 1 25 92.577 0.2444 0.052381 7.4351 0.2462 0.052538 7.4715 226 214 161 116 95 74 52 24 18 14 6 
10 1 50 92.577 0.2445 0.052502 7.7092 0.2465 0.052801 7.6019 226 214 161 116 95 74 52 24 17 15 6 
10 1 75 92.577 0.2445 0.052502 7.8151 0.2465 0.052801 7.5952 226 214 161 116 95 74 52 24 17 15 6 
10 1 100 92.577 0.2445 0.052502 7.5776 0.2465 0.052801 7.5266 226 214 161 116 95 74 52 24 17 15 6 
10 1 250 92.577 0.2445 0.052502 7.5276 0.2465 0.052801 7.5394 226 214 161 116 95 74 52 24 17 15 6 
10 1 500 92.577 0.2445 0.052502 7.6872 0.2465 0.052801 7.5845 226 214 161 116 95 74 52 24 17 15 6 
10 2 1 92.577 0.1626 0.020101 6.5451 0.1577 0.016657 6.5682 236 295 245 113 73 26 7 2 3 0 0 
10 2 2 92.577 0.2353 0.033257 6.1034 0.2313 0.03018 5.8879 152 208 241 168 104 65 37 11 7 7 0 
10 2 3 92.577 0.2834 0.042067 5.6999 0.2774 0.038288 5.8956 120 166 204 187 123 94 48 30 16 9 3 
10 2 4 92.577 0.314 0.048192 5.8141 0.306 0.044689 7.0397 104 156 180 161 146 105 68 40 22 12 6 
10 2 5 92.577 0.3362 0.053023 7.0476 0.3265 0.048136 6.8451 94 149 156 169 131 129 71 46 31 11 13 
10 2 8 92.577 0.3708 0.060588 7.0301 0.3607 0.056462 6.9786 88 133 133 143 143 130 86 66 41 18 19 
10 2 10 92.577 0.3814 0.063237 7.0923 0.3697 0.058991 7.0858 85 131 131 135 134 133 93 71 44 22 21 
10 2 12 92.577 0.3879 0.065389 7.1851 0.3771 0.060906 7.1824 85 129 128 132 135 120 103 75 46 23 24 
10 2 20 92.577 0.3973 0.068651 7.5714 0.3862 0.064734 7.5759 83 129 127 124 133 112 102 88 48 26 28 
10 2 25 92.577 0.3995 0.06996 7.7375 0.3877 0.065004 7.7964 83 128 128 124 132 112 97 85 54 28 29 
10 2 50 92.577 0.4005 0.07044 8.1839 0.3886 0.065476 8.2019 83 128 128 124 130 111 100 81 57 29 29 
10 2 75 92.577 0.4006 0.07051 8.3662 0.3886 0.065476 8.356 83 128 128 124 130 111 100 80 58 29 29 
10 2 100 92.577 0.4006 0.07051 8.5117 0.3886 0.065476 7.3735 83 128 128 124 130 111 100 80 58 29 29 
10 2 250 92.577 0.4006 0.07051 7.2959 0.3886 0.065476 7.2731 83 128 128 124 130 111 100 80 58 29 29 
10 2 500 92.577 0.4006 0.07051 7.3534 0.3886 0.065476 7.3323 83 128 128 124 130 111 100 80 58 29 29 
10 4 1 92.577 0.1782 0.020005 5.6078 0.1784 0.017651 5.623 185 293 266 132 79 32 9 1 3 0 0 
10 4 2 92.577 0.2727 0.032978 5.6539 0.2702 0.030162 5.6751 87 191 221 197 142 94 37 14 9 7 1 
10 4 3 92.577 0.3342 0.041332 5.7825 0.3318 0.038267 5.7106 61 120 197 198 164 113 73 38 19 13 4 
10 4 4 92.577 0.3825 0.04613 6.3421 0.3812 0.04393 5.7615 40 97 167 159 188 136 97 63 24 20 9 
10 4 5 92.577 0.4225 0.050274 5.8521 0.4171 0.047946 5.9972 29 75 142 156 177 138 119 84 41 20 19 
10 4 8 92.577 0.4917 0.055817 7.0621 0.4868 0.05402 7.0508 21 48 94 119 167 175 121 103 71 44 37 
10 4 10 92.577 0.5174 0.056414 7.1617 0.515 0.056672 7.1696 17 37 82 118 154 165 128 123 82 47 47 
10 4 12 92.577 0.534 0.057401 7.3598 0.5305 0.058358 7.4089 15 37 73 105 153 159 127 136 84 61 50 
10 4 20 92.577 0.5683 0.060786 6.9034 0.5665 0.061029 6.6163 14 33 59 91 134 159 118 130 117 76 69 
10 4 25 92.577 0.5752 0.062387 7.5847 0.5737 0.062 8.1564 14 32 58 91 131 152 118 129 118 78 79 
10 4 50 92.577 0.5816 0.063745 8.8166 0.5822 0.063427 8.862 14 32 57 91 122 155 113 127 117 89 83 
10 4 75 92.577 0.5819 0.063766 9.375 0.5829 0.063561 9.4592 14 32 57 90 123 155 113 125 119 89 83 
10 4 100 92.577 0.5819 0.063766 9.7278 0.5829 0.063561 9.8017 14 32 57 90 123 155 113 125 119 89 83 
10 4 250 92.577 0.5819 0.063766 10.264 0.5829 0.063561 10.316 14 32 57 90 123 155 113 125 119 89 83 
10 4 500 92.577 0.5819 0.063766 10.275 0.5829 0.063561 10.344 14 32 57 90 123 155 113 125 119 89 83 
10 8 1 92.577 0.1842 0.020531 6.5504 0.1855 0.018478 6.5349 175 282 272 142 78 35 12 1 3 0 0 
10 8 2 92.577 0.2923 0.033564 6.6233 0.2881 0.03196 6.6163 65 172 213 220 139 99 57 18 8 8 1 
10 8 3 92.577 0.3661 0.041122 6.7004 0.363 0.039711 6.7206 36 87 199 188 190 117 81 57 27 14 4 
10 8 4 92.577 0.4247 0.045545 6.7602 0.4213 0.044241 6.7551 26 56 139 170 195 138 117 82 46 21 10 
10 8 5 92.577 0.4694 0.048272 6.8141 0.4693 0.045953 6.8381 20 40 110 142 173 168 130 103 69 27 18 
10 8 8 92.577 0.5663 0.050885 6.9793 0.5628 0.047864 6.9751 5 22 52 102 137 172 149 126 116 71 48 
10 8 10 92.577 0.6119 0.049598 7.0792 0.6072 0.047956 7.0817 2 13 42 74 119 147 156 148 145 83 71 
10 8 12 92.577 0.6439 0.048291 7.2015 0.6378 0.047038 7.1757 2 8 30 57 117 131 147 148 166 109 85 
10 8 20 92.577 0.7179 0.042772 7.6188 0.7161 0.043254 7.6139 1 4 11 37 71 97 125 149 199 172 134 
10 8 25 92.577 0.7377 0.042231 7.8133 0.7379 0.042256 6.8393 1 4 10 27 61 94 120 148 183 182 170 
10 8 50 92.577 0.7664 0.040411 7.7867 0.7702 0.040172 7.784 1 3 8 23 45 80 114 128 176 212 210 
10 8 75 92.577 0.7689 0.040463 8.587 0.7745 0.04026 9.1307 1 3 8 23 43 81 109 131 174 209 218 
10 8 100 92.577 0.7691 0.040456 9.8119 0.775 0.040275 9.3896 1 3 8 23 43 81 108 132 173 210 218 
10 8 250 92.577 0.7692 0.040452 11.042 0.7751 0.04027 11.204 1 3 8 23 43 81 108 131 174 210 218 
10 8 500 92.577 0.7692 0.040452 11.373 0.7751 0.04027 12.744 1 3 8 23 43 81 108 131 174 210 218 
10 16 1 92.577 0.1865 0.020508 7.0089 0.1903 0.019015 6.6682 166 287 271 142 84 33 13 1 3 0 0 
10 16 2 92.577 0.2982 0.033991 6.2596 0.2956 0.031832 5.7092 62 159 222 213 144 105 54 23 9 8 1 
10 16 3 92.577 0.3768 0.040923 5.7499 0.3755 0.04005 6.0949 32 86 173 191 196 128 90 55 31 14 4 
10 16 4 92.577 0.44 0.044765 7.0039 0.4394 0.044232 7.108 23 45 116 185 183 151 129 83 50 24 11 
10 16 5 92.577 0.4897 0.047171 7.2373 0.4905 0.046126 6.8166 15 33 83 148 175 169 133 113 78 34 19 
10 16 8 92.577 0.6021 0.047333 6.9695 0.5973 0.045428 7.0188 2 18 26 81 139 153 156 145 138 88 54 
10 16 10 92.577 0.6532 0.045055 7.0844 0.6499 0.043704 7.0749 1 9 23 48 107 131 153 172 160 112 84 
10 16 12 92.577 0.6955 0.041271 7.1829 0.6901 0.041053 7.3736 0 5 17 31 78 110 151 168 188 145 107 
10 16 20 92.577 0.7958 0.029832 6.9055 0.7944 0.03114 6.5849 0 0 5 12 25 60 88 145 224 233 208 
10 16 25 92.577 0.8321 0.025165 6.79 0.8299 0.026783 6.7802 0 0 1 5 16 49 62 127 211 244 285 
10 16 50 92.577 0.8984 0.014892 7.8 0.896 0.017081 7.8009 0 0 1 0 2 10 35 72 168 254 458 
10 16 75 92.577 0.9122 0.013024 8.758 0.9104 0.015047 8.6601 0 0 1 0 2 7 22 64 145 253 506 
10 16 100 92.577 0.915 0.012608 9.5648 0.9141 0.014826 9.5906 0 0 1 0 2 7 16 69 135 254 516 
10 16 250 92.577 0.9166 0.012397 14.241 0.9155 0.014724 13.939 0 0 1 0 2 7 15 67 131 256 521 
10 16 500 92.577 0.9166 0.012397 16.369 0.9155 0.014724 16.573 0 0 1 0 2 7 15 67 131 256 521 
10 32 1 92.577 0.186 0.020344 5.8918 0.191 0.018838 5.668 166 285 278 139 81 35 12 1 3 0 0 
10 32 2 92.577 0.2973 0.034057 7.0391 0.2963 0.031828 6.7764 61 165 218 215 144 99 58 22 9 8 1 
10 32 3 92.577 0.378 0.041357 6.8848 0.3777 0.040053 6.8596 31 87 173 193 188 132 89 57 31 15 4 
10 32 4 92.577 0.4422 0.044303 7.1187 0.442 0.0442 7.0385 21 45 115 177 192 152 131 81 50 25 11 
