	k	n_trees	depth	sparsity	k_build	b	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	n_train	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	10	13	0.0104	10	1	1	3.0519	0.7849	0.043125	3.176	0	0.011271	0.070715	3.0936	747.02	98000	0.787	0.040632	3.2942	2	4	10	29	44	58	78	129	174	211	261
43	10	10	14	0.0104	10	1	1	4.03069	0.6949	0.059964	2.0293	0	0.02747	0.036062	1.9655	426.19	98000	0.6944	0.055084	2.1305	8	20	24	62	59	99	95	160	145	166	162
86	10	10	15	0.0104	10	1	1	4.28646	0.5828	0.070294	1.0186	0	0.017034	0.033094	0.96816	235.8	98000	0.589	0.063442	0.98701	23	42	58	96	94	117	148	121	110	104	87
129	10	15	13	0.0104	10	1	1	4.06858	0.8381	0.033412	4.4159	0	0.024091	0.0667	4.3247	1031.9	98000	0.8492	0.03083	4.6818	0	2	7	9	26	44	67	114	139	218	374
172	10	15	14	0.0104	10	1	1	4.57309	0.7653	0.047273	2.6995	0	0.030782	0.052293	2.6161	590.66	98000	0.7765	0.041619	2.9899	2	9	16	24	36	95	93	123	159	200	243
215	10	15	15	0.0104	10	1	1	4.6969	0.6669	0.061496	1.5925	0	0.022817	0.085044	1.4843	332.94	98000	0.6773	0.05499	1.6597	10	16	42	53	77	119	124	140	130	147	142
258	10	20	13	0.0104	10	1	1	4.93009	0.8759	0.025315	5.7877	0	0.031459	0.097049	5.6585	1275.4	98000	0.8834	0.021906	5.792	1	1	4	6	16	22	42	84	131	260	433
301	10	20	14	0.0104	10	1	1	5.35931	0.813	0.038009	3.4109	0	0.030745	0.056952	3.3229	745.57	98000	0.8164	0.032464	3.2688	2	4	8	13	39	46	72	107	183	220	306
344	10	20	15	0.0104	10	1	1	5.27012	0.726	0.054939	1.7499	0	0.024032	0.05115	1.6745	422.3	98000	0.7344	0.049006	1.7271	6	13	26	36	51	87	119	137	146	183	196
387	10	25	13	0.0104	10	1	1	6.23593	0.8916	0.023433	7.0303	0	0.043908	0.12071	6.8646	1506.5	98000	0.9039	0.018333	7.014	0	1	1	5	15	23	44	77	97	226	511
430	10	25	14	0.0104	10	1	1	6.25551	0.8418	0.032906	3.7321	0	0.026338	0.076246	3.6291	883.31	98000	0.8489	0.029528	3.9676	2	4	2	13	21	34	72	98	160	221	373
473	10	25	15	0.0104	10	1	1	6.34873	0.7663	0.046581	2.1504	0	0.030593	0.070722	2.0488	504.01	98000	0.7815	0.037806	2.1058	3	5	12	36	50	59	96	136	158	211	234
516	10	30	13	0.0104	10	1	1	7.33528	0.9146	0.016063	8.3885	0	0.050062	0.14664	8.1905	1718.4	98000	0.9208	0.014582	7.5854	0	1	1	0	0	16	43	54	96	231	558
559	10	30	14	0.0104	10	1	1	7.43966	0.863	0.027218	4.7001	0	0.044232	0.092425	4.563	1010.9	98000	0.8696	0.025421	4.4239	1	3	2	6	15	30	51	103	138	246	405
602	10	30	15	0.0104	10	1	1	7.9776	0.7917	0.042163	2.721	0	0.045066	0.066826	2.6088	583.11	98000	0.8051	0.036581	2.6685	1	3	11	26	38	53	101	123	152	206	286
645	10	40	13	0.0104	10	1	1	9.77628	0.9353	0.011555	9.9604	0	0.054742	0.17562	9.7291	2107.5	98000	0.939	0.011671	9.3029	0	0	1	1	1	10	15	39	92	215	626
688	10	40	14	0.0104	10	1	1	10.3325	0.8917	0.021142	5.7976	0	0.057909	0.14068	5.5985	1255.6	98000	0.9051	0.018583	5.4815	0	1	1	5	11	22	36	71	118	262	473
731	10	40	15	0.0104	10	1	1	10.4937	0.837	0.032664	3.1482	0	0.046373	0.11111	2.9904	728.96	98000	0.8516	0.028826	3.0801	1	1	3	12	27	45	75	92	147	246	351
774	10	50	13	0.0104	10	1	1	12.4116	0.9406	0.011463	10.773	0	0.070747	0.22836	10.473	2446.5	98000	0.9482	0.0097265	10.284	0	1	0	0	5	8	15	32	75	209	655
817	10	50	14	0.0104	10	1	1	13.7445	0.9124	0.017023	6.6129	0	0.069833	0.13272	6.4096	1469.9	98000	0.9174	0.016233	6.6001	0	1	1	3	5	10	35	56	116	218	555
860	10	50	15	0.0104	10	1	1	14.2305	0.8602	0.030266	4.0287	0	0.062244	0.10422	3.8618	861.51	98000	0.8725	0.023798	3.9653	0	1	8	9	21	31	52	89	137	232	420
903	10	60	13	0.0104	10	1	1	17.524	0.9524	0.0088831	13.11	0	0.097376	0.28393	12.727	2763.3	98000	0.9596	0.007115	13.007	1	0	1	0	0	4	10	29	59	193	703
946	10	60	14	0.0104	10	1	1	19.1047	0.9252	0.01474	7.7585	0	0.082636	0.2045	7.4705	1675.1	98000	0.9325	0.012746	7.2049	0	0	3	1	3	10	25	49	95	212	602
989	10	60	15	0.0104	10	1	1	20.3367	0.8789	0.023448	4.5186	0	0.083533	0.14416	4.2905	988.22	98000	0.8914	0.020446	4.5982	0	0	2	6	16	25	42	78	141	248	442
1032	10	70	13	0.0104	10	1	1	17.5131	0.9586	0.0076737	12.736	0	0.064905	0.31816	12.352	3069.9	98000	0.9646	0.0064333	12.088	0	1	0	0	2	3	9	19	55	175	736
1075	10	70	14	0.0104	10	1	1	19.4661	0.9355	0.012983	9.2982	0	0.10528	0.28948	8.9024	1864.3	98000	0.9394	0.011659	8.0289	0	1	0	3	3	7	17	47	77	199	646
1118	10	70	15	0.0104	10	1	1	20.1341	0.8972	0.020493	4.7651	0	0.089509	0.16358	4.5115	1104.4	98000	0.8977	0.019504	4.7808	1	0	0	6	9	23	31	63	127	240	500
1161	10	80	13	0.0104	10	1	1	19.2792	0.9616	0.0070325	15.195	0	0.085019	0.33729	14.771	3328.8	98000	0.9682	0.0053141	13.518	0	1	0	0	1	2	8	18	60	153	757
1204	10	80	14	0.0104	10	1	1	20.5582	0.9425	0.011095	10.388	0	0.11345	0.35393	9.9196	2038.9	98000	0.9497	0.009129	8.8083	1	0	1	0	2	6	16	33	74	204	663
1247	10	80	15	0.0104	10	1	1	21.72	0.9047	0.018767	5.5064	0	0.10748	0.21939	5.1791	1211.4	98000	0.9132	0.016502	5.3062	1	1	2	1	5	18	29	71	115	232	525
1290	10	90	13	0.0104	10	1	1	21.7455	0.9681	0.0054178	16.435	0	0.098904	0.35751	15.977	3600.5	98000	0.9745	0.0039837	14.61	0	0	1	0	0	1	8	10	46	152	782
1333	10	90	14	0.0104	10	1	1	22.3128	0.9491	0.0093886	9.5575	0	0.11061	0.27505	9.1709	2207.5	98000	0.9563	0.007728	9.7165	0	1	0	1	0	4	15	24	85	171	699
