	k	n_trees	depth	sparsity	v	build_time	recall	var_recall	query_time	cs_size	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	1	6	0.0104	1	0.0966505	0.1776	0.044783	5.0473	1531.2	0.1862	0.049639	5.2567	362	231	144	79	67	36	30	29	13	5	4
1	10	1	7	0.0104	1	0.0953074	0.1373	0.032952	2.4008	765.61	0.1316	0.033755	2.4018	435	227	149	75	42	22	26	14	3	3	4
2	10	1	8	0.0104	1	0.168373	0.0912	0.021744	1.2246	382.79	0.0921	0.021029	1.3336	572	202	111	50	29	13	16	2	1	1	3
3	10	1	9	0.0104	1	0.30152	0.0641	0.012574	0.62555	191.4	0.0635	0.011669	0.62684	643	202	86	35	18	9	5	1	1	0	0
4	10	1	10	0.0104	1	0.575184	0.0447	0.007099	0.32865	95.681	0.0462	0.008474	0.3275	709	186	73	18	9	5	0	0	0	0	0
5	10	1	11	0.0104	1	1.00668	0.0311	0.0048076	0.17886	47.873	0.0317	0.0060912	0.17751	780	158	41	17	1	2	1	0	0	0	0
6	10	1	12	0.0104	1	1.39732	0.0219	0.0031736	0.10307	23.931	0.0233	0.003891	0.10139	836	124	28	9	3	0	0	0	0	0	0
7	10	5	6	0.0104	1	0.14658	0.5291	0.082065	21.614	6612.0	0.5297	0.087656	21.316	32	73	93	111	121	97	113	89	99	83	89
12	10	5	7	0.0104	1	0.223503	0.4004	0.081521	13.715	3406.5	0.4067	0.081807	11.141	99	123	135	149	113	85	75	70	53	57	41
17	10	5	8	0.0104	1	0.267064	0.3147	0.06616	6.637	1763.9	0.3097	0.068605	6.5642	140	187	159	147	104	64	66	50	43	25	15
22	10	5	9	0.0104	1	0.440491	0.2306	0.050875	3.7911	909.66	0.2329	0.055523	3.7771	246	226	149	129	90	45	49	30	22	10	4
27	10	5	10	0.0104	1	0.902762	0.1733	0.038195	3.1904	458.73	0.1735	0.039587	1.8845	332	254	151	101	58	41	28	18	11	5	1
32	10	5	11	0.0104	1	1.44883	0.1215	0.026374	1.3403	231.99	0.1205	0.025735	1.151	447	263	120	73	48	23	9	10	3	2	2
37	10	5	12	0.0104	1	2.01379	0.0826	0.015513	0.62987	117.17	0.088	0.016472	0.57355	558	228	123	48	24	10	6	1	0	1	1
42	10	10	6	0.0104	1	0.124648	0.6728	0.072152	39.483	11005.0	0.6715	0.075934	38.356	19	22	40	61	80	92	116	109	130	146	185
52	10	10	7	0.0104	1	0.223242	0.5596	0.085613	26.239	6053.4	0.5535	0.084853	20.276	40	65	71	93	107	102	102	119	97	89	115
