k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 6 0.0104 1 0.0966505 0.1776 0.044783 5.0473 1531.2 0.1862 0.049639 5.2567 362 231 144 79 67 36 30 29 13 5 4 
10 1 7 0.0104 1 0.0953074 0.1373 0.032952 2.4008 765.61 0.1316 0.033755 2.4018 435 227 149 75 42 22 26 14 3 3 4 
10 1 8 0.0104 1 0.168373 0.0912 0.021744 1.2246 382.79 0.0921 0.021029 1.3336 572 202 111 50 29 13 16 2 1 1 3 
10 1 9 0.0104 1 0.30152 0.0641 0.012574 0.62555 191.4 0.0635 0.011669 0.62684 643 202 86 35 18 9 5 1 1 0 0 
10 1 10 0.0104 1 0.575184 0.0447 0.007099 0.32865 95.681 0.0462 0.008474 0.3275 709 186 73 18 9 5 0 0 0 0 0 
10 1 11 0.0104 1 1.00668 0.0311 0.0048076 0.17886 47.873 0.0317 0.0060912 0.17751 780 158 41 17 1 2 1 0 0 0 0 
10 1 12 0.0104 1 1.39732 0.0219 0.0031736 0.10307 23.931 0.0233 0.003891 0.10139 836 124 28 9 3 0 0 0 0 0 0 
10 5 6 0.0104 1 0.14658 0.5291 0.082065 21.614 6612 0.5297 0.087656 21.316 32 73 93 111 121 97 113 89 99 83 89 
10 5 6 0.0104 2 0.14658 0.2504 0.075435 2.9033 877.83 0.2577 0.081262 2.8926 303 186 146 90 65 39 46 43 36 24 22 
10 5 6 0.0104 3 0.14658 0.1118 0.040341 0.51031 139.59 0.1228 0.046727 0.5304 621 150 64 44 34 23 26 16 14 3 5 
10 5 6 0.0104 4 0.14658 0.0436 0.015695 0.1189 23.698 0.0489 0.016355 0.12727 836 60 37 24 17 10 8 4 2 0 2 
10 5 6 0.0104 5 0.14658 0.0116 0.0034088 0.052047 3.08 0.0129 0.0040476 0.052066 939 33 15 7 3 2 0 0 0 0 1 
10 5 7 0.0104 1 0.223503 0.4004 0.081521 13.715 3406.5 0.4067 0.081807 11.141 99 123 135 149 113 85 75 70 53 57 41 
10 5 7 0.0104 2 0.2235 0.1699 0.052957 1.2008 356.82 0.1707 0.055087 1.1525 432 210 124 51 47 41 33 25 17 14 6 
10 5 7 0.0104 3 0.2235 0.0723 0.024767 0.20643 53.257 0.0665 0.023551 0.2009 721 116 61 36 16 20 12 10 3 3 2 
10 5 7 0.0104 4 0.2235 0.0283 0.0085176 0.072319 10.019 0.0256 0.0084331 0.063857 860 77 30 12 9 6 1 4 0 0 1 
10 5 7 0.0104 5 0.2235 0.0085 0.0021399 0.036968 1.534 0.0062 0.0010226 0.034668 942 43 11 2 1 0 0 0 0 0 1 
10 5 8 0.0104 1 0.267064 0.3147 0.06616 6.637 1763.9 0.3097 0.068605 6.5642 140 187 159 147 104 64 66 50 43 25 15 
10 5 8 0.0104 2 0.26706 0.1116 0.031097 0.52595 128.1 0.1142 0.038277 0.52267 557 190 85 54 47 31 19 7 5 2 3 
10 5 8 0.0104 3 0.26706 0.0447 0.012905 0.10026 18.194 0.0483 0.016414 0.097654 791 104 39 35 16 7 3 1 1 2 1 
10 5 8 0.0104 4 0.26706 0.0162 0.0042418 0.04189 3.417 0.0164 0.0046357 0.040214 907 55 22 12 0 2 0 1 0 0 1 
10 5 8 0.0104 5 0.26706 0.0049 0.0014274 0.030335 0.509 0.0044 0.0014821 0.029837 963 33 3 0 0 0 0 0 0 0 1 
10 5 9 0.0104 1 0.440491 0.2306 0.050875 3.7911 909.66 0.2329 0.055523 3.7771 246 226 149 129 90 45 49 30 22 10 4 
10 5 9 0.0104 2 0.44049 0.07 0.018779 0.20039 41.549 0.0717 0.023673 0.19662 678 160 68 33 32 11 11 2 4 0 1 
10 5 9 0.0104 3 0.44049 0.0231 0.0062627 0.047982 4.809 0.0248 0.0077527 0.04865 876 74 21 15 8 2 3 0 0 0 1 
10 5 9 0.0104 4 0.44049 0.0087 0.0023567 0.03036 0.856 0.0096 0.003131 0.030268 947 34 12 5 1 0 0 0 0 0 1 
10 5 9 0.0104 5 0.44049 0.0023 0.00028499 0.026507 0.106 0.0022 0.0002354 0.026195 980 17 3 0 0 0 0 0 0 0 0 
10 5 10 0.0104 1 0.902762 0.1733 0.038195 3.1904 458.73 0.1735 0.039587 1.8845 332 254 151 101 58 41 28 18 11 5 1 
10 5 10 0.0104 2 0.90276 0.0451 0.010767 0.12215 17.182 0.0467 0.011961 0.099795 756 146 41 28 16 9 2 0 1 0 1 
10 5 10 0.0104 3 0.90276 0.0147 0.0037777 0.040651 2.072 0.0141 0.0026538 0.03881 912 57 18 7 2 3 0 0 0 0 1 
10 5 10 0.0104 4 0.90276 0.0054 0.0015324 0.026638 0.415 0.0043 0.00055206 0.026076 960 35 3 1 0 0 0 0 0 0 1 
10 5 10 0.0104 5 0.90276 0.0024 0.0011354 0.025901 0.08 0.0019 0.00024664 0.025552 985 14 0 0 0 0 0 0 0 0 1 
10 5 11 0.0104 1 1.44883 0.1215 0.026374 1.3403 231.99 0.1205 0.025735 1.151 447 263 120 73 48 23 9 10 3 2 2 
10 5 11 0.0104 2 1.4488 0.0282 0.0067715 0.091391 6.241 0.0259 0.0056448 0.07786 837 100 36 12 9 3 1 1 0 0 1 
