	k	n_trees	depth	sparsity	k_build	b	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	n_train	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	10	13	0.0104	10	1	1	3.48774	0.9312	0.011218	2.3057	0	0.090227	0.037034	2.1781	540.45	98000	0.9315	0.01239	2.4228	0	0	0	0	5	8	16	35	97	255	584
43	10	10	14	0.0104	10	1	1	4.36674	0.8859	0.020352	1.392	0	0.08668	0.033309	1.2717	322.77	98000	0.894	0.018963	1.3723	0	0	2	1	8	27	36	91	141	236	458
86	10	10	15	0.0104	10	1	1	4.54782	0.8223	0.029322	0.85907	0	0.087354	0.037694	0.73372	190.96	98000	0.8286	0.02775	0.81682	0	0	3	10	23	45	85	121	193	231	289
129	10	15	13	0.0104	10	1	1	4.12075	0.9582	0.0065193	3.2327	0	0.13507	0.050411	3.0467	720.63	98000	0.9618	0.0070878	3.4799	0	0	0	1	1	1	6	19	65	189	718
172	10	15	14	0.0104	10	1	1	4.71366	0.9272	0.013253	1.8926	0	0.13824	0.039655	1.7143	436.04	98000	0.932	0.012028	2.0634	0	0	1	1	3	8	20	58	95	211	603
215	10	15	15	0.0104	10	1	1	5.31621	0.8753	0.020941	1.2433	0	0.13323	0.044241	1.0655	260.25	98000	0.8808	0.019991	1.1968	0	0	1	4	9	25	44	97	148	269	403
258	10	20	13	0.0104	10	1	1	4.49674	0.9712	0.0045751	3.6196	0	0.14224	0.063683	3.4133	876.2	98000	0.9695	0.0050648	3.6932	0	0	0	0	0	4	0	13	47	135	801
301	10	20	14	0.0104	10	1	1	5.20532	0.9476	0.008723	2.5414	0	0.21076	0.042404	2.2878	534.64	98000	0.9495	0.0089487	2.5755	0	0	0	0	3	4	11	29	73	209	671
344	10	20	15	0.0104	10	1	1	5.90485	0.9119	0.014563	1.5904	0	0.19983	0.040036	1.3502	321.45	98000	0.915	0.01501	1.6394	0	0	1	2	3	10	27	60	118	267	512
387	10	25	13	0.0104	10	1	1	5.31385	0.9752	0.0041291	4.2844	0	0.18685	0.066938	4.0301	1018.1	98000	0.9794	0.0029986	4.351	0	0	0	0	1	1	4	12	28	129	825
430	10	25	14	0.0104	10	1	1	5.8866	0.9556	0.0067554	2.6616	0	0.19589	0.055819	2.4095	622.36	98000	0.9606	0.0065742	2.6792	0	0	0	0	1	3	4	28	61	201	702
473	10	25	15	0.0104	10	1	1	6.66515	0.9308	0.011703	1.8672	0	0.23867	0.039635	1.5886	376.86	98000	0.934	0.011816	1.9719	0	0	0	1	3	8	19	42	92	241	594
516	10	30	13	0.0104	10	1	1	6.06256	0.9832	0.00222	4.8487	0	0.23258	0.093799	4.5217	1145.9	98000	0.9809	0.0032084	5.0739	0	0	0	0	0	0	1	5	20	109	865
559	10	30	14	0.0104	10	1	1	6.87067	0.9686	0.004959	3.3352	0	0.24694	0.067323	3.0205	703.96	98000	0.9682	0.0048536	3.5766	0	0	0	0	0	3	5	14	38	161	779
602	10	30	15	0.0104	10	1	1	7.74166	0.9429	0.0092789	1.9201	0	0.24553	0.072223	1.602	427.39	98000	0.9436	0.010129	2.0875	0	0	0	0	3	6	8	33	89	214	647
645	10	40	13	0.0104	10	1	1	8.1683	0.989	0.0014004	5.9686	0	0.41839	0.15418	5.3951	1366.5	98000	0.9891	0.0017129	5.7767	0	0	0	0	0	0	2	0	9	84	905
688	10	40	14	0.0104	10	1	1	8.92184	0.9781	0.0032536	3.7982	0	0.38298	0.092782	3.322	850.62	98000	0.9783	0.0035627	3.7141	0	0	0	0	0	2	2	5	30	126	835
