	k	n_trees	depth	sparsity	v	build_time	recall	var_recall	query_time	cs_size	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	1	6	0.0104	1	0.99292	0.3524	0.066701	4.8137	1531.2	0.352	0.071848	4.8032	119	136	157	130	132	104	76	57	39	31	19
1	10	1	7	0.0104	1	1.17335	0.2673	0.055116	2.6024	765.64	0.2603	0.049083	2.6086	188	201	176	122	102	78	51	34	28	12	8
2	10	1	8	0.0104	1	1.26724	0.2034	0.039528	1.2177	382.81	0.1928	0.04141	1.2099	255	244	174	122	82	53	32	21	12	2	3
3	10	1	9	0.0104	1	1.43204	0.1505	0.028548	0.63408	191.41	0.147	0.031983	0.76248	339	285	155	103	55	27	19	11	1	3	2
4	10	1	10	0.0104	1	1.56411	0.1052	0.020393	0.33139	95.697	0.1037	0.020977	0.36193	469	270	139	49	41	14	11	3	2	0	2
5	10	1	11	0.0104	1	1.64173	0.0709	0.012416	0.1797	47.865	0.0693	0.011199	0.17735	593	227	108	43	18	7	1	2	0	0	1
6	10	1	12	0.0104	1	1.85896	0.0501	0.0074074	0.10594	23.921	0.0481	0.0077241	0.1044	666	222	75	23	11	2	1	0	0	0	0
7	10	5	6	0.0104	1	1.46623	0.8014	0.038737	20.684	5895.6	0.8061	0.03769	20.08	1	5	6	17	30	62	83	151	143	203	299
12	10	5	7	0.0104	1	1.67091	0.7001	0.051181	14.207	3177.0	0.6915	0.055934	10.393	2	14	21	36	71	117	135	137	160	151	156
17	10	5	8	0.0104	1	1.88946	0.5816	0.061523	6.6661	1658.0	0.5878	0.061413	6.2905	11	30	58	101	107	142	155	120	99	103	74
22	10	5	9	0.0104	1	2.07307	0.4634	0.066707	3.7947	861.09	0.459	0.066085	3.6024	29	86	115	131	162	135	99	76	72	50	45
27	10	5	10	0.0104	1	2.27275	0.364	0.058683	1.8215	443.21	0.3641	0.056998	1.7559	75	139	153	162	142	110	71	72	39	21	16
32	10	5	11	0.0104	1	2.78403	0.2681	0.04792	1.3812	226.02	0.2599	0.045768	1.0431	146	200	210	157	95	72	54	27	21	11	7
37	10	5	12	0.0104	1	2.61763	0.194	0.034519	0.53702	114.65	0.1799	0.032138	0.50361	227	287	194	116	72	49	19	22	11	2	1
42	10	10	6	0.0104	1	1.64553	0.929	0.012351	36.734	9439.7	0.9251	0.013894	36.663	0	0	0	1	2	7	27	43	102	215	603
52	10	10	7	0.0104	1	1.89282	0.8595	0.025555	21.433	5313.0	0.8568	0.025159	17.265	0	0	3	6	13	35	59	98	158	240	388
62	10	10	8	0.0104	1	2.1144	0.7622	0.041933	11.633	2902.1	0.7565	0.043521	11.255	1	1	7	26	52	86	102	171	145	168	241
72	10	10	9	0.0104	1	2.54375	0.6564	0.057096	6.8011	1551.7	0.6533	0.059388	6.7009	6	14	30	55	100	142	142	124	124	127	136
82	10	10	10	0.0104	1	2.43897	0.5379	0.06614	3.6823	819.46	0.527	0.066778	3.397	17	41	85	120	138	127	132	104	85	89	62
92	10	10	11	0.0104	1	3.05828	0.4132	0.062749	1.8566	425.36	0.4041	0.063096	1.8508	41	108	155	156	134	127	85	74	56	41	23
102	10	10	12	0.0104	1	3.15143	0.3202	0.056969	1.011	219.39	0.304	0.052276	0.96563	101	170	193	164	113	79	56	61	36	14	13
112	10	25	6	0.0104	1	2.67658	0.9894	0.0015292	60.632	15559.0	0.9888	0.001416	61.626	0	0	0	0	0	0	1	3	14	65	917
130	10	25	7	0.0104	1	2.7836	0.9653	0.0052912	37.032	9439.4	0.9666	0.0050695	36.479	0	0	0	0	0	3	5	13	52	169	758
148	10	25	8	0.0104	1	3.28562	0.9286	0.011494	22.103	5498.0	0.9177	0.015692	21.299	0	0	0	1	3	6	18	44	106	243	579
166	10	25	9	0.0104	1	3.71044	0.8524	0.027402	14.569	3117.1	0.8445	0.028118	12.652	0	0	3	3	22	34	71	107	156	212	392
184	10	25	10	0.0104	1	3.70859	0.7549	0.041277	7.3158	1722.1	0.7489	0.046926	7.1129	1	2	6	26	47	93	137	133	153	193	209
202	10	25	11	0.0104	1	3.90448	0.633	0.060712	4.3758	929.34	0.6241	0.063673	4.295	1	21	42	84	117	115	131	127	119	127	116
220	10	25	12	0.0104	1	4.37224	0.5122	0.069361	2.2788	494.64	0.5026	0.066239	2.4372	15	72	106	118	109	139	141	88	75	79	58
238	10	50	6	0.0104	1	5.12935	0.9977	0.00022493	81.437	20708.0	0.9979	0.00024584	79.997	0	0	0	0	0	0	0	0	0	23	977
256	10	50	7	0.0104	1	5.36149	0.9919	0.00092532	52.838	13345.0	0.9923	0.00097168	51.527	0	0	0	0	0	0	0	0	9	63	928
274	10	50	8	0.0104	1	5.8423	0.9757	0.0030025	36.197	8233.5	0.9752	0.004029	33.346	0	0	0	0	0	0	2	4	34	155	805
292	10	50	9	0.0104	1	6.39043	0.9428	0.0093976	21.123	4897.7	0.9403	0.0096155	20.499	0	0	0	0	1	8	13	29	87	213	649
310	10	50	10	0.0104	1	6.82706	0.8748	0.023248	12.313	2814.5	0.87	0.023984	11.546	0	0	2	2	14	27	47	106	141	215	446
328	10	50	11	0.0104	1	7.5844	0.7863	0.036719	7.5452	1589.7	0.7739	0.043893	7.6299	1	1	6	16	40	61	104	153	171	196	251
346	10	50	12	0.0104	1	7.91253	0.6637	0.05803	4.3549	874.25	0.6637	0.05783	4.306	4	14	36	55	100	126	118	139	140	125	143
364	10	75	6	0.0104	1	7.31975	0.9994	7.972e-05	99.847	23868.0	0.9996	3.988e-05	99.67	0	0	0	0	0	0	0	0	1	4	995
382	10	75	7	0.0104	1	8.9587	0.9972	0.00033249	63.813	15888.0	0.9955	0.00053028	58.267	0	0	0	0	0	0	0	0	3	22	975
400	10	75	8	0.0104	1	8.78451	0.9914	0.00098703	42.807	10082.0	0.9882	0.0016224	42.664	0	0	0	0	0	0	0	0	10	66	924
418	10	75	9	0.0104	1	9.67482	0.9664	0.0050161	25.555	6177.5	0.9652	0.0052342	24.224	0	0	0	0	0	1	5	16	51	161	766
436	10	75	10	0.0104	1	10.7759	0.9264	0.012496	17.314	3671.7	0.9214	0.013616	15.224	0	0	0	2	1	7	23	50	112	215	590
454	10	75	11	0.0104	1	11.0541	0.8514	0.027145	10.842	2117.7	0.8423	0.02973	9.308	0	2	3	7	8	32	80	105	179	194	390
