k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 6 0.0104 1 0.99292 0.3524 0.066701 4.8137 1531.2 0.352 0.071848 4.8032 119 136 157 130 132 104 76 57 39 31 19 
10 1 7 0.0104 1 1.17335 0.2673 0.055116 2.6024 765.64 0.2603 0.049083 2.6086 188 201 176 122 102 78 51 34 28 12 8 
10 1 8 0.0104 1 1.26724 0.2034 0.039528 1.2177 382.81 0.1928 0.04141 1.2099 255 244 174 122 82 53 32 21 12 2 3 
10 1 9 0.0104 1 1.43204 0.1505 0.028548 0.63408 191.41 0.147 0.031983 0.76248 339 285 155 103 55 27 19 11 1 3 2 
10 1 10 0.0104 1 1.56411 0.1052 0.020393 0.33139 95.697 0.1037 0.020977 0.36193 469 270 139 49 41 14 11 3 2 0 2 
10 1 11 0.0104 1 1.64173 0.0709 0.012416 0.1797 47.865 0.0693 0.011199 0.17735 593 227 108 43 18 7 1 2 0 0 1 
10 1 12 0.0104 1 1.85896 0.0501 0.0074074 0.10594 23.921 0.0481 0.0077241 0.1044 666 222 75 23 11 2 1 0 0 0 0 
10 5 6 0.0104 1 1.46623 0.8014 0.038737 20.684 5895.6 0.8061 0.03769 20.08 1 5 6 17 30 62 83 151 143 203 299 
10 5 6 0.0104 2 1.4662 0.512 0.078895 4.6361 1351.9 0.5321 0.08 4.6693 41 64 104 118 106 126 107 94 95 70 75 
10 5 6 0.0104 3 1.4662 0.2621 0.0664 1.1499 327.04 0.2858 0.070949 1.1952 239 197 159 105 85 65 46 41 24 19 20 
10 5 6 0.0104 4 1.4662 0.1085 0.033772 0.28692 71.334 0.1209 0.037711 0.29326 576 182 91 52 33 21 21 6 7 6 5 
10 5 6 0.0104 5 1.4662 0.0283 0.0093785 0.077903 10.351 0.0319 0.011864 0.07628 860 84 23 14 6 4 3 3 1 0 2 
10 5 7 0.0104 1 1.67091 0.7001 0.051181 14.207 3177 0.6915 0.055934 10.393 2 14 21 36 71 117 135 137 160 151 156 
10 5 7 0.0104 2 1.6709 0.383 0.071382 1.8332 530.22 0.3808 0.074546 1.8138 95 115 162 139 127 101 83 59 55 30 34 
10 5 7 0.0104 3 1.6709 0.1694 0.047091 0.37013 100.55 0.1657 0.043537 0.36013 392 231 129 79 56 39 32 12 9 9 12 
10 5 7 0.0104 4 1.6709 0.0573 0.017164 0.096828 18.077 0.0597 0.018625 0.099832 717 168 50 24 15 9 4 6 4 0 3 
10 5 7 0.0104 5 1.6709 0.0111 0.0028296 0.043308 2.318 0.0171 0.0079055 0.045601 931 46 13 8 0 1 0 0 0 0 1 
10 5 8 0.0104 1 1.88946 0.5816 0.061523 6.6661 1658 0.5878 0.061413 6.2905 11 30 58 101 107 142 155 120 99 103 74 
10 5 8 0.0104 2 1.8895 0.2694 0.060184 0.83534 213.58 0.271 0.06122 0.83128 211 182 165 136 92 70 51 36 25 22 10 
10 5 8 0.0104 3 1.8895 0.1061 0.029502 0.17273 35.662 0.1027 0.028972 0.16576 553 202 109 43 33 24 10 14 8 2 2 
10 5 8 0.0104 4 1.8895 0.0337 0.0080824 0.056364 5.908 0.036 0.012396 0.056716 799 134 38 12 6 5 3 2 0 0 1 
10 5 8 0.0104 5 1.8895 0.0062 0.0016032 0.034728 0.9 0.0113 0.0046069 0.035508 961 29 5 2 0 1 2 0 0 0 0 
10 5 9 0.0104 1 2.07307 0.4634 0.066707 3.7947 861.09 0.459 0.066085 3.6024 29 86 115 131 162 135 99 76 72 50 45 
10 5 9 0.0104 2 2.0731 0.1719 0.041202 0.41146 82.633 0.1738 0.043998 0.39492 361 230 155 82 70 31 31 22 6 10 2 
10 5 9 0.0104 3 2.0731 0.061 0.016816 0.087347 11.277 0.0607 0.015861 0.08059 710 152 58 37 16 10 9 4 2 1 1 
10 5 9 0.0104 4 2.0731 0.0197 0.005127 0.040412 1.771 0.0186 0.004959 0.040132 886 74 21 7 5 6 0 0 0 0 1 
10 5 9 0.0104 5 2.0731 0.0041 0.0014146 0.032128 0.278 0.004 0.0014054 0.031879 973 22 3 1 0 0 0 0 0 0 1 
10 5 10 0.0104 1 2.27275 0.364 0.058683 1.8215 443.21 0.3641 0.056998 1.7559 75 139 153 162 142 110 71 72 39 21 16 
10 5 10 0.0104 2 2.2728 0.1144 0.029562 0.16781 31.274 0.1124 0.026112 0.17695 519 195 134 61 35 21 17 5 3 8 2 
10 5 10 0.0104 3 2.2728 0.0341 0.010037 0.047792 3.474 0.0345 0.0089687 0.048014 823 105 37 13 8 4 5 1 3 0 1 
10 5 10 0.0104 4 2.2728 0.011 0.0031221 0.033164 0.483 0.0092 0.0023777 0.03247 933 47 11 4 3 0 0 1 0 0 1 
10 5 10 0.0104 5 2.2728 0.0043 0.0015531 0.031094 0.101 0.0034 0.0013097 0.030606 974 20 3 1 1 0 0 0 0 0 1 
10 5 11 0.0104 1 2.78403 0.2681 0.04792 1.3812 226.02 0.2599 0.045768 1.0431 146 200 210 157 95 72 54 27 21 11 7 
10 5 11 0.0104 2 2.784 0.0708 0.017265 0.087441 11.954 0.0652 0.014604 0.086381 644 189 88 32 19 13 5 7 1 1 1 
