k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 30 14 0.0104 50 1 1e-07 188.155 0.9807 0.0042618 13.187 0 0.037231 0.24432 12.905 3390.9 98000 100 0.9837 0.0033477 13.174 0 0 1 0 2 0 4 11 20 84 878 
10 30 14 0.0104 50 1 1.375e-07 188.15 0.9807 0.0042618 13.2 0 0.036272 0.22196 12.941 3390.9 98000 100 0.9837 0.0033477 13.17 0 0 1 0 2 0 4 11 20 84 878 
10 30 14 0.0104 50 1 1.75e-07 188.15 0.9807 0.0042618 13.093 0 0.036254 0.17473 12.881 3390.9 98000 100 0.9837 0.0033477 13.139 0 0 1 0 2 0 4 11 20 84 878 
10 30 14 0.0104 50 1 2.5e-07 188.15 0.9807 0.0042618 13.056 0 0.034839 0.13446 12.886 3390.9 98000 100 0.9837 0.0033477 13.108 0 0 1 0 2 0 4 11 20 84 878 
10 30 14 0.0104 50 1 3.75e-07 188.15 0.9807 0.0042618 13.101 0 0.036339 0.17494 12.888 3390.9 98000 100 0.9837 0.0033477 13.109 0 0 1 0 2 0 4 11 20 84 878 
10 30 14 0.0104 50 1 5e-07 188.15 0.9807 0.0042618 13.04 0 0.035124 0.12551 12.878 3390.9 98000 100 0.9837 0.0033477 13.108 0 0 1 0 2 0 4 11 20 84 878 
10 30 14 0.0104 50 1 7.5e-07 188.15 0.9807 0.0042618 13.09 0 0.035792 0.16808 12.885 3390.9 98000 100 0.9837 0.0033477 13.157 0 0 1 0 2 0 4 11 20 84 878 
10 30 14 0.0104 50 1 1e-06 188.15 0.9807 0.0042618 13.126 0 0.035031 0.13755 12.952 3390.9 98000 100 0.9837 0.0033477 13.093 0 0 1 0 2 0 4 11 20 84 878 
10 30 14 0.0104 50 1 1.375e-06 188.15 0.9807 0.0042618 13.082 0 0.03586 0.14249 12.902 3390.9 98000 100 0.9837 0.0033477 13.142 0 0 1 0 2 0 4 11 20 84 878 
10 30 14 0.0104 50 1 1.75e-06 188.15 0.9807 0.0042618 13.064 0 0.035374 0.15793 12.87 3390.9 98000 100 0.9837 0.0033477 13.116 0 0 1 0 2 0 4 11 20 84 878 
10 30 14 0.0104 50 1 2.5e-06 188.15 0.9807 0.0042618 13.045 0 0.035748 0.127 12.881 3390.9 98000 100 0.9837 0.0033477 13.144 0 0 1 0 2 0 4 11 20 84 878 
10 30 14 0.0104 50 1 3.75e-06 188.15 0.9807 0.0042618 13.103 0 0.035536 0.17067 12.896 3390.9 98000 100 0.9837 0.0033477 13.106 0 0 1 0 2 0 4 11 20 84 878 
