k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 30 14 0.0104 50 1 1 581.114 0.9685 0.0065643 8.4445 0 0.053863 0.17062 8.2188 2176.5 98000 0.9742 0.0052396 8.3214 0 0 0 0 4 1 8 21 39 113 814 
10 30 14 0.0104 50 1 2 581.11 0.9395 0.015085 3.6476 0 0.055793 0.11415 3.4771 945.67 98000 0.9477 0.012848 3.6146 0 0 2 4 5 13 17 40 67 144 708 
10 30 14 0.0104 50 1 3 581.11 0.9112 0.024299 2.2719 0 0.030638 0.13234 2.1085 596.78 98000 0.923 0.020111 2.187 0 2 5 8 9 17 42 47 86 154 630 
10 30 14 0.0104 50 1 4 581.11 0.8833 0.031983 1.5581 0 0.029066 0.055596 1.473 430.49 98000 0.8981 0.028235 1.5309 0 4 6 9 20 31 50 61 101 160 558 
10 30 14 0.0104 50 1 5 581.11 0.8563 0.03996 1.1837 0 0.027886 0.048084 1.1074 331.51 98000 0.8729 0.036172 1.1699 1 5 8 15 28 47 57 68 110 158 503 
10 30 14 0.0104 50 1 6 581.11 0.8282 0.049414 0.94986 0 0.027762 0.048893 0.87283 266.7 98000 0.848 0.044801 0.93809 2 8 11 28 37 60 58 62 122 158 454 
10 30 14 0.0104 50 1 7 581.11 0.8043 0.057229 0.7831 0 0.02651 0.046824 0.70939 220.76 98000 0.8246 0.050966 0.77458 2 15 15 36 46 61 54 85 110 158 418 
10 30 14 0.0104 50 1 8 581.11 0.7807 0.063861 0.66606 0 0.025845 0.046689 0.59316 186.66 98000 0.8019 0.058205 0.65903 3 19 24 41 51 61 67 86 111 154 383 
10 30 14 0.0104 50 1 9 581.11 0.7576 0.070513 0.57984 0 0.025485 0.046528 0.50745 160.36 98000 0.7796 0.063828 0.56983 6 25 25 50 59 64 71 89 110 144 357 
10 30 14 0.0104 50 1 10 581.11 0.736 0.07598 0.50191 0 0.024824 0.045607 0.4311 139.41 98000 0.7598 0.067912 0.50019 9 31 41 37 64 71 78 85 121 136 327 
10 30 14 0.0104 50 1 11 581.11 0.7136 0.081136 0.4439 0 0.02426 0.045244 0.37403 122.18 98000 0.7395 0.073263 0.44389 10 41 36 58 64 76 79 90 106 139 301 
10 30 14 0.0104 50 1 12 581.11 0.6936 0.086105 0.40717 0 0.026008 0.050521 0.33026 108.09 98000 0.7191 0.078263 0.39819 19 43 36 69 62 78 90 82 107 134 280 
10 30 14 0.0104 50 1 13 581.11 0.6733 0.091569 0.36094 0 0.023539 0.044859 0.29216 96.505 98000 0.6991 0.082872 0.36001 24 55 44 60 70 76 94 84 99 134 260 
10 30 14 0.0104 50 1 14 581.11 0.6526 0.095128 0.32892 0 0.02317 0.044362 0.261 86.536 98000 0.68 0.087487 0.32942 31 55 52 67 75 81 87 84 102 125 241 
10 30 14 0.0104 50 1 15 581.11 0.6354 0.098025 0.3013 0 0.022837 0.044233 0.23384 78.018 98000 0.6594 0.090842 0.30195 37 56 58 71 81 89 77 89 90 125 227 
10 30 14 0.0104 50 1 16 581.11 0.6167 0.10125 0.27917 0 0.022551 0.04416 0.21208 70.593 98000 0.6428 0.093802 0.27899 49 53 67 75 77 92 82 92 80 119 214 
10 30 14 0.0104 50 1 17 581.11 0.5998 0.10404 0.25902 0 0.022331 0.043858 0.19245 64.28 98000 0.6251 0.096196 0.26014 55 56 78 75 83 90 76 91 80 114 202 
10 30 14 0.0104 50 1 18 581.11 0.5849 0.10669 0.24123 0 0.022135 0.043703 0.17501 58.56 98000 0.6085 0.099337 0.2415 62 61 84 71 90 94 68 87 81 108 194 
10 30 14 0.0104 50 1 19 581.11 0.5684 0.10893 0.23613 0 0.024367 0.050534 0.16083 53.602 98000 0.5895 0.10236 0.22626 71 70 77 82 90 91 71 76 90 99 183 
10 30 14 0.0104 50 1 20 581.11 0.5527 0.11106 0.22805 0 0.025597 0.054214 0.14783 49.169 98000 0.5735 0.10451 0.21277 81 74 84 78 97 82 71 75 90 98 170 
10 30 14 0.0104 50 1 22 581.11 0.521 0.11261 0.18994 0 0.021386 0.043122 0.12503 41.574 98000 0.5408 0.10696 0.1915 99 83 88 75 110 86 71 71 71 95 151 
10 30 14 0.0104 50 1 25 581.11 0.4775 0.11204 0.16341 0 0.020923 0.042778 0.099296 32.863 98000 0.4941 0.10814 0.16466 117 100 95 113 85 81 65 63 72 96 113 
10 30 14 0.0104 50 1 30 581.11 0.4138 0.11264 0.13345 0 0.020322 0.042192 0.070507 22.823 98000 0.428 0.11073 0.13402 171 117 120 100 85 65 60 51 72 67 92 
10 30 14 0.0104 50 1 40 581.11 0.3082 0.10368 0.10118 0 0.019525 0.041826 0.039388 11.911 98000 0.3169 0.099564 0.10176 300 158 91 98 61 39 56 57 43 40 57 
10 30 14 0.0104 50 1 50 581.11 0.2177 0.081899 0.083886 0 0.018887 0.041394 0.023174 6.563 98000 0.2251 0.079119 0.084171 441 151 86 67 61 44 36 28 28 27 31 
10 30 14 0.0104 50 1 60 581.11 0.1523 0.061056 0.074239 0 0.018391 0.04102 0.014453 3.767 98000 0.1591 0.059397 0.073545 566 132 77 56 40 38 23 16 21 9 22 
10 30 14 0.0104 50 1 70 581.11 0.1004 0.042602 0.067497 0 0.017997 0.040333 0.0088378 2.18 98000 0.1016 0.037295 0.066939 692 99 56 50 33 17 10 12 11 6 14 
10 30 14 0.0104 50 1 80 581.11 0.0646 0.027514 0.063702 0 0.017695 0.040315 0.0053738 1.239 98000 0.0616 0.022688 0.062524 788 67 51 33 19 9 7 11 3 6 6 
10 30 14 0.0104 50 1 90 581.11 0.0395 0.017567 0.060767 0 0.017419 0.039779 0.0032792 0.723 98000 0.0337 0.011546 0.059575 860 60 26 19 4 8 11 3 1 5 3 
10 30 14 0.0104 50 1 100 581.11 0.0229 0.010316 0.05894 0 0.017212 0.03956 0.0018953 0.402 98000 0.0174 0.005723 0.057742 918 36 12 11 8 6 1 1 4 1 2 
10 30 14 0.0104 50 1 125 581.11 0.0034 0.0018903 0.056456 0 0.016791 0.039138 0.00028192 0.052 98000 0.0014 0.00029834 0.056115 987 6 5 0 0 0 0 0 1 0 1 
10 30 14 0.0104 50 1 150 581.11 0 0 0.056099 0 0.016678 0.039147 3.463e-05 0 98000 0 0 0.055784 1000 0 0 0 0 0 0 0 0 0 0 
10 30 14 0.0104 50 1 175 581.11 0 0 0.056497 0 0.016774 0.03945 3.448e-05 0 98000 0 0 0.055728 1000 0 0 0 0 0 0 0 0 0 0 
10 30 14 0.0104 50 1 200 581.11 0 0 0.056488 0 0.016733 0.039481 3.4272e-05 0 98000 0 0 0.056161 1000 0 0 0 0 0 0 0 0 0 0 
10 30 14 0.0104 50 1 250 581.11 0 0 0.056498 0 0.016719 0.039498 3.4611e-05 0 98000 0 0 0.056166 1000 0 0 0 0 0 0 0 0 0 0 
10 30 14 0.0104 50 1 300 581.11 0 0 0.056218 0 0.016717 0.039223 3.4278e-05 0 98000 0 0 0.055734 1000 0 0 0 0 0 0 0 0 0 0 
10 30 14 0.0104 50 1 400 581.11 0 0 0.056152 0 0.016688 0.039191 3.4425e-05 0 98000 0 0 0.055809 1000 0 0 0 0 0 0 0 0 0 0 
10 30 14 0.0104 50 1 500 581.11 0 0 0.056512 0 0.01676 0.039478 3.4209e-05 0 98000 0 0 0.056264 1000 0 0 0 0 0 0 0 0 0 0 
10 30 14 0.0104 50 1 750 581.11 0 0 0.056474 0 0.016719 0.039481 3.4286e-05 0 98000 0 0 0.055796 1000 0 0 0 0 0 0 0 0 0 0 
10 30 14 0.0104 50 1 1000 581.11 0 0 0.056426 0 0.016713 0.039435 3.4401e-05 0 98000 0 0 0.055872 1000 0 0 0 0 0 0 0 0 0 0 
10 30 14 0.0104 50 1 1250 581.11 0 0 0.056043 0 0.016671 0.039099 3.4672e-05 0 98000 0 0 0.055748 1000 0 0 0 0 0 0 0 0 0 0 
10 30 14 0.0104 50 1 1500 581.11 0 0 0.056467 0 0.016715 0.039475 3.8431e-05 0 98000 0 0 0.056181 1000 0 0 0 0 0 0 0 0 0 0 
10 30 14 0.0104 50 1 2000 581.11 0 0 0.056446 0 0.016713 0.039459 3.4606e-05 0 98000 0 0 0.056279 1000 0 0 0 0 0 0 0 0 0 0 
10 30 15 0.0104 50 1 1 644.123 0.943 0.014766 6.3555 0 0.056211 0.13869 6.1597 1474.2 98000 0.9547 0.010468 6.2561 0 0 1 7 7 10 12 33 64 146 720 
10 30 15 0.0104 50 1 2 644.12 0.8981 0.028094 2.3877 0 0.044783 0.062162 2.2803 586.55 98000 0.9121 0.023567 2.2927 3 1 6 10 14 17 32 64 100 173 580 
10 30 15 0.0104 50 1 3 644.12 0.8542 0.041584 1.3432 0 0.045984 0.056902 1.2399 344.73 98000 0.8709 0.035839 1.2889 6 8 9 9 23 40 54 77 112 182 480 
10 30 15 0.0104 50 1 4 644.12 0.8123 0.053712 0.88228 0 0.03989 0.057063 0.78497 235.59 98000 0.8298 0.046759 0.85524 8 11 11 24 46 49 63 90 110 179 409 
10 30 15 0.0104 50 1 5 644.12 0.7705 0.066907 0.68679 0 0.035762 0.087067 0.56365 173.75 98000 0.7879 0.058462 0.65882 10 22 22 35 47 73 68 93 113 152 365 
10 30 15 0.0104 50 1 6 644.12 0.7293 0.076808 0.50007 0 0.029287 0.044586 0.42591 134.36 98000 0.7507 0.067647 0.51676 17 26 33 49 60 71 83 89 118 146 308 
10 30 15 0.0104 50 1 7 644.12 0.6956 0.084405 0.44668 0 0.034687 0.072416 0.33928 107.17 98000 0.713 0.077328 0.43055 24 26 56 55 57 84 82 97 110 136 273 
10 30 15 0.0104 50 1 8 644.12 0.6641 0.091333 0.3367 0 0.027426 0.039486 0.26952 87.343 98000 0.6752 0.085551 0.33622 30 43 54 60 74 82 92 91 99 127 248 
10 30 15 0.0104 50 1 9 644.12 0.6303 0.097329 0.32015 0 0.032536 0.059518 0.22782 72.444 98000 0.641 0.092852 0.31874 40 51 59 77 84 79 89 88 94 120 219 
10 30 15 0.0104 50 1 10 644.12 0.5991 0.10163 0.25666 0 0.026395 0.044225 0.18575 60.884 98000 0.6095 0.097677 0.25134 51 57 72 85 77 93 90 84 83 110 198 
10 30 15 0.0104 50 1 11 644.12 0.5688 0.10565 0.22221 0 0.025896 0.038428 0.15759 51.743 98000 0.5804 0.1025 0.22232 62 71 80 86 83 96 89 69 80 110 174 
10 30 15 0.0104 50 1 12 644.12 0.5405 0.1086 0.19825 0 0.025488 0.037846 0.13461 44.408 98000 0.5495 0.10665 0.19817 76 80 94 82 89 90 85 67 84 96 157 
10 30 15 0.0104 50 1 13 644.12 0.5131 0.11175 0.19425 0 0.025055 0.048976 0.1199 38.435 98000 0.5217 0.10821 0.2041 92 99 88 86 91 89 85 62 76 83 149 
10 30 15 0.0104 50 1 14 644.12 0.4874 0.11295 0.1919 0 0.030046 0.05812 0.10338 33.321 98000 0.4961 0.10946 0.17842 109 108 88 95 95 83 76 61 71 81 133 
10 30 15 0.0104 50 1 15 644.12 0.4631 0.1139 0.15106 0 0.024456 0.03678 0.089473 28.995 98000 0.4711 0.11051 0.1517 128 115 95 98 90 77 70 63 71 72 121 
