k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 10 13 0.0104 10 1 1 3.0519 0.7849 0.043125 3.176 0 0.011271 0.070715 3.0936 747.02 98000 0.787 0.040632 3.2942 2 4 10 29 44 58 78 129 174 211 261 
10 10 13 0.0104 10 1 2 3.0519 0.6357 0.071287 0.71811 0 0.0091745 0.033984 0.67464 185.57 98000 0.6347 0.067814 0.81022 18 29 48 71 102 104 100 123 147 126 132 
10 10 13 0.0104 10 1 3 3.0519 0.5265 0.079247 0.33517 0 0.0075758 0.031037 0.29632 85.791 98000 0.5268 0.07852 0.32633 41 71 89 102 100 117 113 101 115 90 61 
10 10 13 0.0104 10 1 4 3.0519 0.4416 0.082432 0.17608 0 0.0072187 0.025869 0.14269 49.661 98000 0.4486 0.080138 0.17541 84 101 123 126 94 107 98 89 75 61 42 
10 10 13 0.0104 10 1 5 3.0519 0.3775 0.080104 0.12338 0 0.0070408 0.025483 0.090605 31.982 98000 0.384 0.078563 0.12481 131 132 136 122 103 92 88 65 59 42 30 
10 10 13 0.0104 10 1 6 3.0519 0.3223 0.073927 0.092515 0 0.0069414 0.022762 0.062534 22.169 98000 0.33 0.073834 0.093771 181 147 151 131 92 91 62 49 43 31 22 
10 10 13 0.0104 10 1 7 3.0519 0.2835 0.068306 0.076096 0 0.0068206 0.022661 0.046318 15.963 98000 0.2829 0.069167 0.075895 223 167 153 124 86 82 47 46 33 22 17 
10 10 13 0.0104 10 1 8 3.0519 0.2451 0.061898 0.06603 0 0.0068294 0.022476 0.036403 11.947 98000 0.2434 0.06352 0.064435 287 165 154 108 90 67 35 38 32 13 11 
10 10 13 0.0104 10 1 9 3.0519 0.2111 0.055422 0.062323 0 0.0068899 0.024148 0.030929 9.103 98000 0.2142 0.057996 0.061067 333 192 143 100 68 62 33 26 25 9 9 
10 10 13 0.0104 10 1 10 3.0519 0.1798 0.04836 0.052797 0 0.0066371 0.022338 0.023511 7.05 98000 0.1861 0.051128 0.052448 388 203 137 78 61 55 28 19 19 5 7 
10 10 13 0.0104 10 1 11 3.0519 0.1574 0.041767 0.048355 0 0.006648 0.022301 0.019107 5.489 98000 0.1613 0.043416 0.04804 431 206 125 73 58 46 22 18 12 7 2 
10 10 13 0.0104 10 1 12 3.0519 0.1374 0.037519 0.045297 0 0.0066872 0.02235 0.015946 4.337 98000 0.1388 0.037232 0.044646 490 196 100 67 62 36 18 14 12 3 2 
10 10 13 0.0104 10 1 13 3.0519 0.118 0.031568 0.042536 0 0.0066462 0.022297 0.013311 3.462 98000 0.1205 0.031521 0.042098 534 189 98 59 56 30 10 13 7 3 1 
10 10 13 0.0104 10 1 14 3.0519 0.1025 0.026851 0.048612 0 0.0069254 0.030214 0.01119 2.808 98000 0.1029 0.026388 0.047015 578 172 97 53 53 21 12 5 6 2 1 
10 10 13 0.0104 10 1 15 3.0519 0.0897 0.023427 0.039586 0 0.0066887 0.023059 0.0095661 2.307 98000 0.0906 0.023275 0.038325 615 163 91 52 43 16 7 5 6 1 1 
10 10 13 0.0104 10 1 16 3.0519 0.078 0.020597 0.0374 0 0.0066704 0.022307 0.0081619 1.909 98000 0.0786 0.019902 0.038667 657 147 82 51 37 9 7 2 6 1 1 
10 10 13 0.0104 10 1 17 3.0519 0.0685 0.018096 0.037649 0 0.0066373 0.023669 0.0070854 1.587 98000 0.0686 0.017472 0.036904 683 148 77 43 25 9 5 3 5 2 0 
10 10 13 0.0104 10 1 18 3.0519 0.0601 0.015594 0.035466 0 0.0066959 0.022371 0.0061411 1.337 98000 0.059 0.015394 0.034681 709 143 70 42 17 6 5 2 4 2 0 
10 10 13 0.0104 10 1 19 3.0519 0.0512 0.012871 0.034721 0 0.006707 0.022464 0.0052825 1.122 98000 0.0496 0.013213 0.033759 742 130 68 30 15 5 3 3 4 0 0 
10 10 13 0.0104 10 1 20 3.0519 0.044 0.010575 0.033982 0 0.0067097 0.022465 0.004558 0.934 98000 0.0441 0.011817 0.035638 767 125 60 23 13 4 4 2 2 0 0 
10 10 13 0.0104 10 1 22 3.0519 0.0326 0.0075648 0.033283 0 0.0067578 0.022434 0.0038468 0.637 98000 0.0331 0.0089634 0.033123 818 104 44 17 9 4 2 1 1 0 0 
10 10 13 0.0104 10 1 25 3.0519 0.0212 0.0046752 0.031341 0 0.0067288 0.022363 0.002006 0.383 98000 0.0212 0.0052358 0.030608 872 81 26 13 4 1 2 1 0 0 0 
10 10 13 0.0104 10 1 30 3.0519 0.0092 0.0022176 0.030119 0 0.0066049 0.022382 0.00090578 0.154 98000 0.0107 0.002538 0.02968 943 39 11 2 2 1 2 0 0 0 0 
10 10 13 0.0104 10 1 40 3.0519 0.0013 0.00016848 0.028747 0 0.0063643 0.02195 0.00020284 0.025 98000 0.0018 0.00035712 0.028374 989 9 2 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 50 3.0519 0.0001 1e-05 0.028311 0 0.0059408 0.022078 6.2323e-05 0.002 98000 0.0003 4.996e-05 0.027719 999 1 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 60 3.0519 0.0001 1e-05 0.027803 0 0.0056486 0.021871 4.9199e-05 0.001 98000 0 0 0.027518 999 1 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 70 3.0519 0 0 0.02866 0 0.0058611 0.022508 4.6276e-05 0 98000 0 0 0.02754 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 80 3.0519 0 0 0.027663 0 0.0055752 0.021812 4.0335e-05 0 98000 0 0 0.027344 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 90 3.0519 0 0 0.027091 0 0.0050746 0.021744 4.0158e-05 0 98000 0 0 0.027147 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 100 3.0519 0 0 0.026891 0 0.005074 0.021543 4.6818e-05 0 98000 0 0 0.027118 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 125 3.0519 0 0 0.027055 0 0.0050815 0.021703 4.0174e-05 0 98000 0 0 0.027003 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 150 3.0519 0 0 0.056049 0 0.010107 0.045395 7.158e-05 0 98000 0 0 0.043234 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 175 3.0519 0 0 0.035816 0 0.0098056 0.025702 4.3151e-05 0 98000 0 0 0.032359 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 200 3.0519 0 0 0.03147 0 0.0085514 0.022648 3.8328e-05 0 98000 0 0 0.031098 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 250 3.0519 0 0 0.030884 0 0.0080592 0.022548 4.0997e-05 0 98000 0 0 0.030615 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 300 3.0519 0 0 0.032346 0 0.0076925 0.024386 4.1198e-05 0 98000 0 0 0.031802 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 400 3.0519 0 0 0.029756 0 0.0072306 0.022251 4.1069e-05 0 98000 0 0 0.029771 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 500 3.0519 0 0 0.029846 0 0.0073361 0.022244 3.8454e-05 0 98000 0 0 0.029758 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 750 3.0519 0 0 0.029789 0 0.007272 0.022244 3.8397e-05 0 98000 0 0 0.029732 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 1000 3.0519 0 0 0.029791 0 0.0072186 0.022307 3.8591e-05 0 98000 0 0 0.029738 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 1250 3.0519 0 0 0.030854 0 0.0076655 0.022913 3.8428e-05 0 98000 0 0 0.030527 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 1500 3.0519 0 0 0.030572 0 0.0077204 0.022585 3.8822e-05 0 98000 0 0 0.030561 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 2000 3.0519 0 0 0.030099 0 0.0075201 0.022302 3.8499e-05 0 98000 0 0 0.029961 1000 0 0 0 0 0 0 0 0 0 0 
10 10 14 0.0104 10 1 1 4.03069 0.6949 0.059964 2.0293 0 0.02747 0.036062 1.9655 426.19 98000 0.6944 0.055084 2.1305 8 20 24 62 59 99 95 160 145 166 162 
10 10 14 0.0104 10 1 2 4.0307 0.5096 0.077966 0.40586 0 0.019084 0.032305 0.35424 87.057 98000 0.5039 0.074509 0.35828 40 83 95 97 115 115 112 113 96 74 60 
10 10 14 0.0104 10 1 3 4.0307 0.3846 0.075498 0.15239 0 0.011514 0.021704 0.11892 34.839 98000 0.3805 0.072602 0.14761 112 126 134 131 122 97 76 79 58 37 28 
10 10 14 0.0104 10 1 4 4.0307 0.2922 0.066706 0.092001 0 0.011184 0.02133 0.059196 18.022 98000 0.2945 0.067187 0.091832 203 182 126 132 100 82 61 44 37 18 15 
10 10 14 0.0104 10 1 5 4.0307 0.2282 0.05498 0.069951 0 0.010975 0.021227 0.03744 10.525 98000 0.2342 0.061111 0.067341 289 181 169 94 96 71 34 23 21 11 11 
10 10 14 0.0104 10 1 6 4.0307 0.177 0.045797 0.05828 0 0.010852 0.022481 0.024648 6.549 98000 0.1851 0.051359 0.054795 381 200 146 88 73 47 24 13 10 8 10 
10 10 14 0.0104 10 1 7 4.0307 0.1395 0.037627 0.055422 0 0.014341 0.022585 0.018198 4.219 98000 0.1497 0.044925 0.048267 469 195 129 72 64 26 17 7 8 5 8 
10 10 14 0.0104 10 1 8 4.0307 0.1093 0.031595 0.045414 0 0.010854 0.02141 0.012865 2.895 98000 0.1195 0.038108 0.041934 554 187 101 71 35 24 4 5 7 4 8 
10 10 14 0.0104 10 1 9 4.0307 0.0868 0.026753 0.043497 0 0.010843 0.022765 0.009609 2.039 98000 0.0929 0.03071 0.040011 640 156 81 55 28 16 4 7 3 4 6 
10 10 14 0.0104 10 1 10 4.0307 0.0694 0.022726 0.041059 0 0.011017 0.022392 0.0073846 1.477 98000 0.0725 0.024078 0.039669 704 136 69 37 25 8 4 5 4 2 6 
10 10 14 0.0104 10 1 11 4.0307 0.0533 0.015184 0.038766 0 0.010925 0.021905 0.005687 1.047 98000 0.0557 0.015663 0.034927 747 129 52 36 19 5 3 3 4 0 2 
10 10 14 0.0104 10 1 12 4.0307 0.0414 0.011678 0.036971 0 0.010933 0.021583 0.0042152 0.766 98000 0.0421 0.011669 0.0334 792 111 47 29 8 1 7 0 3 1 1 
10 10 14 0.0104 10 1 13 4.0307 0.0322 0.008792 0.037028 0 0.010796 0.022777 0.0032241 0.557 98000 0.0316 0.0078693 0.033526 821 109 41 15 3 3 3 2 1 1 1 
