k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 10 13 0.0104 10 1 1 3.48774 0.9312 0.011218 2.3057 0 0.090227 0.037034 2.1781 540.45 98000 0.9315 0.01239 2.4228 0 0 0 0 5 8 16 35 97 255 584 
10 10 13 0.0104 10 1 2 3.4877 0.8644 0.025558 0.84758 0 0.068321 0.038485 0.74049 183.59 98000 0.8668 0.025723 0.9979 0 0 4 10 15 30 47 75 164 273 382 
10 10 13 0.0104 10 1 3 3.4877 0.8065 0.035884 0.63106 0 0.056904 0.027605 0.54626 102.57 98000 0.8085 0.037896 0.43963 0 1 8 23 27 54 78 125 166 250 268 
10 10 13 0.0104 10 1 4 3.4877 0.7514 0.046765 0.3235 0 0.057526 0.028553 0.23708 68.674 98000 0.7541 0.047311 0.33089 1 8 17 32 51 74 106 130 171 212 198 
10 10 13 0.0104 10 1 5 3.4877 0.6985 0.054482 0.25275 0 0.046806 0.040384 0.16528 49.737 98000 0.7036 0.054902 0.25014 5 12 28 50 70 89 121 145 167 165 148 
10 10 13 0.0104 10 1 6 3.4877 0.6526 0.060193 0.20907 0 0.050773 0.032897 0.12507 37.893 98000 0.6608 0.058362 0.23372 7 23 41 64 78 117 123 148 147 138 114 
10 10 13 0.0104 10 1 7 3.4877 0.6076 0.064747 0.16582 0 0.045613 0.023261 0.096676 29.871 98000 0.6192 0.062734 0.15677 13 33 57 77 93 127 130 138 126 123 83 
10 10 13 0.0104 10 1 8 3.4877 0.566 0.06639 0.13817 0 0.038107 0.02279 0.076978 24.157 98000 0.5768 0.064807 0.13629 16 51 65 96 105 131 126 139 114 95 62 
10 10 13 0.0104 10 1 9 3.4877 0.5271 0.069425 0.13022 0 0.041204 0.024632 0.064045 19.979 98000 0.5428 0.066455 0.12797 29 62 81 102 126 120 134 115 99 84 48 
10 10 13 0.0104 10 1 10 3.4877 0.4901 0.068761 0.11205 0 0.036431 0.022518 0.052756 16.734 98000 0.5068 0.06602 0.11013 35 77 95 126 121 126 122 115 80 65 38 
10 10 13 0.0104 10 1 11 3.4877 0.4551 0.067321 0.10341 0 0.035701 0.022448 0.044907 14.164 98000 0.4733 0.064221 0.10106 43 92 115 130 135 121 115 95 77 47 30 
10 10 13 0.0104 10 1 12 3.4877 0.4268 0.066749 0.10314 0 0.039035 0.024327 0.039414 12.154 98000 0.4411 0.062023 0.10087 60 100 131 125 143 116 111 92 56 39 27 
10 10 13 0.0104 10 1 13 3.4877 0.3978 0.065421 0.090845 0 0.034616 0.022186 0.033685 10.511 98000 0.4098 0.059884 0.08883 74 114 139 148 127 114 107 73 49 31 24 
10 10 13 0.0104 10 1 14 3.4877 0.3715 0.063741 0.086291 0 0.034198 0.022152 0.029588 9.146 98000 0.3849 0.05758 0.084397 92 128 147 146 132 108 95 63 43 28 18 
10 10 13 0.0104 10 1 15 3.4877 0.3473 0.060713 0.082531 0 0.033722 0.022024 0.026432 8.022 98000 0.3585 0.055603 0.080675 107 138 154 158 131 101 78 59 37 23 14 
10 10 13 0.0104 10 1 16 3.4877 0.3241 0.059068 0.080936 0 0.034738 0.022574 0.023271 6.995 98000 0.3355 0.054704 0.079912 130 147 172 137 131 100 72 51 28 18 14 
10 10 13 0.0104 10 1 17 3.4877 0.3043 0.056488 0.079238 0 0.034478 0.023488 0.020922 6.182 98000 0.3118 0.052794 0.077275 144 168 176 121 139 91 66 42 29 13 11 
10 10 13 0.0104 10 1 18 3.4877 0.2853 0.054428 0.080784 0 0.036229 0.025367 0.018845 5.486 98000 0.2907 0.049693 0.081567 166 171 179 141 120 80 57 40 24 13 9 
10 10 13 0.0104 10 1 19 3.4877 0.2667 0.051272 0.07968 0 0.035944 0.026064 0.017328 4.924 98000 0.2699 0.047692 0.076361 179 194 172 147 117 67 46 40 18 15 5 
10 10 13 0.0104 10 1 20 3.4877 0.2478 0.048203 0.070759 0 0.032378 0.022489 0.015546 4.364 98000 0.249 0.044964 0.068084 198 211 174 143 104 65 38 33 19 12 3 
10 10 13 0.0104 10 1 22 3.4877 0.2156 0.04352 0.076237 0 0.04028 0.02248 0.013135 3.527 98000 0.2129 0.040164 0.068088 245 227 180 130 82 54 32 24 15 9 2 
10 10 13 0.0104 10 1 25 3.4877 0.1711 0.03551 0.063731 0 0.032089 0.02154 0.0097696 2.529 98000 0.1688 0.032799 0.060988 318 265 157 109 56 43 21 13 13 5 0 
10 10 13 0.0104 10 1 30 3.4877 0.1153 0.0243 0.059201 0 0.031178 0.021414 0.0063031 1.504 98000 0.1158 0.022933 0.057086 470 245 125 73 43 17 12 10 5 0 0 
10 10 13 0.0104 10 1 40 3.4877 0.0513 0.010489 0.05486 0 0.030677 0.021224 0.0026838 0.58 98000 0.0542 0.0095719 0.052999 705 175 67 30 12 4 4 2 1 0 0 
10 10 13 0.0104 10 1 50 3.4877 0.0201 0.0036096 0.052796 0 0.030197 0.021189 0.0011599 0.219 98000 0.0209 0.0032564 0.05081 866 89 30 11 2 1 1 0 0 0 0 
10 10 13 0.0104 10 1 60 3.4877 0.0088 0.0018044 0.051931 0 0.029966 0.021147 0.00057548 0.094 98000 0.0065 0.00086862 0.049746 940 46 5 6 2 0 1 0 0 0 0 
10 10 13 0.0104 10 1 70 3.4877 0.003 0.00057157 0.056152 0 0.032549 0.023138 0.00022954 0.03 98000 0.0018 0.00025702 0.054196 978 17 4 0 0 1 0 0 0 0 0 
10 10 13 0.0104 10 1 80 3.4877 0.0009 0.00014934 0.051431 0 0.029907 0.021182 0.00010635 0.009 98000 0.0007 6.958e-05 0.049237 993 6 0 1 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 90 3.4877 0.0001 1e-05 0.051092 0 0.029715 0.021091 5.3322e-05 0.001 98000 0.0001 1e-05 0.049164 999 1 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 100 3.4877 0 0 0.051392 0 0.029899 0.021217 4.2778e-05 0 98000 0 0 0.048903 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 125 3.4877 0 0 0.051278 0 0.029844 0.021157 4.225e-05 0 98000 0 0 0.049151 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 150 3.4877 0 0 0.051048 0 0.029678 0.021098 4.1943e-05 0 98000 0 0 0.049212 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 175 3.4877 0 0 0.051294 0 0.029815 0.021197 4.8214e-05 0 98000 0 0 0.049161 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.0104 10 1 200 3.4877 0 0 0.05113 0 0.02971 0.021145 4.258e-05 0 98000 0 0 0.049174 1000 0 0 0 0 0 0 0 0 0 0 
