k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 10 13 0.0104 10 1 1 0.775123 0.6829 0.055853 3.5032 0.016313 0.0038858 0.063165 3.4193 906.45 98000 0.6929 0.05001 3.4024 4 21 31 55 64 83 141 157 166 143 135 
10 10 13 0.0104 10 1 2 0.77512 0.4884 0.073199 0.51024 0.012869 0.002331 0.033924 0.46085 159.48 98000 0.4922 0.07041 0.50332 37 90 106 106 115 116 135 100 91 54 50 
10 10 13 0.0104 10 1 3 0.77512 0.359 0.068508 0.18144 0.012156 0.0018046 0.024068 0.14315 58.615 98000 0.3637 0.066719 0.17967 110 150 137 136 137 95 84 56 42 27 26 
10 10 13 0.0104 10 1 4 0.77512 0.2652 0.058868 0.1075 0.013407 0.0015111 0.02653 0.065756 28.347 98000 0.269 0.057136 0.10572 214 184 160 139 103 69 39 39 24 15 14 
10 10 13 0.0104 10 1 5 0.77512 0.2019 0.050797 0.077774 0.012446 0.0013846 0.02715 0.036449 15.535 98000 0.2065 0.048576 0.078415 318 212 156 107 83 33 29 23 20 8 11 
10 10 13 0.0104 10 1 6 0.77512 0.1584 0.042252 0.062656 0.012719 0.0012279 0.025689 0.022675 9.319 98000 0.1604 0.040452 0.058538 397 236 140 90 44 31 20 15 11 6 10 
10 10 13 0.0104 10 1 7 0.77512 0.1255 0.035535 0.052539 0.012089 0.001162 0.02343 0.01552 5.934 98000 0.1255 0.033573 0.051667 482 234 116 67 39 17 13 10 8 5 9 
10 10 13 0.0104 10 1 8 0.77512 0.0986 0.029728 0.047042 0.012167 0.0011407 0.022448 0.010964 3.926 98000 0.0953 0.027335 0.046154 576 204 94 50 29 13 12 5 6 2 9 
10 10 13 0.0104 10 1 9 0.77512 0.0774 0.025355 0.043731 0.012243 0.0011252 0.022124 0.0079238 2.638 98000 0.0776 0.023962 0.043441 666 159 83 36 16 14 7 4 5 3 7 
10 10 13 0.0104 10 1 10 0.77512 0.0631 0.02161 0.041568 0.012346 0.0011218 0.022036 0.0057631 1.817 98000 0.0628 0.021037 0.041431 719 147 60 30 11 11 6 4 4 1 7 
10 10 13 0.0104 10 1 11 0.77512 0.047 0.014506 0.040023 0.012451 0.0011245 0.022006 0.0041418 1.245 98000 0.046 0.013377 0.041841 776 125 41 22 15 7 6 2 3 2 1 
10 10 13 0.0104 10 1 12 0.77512 0.0361 0.010798 0.039232 0.012504 0.0011364 0.022152 0.0031482 0.882 98000 0.0363 0.0099222 0.038712 822 96 41 16 12 3 5 1 2 1 1 
10 10 13 0.0104 10 1 13 0.77512 0.0286 0.0086507 0.041527 0.013623 0.0011281 0.024203 0.0022898 0.625 98000 0.0279 0.0072188 0.041374 851 92 22 18 7 3 3 0 2 1 1 
10 10 13 0.0104 10 1 14 0.77512 0.0231 0.0067231 0.037558 0.012525 0.0011141 0.021919 0.0017172 0.452 98000 0.0222 0.0059331 0.037133 873 79 23 16 3 0 2 0 2 2 0 
10 10 13 0.0104 10 1 15 0.77512 0.0168 0.0048626 0.036895 0.012429 0.0011091 0.021881 0.0012025 0.31 98000 0.0158 0.004675 0.036554 908 54 22 9 2 2 0 0 2 1 0 
10 10 13 0.0104 10 1 16 0.77512 0.0126 0.0035448 0.036664 0.012478 0.0011174 0.021886 0.00091395 0.226 98000 0.0113 0.0030854 0.036158 931 38 21 5 1 1 0 2 1 0 0 
10 10 13 0.0104 10 1 17 0.77512 0.009 0.0026617 0.03615 0.012381 0.0011177 0.021706 0.00067727 0.154 98000 0.0084 0.0024719 0.035891 950 30 13 3 1 0 1 1 1 0 0 
10 10 13 0.0104 10 1 18 0.77512 0.0058 0.0018082 0.036012 0.012494 0.0011084 0.021656 0.00048861 0.101 98000 0.0063 0.0021324 0.035758 968 20 8 1 0 1 0 2 0 0 0 
