	k	n_trees	depth	sparsity	k_build	b	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	n_train	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	10	13	0.0104	10	1	1	0.775123	0.6829	0.055853	3.5032	0.016313	0.0038858	0.063165	3.4193	906.45	98000	0.6929	0.05001	3.4024	4	21	31	55	64	83	141	157	166	143	135
43	10	10	14	0.0104	10	1	1	0.986831	0.5746	0.063258	1.8042	0.012565	0.0051628	0.032109	1.754	492.17	98000	0.5838	0.060598	1.8328	13	44	62	79	127	126	142	128	116	103	60
86	10	10	15	0.0104	10	1	1	0.967955	0.4507	0.07045	0.98763	0.012619	0.0054477	0.024496	0.9447	263.71	98000	0.4525	0.065739	1.1078	48	87	126	137	135	125	94	85	68	61	34
129	10	15	13	0.0104	10	1	1	0.916602	0.7919	0.036921	4.783	0.021326	0.0072201	0.10419	4.6497	1249.4	98000	0.7998	0.035395	4.7459	1	4	8	16	35	59	82	140	193	220	242
172	10	15	14	0.0104	10	1	1	0.994873	0.6645	0.056226	2.8747	0.019484	0.0081595	0.062468	2.7842	699.79	98000	0.6778	0.053701	2.9455	4	15	35	55	93	114	131	148	139	141	125
215	10	15	15	0.0104	10	1	1	1.20598	0.5497	0.066907	1.4146	0.016968	0.0101	0.027309	1.3599	381.47	98000	0.5638	0.063113	1.472	22	48	75	97	123	116	148	122	115	66	68
258	10	20	13	0.0104	10	1	1	1.04795	0.8224	0.03151	6.7111	0.036496	0.010569	0.15431	6.509	1591.2	98000	0.8349	0.028621	6.5528	0	1	5	10	27	42	83	130	164	235	303
301	10	20	14	0.0104	10	1	1	0.876065	0.7319	0.045618	3.9723	0.032818	0.011364	0.081688	3.846	889.87	98000	0.7474	0.043777	3.6999	2	10	15	32	52	88	110	165	175	190	161
344	10	20	15	0.0104	10	1	1	1.22904	0.6215	0.058206	2.0441	0.023972	0.013204	0.056167	1.9504	490.55	98000	0.6343	0.055969	2.0431	7	33	38	63	105	121	153	151	132	109	88
387	10	25	13	0.0104	10	1	1	1.02446	0.8607	0.025891	7.3587	0.034924	0.014003	0.18575	7.1232	1891.7	98000	0.8667	0.024325	8.7371	0	0	1	9	11	40	63	81	164	233	398
430	10	25	14	0.0104	10	1	1	1.19687	0.7754	0.040455	4.6735	0.034746	0.015381	0.14063	4.4823	1072.2	98000	0.7966	0.037426	4.4999	1	2	10	22	44	73	107	116	181	217	227
473	10	25	15	0.0104	10	1	1	1.3975	0.6532	0.057047	2.8883	0.031989	0.014937	0.10245	2.7385	602.07	98000	0.6723	0.051774	2.2086	5	21	30	60	108	103	139	138	150	136	110
516	10	30	13	0.0104	10	1	1	1.26535	0.8722	0.023631	9.3022	0.048204	0.016108	0.18678	9.05	2190.2	98000	0.8823	0.021378	8.97	0	0	2	8	10	29	43	93	157	236	422
559	10	30	14	0.0104	10	1	1	1.19147	0.8094	0.036048	4.8942	0.03871	0.018962	0.19087	4.645	1245.5	98000	0.8177	0.030667	5.4358	0	2	7	20	27	48	88	125	188	187	308
602	10	30	15	0.0104	10	1	1	1.44459	0.693	0.051362	2.9843	0.034384	0.020223	0.13579	2.7935	699.72	98000	0.7097	0.047583	2.9912	3	9	27	47	70	107	141	142	149	171	134
645	10	40	13	0.0104	10	1	1	1.33282	0.9089	0.015666	10.878	0.053858	0.022082	0.25821	10.543	2753.3	98000	0.9075	0.01643	10.782	0	0	0	2	6	13	22	74	126	234	523
688	10	40	14	0.0104	10	1	1	1.36469	0.8447	0.02844	6.8501	0.059129	0.02728	0.21926	6.5435	1585.6	98000	0.8552	0.026339	6.5768	0	1	3	5	20	47	62	111	150	249	352
731	10	40	15	0.0104	10	1	1	1.4402	0.7631	0.042451	4.106	0.043056	0.022567	0.20287	3.8369	885.44	98000	0.7749	0.037838	3.3593	1	4	15	18	51	79	100	143	171	205	213
