	k	n_trees	depth	sparsity	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	1	6	0.0104	1	0.259424	0.1155	0.023313	7.5459	0.029816	0.0004039	0.044515	7.4703	1531.2	0.1146	0.024451	5.2853	457	244	140	90	28	22	7	5	3	2	2
1	10	1	7	0.0104	1	0.300523	0.0782	0.017382	2.5945	0.0041917	0.00023762	0.021251	2.5684	765.62	0.0807	0.017135	2.6403	580	249	84	43	20	6	8	5	3	1	1
2	10	1	8	0.0104	1	0.312192	0.0593	0.011545	1.2277	0.0035421	0.00024296	0.017308	1.2063	382.82	0.0584	0.013783	1.3987	653	208	84	29	11	11	1	1	1	0	1
3	10	1	9	0.0104	1	0.318241	0.0313	0.0057961	0.61355	0.0035619	0.00020992	0.016684	0.59283	191.4	0.0317	0.0055507	0.61567	782	164	33	11	6	2	1	0	0	0	1
4	10	1	10	0.0104	1	0.374031	0.0256	0.0046092	0.32093	0.0037839	0.00023496	0.016071	0.30059	95.694	0.0248	0.0039489	0.32147	819	132	35	9	3	1	0	0	0	0	1
5	10	1	11	0.0104	1	0.347649	0.0135	0.0016694	0.17563	0.0037949	0.00024144	0.016339	0.155	47.871	0.0146	0.0025894	0.17442	887	94	16	3	0	0	0	0	0	0	0
6	10	1	12	0.0104	1	0.384011	0.0128	0.0022985	0.10443	0.0041925	0.00024517	0.017395	0.082338	23.925	0.0104	0.0013332	0.10229	900	85	9	4	0	1	0	0	1	0	0
7	10	5	6	0.0104	1	0.366274	0.4371	0.065219	29.08	0.01632	0.00075217	0.099778	28.962	7243.3	0.4185	0.065954	28.234	41	94	120	161	155	112	94	81	64	49	29
12	10	5	7	0.0104	1	0.379838	0.3155	0.052262	14.258	0.0090995	0.00069431	0.074599	14.172	3708.6	0.3009	0.049178	14.182	98	186	173	153	123	106	62	48	31	14	6
17	10	5	8	0.0104	1	0.308907	0.2243	0.039599	7.3405	0.013946	0.0010228	0.054615	7.2701	1877.7	0.2128	0.036513	6.9961	184	265	185	136	95	63	37	15	7	8	5
22	10	5	9	0.0104	1	0.35314	0.1628	0.032148	3.6278	0.0087266	0.0011032	0.032004	3.5855	945.02	0.1534	0.028597	3.6158	322	271	174	92	57	38	20	19	3	2	2
27	10	5	10	0.0104	1	0.358499	0.0978	0.018253	1.8923	0.0077305	0.001016	0.018984	1.8641	475.38	0.0984	0.018076	2.0359	488	271	126	59	30	9	10	5	1	0	1
32	10	5	11	0.0104	1	0.385572	0.0736	0.012896	0.96602	0.0082618	0.0012246	0.018722	0.93743	238.05	0.0699	0.010895	0.93854	582	231	111	44	19	7	5	0	0	0	1
37	10	5	12	0.0104	1	0.500622	0.0453	0.0080259	0.48861	0.0081668	0.0016339	0.017091	0.46138	119.27	0.0454	0.0070859	0.48992	701	216	42	24	10	4	0	3	0	0	0
42	10	10	6	0.0104	1	0.549128	0.6515	0.056955	53.642	0.021084	0.00099837	0.15698	53.462	13563.0	0.6599	0.058541	55.189	6	11	36	69	104	121	111	161	133	133	115
52	10	10	7	0.0104	1	0.537499	0.4868	0.06463	25.374	0.011655	0.0013581	0.10277	25.257	7166.0	0.4799	0.061548	25.09	19	67	102	173	113	125	128	96	74	61	42
62	10	10	8	0.0104	1	0.596937	0.3863	0.061504	15.084	0.020483	0.0018886	0.078603	14.983	3667.4	0.363	0.055947	14.47	64	109	174	152	131	124	90	61	39	33	23
72	10	10	9	0.0104	1	0.333271	0.2617	0.049453	7.1607	0.015047	0.0021547	0.060815	7.082	1867.8	0.2481	0.0441	7.0919	160	221	174	164	103	64	47	24	22	12	9
82	10	10	10	0.0104	1	0.468509	0.1788	0.033084	3.9056	0.014966	0.0019654	0.036185	3.8521	942.93	0.1747	0.032162	3.9617	275	258	210	102	71	33	19	23	2	6	1
92	10	10	11	0.0104	1	0.494303	0.1269	0.025192	1.8785	0.011071	0.0023856	0.021388	1.8433	474.03	0.1213	0.021858	1.8458	388	311	141	71	41	21	11	5	7	3	1
102	10	10	12	0.0104	1	0.7391	0.0913	0.01587	0.97219	0.012262	0.0028169	0.01993	0.93684	237.73	0.0902	0.015479	1.1027	495	281	129	47	26	12	4	3	3	0	0
112	10	25	6	0.0104	1	0.554939	0.8932	0.020294	118.06	0.030171	0.0019905	0.39216	117.63	28705.0	0.8861	0.021178	101.99	0	0	2	2	6	16	53	88	120	206	507
130	10	25	7	0.0104	1	0.680441	0.7702	0.042555	64.008	0.034389	0.0026393	0.2051	63.765	16202.0	0.7475	0.047741	62.955	0	3	7	20	65	73	107	126	168	178	253
148	10	25	8	0.0104	1	0.703804	0.6415	0.060568	34.411	0.031345	0.0041875	0.16547	34.208	8619.0	0.621	0.061581	30.784	1	16	52	69	110	121	125	133	124	120	129
