k n_trees depth sparsity v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 6 0.0104 1 0.259424 0.1155 0.023313 7.5459 0.029816 0.0004039 0.044515 7.4703 1531.2 0.1146 0.024451 5.2853 457 244 140 90 28 22 7 5 3 2 2 
10 1 7 0.0104 1 0.300523 0.0782 0.017382 2.5945 0.0041917 0.00023762 0.021251 2.5684 765.62 0.0807 0.017135 2.6403 580 249 84 43 20 6 8 5 3 1 1 
10 1 8 0.0104 1 0.312192 0.0593 0.011545 1.2277 0.0035421 0.00024296 0.017308 1.2063 382.82 0.0584 0.013783 1.3987 653 208 84 29 11 11 1 1 1 0 1 
10 1 9 0.0104 1 0.318241 0.0313 0.0057961 0.61355 0.0035619 0.00020992 0.016684 0.59283 191.4 0.0317 0.0055507 0.61567 782 164 33 11 6 2 1 0 0 0 1 
10 1 10 0.0104 1 0.374031 0.0256 0.0046092 0.32093 0.0037839 0.00023496 0.016071 0.30059 95.694 0.0248 0.0039489 0.32147 819 132 35 9 3 1 0 0 0 0 1 
10 1 11 0.0104 1 0.347649 0.0135 0.0016694 0.17563 0.0037949 0.00024144 0.016339 0.155 47.871 0.0146 0.0025894 0.17442 887 94 16 3 0 0 0 0 0 0 0 
10 1 12 0.0104 1 0.384011 0.0128 0.0022985 0.10443 0.0041925 0.00024517 0.017395 0.082338 23.925 0.0104 0.0013332 0.10229 900 85 9 4 0 1 0 0 1 0 0 
10 5 6 0.0104 1 0.366274 0.4371 0.065219 29.08 0.01632 0.00075217 0.099778 28.962 7243.3 0.4185 0.065954 28.234 41 94 120 161 155 112 94 81 64 49 29 
10 5 6 0.0104 2 0.36627 0.1226 0.029158 1.5692 0.013631 0.00025518 0.042704 1.5122 393.35 0.1136 0.025 1.6081 463 244 128 70 38 18 16 11 9 1 2 
10 5 6 0.0104 3 0.36627 0.0256 0.0059306 0.12095 0.0063913 0.00020204 0.035868 0.078079 18.706 0.0205 0.003233 0.12139 841 112 22 13 5 5 1 0 0 0 1 
10 5 6 0.0104 4 0.36627 0.0054 0.0015124 0.045933 0.0069272 0.00022803 0.033913 0.004521 0.826 0.0041 0.0005137 0.044644 960 34 5 0 0 0 0 0 0 0 1 
10 5 6 0.0104 5 0.36627 0.0023 0.00096568 0.039279 0.0064047 0.00020987 0.031991 0.00035669 0.056 0.0014 0.00013818 0.039001 986 12 1 0 0 0 0 0 0 1 0 
10 5 7 0.0104 1 0.379838 0.3155 0.052262 14.258 0.0090995 0.00069431 0.074599 14.172 3708.6 0.3009 0.049178 14.182 98 186 173 153 123 106 62 48 31 14 6 
