k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 25 1.60673 0.5096 0.068456 5.2598 0.5103 0.069714 4.1976 23 61 98 122 129 141 122 101 75 67 61 
10 1 50 1.6067 0.5096 0.068456 3.99 0.5103 0.069714 3.9719 23 61 98 122 129 141 122 101 75 67 61 
10 1 100 1.6067 0.5096 0.068456 3.9614 0.5103 0.069714 3.9281 23 61 98 122 129 141 122 101 75 67 61 
10 1 200 1.6067 0.5096 0.068456 3.9596 0.5103 0.069714 3.9505 23 61 98 122 129 141 122 101 75 67 61 
10 1 400 1.6067 0.5096 0.068456 4.0215 0.5103 0.069714 3.9299 23 61 98 122 129 141 122 101 75 67 61 
10 1 1000 1.6067 0.5096 0.068456 3.9678 0.5103 0.069714 3.9328 23 61 98 122 129 141 122 101 75 67 61 
10 1 2000 1.6067 0.5315 0.071209 4.2501 0.5255 0.071812 4.221 22 53 90 117 124 134 119 107 79 80 75 
10 1 4000 1.6067 0.7053 0.054316 7.7342 0.7153 0.053169 7.7257 3 11 23 44 76 99 138 124 153 145 184 
10 1 10000 1.6067 0.8763 0.024313 15.862 0.8889 0.020667 15.864 0 1 0 4 11 36 54 83 143 203 465 
10 1 20000 1.6067 0.9655 0.006266 29.615 0.9671 0.0062538 29.537 0 0 0 0 0 4 7 23 49 130 787 
10 1 40000 1.6067 0.9939 0.00077356 55.785 0.9945 0.00078053 55.837 0 0 0 0 0 0 0 0 10 41 949 
10 1 100000 1.6067 1 0 150.81 1 0 130.86 0 0 0 0 0 0 0 0 0 0 1000 
10 1 200000 1.6067 1 0 152.95 1 0 133.14 0 0 0 0 0 0 0 0 0 0 1000 
10 1 400000 1.6067 1 0 137.18 1 0 133.74 0 0 0 0 0 0 0 0 0 0 1000 
10 5 25 4.34771 0.65 0.05996 4.202 0.65 0.058719 4.2386 3 17 51 69 87 111 126 141 152 118 125 
10 5 50 4.3477 0.65 0.05996 4.2168 0.65 0.058719 4.233 3 17 51 69 87 111 126 141 152 118 125 
10 5 100 4.3477 0.65 0.05996 4.2101 0.65 0.058719 4.2282 3 17 51 69 87 111 126 141 152 118 125 
10 5 200 4.3477 0.65 0.05996 4.1776 0.65 0.058719 4.237 3 17 51 69 87 111 126 141 152 118 125 
10 5 400 4.3477 0.65 0.05996 4.2038 0.65 0.058719 4.2274 3 17 51 69 87 111 126 141 152 118 125 
10 5 1000 4.3477 0.65 0.05996 4.1921 0.65 0.058719 4.2384 3 17 51 69 87 111 126 141 152 118 125 
10 5 2000 4.3477 0.6546 0.059939 4.2991 0.6572 0.057706 4.3521 3 17 47 69 87 109 126 140 149 123 130 
10 5 4000 4.3477 0.7657 0.043157 6.836 0.7758 0.038513 6.872 1 3 11 21 61 71 102 137 179 173 241 
10 5 10000 4.3477 0.858 0.025141 10.87 0.8692 0.022174 10.781 0 1 0 2 19 33 62 109 162 219 393 
10 5 20000 4.3477 0.934 0.011556 17.209 0.9416 0.01042 17.124 0 0 0 1 1 10 16 45 98 202 627 
10 5 40000 4.3477 0.9769 0.0036601 28.412 0.9815 0.0031709 28.334 0 0 0 0 0 0 1 16 40 99 844 
10 5 100000 4.3477 0.9961 0.00059539 53.885 0.9968 0.00037013 53.895 0 0 0 0 0 0 0 2 5 23 970 
10 5 200000 4.3477 0.9989 0.00014894 104.24 0.9995 4.98e-05 84.734 0 0 0 0 0 0 0 0 2 7 991 
10 5 400000 4.3477 1 0 130.38 1 0 130.53 0 0 0 0 0 0 0 0 0 0 1000 
10 10 25 7.87084 0.6865 0.054182 4.2976 0.6945 0.052632 4.2661 3 7 34 55 80 103 119 154 153 146 146 
10 10 50 7.8708 0.6865 0.054182 4.2927 0.6945 0.052632 4.2587 3 7 34 55 80 103 119 154 153 146 146 
10 10 100 7.8708 0.6865 0.054182 4.2902 0.6945 0.052632 4.2618 3 7 34 55 80 103 119 154 153 146 146 
10 10 200 7.8708 0.6865 0.054182 4.2836 0.6945 0.052632 4.2624 3 7 34 55 80 103 119 154 153 146 146 
10 10 400 7.8708 0.6865 0.054182 4.2887 0.6945 0.052632 4.2579 3 7 34 55 80 103 119 154 153 146 146 
10 10 1000 7.8708 0.6865 0.054182 4.2861 0.6945 0.052632 4.2582 3 7 34 55 80 103 119 154 153 146 146 
10 10 2000 7.8708 0.692 0.05363 4.4056 0.6984 0.05223 4.3652 3 6 31 53 81 102 117 154 151 149 153 
10 10 4000 7.8708 0.7885 0.037235 6.7828 0.7992 0.034954 6.8179 0 2 7 19 39 59 103 130 189 199 253 
10 10 10000 7.8708 0.8654 0.024327 10.131 0.8777 0.021034 10.18 0 0 1 5 12 30 71 79 172 216 414 
10 10 20000 7.8708 0.9198 0.013862 14.775 0.9293 0.012704 14.758 0 0 0 0 6 9 29 44 127 219 566 
10 10 40000 7.8708 0.9623 0.0061148 22.726 0.9697 0.0054974 22.738 0 0 0 0 1 1 6 22 61 154 755 
10 10 100000 7.8708 0.9913 0.0012155 41.631 0.9941 0.00069589 41.708 0 0 0 0 0 0 0 3 12 54 931 
10 10 200000 7.8708 0.997 0.00049149 64.974 0.9984 0.00017762 65.18 0 0 0 0 0 0 0 2 4 16 978 
10 10 400000 7.8708 0.9992 0.00011948 96.906 0.9999 1e-05 97.201 0 0 0 0 0 0 0 0 2 4 994 
10 25 25 18.3486 0.7382 0.044685 4.5465 0.7389 0.046403 4.4772 1 4 17 29 53 98 109 157 176 166 190 
10 25 50 18.349 0.7382 0.044685 4.6678 0.7389 0.046403 4.4593 1 4 17 29 53 98 109 157 176 166 190 
10 25 100 18.349 0.7382 0.044685 4.5329 0.7389 0.046403 4.4973 1 4 17 29 53 98 109 157 176 166 190 
10 25 200 18.349 0.7382 0.044685 6.7106 0.7389 0.046403 6.6119 1 4 17 29 53 98 109 157 176 166 190 
10 25 400 18.349 0.7382 0.044685 6.4888 0.7389 0.046403 4.8326 1 4 17 29 53 98 109 157 176 166 190 
10 25 1000 18.349 0.7382 0.044685 6.0798 0.7389 0.046403 4.4852 1 4 17 29 53 98 109 157 176 166 190 
10 25 2000 18.349 0.7395 0.044634 4.5968 0.7421 0.045944 4.5425 1 4 16 29 53 98 110 155 174 167 193 
10 25 4000 18.349 0.8267 0.029927 6.78 0.8322 0.030854 6.8292 0 1 5 8 21 49 72 119 192 228 305 
10 25 10000 18.349 0.8845 0.02053 9.8178 0.896 0.017942 9.8607 0 0 0 4 10 22 43 87 142 240 452 
10 25 20000 18.349 0.928 0.012008 13.726 0.9357 0.011587 13.698 0 0 0 0 4 5 23 49 104 224 591 
10 25 40000 18.349 0.9563 0.0075278 19.299 0.9609 0.0070683 19.22 0 0 0 0 1 5 7 27 65 167 728 
10 25 100000 18.349 0.9833 0.0024335 31.836 0.9843 0.0026862 31.738 0 0 0 0 0 0 1 7 25 92 875 
10 25 200000 18.349 0.9931 0.0010234 48.672 0.9944 0.00086951 48.628 0 0 0 0 0 0 0 3 10 40 947 
10 25 400000 18.349 0.9977 0.0003851 74.032 0.9989 0.00012892 74.304 0 0 0 0 0 0 0 1 5 10 984 
10 50 25 35.6901 0.7651 0.040813 4.6813 0.7663 0.041376 4.64 1 4 9 21 43 86 99 153 183 175 226 
10 50 50 35.69 0.7651 0.040813 4.7274 0.7663 0.041376 4.6435 1 4 9 21 43 86 99 153 183 175 226 
10 50 100 35.69 0.7651 0.040813 4.662 0.7663 0.041376 4.6387 1 4 9 21 43 86 99 153 183 175 226 
10 50 200 35.69 0.7651 0.040813 6.9196 0.7663 0.041376 6.8651 1 4 9 21 43 86 99 153 183 175 226 
10 50 400 35.69 0.7651 0.040813 6.9117 0.7663 0.041376 6.875 1 4 9 21 43 86 99 153 183 175 226 
10 50 1000 35.69 0.7651 0.040813 6.9212 0.7663 0.041376 6.6395 1 4 9 21 43 86 99 153 183 175 226 
10 50 2000 35.69 0.7661 0.040722 6.4327 0.7693 0.040648 5.6534 1 4 8 21 44 86 98 152 182 176 228 
10 50 4000 35.69 0.8444 0.027957 8.2569 0.8448 0.029222 8.1757 0 0 3 10 21 34 58 122 166 236 350 
10 50 10000 35.69 0.8924 0.018401 11.655 0.9001 0.018348 10.389 0 0 0 3 10 14 38 81 136 258 460 
10 50 20000 35.69 0.9285 0.011609 14.223 0.9348 0.011921 14.215 0 0 0 0 1 9 24 38 115 224 589 
10 50 40000 35.69 0.9522 0.0081433 19.518 0.9584 0.0074769 19.538 0 0 0 0 0 4 14 26 80 164 712 
10 50 100000 35.69 0.9742 0.0042586 29.969 0.9771 0.0038895 29.703 0 0 0 0 0 1 5 12 41 115 826 
10 50 200000 35.69 0.9871 0.0018454 48.365 0.9892 0.0018652 44.742 0 0 0 0 0 0 0 6 18 75 901 
10 50 400000 35.69 0.9949 0.00074473 70.612 0.9956 0.0007614 69.306 0 0 0 0 0 0 0 2 7 31 960 
10 100 25 70.6417 0.7857 0.037663 4.8978 0.7802 0.038687 4.861 0 3 7 18 42 70 79 146 182 214 239 
10 100 50 70.642 0.7857 0.037663 4.8568 0.7802 0.038687 4.8789 0 3 7 18 42 70 79 146 182 214 239 
10 100 100 70.642 0.7857 0.037663 4.8893 0.7802 0.038687 4.8621 0 3 7 18 42 70 79 146 182 214 239 
10 100 200 70.642 0.7857 0.037663 4.8521 0.7802 0.038687 4.8585 0 3 7 18 42 70 79 146 182 214 239 
10 100 400 70.642 0.7857 0.037663 5.5026 0.7802 0.038687 5.1682 0 3 7 18 42 70 79 146 182 214 239 
10 100 1000 70.642 0.7857 0.037663 5.1547 0.7802 0.038687 5.1624 0 3 7 18 42 70 79 146 182 214 239 
10 100 2000 70.642 0.7871 0.037221 5.2261 0.7824 0.038269 5.2161 0 3 7 17 41 69 78 148 183 214 240 
10 100 4000 70.642 0.8588 0.024447 7.5427 0.8555 0.026016 7.5 0 0 0 10 15 28 52 106 167 252 370 
10 100 10000 70.642 0.9033 0.016476 10.275 0.9057 0.016614 10.225 0 0 0 1 8 13 34 66 134 245 499 
10 100 20000 70.642 0.9334 0.011716 13.838 0.9358 0.01185 13.706 0 0 0 0 5 10 16 33 104 215 617 
10 100 40000 70.642 0.9553 0.0073192 18.565 0.9572 0.0075757 18.336 0 0 0 0 0 2 16 19 69 178 716 
10 100 100000 70.642 0.9734 0.0043168 27.513 0.9744 0.0046092 27.333 0 0 0 0 0 1 3 16 42 117 821 
10 100 200000 70.642 0.9823 0.0028395 39.273 0.9833 0.0029541 38.177 0 0 0 0 0 1 1 11 20 95 872 
