k m efc search build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 4 100 10 8.82201 0.378 0.070386 0.17163 0.3696 0.070066 0.17292 140 109 116 99 145 114 97 81 59 29 11 
10 4 100 20 8.822 0.5362 0.077367 0.27326 0.5256 0.077102 0.27707 55 50 83 87 102 111 119 137 110 91 55 
10 4 100 40 8.822 0.6635 0.067605 0.46136 0.6628 0.068525 0.46214 25 21 35 57 77 91 107 149 144 167 127 
10 4 100 60 8.822 0.7143 0.060486 0.63481 0.7164 0.05913 0.63752 15 19 24 39 64 72 92 138 178 189 170 
10 4 100 80 8.822 0.7435 0.055473 0.79929 0.7436 0.052872 0.80118 10 11 21 34 60 69 90 104 188 207 206 
10 4 100 100 8.822 0.759 0.052451 0.95812 0.7624 0.050377 0.99636 8 10 19 28 53 66 92 97 181 223 223 
10 4 100 120 8.822 0.7707 0.049441 1.3037 0.778 0.047664 1.2136 7 5 20 25 50 64 83 103 175 232 236 
10 4 100 200 8.822 0.8047 0.041169 1.5738 0.8125 0.040334 1.5711 6 0 12 18 39 49 75 99 181 233 288 
10 4 100 400 8.822 0.8347 0.031237 2.9946 0.8377 0.033963 2.8887 0 0 4 12 29 42 72 96 161 255 329 
10 4 100 600 8.822 0.8498 0.027628 4.2269 0.8508 0.030029 4.2258 0 0 2 9 22 40 59 88 164 263 353 
10 4 100 800 8.822 0.8567 0.026361 5.6328 0.857 0.02854 5.6251 0 0 2 7 22 36 53 85 161 267 367 
10 4 100 1000 8.822 0.8624 0.025051 7.1136 0.8637 0.027019 7.123 0 0 1 6 21 34 50 82 155 274 377 
10 4 100 1200 8.822 0.8655 0.024284 8.7766 0.8685 0.026004 8.6577 0 0 1 6 15 36 51 83 151 270 387 
10 4 100 1500 8.822 0.8692 0.023515 11.408 0.8725 0.024979 11.193 0 0 1 6 14 32 49 82 152 268 396 
10 4 100 2000 8.822 0.8732 0.022344 15.834 0.8756 0.024069 15.821 0 0 1 6 12 27 49 80 148 279 398 
10 4 500 10 36.1203 0.4083 0.073034 0.17678 0.3959 0.072806 0.17755 114 94 113 127 110 124 104 91 63 43 17 
10 4 500 20 36.12 0.5854 0.076964 0.28339 0.5683 0.072698 0.28537 36 48 62 75 94 98 130 139 120 102 96 
10 4 500 40 36.12 0.7278 0.058346 0.48614 0.7196 0.059175 0.48494 13 14 22 34 65 73 99 126 162 199 193 
10 4 500 60 36.12 0.7933 0.043749 0.76296 0.7848 0.047116 0.76449 5 5 16 16 35 58 77 127 151 241 269 
10 4 500 80 36.12 0.8194 0.038322 0.85617 0.8158 0.040671 0.85211 4 3 10 14 28 48 70 99 163 250 311 
10 4 500 100 36.12 0.8377 0.034563 1.0325 0.8348 0.036926 1.0321 4 2 7 8 23 50 57 92 153 255 349 
10 4 500 120 36.12 0.8519 0.030507 1.3389 0.8479 0.03417 1.2256 3 1 4 8 18 45 48 88 157 251 377 
10 4 500 200 36.12 0.882 0.022839 2.1437 0.8826 0.025643 1.8693 1 1 3 3 10 23 49 66 147 253 444 
10 4 500 400 36.12 0.9079 0.017185 3.5436 0.9112 0.019114 3.2389 1 0 1 4 7 10 27 60 118 259 513 
10 4 500 600 36.12 0.9213 0.01401 4.7282 0.9202 0.017369 4.7454 1 0 0 3 4 9 16 52 106 255 554 
10 4 500 800 36.12 0.9282 0.012838 6.2719 0.9239 0.016635 6.2608 1 0 0 3 2 7 17 44 98 244 584 
10 4 500 1000 36.12 0.9322 0.011915 7.8846 0.9283 0.015745 7.8696 1 0 0 2 2 6 15 44 87 246 597 
10 4 500 1200 36.12 0.9352 0.011192 9.5759 0.9318 0.014844 9.5771 1 0 0 2 1 5 13 43 86 240 609 
10 4 500 1500 36.12 0.938 0.010787 12.284 0.9345 0.014434 12.249 1 0 0 2 1 5 11 40 83 235 622 
10 4 500 2000 36.12 0.9419 0.010205 17.394 0.9382 0.013795 17.184 1 0 0 2 1 4 10 36 78 227 641 
10 8 100 10 13.5909 0.5451 0.078575 0.29389 0.5548 0.074672 0.29219 49 66 65 88 96 105 123 133 121 95 59 
10 8 100 20 13.591 0.7201 0.060587 0.47389 0.728 0.057193 0.4733 14 21 17 43 60 68 108 133 152 198 186 
10 8 100 40 13.591 0.827 0.03935 0.79698 0.8351 0.036935 0.79326 5 3 7 17 27 47 66 99 143 234 352 
10 8 100 60 13.591 0.8625 0.030374 1.2402 0.8713 0.028775 1.1975 4 0 6 9 14 31 54 87 133 242 420 
10 8 100 80 13.591 0.8821 0.024834 1.3715 0.889 0.024403 1.3865 3 0 2 8 11 21 40 81 129 245 460 
10 8 100 100 13.591 0.8953 0.020649 1.6665 0.9003 0.021912 1.5909 0 1 2 6 6 20 37 65 131 239 493 
10 8 100 120 13.591 0.9043 0.01853 1.7319 0.9088 0.019963 1.7239 0 1 2 3 6 15 37 53 129 235 519 
10 8 100 200 13.591 0.9234 0.014247 2.6032 0.9226 0.017126 2.5996 0 0 1 3 5 8 25 39 109 232 578 
10 8 100 400 13.591 0.9399 0.010328 4.5713 0.9395 0.012542 4.581 0 0 1 1 1 6 15 33 83 225 635 
10 8 100 600 13.591 0.9475 0.0089027 6.4758 0.9463 0.010817 6.4804 0 0 1 0 1 5 12 30 65 218 668 
10 8 100 800 13.591 0.9513 0.0081264 8.381 0.9495 0.01001 8.377 0 0 1 0 1 2 12 29 59 210 686 
10 8 100 1000 13.591 0.9521 0.0079435 10.321 0.9526 0.0090223 10.302 0 0 1 0 1 2 10 31 56 210 689 
10 8 100 1200 13.591 0.9544 0.0075081 12.286 0.9546 0.0085073 12.305 0 0 1 0 1 2 9 26 56 206 699 
10 8 100 1500 13.591 0.9558 0.0072336 15.408 0.9567 0.0079631 15.517 0 0 1 0 1 2 8 23 58 201 706 
10 8 100 2000 13.591 0.9583 0.0065176 21.008 0.9586 0.0074735 21.052 0 0 0 0 2 2 6 20 58 195 717 
10 8 500 10 51.9773 0.5771 0.07412 0.31422 0.5825 0.072216 0.31761 33 53 64 69 101 102 141 129 128 104 76 
10 8 500 20 51.977 0.7632 0.050356 0.52574 0.7656 0.050667 0.51995 4 12 18 37 32 66 91 131 163 212 234 
10 8 500 40 51.977 0.8737 0.026385 0.91764 0.8761 0.026325 0.89185 0 1 7 7 10 31 48 71 144 241 440 
10 8 500 60 51.977 0.9087 0.017912 1.2393 0.9144 0.018131 1.243 0 0 1 5 5 20 32 45 120 237 535 
10 8 500 80 51.977 0.9293 0.012564 1.5617 0.9295 0.015856 1.5642 0 0 0 2 4 7 24 39 91 239 594 
10 8 500 100 51.977 0.9388 0.010565 1.9371 0.9387 0.013746 1.8542 0 0 0 1 3 5 22 24 89 224 632 
10 8 500 120 51.977 0.9452 0.0091861 2.1553 0.9451 0.012709 2.1602 0 0 0 1 3 3 16 21 80 221 655 
10 8 500 200 51.977 0.9574 0.0069922 3.2712 0.9567 0.0097048 3.2798 0 0 0 0 2 3 9 16 65 185 720 
10 8 500 400 51.977 0.9679 0.0049045 5.7712 0.968 0.006983 5.5446 0 0 0 0 0 1 5 17 45 155 777 
10 8 500 600 51.977 0.973 0.0040951 7.5686 0.9715 0.0063841 7.4682 0 0 0 0 0 1 4 13 33 144 805 
10 8 500 800 51.977 0.9755 0.0037335 9.5882 0.9733 0.0059631 9.573 0 0 0 0 0 1 3 11 33 129 823 
10 8 500 1000 51.977 0.9768 0.0036054 11.658 0.9747 0.0057156 11.671 0 0 0 0 0 1 3 11 30 122 833 
10 8 500 1200 51.977 0.9779 0.003385 13.804 0.9756 0.0055502 13.847 0 0 0 0 0 1 3 10 25 124 837 
10 8 500 1500 51.977 0.9791 0.0032564 17.165 0.9771 0.0053509 17.419 0 0 0 0 0 1 3 9 25 115 847 
10 8 500 2000 51.977 0.9811 0.0029157 23.372 0.9783 0.0050842 23.247 0 0 0 0 0 0 4 8 21 107 860 
10 12 100 10 16.3938 0.6159 0.069427 0.37532 0.6163 0.068993 0.37509 25 37 50 70 85 89 149 126 160 119 90 
10 12 100 20 16.394 0.7707 0.04816 0.59617 0.7785 0.047816 0.59987 5 10 9 32 49 56 87 131 169 204 248 
