k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 1 43.52 0.1884 0.028794 1.47 0.2006 0.033773 1.4643 215 287 205 135 79 37 24 9 7 2 0 
10 1 2 43.52 0.2293 0.039331 1.48 0.2397 0.043277 1.4816 182 241 208 122 107 70 31 18 13 4 4 
10 1 3 43.52 0.2466 0.043972 1.497 0.2565 0.047365 1.5049 178 212 201 136 108 71 45 23 15 4 7 
10 1 4 43.52 0.2565 0.046704 1.5212 0.2647 0.049894 1.5215 171 207 196 135 109 76 48 29 15 6 8 
10 1 5 43.52 0.2603 0.048542 1.5299 0.2692 0.051583 1.5296 171 206 190 137 107 78 46 33 16 7 9 
10 1 8 43.52 0.2643 0.050126 1.5746 0.2751 0.054104 1.574 171 204 185 135 109 81 45 33 20 8 9 
10 1 10 43.52 0.2658 0.051101 1.5974 0.2757 0.054294 1.5999 171 204 185 134 106 82 45 33 22 9 9 
10 1 12 43.52 0.2662 0.051209 1.6185 0.276 0.054759 1.6205 171 203 186 132 108 82 45 32 23 9 9 
10 1 20 43.52 0.2663 0.051326 1.6796 0.2762 0.054768 1.6784 171 203 186 132 108 82 45 32 22 10 9 
10 1 25 43.52 0.2664 0.051362 1.7012 0.2762 0.054768 1.7044 171 203 186 132 107 83 45 32 22 10 9 
10 1 50 43.52 0.2664 0.051362 1.7358 0.2762 0.054768 1.734 171 203 186 132 107 83 45 32 22 10 9 
10 1 75 43.52 0.2664 0.051362 1.7468 0.2762 0.054768 1.741 171 203 186 132 107 83 45 32 22 10 9 
10 1 100 43.52 0.2664 0.051362 1.7504 0.2762 0.054768 1.7482 171 203 186 132 107 83 45 32 22 10 9 
10 1 250 43.52 0.2664 0.051362 1.7839 0.2762 0.054768 1.7858 171 203 186 132 107 83 45 32 22 10 9 
10 1 500 43.52 0.2664 0.051362 1.8467 0.2762 0.054768 1.8487 171 203 186 132 107 83 45 32 22 10 9 
10 2 1 43.52 0.247 0.032403 1.4655 0.2551 0.034388 1.4651 103 251 217 178 119 68 32 17 11 4 0 
10 2 2 43.52 0.3229 0.04483 1.4837 0.3273 0.04483 1.4819 65 161 194 186 141 108 64 38 25 12 6 
10 2 3 43.52 0.3576 0.050553 1.5085 0.3596 0.049858 1.5027 58 131 179 163 151 122 87 47 38 11 13 
10 2 4 43.52 0.3782 0.054579 1.5185 0.3802 0.053281 1.5209 53 118 173 153 151 124 87 61 49 16 15 
10 2 5 43.52 0.3895 0.056456 1.5426 0.3929 0.055555 1.5397 51 113 164 152 148 123 89 73 53 18 16 
10 2 8 43.52 0.4057 0.059857 1.5889 0.4106 0.060208 1.6181 48 111 142 159 138 129 92 81 52 27 21 
10 2 10 43.52 0.4097 0.061057 1.6325 0.4155 0.061551 1.6375 48 110 140 158 134 130 93 80 55 31 21 
10 2 12 43.52 0.4123 0.062141 1.6965 0.4174 0.06254 1.6567 48 109 140 159 130 128 94 80 58 31 23 
10 2 20 43.52 0.4139 0.062679 1.7848 0.4199 0.063598 1.7851 48 109 138 158 132 127 94 79 59 32 24 
10 2 25 43.52 0.4139 0.062679 1.8933 0.4201 0.06361 1.9138 48 109 138 158 132 127 94 79 59 32 24 
10 2 50 43.52 0.414 0.062767 2.0562 0.4203 0.063742 2.0656 48 109 138 158 132 127 94 79 58 33 24 
10 2 75 43.52 0.414 0.062767 2.0948 0.4203 0.063742 2.1124 48 109 138 158 132 127 94 79 58 33 24 
10 2 100 43.52 0.414 0.062767 2.1031 0.4205 0.063593 2.1167 48 109 138 158 132 127 94 79 58 33 24 
10 2 250 43.52 0.414 0.062767 2.1468 0.4203 0.063742 2.1569 48 109 138 158 132 127 94 79 58 33 24 
10 2 500 43.52 0.414 0.062767 2.2129 0.4205 0.063593 2.2189 48 109 138 158 132 127 94 79 58 33 24 
