	k	n_trees	depth	sparsity	k_build	b	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	n_train	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	10	13	0.015625	10	1	1	1.3282	0.7075	0.054989	1.5675	0	0.0093137	0.059575	1.4983	901.98	99120	0.702	0.059355	1.6089	4	12	29	45	67	97	107	142	150	189	158
43	10	10	14	0.015625	10	1	1	1.53478	0.6056	0.067997	0.8608	0	0.0089433	0.051914	0.79968	487.17	99120	0.6186	0.071265	0.85317	17	32	62	82	95	114	120	138	128	126	86
86	10	10	15	0.015625	10	1	1	1.84984	0.5153	0.079896	0.49878	0	0.01064	0.062249	0.42563	259.78	99120	0.5107	0.081817	0.47371	45	72	89	106	118	120	104	93	106	80	67
129	10	15	13	0.015625	10	1	1	1.52016	0.7804	0.0441	2.1616	0	0.012158	0.079823	2.0693	1269.0	99120	0.7847	0.04392	2.1827	2	4	18	23	41	63	81	127	183	203	255
172	10	15	14	0.015625	10	1	1	1.77367	0.698	0.056392	1.2717	0	0.013213	0.08226	1.1759	694.16	99120	0.696	0.060565	1.2808	10	13	30	42	61	94	133	141	151	176	149
215	10	15	15	0.015625	10	1	1	2.13178	0.5998	0.066947	0.73077	0	0.017214	0.088901	0.62438	373.54	99120	0.6131	0.066565	0.69211	11	38	78	68	91	118	133	135	128	121	79
258	10	20	13	0.015625	10	1	1	2.02466	0.8292	0.035122	3.122	0	0.021329	0.13256	2.9677	1608.1	99120	0.8244	0.037842	2.7791	1	2	10	17	19	39	81	91	171	233	336
301	10	20	14	0.015625	10	1	1	2.40919	0.7515	0.047445	1.7013	0	0.021236	0.10236	1.5774	892.78	99120	0.7513	0.049868	1.6448	4	7	18	30	51	68	101	141	175	205	200
344	10	20	15	0.015625	10	1	1	2.34406	0.6558	0.060647	1.0033	0	0.025433	0.081392	0.89609	483.06	99120	0.6522	0.06494	0.94797	11	18	45	62	76	96	137	154	143	144	114
387	10	25	13	0.015625	10	1	1	2.36855	0.856	0.029554	3.6303	0	0.026852	0.1451	3.458	1921.2	99120	0.8593	0.031905	3.5964	0	2	6	7	26	25	61	82	154	246	391
430	10	25	14	0.015625	10	1	1	2.18373	0.7856	0.044237	1.9527	0	0.024813	0.10786	1.8197	1072.5	99120	0.7943	0.040858	1.9281	3	4	9	31	48	53	80	115	179	213	265
473	10	25	15	0.015625	10	1	1	2.42108	0.7038	0.055501	1.1161	0	0.02482	0.10994	0.981	586.19	99120	0.7036	0.057905	1.0712	6	13	30	51	55	86	124	146	162	170	157
516	10	30	13	0.015625	10	1	1	2.23658	0.8746	0.02474	4.0742	0	0.030576	0.16721	3.8759	2214.2	99120	0.8798	0.025317	3.9936	0	2	1	6	12	33	40	93	140	230	443
559	10	30	14	0.015625	10	1	1	2.53305	0.8226	0.037166	2.3269	0	0.030133	0.1166	2.1798	1250.2	99120	0.8112	0.038153	2.2481	0	4	6	25	31	36	61	118	161	229	329
602	10	30	15	0.015625	10	1	1	2.59199	0.7438	0.046688	1.2549	0	0.027245	0.061372	1.166	684.96	99120	0.7426	0.051597	1.2268	3	4	16	40	57	55	128	143	164	202	188
645	10	40	13	0.015625	10	1	1	3.34426	0.9023	0.018904	5.3102	0	0.04188	0.16489	5.1029	2767.5	99120	0.908	0.019636	4.9968	0	0	1	4	9	17	33	63	129	223	521
688	10	40	14	0.015625	10	1	1	3.51759	0.8609	0.026968	3.0747	0	0.035253	0.099918	2.9392	1574.8	99120	0.8564	0.029428	3.114	0	0	3	9	14	38	63	75	153	247	398
