	k	n_trees	depth	sparsity	v	build_time	recall	var_recall	query_time	cs_size	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	1	6	0.015625	1	0.0430544	0.1903	0.039355	2.1251	1548.7	0.1872	0.037013	2.1228	272	265	177	115	60	42	24	22	17	5	1
1	10	1	7	0.015625	1	0.0550467	0.1413	0.027912	1.5134	774.37	0.1323	0.025452	1.4316	370	290	134	94	45	35	17	7	5	3	0
2	10	1	8	0.015625	1	0.0843929	0.1065	0.020228	0.54833	387.17	0.0966	0.016485	0.54362	471	254	143	68	30	19	5	5	4	1	0
3	10	1	9	0.015625	1	0.14187	0.0748	0.012197	0.28858	193.57	0.0747	0.013303	0.28833	544	278	117	35	14	6	1	2	2	1	0
4	10	1	10	0.015625	1	0.237793	0.0581	0.010165	0.15821	96.796	0.0566	0.0096661	0.15558	636	236	82	25	9	6	3	2	1	0	0
5	10	1	11	0.015625	1	0.404423	0.0394	0.0064141	0.093619	48.387	0.0424	0.0072695	0.090385	726	198	53	12	5	4	0	2	0	0	0
6	10	1	12	0.015625	1	0.557515	0.032	0.0047608	0.059239	24.204	0.0336	0.0058369	0.057835	767	176	37	12	6	2	0	0	0	0	0
7	10	5	6	0.015625	1	0.0734588	0.5457	0.066028	9.8506	6654.2	0.5406	0.067419	9.8189	16	47	82	121	96	141	129	124	101	86	57
12	10	5	7	0.015625	1	0.0995581	0.451	0.06072	5.4769	3575.9	0.4525	0.063177	5.4264	24	91	128	138	146	132	106	103	65	42	25
17	10	5	8	0.015625	1	0.153965	0.3459	0.051435	2.8542	1813.2	0.3439	0.05708	2.7998	63	143	183	189	133	95	78	56	34	16	10
22	10	5	9	0.015625	1	0.224005	0.277	0.041693	1.5894	934.77	0.2618	0.045526	1.5851	115	196	197	186	114	79	57	32	13	9	2
27	10	5	10	0.015625	1	0.369634	0.2041	0.035549	0.8309	472.47	0.2088	0.036659	0.81279	203	276	214	125	75	40	31	21	7	7	1
32	10	5	11	0.015625	1	0.656989	0.164	0.027972	0.42769	237.87	0.161	0.030489	0.42395	262	325	177	121	54	22	19	7	10	1	2
37	10	5	12	0.015625	1	0.764107	0.1205	0.02063	0.2304	119.23	0.1266	0.023136	0.2274	383	311	166	74	28	16	14	3	3	1	1
42	10	10	6	0.015625	1	0.106312	0.7113	0.056899	18.025	11443.0	0.6961	0.056091	18.057	6	12	22	49	70	95	115	126	151	165	189
52	10	10	7	0.015625	1	0.139789	0.613	0.060331	10.594	6455.5	0.6096	0.058486	10.565	4	29	38	90	112	140	138	118	127	103	101
62	10	10	8	0.015625	1	0.205541	0.4993	0.059329	5.8588	3420.0	0.5047	0.063311	5.8216	21	50	94	127	150	159	119	104	85	53	38
72	10	10	9	0.015625	1	0.306396	0.4049	0.056402	3.0349	1786.4	0.4093	0.060204	2.9945	44	90	159	161	161	124	101	62	49	28	21
82	10	10	10	0.015625	1	0.566256	0.329	0.047326	1.5463	916.44	0.3214	0.050052	1.532	79	134	202	168	155	112	61	40	27	14	8
92	10	10	11	0.015625	1	0.772894	0.2402	0.040825	0.83781	464.44	0.2506	0.039359	0.81046	158	228	222	160	88	59	38	19	16	6	6
102	10	10	12	0.015625	1	0.910922	0.1845	0.029359	0.4471	235.11	0.1966	0.037106	0.42185	233	270	213	139	70	35	19	11	6	2	2
112	10	25	6	0.015625	1	0.173565	0.8638	0.031101	34.814	21106.0	0.8548	0.035693	34.911	0	3	4	14	25	22	53	81	130	230	438
130	10	25	7	0.015625	1	0.232028	0.8044	0.038539	21.95	12741.0	0.7931	0.043786	21.853	1	4	8	14	43	44	94	114	162	228	288
148	10	25	8	0.015625	1	0.327175	0.7211	0.048854	12.502	7296.1	0.7092	0.052188	12.488	2	7	21	41	57	88	129	162	149	169	175
166	10	25	9	0.015625	1	0.483528	0.6206	0.058354	6.7899	3977.9	0.6074	0.061607	6.7526	5	24	47	64	115	139	137	141	106	136	86
184	10	25	10	0.015625	1	1.03245	0.5185	0.058006	3.7048	2112.3	0.511	0.06148	3.5993	17	43	80	112	163	144	148	108	80	60	45
202	10	25	11	0.015625	1	2.16545	0.4189	0.055688	2.1069	1103.5	0.4113	0.060643	2.0758	34	89	138	172	157	129	106	71	56	26	22
220	10	25	12	0.015625	1	2.09748	0.3319	0.052705	1.1208	565.46	0.3325	0.055649	1.0854	76	154	192	180	135	82	88	30	27	23	13
238	10	50	6	0.015625	1	0.246015	0.9137	0.022525	50.211	29428.0	0.9048	0.025442	50.269	0	3	4	3	14	22	26	37	86	202	603
256	10	50	7	0.015625	1	0.396581	0.8783	0.028307	32.809	19152.0	0.8652	0.032562	32.885	0	4	3	10	13	34	39	73	120	224	480
274	10	50	8	0.015625	1	0.714744	0.838	0.03417	20.374	11932.0	0.8221	0.03816	20.396	0	4	8	11	27	47	42	108	159	236	358
292	10	50	9	0.015625	1	1.13161	0.7585	0.044172	12.195	6901.8	0.7579	0.047305	11.95	1	9	13	26	47	66	110	146	173	202	207
310	10	50	10	0.015625	1	2.22365	0.6684	0.056438	6.9489	3821.3	0.6619	0.056295	6.5655	2	16	34	59	87	110	139	140	143	133	137
328	10	50	11	0.015625	1	3.43667	0.5691	0.060996	3.9068	2046.9	0.5589	0.064065	4.1018	11	31	67	119	97	130	161	119	112	94	59
346	10	50	12	0.015625	1	3.22129	0.4717	0.06075	2.126	1074.0	0.469	0.063543	2.1755	25	63	124	126	161	132	125	94	70	44	36
364	10	75	6	0.015625	1	0.377472	0.9245	0.02033	58.415	33924.0	0.918	0.023059	63.538	0	3	4	1	12	17	29	28	74	184	648
382	10	75	7	0.015625	1	0.629686	0.9077	0.023314	42.035	23848.0	0.8985	0.025513	40.995	0	3	4	3	13	22	35	46	83	211	580
400	10	75	8	0.015625	1	1.03968	0.8786	0.028991	26.55	15332.0	0.8687	0.031262	26.465	0	3	3	12	19	29	39	62	139	200	494
418	10	75	9	0.015625	1	1.78295	0.8212	0.035626	16.173	9156.9	0.8129	0.039944	15.812	1	5	6	12	27	55	64	109	173	235	313
436	10	75	10	0.015625	1	3.02057	0.7503	0.044745	9.3956	5254.5	0.7346	0.051915	9.0205	1	8	15	32	50	65	104	155	190	185	195
454	10	75	11	0.015625	1	4.90311	0.6598	0.05562	5.6719	2884.9	0.6442	0.056223	5.1547	3	15	36	63	80	123	134	162	138	115	131
472	10	75	12	0.015625	1	6.02217	0.5492	0.058858	2.9615	1537.1	0.5391	0.061343	2.9535	8	38	70	114	135	143	140	127	89	84	52
490	10	100	6	0.015625	1	0.451049	0.9329	0.018927	64.367	37586.0	0.9223	0.022335	64.356	0	3	3	0	12	19	22	26	63	161	691
508	10	100	7	0.015625	1	0.858528	0.9199	0.021255	46.478	27111.0	0.9125	0.023397	46.516	0	3	3	2	13	20	28	37	74	187	633
526	10	100	8	0.015625	1	1.40379	0.8961	0.025901	32.744	17971.0	0.8886	0.027578	33.557	0	3	4	4	21	23	33	50	117	195	550
544	10	100	9	0.015625	1	2.36368	0.8576	0.030152	19.396	11147.0	0.8442	0.033099	19.091	0	3	6	7	29	26	42	89	171	219	408
562	10	100	10	0.015625	1	3.76901	0.7952	0.039316	11.555	6522.7	0.7818	0.044733	11.22	1	6	8	20	38	44	92	134	168	226	263
580	10	100	11	0.015625	1	6.09717	0.7041	0.051445	6.9915	3633.8	0.703	0.053044	6.4858	1	9	25	43	75	92	149	135	152	152	167
598	10	100	12	0.015625	1	6.92155	0.6125	0.058232	3.7967	1976.9	0.6093	0.059103	3.8404	4	20	52	75	128	122	141	151	109	101	97
616	10	125	6	0.015625	1	0.619696	0.9348	0.018888	67.203	39882.0	0.9277	0.020543	55.756	0	3	3	0	13	13	31	23	58	149	707
634	10	125	7	0.015625	1	1.03088	0.924	0.020184	50.11	29208.0	0.9159	0.023781	50.06	0	3	3	2	11	16	30	32	82	169	652
652	10	125	8	0.015625	1	1.7179	0.9094	0.022935	34.899	20122.0	0.9017	0.025252	39.714	0	3	4	1	17	21	31	39	94	204	586
670	10	125	9	0.015625	1	2.88487	0.8781	0.027418	22.14	12771.0	0.8685	0.030228	21.933	0	3	3	6	24	25	43	62	131	237	466
688	10	125	10	0.015625	1	4.70859	0.8241	0.035785	13.584	7594.2	0.8108	0.040524	13.067	0	4	8	13	30	45	69	106	182	205	338
706	10	125	11	0.015625	1	7.6343	0.7515	0.044202	8.4517	4336.1	0.7405	0.050981	8.7694	1	7	18	29	41	73	113	145	185	197	191
724	10	125	12	0.015625	1	9.66468	0.6597	0.05434	4.6291	2380.6	0.655	0.058033	4.6992	6	11	43	54	80	116	133	162	155	134	106
742	10	150	6	0.015625	1	0.676629	0.9369	0.018567	71.434	41727.0	0.9295	0.02004	71.344	0	3	3	1	10	15	28	25	55	141	719
760	10	150	7	0.015625	1	1.12936	0.9306	0.019463	54.271	31361.0	0.9191	0.022608	54.146	0	3	3	3	8	17	27	32	63	159	685
778	10	150	8	0.015625	1	2.0004	0.9166	0.021686	38.23	21938.0	0.9089	0.024675	37.76	0	3	3	0	15	22	31	35	86	182	623
796	10	150	9	0.015625	1	3.26217	0.8956	0.024505	25.06	14234.0	0.8828	0.027672	26.957	0	3	4	6	16	22	26	46	147	201	529
814	10	150	10	0.015625	1	5.03171	0.8443	0.031559	15.746	8630.1	0.8378	0.036888	14.953	0	4	8	8	24	34	50	104	162	251	355
832	10	150	11	0.015625	1	8.80773	0.7798	0.042194	9.6872	4981.5	0.7734	0.044036	9.1628	0	5	12	27	40	68	76	146	174	202	250
850	10	150	12	0.015625	1	10.4288	0.7014	0.049788	5.4378	2760.1	0.6931	0.053436	5.3549	1	13	21	50	61	91	134	168	168	144	149
868	10	200	6	0.015625	1	0.898184	0.9388	0.018033	65.347	44354.0	0.9299	0.020116	62.257	0	3	3	0	10	16	25	27	49	142	725
886	10	200	7	0.015625	1	1.48991	0.9327	0.01922	59.077	34262.0	0.9259	0.02032	58.693	0	3	3	2	9	18	27	27	58	159	694
904	10	200	8	0.015625	1	2.39809	0.9251	0.020521	43.409	24721.0	0.9152	0.023112	46.817	0	3	3	3	14	17	24	27	71	189	649
922	10	200	9	0.015625	1	4.04602	0.9069	0.022325	29.104	16565.0	0.8969	0.025966	28.511	0	3	3	2	17	16	35	40	104	216	564
940	10	200	10	0.015625	1	6.6821	0.877	0.026938	19.007	10362.0	0.8643	0.030926	18.014	0	3	4	6	18	32	33	72	137	239	456
958	10	200	11	0.015625	1	11.0876	0.814	0.03612	11.748	6107.3	0.8103	0.038623	10.828	0	4	7	19	28	47	65	137	174	213	306
976	10	200	12	0.015625	1	13.7246	0.7376	0.046953	6.5269	3459.1	0.7371	0.049063	6.1149	1	10	18	37	45	77	114	162	175	174	187
994	10	250	6	0.015625	1	1.17189	0.9391	0.017859	79.234	46075.0	0.9309	0.020456	78.965	0	3	3	0	10	14	28	23	54	139	726
1012	10	250	7	0.015625	1	1.82812	0.9374	0.017939	63.596	36427.0	0.9271	0.021337	63.402	0	3	3	0	9	17	25	26	54	150	713
1030	10	250	8	0.015625	1	2.9529	0.9314	0.019133	47.04	27115.0	0.9228	0.021862	46.737	0	3	3	0	12	19	21	30	70	154	688
1048	10	250	9	0.015625	1	4.6563	0.9165	0.021219	32.498	18446.0	0.9041	0.025339	34.12	0	3	3	1	16	17	26	43	83	197	611
1066	10	250	10	0.015625	1	8.65671	0.8902	0.02611	21.726	11874.0	0.8826	0.027945	20.636	0	3	4	6	20	21	35	60	112	228	511
1084	10	250	11	0.015625	1	13.7739	0.8459	0.030594	12.882	7099.5	0.8296	0.036901	12.388	0	3	6	2	33	34	52	105	165	231	369
1102	10	250	12	0.015625	1	17.2485	0.7786	0.042104	8.0909	4097.4	0.7743	0.045535	7.9016	1	7	11	20	40	69	90	138	178	198	248
1120	10	300	6	0.015625	1	1.32092	0.9407	0.017691	82.257	47512.0	0.9322	0.020404	81.894	0	3	3	0	9	16	26	23	51	133	736
1138	10	300	7	0.015625	1	2.11012	0.9386	0.018008	66.789	38564.0	0.9298	0.020713	66.373	0	3	3	0	9	18	24	26	52	141	724
1156	10	300	8	0.015625	1	3.60133	0.9338	0.018596	50.189	28861.0	0.9239	0.0214	49.904	0	3	3	0	10	17	28	28	53	164	694
1174	10	300	9	0.015625	1	5.88606	0.9225	0.020624	35.747	20090.0	0.9141	0.023154	35.024	0	3	3	3	11	18	27	34	79	179	643
1192	10	300	10	0.015625	1	9.51028	0.9028	0.023876	24.087	13136.0	0.89	0.026907	22.86	0	3	3	5	16	22	30	46	104	214	557
1210	10	300	11	0.015625	1	16.6272	0.8641	0.02901	14.4	8020.6	0.8532	0.032262	13.999	0	4	5	4	21	35	46	79	147	239	420
1228	10	300	12	0.015625	1	20.4458	0.8109	0.035807	9.115	4704.4	0.7994	0.04072	8.3465	1	2	8	16	35	41	76	131	170	235	285
1246	10	350	6	0.015625	1	1.56219	0.9412	0.01748	83.911	48323.0	0.9317	0.020426	83.386	0	3	3	0	9	15	25	25	50	133	737
1264	10	350	7	0.015625	1	2.415	0.9385	0.018046	69.244	39774.0	0.9304	0.020656	70.882	0	3	3	0	9	17	27	23	55	138	725
1282	10	350	8	0.015625	1	3.9943	0.9346	0.018902	52.972	30393.0	0.9256	0.021166	52.175	0	3	3	1	12	13	30	23	59	152	704
1300	10	350	9	0.015625	1	6.6549	0.9264	0.020023	38.198	21515.0	0.9197	0.022805	37.291	0	3	3	2	13	16	26	31	65	186	655
1318	10	350	10	0.015625	1	11.0135	0.9068	0.023417	26.281	14253.0	0.8998	0.025285	25.103	0	3	4	2	18	21	32	38	90	224	568
1336	10	350	11	0.015625	1	19.2035	0.8761	0.027446	16.97	8844.3	0.8672	0.030675	15.52	0	3	3	8	17	31	44	66	132	237	459
1354	10	350	12	0.015625	1	24.0226	0.8282	0.033678	10.373	5245.4	0.8189	0.03757	10.304	0	3	6	12	34	37	65	111	168	241	323
1372	10	400	6	0.015625	1	1.77584	0.9409	0.017495	73.539	49424.0	0.9322	0.020303	72.712	0	3	3	0	9	15	25	26	48	137	734
1390	10	400	7	0.015625	1	2.69489	0.94	0.017698	72.317	40927.0	0.9308	0.020532	71.546	0	3	3	0	10	15	24	26	50	140	729
1408	10	400	8	0.015625	1	4.35909	0.9364	0.018233	54.919	31607.0	0.9268	0.020903	54.279	0	3	3	0	10	17	25	25	58	149	710
1426	10	400	9	0.015625	1	7.40334	0.9294	0.019255	40.526	22862.0	0.9212	0.021812	39.909	0	3	3	0	12	17	29	23	73	167	673
1444	10	400	10	0.015625	1	12.3806	0.9139	0.021839	27.957	15281.0	0.9032	0.025155	26.622	0	3	3	1	14	23	28	42	84	198	604
1462	10	400	11	0.015625	1	21.9923	0.8874	0.025867	17.386	9615.4	0.8754	0.029725	16.867	0	3	4	5	14	33	36	53	123	234	495
1480	10	400	12	0.015625	1	27.7408	0.8429	0.031721	11.412	5728.4	0.8315	0.036274	11.3	0	4	5	8	30	32	54	107	166	230	364
1498	10	500	6	0.015625	1	2.05787	0.941	0.017577	88.883	50600.0	0.933	0.020251	88.379	0	3	3	0	9	15	26	25	49	133	737
1516	10	500	7	0.015625	1	3.25134	0.9399	0.017796	74.327	42814.0	0.9319	0.020473	73.76	0	3	3	0	10	16	24	24	51	140	729
1534	10	500	8	0.015625	1	5.30853	0.9376	0.018064	59.742	33635.0	0.9287	0.020887	58.842	0	3	3	0	11	15	24	26	56	146	716
1552	10	500	9	0.015625	1	8.57003	0.933	0.01897	45.425	24821.0	0.9233	0.021769	43.697	0	3	3	0	12	17	25	27	64	153	696
1570	10	500	10	0.015625	1	15.4511	0.9221	0.020162	30.241	16963.0	0.9094	0.022754	29.462	0	3	3	1	10	24	23	35	75	194	632
1588	10	500	11	0.015625	1	27.018	0.8992	0.024624	20.983	10902.0	0.8886	0.027077	19.414	0	3	4	5	19	20	24	62	94	230	539
1606	10	500	12	0.015625	1	33.5136	0.8623	0.029278	13.047	6652.4	0.8533	0.033563	12.862	0	4	6	6	21	28	48	82	155	237	413
