k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 6 0.015625 1 0.0430544 0.1903 0.039355 2.1251 1548.7 0.1872 0.037013 2.1228 272 265 177 115 60 42 24 22 17 5 1 
10 1 7 0.015625 1 0.0550467 0.1413 0.027912 1.5134 774.37 0.1323 0.025452 1.4316 370 290 134 94 45 35 17 7 5 3 0 
10 1 8 0.015625 1 0.0843929 0.1065 0.020228 0.54833 387.17 0.0966 0.016485 0.54362 471 254 143 68 30 19 5 5 4 1 0 
10 1 9 0.015625 1 0.14187 0.0748 0.012197 0.28858 193.57 0.0747 0.013303 0.28833 544 278 117 35 14 6 1 2 2 1 0 
10 1 10 0.015625 1 0.237793 0.0581 0.010165 0.15821 96.796 0.0566 0.0096661 0.15558 636 236 82 25 9 6 3 2 1 0 0 
10 1 11 0.015625 1 0.404423 0.0394 0.0064141 0.093619 48.387 0.0424 0.0072695 0.090385 726 198 53 12 5 4 0 2 0 0 0 
10 1 12 0.015625 1 0.557515 0.032 0.0047608 0.059239 24.204 0.0336 0.0058369 0.057835 767 176 37 12 6 2 0 0 0 0 0 
10 5 6 0.015625 1 0.0734588 0.5457 0.066028 9.8506 6654.2 0.5406 0.067419 9.8189 16 47 82 121 96 141 129 124 101 86 57 
10 5 6 0.015625 2 0.073459 0.2597 0.051377 1.3954 941.76 0.2558 0.055302 1.3976 163 244 153 161 98 66 40 30 23 12 10 
10 5 6 0.015625 3 0.073459 0.1014 0.022521 0.23382 131.83 0.1101 0.027656 0.23891 517 235 117 64 26 21 6 7 4 3 0 
10 5 6 0.015625 4 0.073459 0.0323 0.0064131 0.058889 14.957 0.0362 0.008478 0.061365 787 150 40 14 2 3 2 1 0 1 0 
10 5 6 0.015625 5 0.073459 0.0068 0.0011149 0.036215 1.012 0.0091 0.0018691 0.037289 943 52 3 0 1 0 1 0 0 0 0 
10 5 7 0.015625 1 0.0995581 0.451 0.06072 5.4769 3575.9 0.4525 0.063177 5.4264 24 91 128 138 146 132 106 103 65 42 25 
10 5 7 0.015625 2 0.099558 0.1661 0.035576 0.44512 270.54 0.1719 0.034755 0.44263 324 266 179 90 54 30 25 17 8 2 5 
10 5 7 0.015625 3 0.099558 0.0538 0.012118 0.069072 23.076 0.0581 0.010405 0.068216 691 193 65 26 9 6 5 1 2 2 0 
10 5 7 0.015625 4 0.099558 0.0165 0.0035413 0.032389 2.179 0.0153 0.0022181 0.031238 883 96 9 6 2 2 0 1 1 0 0 
10 5 7 0.015625 5 0.099558 0.0038 0.00050607 0.027894 0.143 0.0039 0.00059539 0.027435 967 30 1 2 0 0 0 0 0 0 0 
10 5 8 0.015625 1 0.153965 0.3459 0.051435 2.8542 1813.2 0.3439 0.05708 2.7998 63 143 183 189 133 95 78 56 34 16 10 
10 5 8 0.015625 2 0.15396 0.1147 0.022957 0.20898 113.03 0.1092 0.022278 0.19751 428 296 146 56 29 21 10 7 2 5 0 
10 5 8 0.015625 3 0.15396 0.0368 0.007213 0.041942 8.959 0.0355 0.0063561 0.039346 754 179 43 11 6 1 3 1 2 0 0 
10 5 8 0.015625 4 0.15396 0.0122 0.0021133 0.02586 0.75 0.011 0.0014404 0.025753 905 81 8 3 0 2 1 0 0 0 0 
10 5 8 0.015625 5 0.15396 0.0025 0.00028403 0.024117 0.057 0.0025 0.00028403 0.024047 977 21 2 0 0 0 0 0 0 0 0 
