	k	n_trees	depth	sparsity	k_build	b	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	n_train	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	10	13	0.015625	10	1	1	2.52393	0.8684	0.027008	1.393	0	0.060371	0.032674	1.2996	694.76	99120	0.8763	0.025294	1.381	1	1	6	5	13	33	47	87	135	252	420
43	10	10	14	0.015625	10	1	1	2.87031	0.8214	0.034697	0.7595	0	0.060659	0.03324	0.66532	394.62	99120	0.815	0.037853	0.74557	3	2	7	17	26	37	67	113	174	267	287
86	10	10	15	0.015625	10	1	1	3.37671	0.7378	0.045777	0.46586	0	0.063641	0.036117	0.36585	221.17	99120	0.7407	0.046	0.44177	3	9	17	26	45	96	117	139	178	202	168
129	10	15	13	0.015625	10	1	1	3.07004	0.916	0.014619	1.7019	0	0.079066	0.040269	1.5823	945.09	99120	0.9169	0.016621	1.705	0	0	1	1	5	10	31	45	118	250	539
172	10	15	14	0.015625	10	1	1	3.37742	0.8681	0.025358	1.0391	0	0.084284	0.039125	0.91541	544.41	99120	0.8782	0.02515	1.0174	0	1	5	10	9	27	39	99	155	248	407
215	10	15	15	0.015625	10	1	1	3.7823	0.8115	0.034192	0.72098	0	0.10817	0.054711	0.55781	309.97	99120	0.8167	0.034886	0.6406	0	1	11	12	35	34	86	124	193	222	282
258	10	20	13	0.015625	10	1	1	3.62082	0.9376	0.011618	2.2261	0	0.10531	0.061922	2.0585	1164.7	99120	0.9385	0.01246	2.2964	0	0	1	2	2	8	18	25	100	203	641
301	10	20	14	0.015625	10	1	1	4.01312	0.9042	0.018981	1.2944	0	0.11717	0.049847	1.127	680.59	99120	0.9055	0.017397	1.279	0	1	1	6	8	14	28	60	130	229	523
344	10	20	15	0.015625	10	1	1	4.54197	0.8548	0.025202	0.81352	0	0.12831	0.041779	0.64316	389.19	99120	0.8572	0.027075	0.783	0	2	2	7	12	33	53	105	169	267	350
387	10	25	13	0.015625	10	1	1	4.19938	0.9512	0.0075061	2.8077	0	0.18748	0.10075	2.519	1364.8	99120	0.9504	0.0094493	2.6748	0	0	0	0	1	3	7	32	67	209	681
