	k	n_trees	depth	sparsity	v	build_time	recall	var_recall	query_time	cs_size	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	1	6	0.015625	1	0.646125	0.3675	0.059353	2.1265	1548.7	0.3619	0.059097	2.1341	80	133	152	152	144	104	86	69	46	21	13
1	10	1	7	0.015625	1	0.769957	0.2853	0.047982	1.0811	774.37	0.2869	0.048026	1.08	130	191	194	136	129	96	57	31	19	11	6
2	10	1	8	0.015625	1	0.847877	0.2083	0.034496	0.54557	387.17	0.2167	0.034446	0.54905	207	257	201	129	98	49	30	18	6	4	1
3	10	1	9	0.015625	1	0.896691	0.1731	0.028715	0.28903	193.59	0.1518	0.026864	0.28683	275	274	181	120	73	39	25	7	5	1	0
4	10	1	10	0.015625	1	0.953488	0.1162	0.018436	0.15823	96.789	0.1171	0.018536	0.15732	408	270	183	82	29	13	9	3	3	0	0
5	10	1	11	0.015625	1	1.02834	0.0926	0.014159	0.093278	48.386	0.0873	0.013863	0.091593	476	292	126	69	17	15	4	0	1	0	0
6	10	1	12	0.015625	1	1.13959	0.0636	0.0097648	0.06023	24.228	0.0628	0.010407	0.058376	602	256	77	38	25	1	0	1	0	0	0
7	10	5	6	0.015625	1	0.997589	0.8092	0.032087	9.8353	5793.8	0.8132	0.031037	9.8643	0	2	4	14	28	44	91	130	195	228	264
12	10	5	7	0.015625	1	1.14	0.7147	0.042416	5.3959	3148.5	0.7191	0.042267	6.0852	1	4	17	33	65	101	123	157	210	162	127
17	10	5	8	0.015625	1	1.28181	0.6049	0.049175	2.9652	1677.7	0.6071	0.048688	2.8738	3	15	39	83	108	158	165	156	118	91	64
22	10	5	9	0.015625	1	1.34915	0.5064	0.053272	1.6346	874.44	0.4949	0.055239	1.8306	6	46	90	139	146	158	135	116	82	51	31
27	10	5	10	0.015625	1	1.51041	0.3958	0.048591	0.83258	449.87	0.3992	0.051391	0.8019	18	109	156	192	164	134	79	70	41	27	10
32	10	5	11	0.015625	1	1.51364	0.3032	0.039429	0.44752	229.31	0.3055	0.041181	0.43397	71	163	222	191	131	105	59	28	19	9	2
37	10	5	12	0.015625	1	1.6591	0.2316	0.033075	0.26093	116.29	0.2322	0.034137	0.24011	132	250	238	154	123	41	32	13	8	6	3
42	10	10	6	0.015625	1	1.297	0.9263	0.01155	15.686	9180.0	0.9256	0.013418	15.578	0	0	0	1	1	5	23	48	112	239	571
52	10	10	7	0.015625	1	1.56876	0.8698	0.018787	8.3832	5293.1	0.8688	0.021868	7.5764	0	0	0	1	8	16	55	108	180	263	369
62	10	10	8	0.015625	1	1.70371	0.7912	0.031274	5.2157	2935.7	0.7952	0.030347	5.0089	0	1	4	13	33	35	127	159	193	212	223
72	10	10	9	0.015625	1	1.7608	0.693	0.041052	2.8798	1584.8	0.7014	0.0417	2.918	1	3	16	35	63	126	170	165	172	133	116
82	10	10	10	0.015625	1	1.92241	0.5801	0.047542	1.5147	833.96	0.5815	0.049137	1.4988	1	14	48	104	125	163	157	153	108	83	44
92	10	10	11	0.015625	1	1.92223	0.4722	0.048456	0.82187	433.96	0.4715	0.049747	0.79843	10	46	102	162	177	160	120	104	59	42	18
102	10	10	12	0.015625	1	2.06814	0.3633	0.047831	0.47665	223.54	0.3602	0.048765	0.43703	45	125	176	177	147	144	79	54	24	17	12
112	10	25	6	0.015625	1	2.35197	0.9786	0.0032052	25.257	14546.0	0.9763	0.0050333	21.528	0	0	0	0	0	1	1	10	30	115	843
130	10	25	7	0.015625	1	2.87098	0.9667	0.0044255	16.407	9236.7	0.9632	0.0070128	15.786	0	0	0	0	0	2	1	9	57	178	753
148	10	25	8	0.015625	1	3.0147	0.9405	0.0080578	11.05	5557.7	0.9355	0.01074	9.6521	0	0	0	0	1	2	7	32	109	237	612
166	10	25	9	0.015625	1	3.08048	0.8848	0.015685	5.9272	3182.2	0.8786	0.018841	5.5415	0	0	0	1	6	12	31	88	190	281	391
184	10	25	10	0.015625	1	3.45682	0.8096	0.024452	3.3691	1762.1	0.8083	0.027328	3.2497	0	0	1	3	11	56	88	176	210	229	226
202	10	25	11	0.015625	1	3.25978	0.7004	0.041401	1.8155	955.01	0.7013	0.04149	1.8301	1	2	15	32	77	110	154	169	163	163	114
220	10	25	12	0.015625	1	3.43788	0.5984	0.045643	1.1638	506.35	0.5868	0.050316	1.0677	1	15	40	69	117	177	186	146	103	93	53
238	10	50	6	0.015625	1	4.37677	0.9922	0.0009401	33.584	19067.0	0.9895	0.003203	32.817	0	0	0	0	0	0	0	2	5	62	931
256	10	50	7	0.015625	1	4.68684	0.9875	0.0014752	22.99	12918.0	0.9853	0.0036375	22.274	0	0	0	0	0	0	0	1	16	90	893
274	10	50	8	0.015625	1	5.04545	0.9782	0.0027475	15.232	8221.9	0.9787	0.0045809	14.214	0	0	0	0	0	0	2	3	31	139	825
292	10	50	9	0.015625	1	5.4306	0.9557	0.0058734	9.4508	4990.9	0.9557	0.007495	8.6977	0	0	0	0	0	0	7	21	65	222	685
310	10	50	10	0.015625	1	5.65235	0.9161	0.011582	5.8717	2906.1	0.9128	0.01335	5.2511	0	0	0	0	0	6	19	68	133	263	511
328	10	50	11	0.015625	1	6.12323	0.8556	0.019949	3.2544	1637.5	0.8474	0.022976	3.2716	0	1	0	2	8	25	49	128	191	286	310
346	10	50	12	0.015625	1	6.62341	0.7527	0.031624	1.9366	898.55	0.7488	0.035234	1.9537	0	2	5	12	33	85	140	182	206	190	145
364	10	75	6	0.015625	1	6.51256	0.9953	0.0005885	38.216	21825.0	0.9933	0.0025276	37.37	0	0	0	0	0	0	0	0	7	33	960
