k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 6 0.015625 1 0.646125 0.3675 0.059353 2.1265 1548.7 0.3619 0.059097 2.1341 80 133 152 152 144 104 86 69 46 21 13 
10 1 7 0.015625 1 0.769957 0.2853 0.047982 1.0811 774.37 0.2869 0.048026 1.08 130 191 194 136 129 96 57 31 19 11 6 
10 1 8 0.015625 1 0.847877 0.2083 0.034496 0.54557 387.17 0.2167 0.034446 0.54905 207 257 201 129 98 49 30 18 6 4 1 
10 1 9 0.015625 1 0.896691 0.1731 0.028715 0.28903 193.59 0.1518 0.026864 0.28683 275 274 181 120 73 39 25 7 5 1 0 
10 1 10 0.015625 1 0.953488 0.1162 0.018436 0.15823 96.789 0.1171 0.018536 0.15732 408 270 183 82 29 13 9 3 3 0 0 
10 1 11 0.015625 1 1.02834 0.0926 0.014159 0.093278 48.386 0.0873 0.013863 0.091593 476 292 126 69 17 15 4 0 1 0 0 
10 1 12 0.015625 1 1.13959 0.0636 0.0097648 0.06023 24.228 0.0628 0.010407 0.058376 602 256 77 38 25 1 0 1 0 0 0 
10 5 6 0.015625 1 0.997589 0.8092 0.032087 9.8353 5793.8 0.8132 0.031037 9.8643 0 2 4 14 28 44 91 130 195 228 264 
10 5 6 0.015625 2 0.99759 0.5498 0.065986 2.5078 1450.8 0.5467 0.064694 2.4464 12 55 80 94 119 143 128 124 90 96 59 
10 5 6 0.015625 3 0.99759 0.3006 0.063283 0.68701 385.17 0.3006 0.061541 0.67124 168 179 165 109 121 78 78 37 35 11 19 
10 5 6 0.015625 4 0.99759 0.125 0.03537 0.20758 94.425 0.1251 0.032873 0.20673 496 208 129 58 45 28 9 7 5 3 12 
10 5 6 0.015625 5 0.99759 0.0352 0.013474 0.067379 19.619 0.0331 0.010725 0.067949 829 111 25 12 5 4 3 1 2 6 2 
10 5 7 0.015625 1 1.14 0.7147 0.042416 5.3959 3148.5 0.7191 0.042267 6.0852 1 4 17 33 65 101 123 157 210 162 127 
10 5 7 0.015625 2 1.14 0.4166 0.061486 1.2365 580.03 0.4093 0.064208 1.2157 43 109 143 139 150 126 102 69 61 39 19 
10 5 7 0.015625 3 1.14 0.1951 0.042849 0.26059 119.44 0.1854 0.04275 0.25915 296 234 161 115 75 46 34 13 14 7 5 
10 5 7 0.015625 4 1.14 0.0667 0.015417 0.074646 21.435 0.0656 0.015973 0.092266 652 188 77 50 16 8 3 1 1 2 2 
10 5 7 0.015625 5 1.14 0.0141 0.0030943 0.041705 2.498 0.0155 0.0041739 0.042311 907 66 18 4 2 1 0 2 0 0 0 
10 5 8 0.015625 1 1.28181 0.6049 0.049175 2.9652 1677.7 0.6071 0.048688 2.8738 3 15 39 83 108 158 165 156 118 91 64 
10 5 8 0.015625 2 1.2818 0.2824 0.05016 0.40588 216.48 0.2819 0.049732 0.39481 132 200 207 132 109 82 62 34 28 6 8 
10 5 8 0.015625 3 1.2818 0.1098 0.025169 0.091351 35.243 0.1058 0.021888 0.088895 488 246 127 55 43 20 5 9 0 2 5 
10 5 8 0.015625 4 1.2818 0.0384 0.0093548 0.038755 5.787 0.0356 0.0071398 0.038914 781 140 39 19 10 5 2 1 2 1 0 
10 5 8 0.015625 5 1.2818 0.0088 0.0019845 0.02969 0.756 0.007 0.0014725 0.030753 936 55 3 2 2 1 0 0 1 0 0 
10 5 9 0.015625 1 1.34915 0.5064 0.053272 1.6346 874.44 0.4949 0.055239 1.8306 6 46 90 139 146 158 135 116 82 51 31 
10 5 9 0.015625 2 1.3492 0.1942 0.036863 0.22158 81.213 0.1948 0.03715 0.17987 255 252 188 130 74 41 27 15 10 4 4 
10 5 9 0.015625 3 1.3492 0.0664 0.013885 0.084317 10.743 0.0621 0.011345 0.049 618 240 78 29 15 12 2 1 3 2 0 
10 5 9 0.015625 4 1.3492 0.0187 0.0041645 0.030945 1.429 0.0153 0.0023783 0.02964 874 93 23 5 0 1 0 4 0 0 0 
10 5 9 0.015625 5 1.3492 0.0025 0.00040415 0.02738 0.123 0.0026 0.00033357 0.030244 981 15 2 2 0 0 0 0 0 0 0 
10 5 10 0.015625 1 1.51041 0.3958 0.048591 0.83258 449.87 0.3992 0.051391 0.8019 18 109 156 192 164 134 79 70 41 27 10 
10 5 10 0.015625 2 1.5104 0.1272 0.024284 0.087409 30.635 0.1304 0.023299 0.087082 400 281 150 78 46 20 11 8 4 1 1 
10 5 10 0.015625 3 1.5104 0.0357 0.006442 0.034293 3.094 0.0382 0.0068276 0.033321 766 155 55 15 4 2 0 3 0 0 0 
