k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 5 14 0.015625 10 1 1e-07 43.6042 0.4828 0.094018 0.50882 0 0.0062996 0.025849 0.47644 274.56 99120 100 0.477 0.092924 0.49475 89 98 100 82 99 98 98 92 101 72 71 
10 5 14 0.015625 10 1 1.375e-07 43.604 0.4828 0.094018 0.4996 0 0.0056348 0.021428 0.47224 274.56 99120 100 0.477 0.092924 0.49422 89 98 100 82 99 98 98 92 101 72 71 
10 5 14 0.015625 10 1 1.75e-07 43.604 0.4828 0.094018 0.50088 0 0.0056008 0.021487 0.47349 274.56 99120 100 0.477 0.092924 0.50689 89 98 100 82 99 98 98 92 101 72 71 
10 5 14 0.015625 10 1 2.5e-07 43.604 0.4828 0.094018 0.5 0 0.005631 0.021572 0.47249 274.56 99120 100 0.477 0.092924 0.49257 89 98 100 82 99 98 98 92 101 72 71 
10 5 14 0.015625 10 1 3.75e-07 43.604 0.4828 0.094018 0.50637 0 0.0055957 0.021555 0.47892 274.56 99120 100 0.477 0.092924 0.4885 89 98 100 82 99 98 98 92 101 72 71 
10 5 14 0.015625 10 1 5e-07 43.604 0.4828 0.094018 0.49446 0 0.0057374 0.021268 0.46716 274.56 99120 100 0.477 0.092924 0.49585 89 98 100 82 99 98 98 92 101 72 71 
10 5 14 0.015625 10 1 7.5e-07 43.604 0.4828 0.094018 0.49227 0 0.0057308 0.021222 0.46503 274.56 99120 100 0.477 0.092924 0.48737 89 98 100 82 99 98 98 92 101 72 71 
10 5 14 0.015625 10 1 1e-06 43.604 0.4828 0.094018 0.51292 0 0.0057454 0.021583 0.48529 274.56 99120 100 0.477 0.092924 0.48463 89 98 100 82 99 98 98 92 101 72 71 
10 5 14 0.015625 10 1 1.375e-06 43.604 0.4828 0.094018 0.49396 0 0.0057011 0.021646 0.4663 274.56 99120 100 0.477 0.092924 0.50496 89 98 100 82 99 98 98 92 101 72 71 
10 5 14 0.015625 10 1 1.75e-06 43.604 0.4828 0.094018 0.4885 0 0.0056073 0.021643 0.46093 274.56 99120 100 0.477 0.092924 0.48125 89 98 100 82 99 98 98 92 101 72 71 
10 5 14 0.015625 10 1 2.5e-06 43.604 0.4828 0.094018 0.50494 0 0.005854 0.035976 0.4628 274.56 99120 100 0.477 0.092924 0.48989 89 98 100 82 99 98 98 92 101 72 71 
