k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 5 14 0.015625 10 1 1 109.851 0.4454 0.088407 0.36081 0 0.0065098 0.025734 0.32832 207.09 99120 0.4499 0.091612 0.35475 91 102 127 107 112 94 87 77 79 74 50 
10 5 14 0.015625 10 1 2 109.85 0.2733 0.077695 0.085291 0 0.0042007 0.019704 0.061143 38.01 99120 0.2809 0.086412 0.08408 262 196 122 107 78 53 44 46 41 29 22 
10 5 14 0.015625 10 1 3 109.85 0.177 0.057248 0.046188 0 0.0036777 0.019901 0.022301 12.452 99120 0.1864 0.065981 0.045386 424 207 119 60 61 33 27 20 20 16 13 
10 5 14 0.015625 10 1 4 109.85 0.1138 0.04085 0.034995 0 0.0034298 0.02039 0.010868 5.365 99120 0.1242 0.049023 0.034374 590 174 85 36 41 17 15 14 10 11 7 
10 5 14 0.015625 10 1 5 109.85 0.0756 0.027852 0.029835 0 0.0032289 0.020575 0.0057491 2.553 99120 0.0878 0.037769 0.029664 709 128 67 30 18 10 11 11 7 7 2 
10 5 14 0.015625 10 1 6 109.85 0.052 0.020456 0.027111 0 0.0030904 0.020415 0.0033476 1.357 99120 0.0631 0.028357 0.026831 796 95 44 20 12 9 5 6 7 4 2 
10 5 14 0.015625 10 1 7 109.85 0.0357 0.01441 0.025597 0 0.002928 0.020545 0.0018904 0.748 99120 0.0474 0.021735 0.025326 850 80 28 14 5 8 4 0 5 5 1 
10 5 14 0.015625 10 1 8 109.85 0.0258 0.010785 0.024513 0 0.0027507 0.020359 0.0011778 0.453 99120 0.0334 0.016881 0.024267 891 57 26 7 2 3 5 2 3 3 1 
10 5 14 0.015625 10 1 9 109.85 0.0173 0.0080387 0.023782 0 0.0025882 0.020285 0.00069411 0.277 99120 0.024 0.011736 0.023522 935 32 14 3 1 4 4 4 0 2 1 
10 5 14 0.015625 10 1 10 109.85 0.0129 0.0064901 0.02326 0 0.0024606 0.020129 0.00046287 0.191 99120 0.017 0.0081191 0.023016 956 22 6 2 1 4 3 4 0 1 1 
10 5 14 0.015625 10 1 11 109.85 0.0094 0.0045562 0.02277 0 0.0023376 0.019924 0.00030508 0.125 99120 0.0125 0.00622 0.022631 967 16 5 2 1 3 2 3 0 0 1 
10 5 14 0.015625 10 1 12 109.85 0.008 0.0037998 0.02258 0 0.0022337 0.019886 0.00025523 0.098 99120 0.0097 0.0048007 0.022484 971 15 4 2 0 2 3 2 0 1 0 
10 5 14 0.015625 10 1 13 109.85 0.0058 0.0027291 0.022402 0 0.0021931 0.019822 0.00018577 0.069 99120 0.0076 0.003726 0.022277 982 6 3 2 1 3 1 1 1 0 0 
10 5 14 0.015625 10 1 14 109.85 0.0044 0.0020227 0.022226 0 0.0021188 0.019761 0.00014585 0.05 99120 0.0062 0.0030646 0.022223 985 7 2 0 1 3 0 2 0 0 0 
10 5 14 0.015625 10 1 15 109.85 0.0032 0.0014112 0.022156 0 0.0021165 0.019722 0.00011712 0.036 99120 0.005 0.0022973 0.022115 987 8 1 0 2 0 0 2 0 0 0 
10 5 14 0.015625 10 1 16 109.85 0.0021 0.00076636 0.022062 0 0.0020785 0.019693 9.1591e-05 0.023 99120 0.0033 0.0014806 0.022038 991 5 1 0 2 0 1 0 0 0 0 
