k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 10 13 0.015625 10 1 1 1.3282 0.7075 0.054989 1.5675 0 0.0093137 0.059575 1.4983 901.98 99120 0.702 0.059355 1.6089 4 12 29 45 67 97 107 142 150 189 158 
10 10 13 0.015625 10 1 2 1.3282 0.5186 0.078953 0.32056 0 0.0069961 0.036879 0.27633 176.82 99120 0.5145 0.083663 0.28942 48 71 79 102 123 114 108 104 109 79 63 
10 10 13 0.015625 10 1 3 1.3282 0.3872 0.08376 0.11176 0 0.0061497 0.023223 0.082081 60.173 99120 0.3877 0.088127 0.10982 139 117 121 134 108 88 74 75 58 54 32 
10 10 13 0.015625 10 1 4 1.3282 0.2943 0.077235 0.066764 0 0.0058327 0.02286 0.037733 27.656 99120 0.2986 0.08178 0.066244 215 188 139 120 85 65 46 45 39 31 27 
10 10 13 0.015625 10 1 5 1.3282 0.2327 0.070972 0.049983 0 0.0056151 0.022655 0.021311 14.865 99120 0.2333 0.073274 0.049546 315 211 133 96 57 43 37 32 32 23 21 
10 10 13 0.015625 10 1 6 1.3282 0.1807 0.058956 0.0424 0 0.0055193 0.022819 0.013758 8.747 99120 0.1834 0.06583 0.041991 410 220 118 66 48 41 24 19 20 21 13 
10 10 13 0.015625 10 1 7 1.3282 0.1411 0.04969 0.037657 0 0.0054498 0.022531 0.0093197 5.523 99120 0.1478 0.057393 0.037665 518 189 101 47 51 24 13 16 13 19 9 
10 10 13 0.015625 10 1 8 1.3282 0.1076 0.039081 0.035157 0 0.0054921 0.022654 0.0066744 3.653 99120 0.1139 0.045622 0.035066 605 177 68 49 32 20 10 10 9 14 6 
10 10 13 0.015625 10 1 9 1.3282 0.0852 0.031993 0.033102 0 0.0055262 0.022363 0.0049063 2.527 99120 0.0922 0.038117 0.032854 673 153 60 40 25 12 5 6 11 11 4 
10 10 13 0.015625 10 1 10 1.3282 0.0637 0.024217 0.03141 0 0.0055529 0.022106 0.0035043 1.73 99120 0.0736 0.030373 0.031475 741 133 47 22 19 9 10 3 6 6 4 
10 10 13 0.015625 10 1 11 1.3282 0.0513 0.020559 0.030635 0 0.0055658 0.022126 0.0027062 1.271 99120 0.0604 0.026338 0.03061 792 108 34 24 14 3 8 3 4 7 3 
10 10 13 0.015625 10 1 12 1.3282 0.0411 0.016778 0.030057 0 0.0056043 0.022144 0.0020726 0.936 99120 0.0488 0.020599 0.029848 828 96 25 20 7 2 7 3 6 4 2 
10 10 13 0.015625 10 1 13 1.3282 0.0332 0.014632 0.029328 0 0.0055919 0.021899 0.0016147 0.715 99120 0.0397 0.017191 0.037731 864 76 23 13 1 4 5 3 5 4 2 
10 10 13 0.015625 10 1 14 1.3282 0.0278 0.01258 0.033424 0 0.0059342 0.02596 0.0013103 0.57 99120 0.0302 0.013241 0.029465 892 56 20 8 3 7 2 4 3 3 2 
