k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 10 13 0.015625 10 1 1 2.52393 0.8684 0.027008 1.393 0 0.060371 0.032674 1.2996 694.76 99120 0.8763 0.025294 1.381 1 1 6 5 13 33 47 87 135 252 420 
10 10 13 0.015625 10 1 2 2.5239 0.7728 0.046847 0.44487 0 0.046159 0.030772 0.36765 205.77 99120 0.7679 0.046466 0.44971 2 13 14 25 36 74 81 116 196 198 245 
10 10 13 0.015625 10 1 3 2.5239 0.681 0.061941 0.23729 0 0.037469 0.033467 0.16607 97.242 99120 0.6763 0.064453 0.28365 10 25 33 52 68 94 115 133 172 156 142 
10 10 13 0.015625 10 1 4 2.5239 0.6006 0.073213 0.18911 0 0.036176 0.025561 0.12709 56.536 99120 0.5957 0.072504 0.18278 24 41 66 71 96 110 110 133 142 111 96 
10 10 13 0.015625 10 1 5 2.5239 0.5301 0.07552 0.14527 0 0.028705 0.024699 0.09159 36.581 99120 0.5219 0.076547 0.14551 40 58 93 88 119 119 118 112 104 92 57 
10 10 13 0.015625 10 1 6 2.5239 0.4666 0.076441 0.095958 0 0.026636 0.024299 0.044707 25.401 99120 0.4642 0.075834 0.12174 63 90 113 97 129 113 111 93 91 67 33 
10 10 13 0.015625 10 1 7 2.5239 0.4088 0.073756 0.080454 0 0.025165 0.024051 0.030901 18.52 99120 0.4087 0.074329 0.10769 93 111 125 134 121 92 110 84 62 43 25 
10 10 13 0.015625 10 1 8 2.5239 0.3609 0.06891 0.073895 0 0.024068 0.027492 0.021981 13.919 99120 0.3615 0.070718 0.073973 120 137 140 143 107 102 91 64 51 27 18 
10 10 13 0.015625 10 1 9 2.5239 0.3174 0.063381 0.069575 0 0.022703 0.030006 0.016508 10.78 99120 0.317 0.066017 0.064099 157 153 158 133 117 86 75 52 39 18 12 
10 10 13 0.015625 10 1 10 2.5239 0.2791 0.057791 0.063303 0 0.022181 0.027458 0.013309 8.451 99120 0.2826 0.060618 0.067689 194 170 170 140 92 84 58 39 32 14 7 
10 10 13 0.015625 10 1 11 2.5239 0.2453 0.052911 0.060369 0 0.02187 0.027102 0.011042 6.755 99120 0.2478 0.055531 0.074835 237 185 177 130 87 63 44 38 24 11 4 
10 10 13 0.015625 10 1 12 2.5239 0.2149 0.048837 0.067367 0 0.029621 0.023522 0.013897 5.487 99120 0.2178 0.050714 0.053576 288 202 163 121 75 53 42 22 23 7 4 
10 10 13 0.015625 10 1 13 2.5239 0.1895 0.044905 0.0633 0 0.022505 0.022746 0.017727 4.525 99120 0.1923 0.046757 0.05572 334 218 152 99 73 46 32 20 16 6 4 
10 10 13 0.015625 10 1 14 2.5239 0.1677 0.040988 0.056363 0 0.023184 0.024716 0.0081604 3.727 99120 0.1679 0.041121 0.064621 381 216 151 87 66 33 26 19 13 4 4 
10 10 13 0.015625 10 1 15 2.5239 0.1479 0.036712 0.052581 0 0.021443 0.022555 0.0082794 3.106 99120 0.1478 0.036592 0.05044 431 211 139 78 59 28 21 19 8 3 3 
10 10 13 0.015625 10 1 16 2.5239 0.1303 0.033265 0.052219 0 0.021438 0.022475 0.0080105 2.606 99120 0.1308 0.032644 0.049843 471 223 117 73 44 30 16 12 8 3 3 
10 10 13 0.015625 10 1 17 2.5239 0.1165 0.030728 0.048924 0 0.020612 0.022276 0.0057447 2.208 99120 0.115 0.028824 0.049934 516 211 110 61 38 28 13 12 5 3 3 
10 10 13 0.015625 10 1 18 2.5239 0.1044 0.027728 0.046545 0 0.020292 0.022283 0.0036869 1.888 99120 0.1021 0.025191 0.045508 549 214 91 56 36 25 9 10 5 3 2 
10 10 13 0.015625 10 1 19 2.5239 0.0943 0.025703 0.051319 0 0.020806 0.022412 0.0078241 1.626 99120 0.0875 0.021275 0.052336 592 188 89 49 39 20 4 9 5 3 2 
10 10 13 0.015625 10 1 20 2.5239 0.0851 0.023191 0.046133 0 0.020596 0.022351 0.0029173 1.405 99120 0.0758 0.018293 0.047661 621 177 88 47 32 12 6 10 2 3 2 
10 10 13 0.015625 10 1 22 2.5239 0.0697 0.01853 0.04693 0 0.020599 0.023752 0.0023114 1.061 99120 0.0583 0.013324 0.044034 668 166 83 32 25 7 8 7 1 1 2 
10 10 13 0.015625 10 1 25 2.5239 0.0487 0.013672 0.046821 0 0.020963 0.024069 0.001552 0.681 99120 0.0405 0.0087185 0.046123 758 130 56 25 12 7 5 4 0 1 2 
10 10 13 0.015625 10 1 30 2.5239 0.026 0.0071311 0.043968 0 0.019443 0.023519 0.0007846 0.312 99120 0.0219 0.0045549 0.04178 855 93 25 13 6 1 2 4 0 1 0 
10 10 13 0.015625 10 1 40 2.5239 0.0079 0.0017493 0.043617 0 0.020292 0.022847 0.00026699 0.085 99120 0.0057 0.0010385 0.044387 950 34 9 3 3 0 1 0 0 0 0 
10 10 13 0.015625 10 1 50 2.5239 0.0016 0.00029774 0.043058 0 0.019077 0.023688 9.2641e-05 0.016 99120 0.0014 0.0002583 0.040769 989 8 1 2 0 0 0 0 0 0 0 
10 10 13 0.015625 10 1 60 2.5239 0.0006 0.00011976 0.041183 0 0.018884 0.022027 6.3984e-05 0.006 99120 0.0004 3.988e-05 0.040728 996 3 0 1 0 0 0 0 0 0 0 
10 10 13 0.015625 10 1 70 2.5239 0.0002 1.998e-05 0.046146 0 0.023541 0.02234 5.4895e-05 0.002 99120 0.0002 1.998e-05 0.046403 998 2 0 0 0 0 0 0 0 0 0 
10 10 13 0.015625 10 1 80 2.5239 0.0001 1e-05 0.042093 0 0.019541 0.02229 4.9202e-05 0.001 99120 0.0002 1.998e-05 0.040653 999 1 0 0 0 0 0 0 0 0 0 
10 10 13 0.015625 10 1 90 2.5239 0 0 0.041155 0 0.018866 0.022035 4.2094e-05 0 99120 0.0002 1.998e-05 0.040637 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.015625 10 1 100 2.5239 0 0 0.041033 0 0.018807 0.021975 4.2251e-05 0 99120 0.0002 1.998e-05 0.040604 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.015625 10 1 125 2.5239 0 0 0.041063 0 0.018812 0.022002 4.2105e-05 0 99120 0.0002 1.998e-05 0.040623 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.015625 10 1 150 2.5239 0 0 0.041151 0 0.018868 0.022033 4.2223e-05 0 99120 0 0 0.040597 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.015625 10 1 175 2.5239 0 0 0.041066 0 0.018812 0.022006 4.2169e-05 0 99120 0 0 0.040582 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.015625 10 1 200 2.5239 0 0 0.041071 0 0.018808 0.022013 4.2427e-05 0 99120 0 0 0.040614 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.015625 10 1 250 2.5239 0 0 0.041082 0 0.018815 0.022008 4.2681e-05 0 99120 0 0 0.040554 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.015625 10 1 300 2.5239 0 0 0.041045 0 0.018776 0.022019 4.2519e-05 0 99120 0 0 0.040562 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.015625 10 1 400 2.5239 0 0 0.041158 0 0.018844 0.022064 4.239e-05 0 99120 0 0 0.040585 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.015625 10 1 500 2.5239 0 0 0.04169 0 0.019137 0.022299 4.2547e-05 0 99120 0 0 0.040601 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.015625 10 1 750 2.5239 0 0 0.041154 0 0.018811 0.022094 4.1989e-05 0 99120 0 0 0.040573 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.015625 10 1 1000 2.5239 0 0 0.041116 0 0.018838 0.022028 4.251e-05 0 99120 0 0 0.040597 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.015625 10 1 1250 2.5239 0 0 0.041061 0 0.018767 0.022046 4.2186e-05 0 99120 0 0 0.040563 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.015625 10 1 1500 2.5239 0 0 0.041083 0 0.018819 0.022014 4.2251e-05 0 99120 0 0 0.040579 1000 0 0 0 0 0 0 0 0 0 0 
10 10 13 0.015625 10 1 2000 2.5239 0 0 0.041082 0 0.018795 0.022037 4.2095e-05 0 99120 0 0 0.043857 1000 0 0 0 0 0 0 0 0 0 0 
10 10 14 0.015625 10 1 1 2.87031 0.8214 0.034697 0.7595 0 0.060659 0.03324 0.66532 394.62 99120 0.815 0.037853 0.74557 3 2 7 17 26 37 67 113 174 267 287 
10 10 14 0.015625 10 1 2 2.8703 0.6745 0.061081 0.22655 0 0.03907 0.025066 0.16214 98.901 99120 0.6739 0.063833 0.22509 11 24 40 44 65 101 118 158 151 158 130 
10 10 14 0.015625 10 1 3 2.8703 0.5549 0.071888 0.12739 0 0.035387 0.023471 0.068272 41.869 99120 0.5513 0.072711 0.12501 37 44 74 84 104 130 144 117 111 82 73 
10 10 14 0.015625 10 1 4 2.8703 0.4518 0.075873 0.098983 0 0.03233 0.028613 0.037733 22.507 99120 0.4525 0.075229 0.093997 68 79 133 115 118 128 118 68 70 58 45 
10 10 14 0.015625 10 1 5 2.8703 0.3738 0.075649 0.079973 0 0.031661 0.023984 0.023984 13.649 99120 0.3681 0.073386 0.080569 113 135 145 129 125 100 77 52 47 46 31 
10 10 14 0.015625 10 1 6 2.8703 0.3047 0.068556 0.071511 0 0.028836 0.025766 0.016575 8.864 99120 0.2987 0.066995 0.06589 172 179 167 105 118 74 65 42 29 29 20 
10 10 14 0.015625 10 1 7 2.8703 0.2497 0.062582 0.065134 0 0.027956 0.024623 0.012225 6.098 99120 0.2443 0.060748 0.062291 249 197 164 113 95 47 40 33 26 21 15 
10 10 14 0.015625 10 1 8 2.8703 0.209 0.055815 0.058913 0 0.027205 0.022169 0.0092216 4.402 99120 0.1972 0.052685 0.057141 318 217 143 100 83 37 31 24 18 18 11 
