k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 10 13 0.015625 10 1 1 0.665867 0.6848 0.059689 1.5805 0.0074072 0.0039043 0.036792 1.532 962.92 99120 0.6806 0.060965 1.602 11 24 23 52 74 81 117 165 161 144 148 
10 10 13 0.015625 10 1 2 0.66587 0.4791 0.080674 0.26435 0.007334 0.0023237 0.038394 0.21603 153.8 99120 0.4721 0.081753 0.25011 62 80 121 108 97 117 112 93 90 71 49 
10 10 13 0.015625 10 1 3 0.66587 0.3367 0.082125 0.09136 0.0069489 0.0017042 0.023136 0.059318 46.355 99120 0.3339 0.080982 0.088568 183 154 131 114 111 69 60 59 51 41 27 
10 10 13 0.015625 10 1 4 0.66587 0.2422 0.069949 0.056198 0.0071095 0.0013862 0.022394 0.024987 19.519 99120 0.2339 0.068649 0.054411 298 200 142 98 59 47 43 44 29 25 15 
10 10 13 0.015625 10 1 5 0.66587 0.1798 0.05849 0.044547 0.0070775 0.0012771 0.022218 0.013639 9.976 99120 0.1721 0.056368 0.043288 427 198 125 63 41 35 39 24 20 20 8 
10 10 13 0.015625 10 1 6 0.66587 0.1351 0.047365 0.038977 0.0070803 0.0012278 0.021992 0.0083499 5.692 99120 0.1261 0.044293 0.038189 529 195 96 46 34 25 24 16 13 15 7 
10 10 13 0.015625 10 1 7 0.66587 0.102 0.036432 0.035852 0.0071935 0.0012159 0.021662 0.0054724 3.505 99120 0.0945 0.033253 0.035095 622 172 69 30 39 19 14 13 8 10 4 
10 10 13 0.015625 10 1 8 0.66587 0.0771 0.027934 0.034086 0.0073076 0.0012015 0.021427 0.0038491 2.295 99120 0.0697 0.024356 0.033548 697 149 49 30 28 12 10 11 4 7 3 
10 10 13 0.015625 10 1 9 0.66587 0.0561 0.019222 0.033268 0.0074322 0.001217 0.021574 0.0027501 1.544 99120 0.0519 0.017714 0.032545 767 108 47 32 16 10 6 6 3 3 2 
10 10 13 0.015625 10 1 10 0.66587 0.0412 0.013796 0.032534 0.0073936 0.0012025 0.021791 0.0018697 1.029 99120 0.0346 0.011755 0.032058 816 90 43 20 12 5 6 3 1 2 2 
10 10 13 0.015625 10 1 11 0.66587 0.0316 0.010832 0.032034 0.0074588 0.0011969 0.021793 0.0013131 0.722 99120 0.0258 0.0083827 0.031513 853 79 33 10 10 4 4 4 0 1 2 
10 10 13 0.015625 10 1 12 0.66587 0.022 0.0076436 0.031224 0.007333 0.0011938 0.021532 0.0008994 0.488 99120 0.0185 0.0057735 0.030922 895 61 18 7 10 2 3 2 0 0 2 
10 10 13 0.015625 10 1 13 0.66587 0.0171 0.0058234 0.030994 0.0072956 0.001191 0.021587 0.00066063 0.352 99120 0.0133 0.0038369 0.030606 912 55 16 5 6 0 2 2 0 1 1 
10 10 13 0.015625 10 1 14 0.66587 0.0132 0.0044502 0.03072 0.0072475 0.0011838 0.021536 0.00049728 0.256 99120 0.0095 0.0025223 0.030372 931 42 17 1 3 1 2 2 0 0 1 
