	k	n_trees	depth	sparsity	k_build	b	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	n_train	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	10	13	0.015625	10	1	1	0.665867	0.6848	0.059689	1.5805	0.0074072	0.0039043	0.036792	1.532	962.92	99120	0.6806	0.060965	1.602	11	24	23	52	74	81	117	165	161	144	148
43	10	10	14	0.015625	10	1	1	0.623483	0.5799	0.068895	0.84575	0.0075082	0.0045702	0.025684	0.80764	516.96	99120	0.5774	0.068898	0.87353	19	48	68	84	97	111	130	149	122	99	73
86	10	10	15	0.015625	10	1	1	0.848432	0.4558	0.075642	0.67862	0.0098618	0.0050663	0.027521	0.63582	274.08	99120	0.459	0.079278	0.60159	59	95	117	120	123	120	99	94	73	59	41
129	10	15	13	0.015625	10	1	1	0.626727	0.7552	0.046499	2.7648	0.013235	0.0048665	0.050253	2.696	1408.2	99120	0.759	0.045384	1.9148	1	13	11	19	59	74	111	142	158	190	222
172	10	15	14	0.015625	10	1	1	0.734279	0.6619	0.059138	1.2424	0.0098472	0.0067853	0.03419	1.1912	753.25	99120	0.6645	0.065115	1.2684	8	26	33	57	71	114	130	139	160	151	111
215	10	15	15	0.015625	10	1	1	0.80035	0.5491	0.071531	0.6725	0.010456	0.0071113	0.026423	0.62816	398.18	99120	0.5499	0.074094	0.59302	27	54	71	105	115	116	132	113	116	81	70
258	10	20	13	0.015625	10	1	1	0.75966	0.8135	0.036624	3.0068	0.012932	0.0090208	0.099253	2.8853	1777.3	99120	0.8141	0.035707	3.0115	0	6	8	14	29	46	80	118	173	225	301
301	10	20	14	0.015625	10	1	1	0.873687	0.7225	0.048753	1.6517	0.012928	0.0094451	0.077027	1.5519	978.89	99120	0.7179	0.052162	1.6778	1	8	26	31	64	88	128	131	185	169	169
344	10	20	15	0.015625	10	1	1	0.969649	0.608	0.066983	0.96004	0.01372	0.013066	0.035883	0.89706	520.22	99120	0.6167	0.064576	0.98933	14	30	71	68	93	130	118	137	129	117	93
387	10	25	13	0.015625	10	1	1	0.804745	0.8476	0.028663	3.6904	0.018815	0.011786	0.15467	3.5047	2152.8	99120	0.85	0.027107	3.689	0	2	3	10	20	31	65	103	156	256	354
