	k	n_trees	depth	sparsity	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	1	6	0.015625	1	0.153634	0.158	0.033209	2.1349	0.002234	0.00017685	0.023814	2.1083	1548.8	0.1665	0.032981	2.1369	356	247	167	92	56	38	20	9	10	4	1
1	10	1	7	0.015625	1	0.164638	0.126	0.022466	1.064	0.0017709	0.00013697	0.018325	1.0435	774.38	0.1139	0.018175	1.0647	406	252	171	93	37	25	8	3	1	3	1
2	10	1	8	0.015625	1	0.175748	0.0926	0.016061	0.54417	0.0018833	0.00014156	0.019246	0.52264	387.19	0.0879	0.014818	0.54389	491	288	114	58	26	13	5	3	2	0	0
3	10	1	9	0.015625	1	0.183283	0.0719	0.011752	0.28652	0.0019393	0.00014571	0.016762	0.26741	193.59	0.0696	0.012388	0.28453	570	260	102	37	18	6	7	0	0	0	0
4	10	1	10	0.015625	1	0.193356	0.0494	0.0077274	0.15611	0.0020698	0.00013461	0.016338	0.13732	96.79	0.0436	0.0065656	0.15819	679	207	75	26	8	3	2	0	0	0	0
5	10	1	11	0.015625	1	0.201498	0.0315	0.0043621	0.090982	0.0020669	0.00015825	0.016252	0.072242	48.388	0.0329	0.004432	0.090232	768	169	49	9	4	1	0	0	0	0	0
6	10	1	12	0.015625	1	0.211544	0.0235	0.0031609	0.058569	0.0021734	0.00019333	0.016175	0.039769	24.203	0.0246	0.0032381	0.057688	812	153	28	5	0	1	1	0	0	0	0
7	10	5	6	0.015625	1	0.209411	0.5743	0.055805	12.095	0.0049175	0.00057682	0.090787	11.997	7164.7	0.5815	0.053741	12.053	4	29	54	101	122	171	143	123	96	97	60
12	10	5	7	0.015625	1	0.218681	0.4504	0.056176	6.1771	0.0056223	0.00057819	0.060009	6.11	3694.7	0.4344	0.056173	6.1683	23	66	134	160	158	119	122	94	64	39	21
17	10	5	8	0.015625	1	0.257757	0.3569	0.049122	3.0984	0.0041803	0.00074931	0.03316	3.0598	1876.6	0.3546	0.048067	3.0814	45	140	168	197	151	107	83	50	28	19	12
22	10	5	9	0.015625	1	0.226137	0.2504	0.036937	1.5926	0.0038015	0.00072541	0.021032	1.5667	950.25	0.2485	0.036734	1.633	115	235	231	183	88	55	48	25	13	6	1
27	10	5	10	0.015625	1	0.239317	0.1702	0.023656	0.81942	0.0040318	0.00090142	0.018545	0.79559	479.47	0.1675	0.025439	0.81598	230	312	205	127	68	33	18	4	2	0	1
32	10	5	11	0.015625	1	0.258547	0.1385	0.020568	0.42472	0.0042118	0.0011553	0.017849	0.40118	240.04	0.1418	0.020393	0.42329	297	346	186	90	42	21	8	7	1	1	1
37	10	5	12	0.015625	1	0.263687	0.1067	0.016942	0.23116	0.0043891	0.0013873	0.017409	0.20766	120.34	0.1051	0.01618	0.22851	423	310	145	66	28	15	11	0	2	0	0
42	10	10	6	0.015625	1	0.313195	0.77	0.036336	22.337	0.0064524	0.00080817	0.15172	22.177	13284.0	0.7594	0.039211	22.307	0	1	4	18	43	83	114	146	187	192	212
52	10	10	7	0.015625	1	0.225794	0.6469	0.050781	11.764	0.007846	0.0012219	0.095409	11.659	7027.7	0.6422	0.051671	11.751	5	9	29	61	111	117	150	164	136	126	92
62	10	10	8	0.015625	1	0.21924	0.4991	0.055445	6.2179	0.0078075	0.0016135	0.06621	6.1417	3674.6	0.4979	0.053559	6.1967	8	49	102	132	160	145	139	96	86	47	36
72	10	10	9	0.015625	1	0.285057	0.3924	0.051274	3.1565	0.0064658	0.0017109	0.038667	3.1093	1868.7	0.3955	0.051001	3.1351	43	102	141	185	165	118	111	62	35	25	13
82	10	10	10	0.015625	1	0.285173	0.3054	0.043554	2.0589	0.008959	0.001889	0.029057	2.0187	946.29	0.2959	0.042215	1.4167	79	168	221	173	135	85	64	41	20	11	3
92	10	10	11	0.015625	1	0.311259	0.2303	0.033465	1.0392	0.0072996	0.0028344	0.019825	1.0089	476.77	0.2311	0.036199	1.0487	144	252	220	162	98	59	35	18	7	4	1
102	10	10	12	0.015625	1	0.294067	0.1702	0.025217	0.46654	0.008535	0.0028339	0.022612	0.43223	239.3	0.1777	0.030223	0.4396	236	313	207	110	76	27	18	8	3	2	0
112	10	25	6	0.015625	1	0.378207	0.9584	0.0062357	45.53	0.013801	0.0018378	0.32258	45.191	26976.0	0.9585	0.0061139	45.602	0	0	0	0	2	0	5	23	61	193	716
130	10	25	7	0.015625	1	0.369085	0.8825	0.018843	26.114	0.014709	0.0031629	0.19614	25.899	15537.0	0.8839	0.020411	26.026	0	0	0	4	4	17	53	84	160	254	424
