k n_trees depth sparsity v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 6 0.015625 1 0.153634 0.158 0.033209 2.1349 0.002234 0.00017685 0.023814 2.1083 1548.8 0.1665 0.032981 2.1369 356 247 167 92 56 38 20 9 10 4 1 
10 1 7 0.015625 1 0.164638 0.126 0.022466 1.064 0.0017709 0.00013697 0.018325 1.0435 774.38 0.1139 0.018175 1.0647 406 252 171 93 37 25 8 3 1 3 1 
10 1 8 0.015625 1 0.175748 0.0926 0.016061 0.54417 0.0018833 0.00014156 0.019246 0.52264 387.19 0.0879 0.014818 0.54389 491 288 114 58 26 13 5 3 2 0 0 
10 1 9 0.015625 1 0.183283 0.0719 0.011752 0.28652 0.0019393 0.00014571 0.016762 0.26741 193.59 0.0696 0.012388 0.28453 570 260 102 37 18 6 7 0 0 0 0 
10 1 10 0.015625 1 0.193356 0.0494 0.0077274 0.15611 0.0020698 0.00013461 0.016338 0.13732 96.79 0.0436 0.0065656 0.15819 679 207 75 26 8 3 2 0 0 0 0 
10 1 11 0.015625 1 0.201498 0.0315 0.0043621 0.090982 0.0020669 0.00015825 0.016252 0.072242 48.388 0.0329 0.004432 0.090232 768 169 49 9 4 1 0 0 0 0 0 
10 1 12 0.015625 1 0.211544 0.0235 0.0031609 0.058569 0.0021734 0.00019333 0.016175 0.039769 24.203 0.0246 0.0032381 0.057688 812 153 28 5 0 1 1 0 0 0 0 
10 5 6 0.015625 1 0.209411 0.5743 0.055805 12.095 0.0049175 0.00057682 0.090787 11.997 7164.7 0.5815 0.053741 12.053 4 29 54 101 122 171 143 123 96 97 60 
10 5 6 0.015625 2 0.20941 0.2165 0.045663 0.93448 0.0036303 0.00021244 0.039894 0.89037 535.75 0.2267 0.044161 0.91365 233 245 186 126 78 50 26 17 21 15 3 
10 5 6 0.015625 3 0.20941 0.0682 0.015164 0.108 0.0031604 0.00018815 0.033386 0.070884 39.756 0.0689 0.015238 0.10647 628 226 69 36 21 6 6 4 4 0 0 
10 5 6 0.015625 4 0.20941 0.018 0.0026787 0.041089 0.0033295 0.00019608 0.03047 0.0067227 3.341 0.02 0.0040841 0.041026 861 112 18 4 5 0 0 0 0 0 0 
10 5 6 0.015625 5 0.20941 0.0035 0.00049825 0.034956 0.0032655 0.00021292 0.030696 0.00044683 0.162 0.0034 0.00048893 0.035031 971 25 2 2 0 0 0 0 0 0 0 
10 5 7 0.015625 1 0.218681 0.4504 0.056176 6.1771 0.0056223 0.00057819 0.060009 6.11 3694.7 0.4344 0.056173 6.1683 23 66 134 160 158 119 122 94 64 39 21 
10 5 7 0.015625 2 0.21868 0.1399 0.025544 0.31475 0.003974 0.00021872 0.027299 0.28292 168.45 0.14 0.028529 0.30862 355 293 155 99 44 25 14 7 7 1 0 
10 5 7 0.015625 3 0.21868 0.0353 0.0052892 0.046442 0.0036669 0.00020593 0.024703 0.017471 8.358 0.0385 0.0066744 0.045133 754 169 57 13 4 3 0 0 0 0 0 
10 5 7 0.015625 4 0.21868 0.008 0.0008969 0.029762 0.0039186 0.00021417 0.023947 0.0013378 0.431 0.0102 0.0013773 0.029858 927 67 5 1 0 0 0 0 0 0 0 
10 5 7 0.015625 5 0.21868 0.0012 0.00011868 0.028206 0.0035009 0.00021884 0.024035 0.00012409 0.02 0.0031 0.00090129 0.027779 988 12 0 0 0 0 0 0 0 0 0 
10 5 8 0.015625 1 0.257757 0.3569 0.049122 3.0984 0.0041803 0.00074931 0.03316 3.0598 1876.6 0.3546 0.048067 3.0814 45 140 168 197 151 107 83 50 28 19 12 
